xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
717381,Spinus spinus,Eurasian Siskin,Shaun Micklewright,United Kingdom,2022-02-12,13:00,25,A,call,field recording,yes,[],44100,https://xeno-canto.org/717381,https://xeno-canto.org/717381/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/spinus_spinus/XC717381.mp3
594920,Spinus spinus,Eurasian Siskin,Simon Elliott,United Kingdom,2003-03-15,08:00,48,A,call,field recording,yes,"[""Fringilla coelebs"", ""Erithacus rubecula""]",44100,https://xeno-canto.org/594920,https://xeno-canto.org/594920/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/spinus_spinus/XC594920.mp3
996479,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2025-05-10,05:00,28,A,song,field recording,yes,"[""Gallinago gallinago""]",48000,https://xeno-canto.org/996479,https://xeno-canto.org/996479/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/spinus_spinus/XC996479.mp3
991447,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2025-04-23,14:00,28,A,call,field recording,yes,[],48000,https://xeno-canto.org/991447,https://xeno-canto.org/991447/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/spinus_spinus/XC991447.mp3
991446,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2025-04-23,14:00,52,A,song,field recording,yes,[],48000,https://xeno-canto.org/991446,https://xeno-canto.org/991446/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/spinus_spinus/XC991446.mp3
991444,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2025-04-23,14:00,27,A,song,field recording,yes,"[""Cyanistes caeruleus"", ""Erithacus rubecula""]",48000,https://xeno-canto.org/991444,https://xeno-canto.org/991444/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/spinus_spinus/XC991444.mp3
980284,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2025-03-14,14:00,29,A,song,field recording,yes,[],48000,https://xeno-canto.org/980284,https://xeno-canto.org/980284/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/spinus_spinus/XC980284.mp3
980283,Spinus spinus,Eurasian Siskin,Lars Edenius,Sweden,2025-03-14,14:00,43,A,song,field recording,yes,[],48000,https://xeno-canto.org/980283,https://xeno-canto.org/980283/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/spinus_spinus/XC980283.mp3
950882,Spinus spinus,Eurasian Siskin,Ulf Elman,Sweden,2024-11-24,14:46,8,A,call,field recording,yes,[],48000,https://xeno-canto.org/950882,https://xeno-canto.org/950882/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/spinus_spinus/XC950882.mp3
898595,Spinus spinus,Eurasian Siskin,Pia,Sweden,2024-04-27,06:12,47,A,"song, subsong",unknown,yes,"[""Dendrocopos major"", ""Passer domesticus""]",44100,https://xeno-canto.org/898595,https://xeno-canto.org/898595/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/spinus_spinus/XC898595.mp3
