species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
streptopelia_decaocto,1037154,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037154.mp3,1.0,4.0,-23.96098551335637,-23.96098551335637,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9987725615501404,0.9987725615501404,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/streptopelia_decaocto/XC1037154__s1000__e4000.wav,
streptopelia_decaocto,1037152,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037152.mp3,4.0,7.0,-85.256959865652,-40.0,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/streptopelia_decaocto/XC1037152__s4000__e7000.wav,
streptopelia_decaocto,1037151,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037151.mp3,1.0,4.0,-32.576245451522425,-40.0,drop,Streptopelia decaocto,Eurasian Collared-Dove,0.2652153968811035,0.2652153968811035,drop,0,,,
streptopelia_decaocto,1037150,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037150.mp3,1.0,4.0,-24.12380856993147,-24.12380856993147,species,Streptopelia decaocto,Eurasian Collared-Dove,0.7886979579925537,0.7886979579925537,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/streptopelia_decaocto/XC1037150__s1000__e4000.wav,
streptopelia_decaocto,1037149,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037149.mp3,1.0,4.0,-37.20524359858773,-37.87924848087596,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9915322661399841,0.9915322661399841,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/streptopelia_decaocto/XC1037149__s1000__e4000.wav,
streptopelia_decaocto,1037149,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037149.mp3,10.0,13.0,-37.653227890543725,-37.87924848087596,drop,Erithacus rubecula,European Robin,0.7191881537437439,0.7191881537437439,drop,0,,,
streptopelia_decaocto,1037149,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037149.mp3,13.0,16.0,-36.880202416336736,-37.87924848087596,species,Streptopelia decaocto,Eurasian Collared-Dove,0.7894560694694519,0.7894560694694519,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/streptopelia_decaocto/XC1037149__s13000__e16000.wav,
streptopelia_decaocto,1037149,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037149.mp3,16.0,19.0,-37.60939246108403,-37.87924848087596,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9214062690734863,0.9214062690734863,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/streptopelia_decaocto/XC1037149__s16000__e19000.wav,
streptopelia_decaocto,1037148,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037148.mp3,4.0,7.0,-33.60849592239041,-39.34260348968152,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9621016979217529,0.9621016979217529,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/streptopelia_decaocto/XC1037148__s4000__e7000.wav,
streptopelia_decaocto,1037148,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037148.mp3,7.0,10.0,-39.08120972096284,-39.34260348968152,drop,Strix varia,Barred Owl,0.7501378059387207,0.7501378059387207,drop,0,,,
streptopelia_decaocto,1037148,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037148.mp3,13.0,16.0,-37.36841429058598,-39.34260348968152,species,Streptopelia decaocto,Eurasian Collared-Dove,0.301107794046402,0.301107794046402,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/streptopelia_decaocto/XC1037148__s13000__e16000.wav,
streptopelia_decaocto,1037148,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037148.mp3,16.0,19.0,-35.5418071192903,-39.34260348968152,species,Streptopelia decaocto,Eurasian Collared-Dove,0.7161261439323425,0.7161261439323425,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/streptopelia_decaocto/XC1037148__s16000__e19000.wav,
streptopelia_decaocto,1037146,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037146.mp3,13.0,16.0,-47.57880127228067,-40.0,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9857825040817261,0.9857825040817261,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/streptopelia_decaocto/XC1037146__s13000__e16000.wav,
streptopelia_decaocto,1037140,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037140.mp3,1.0,4.0,-38.94958550890158,-38.94958550890158,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9428117275238037,0.9428117275238037,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/streptopelia_decaocto/XC1037140__s1000__e4000.wav,
streptopelia_decaocto,1037138,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037138.mp3,1.0,4.0,-21.2227883358499,-21.2227883358499,drop,Bubo bubo,Eurasian Eagle-Owl,0.3436056077480316,0.3436056077480316,drop,0,,,
streptopelia_decaocto,1029285,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1029285.mp3,1.0,4.0,-27.17101420740657,-30.422368528738904,species,Streptopelia decaocto,Eurasian Collared-Dove,0.988009512424469,0.988009512424469,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/streptopelia_decaocto/XC1029285__s1000__e4000.wav,
streptopelia_decaocto,1029285,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1029285.mp3,7.0,10.0,-30.36573996061676,-30.422368528738904,species,Streptopelia decaocto,Eurasian Collared-Dove,0.5009055733680725,0.5009055733680725,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/streptopelia_decaocto/XC1029285__s7000__e10000.wav,
streptopelia_decaocto,1029285,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1029285.mp3,10.0,13.0,-28.422939313040537,-30.422368528738904,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9896259903907776,0.9896259903907776,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/streptopelia_decaocto/XC1029285__s10000__e13000.wav,
streptopelia_decaocto,1028334,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1028334.mp3,1.0,4.0,-30.266149567424442,-30.266149567424442,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9117642641067505,0.9117642641067505,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/streptopelia_decaocto/XC1028334__s1000__e4000.wav,
streptopelia_decaocto,1028333,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1028333.mp3,4.0,7.0,-32.1302780776172,-32.70761669994188,species,Streptopelia decaocto,Eurasian Collared-Dove,0.99149489402771,0.99149489402771,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/streptopelia_decaocto/XC1028333__s4000__e7000.wav,
streptopelia_decaocto,1028333,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1028333.mp3,7.0,10.0,-32.31661036558431,-32.70761669994188,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9476029872894287,0.9476029872894287,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/streptopelia_decaocto/XC1028333__s7000__e10000.wav,
streptopelia_decaocto,1028333,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1028333.mp3,10.0,13.0,-32.309164715671514,-32.70761669994188,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9721497297286987,0.9721497297286987,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/streptopelia_decaocto/XC1028333__s10000__e13000.wav,
streptopelia_decaocto,1010996,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1010996.mp3,1.0,4.0,-30.39554296955684,-30.39554296955684,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9502765536308289,0.9502765536308289,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/streptopelia_decaocto/XC1010996__s1000__e4000.wav,
streptopelia_decaocto,984066,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC984066.mp3,4.0,7.0,-15.485835865583496,-20.609651256107107,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9793199896812439,0.9793199896812439,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/streptopelia_decaocto/XC984066__s4000__e7000.wav,
streptopelia_decaocto,984066,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC984066.mp3,7.0,10.0,-13.840685921631708,-20.609651256107107,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9950828552246094,0.9950828552246094,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/streptopelia_decaocto/XC984066__s7000__e10000.wav,
streptopelia_decaocto,984066,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC984066.mp3,10.0,13.0,-14.87785764311038,-20.609651256107107,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9977849721908569,0.9977849721908569,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/streptopelia_decaocto/XC984066__s10000__e13000.wav,
streptopelia_decaocto,984066,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC984066.mp3,13.0,16.0,-16.251654227117164,-20.609651256107107,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9906197786331177,0.9906197786331177,species,0,,,
streptopelia_decaocto,984066,Streptopelia decaocto,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC984066.mp3,16.0,19.0,-18.97540308068896,-20.609651256107107,species,Streptopelia decaocto,Eurasian Collared-Dove,0.9070161581039429,0.9070161581039429,species,0,,,
