xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1037154,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2018-03-18,?,6,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1037154,https://xeno-canto.org/1037154/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037154.mp3
1037152,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2011-04-24,?,46,A,singing,field recording,yes,[],96000,https://xeno-canto.org/1037152,https://xeno-canto.org/1037152/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037152.mp3
1037151,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2010-07-10,?,15,A,singing,field recording,yes,[],44100,https://xeno-canto.org/1037151,https://xeno-canto.org/1037151/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037151.mp3
1037150,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2009-04-12,?,6,A,singing,field recording,yes,[],44100,https://xeno-canto.org/1037150,https://xeno-canto.org/1037150/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037150.mp3
1037149,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2009-03-14,?,19,A,singing,field recording,yes,[],44100,https://xeno-canto.org/1037149,https://xeno-canto.org/1037149/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037149.mp3
1037148,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2009-01-15,?,20,A,singing,field recording,yes,[],44100,https://xeno-canto.org/1037148,https://xeno-canto.org/1037148/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037148.mp3
1037146,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2008-05-20,?,24,A,singing,field recording,yes,[],44100,https://xeno-canto.org/1037146,https://xeno-canto.org/1037146/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037146.mp3
1037140,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2018-03-20,?,4,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1037140,https://xeno-canto.org/1037140/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037140.mp3
1037139,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2018-03-18,?,3,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1037139,https://xeno-canto.org/1037139/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037139.mp3
1037138,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2017-08-15,?,6,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1037138,https://xeno-canto.org/1037138/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1037138.mp3
1029285,Streptopelia decaocto,Eurasian Collared Dove,Agris Celmins,United Kingdom,2025-07-20,08:11,14,A,song,field recording,yes,[],44100,https://xeno-canto.org/1029285,https://xeno-canto.org/1029285/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1029285.mp3
1028334,Streptopelia decaocto,Eurasian Collared Dove,Paul Kelly,Ireland,2025-08-06,06:00,4,A,"call, song",field recording,no,[],44100,https://xeno-canto.org/1028334,https://xeno-canto.org/1028334/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1028334.mp3
1028333,Streptopelia decaocto,Eurasian Collared Dove,Paul Kelly,Ireland,2025-08-06,06:00,16,A,song,field recording,no,"[""Pyrrhula pyrrhula""]",44100,https://xeno-canto.org/1028333,https://xeno-canto.org/1028333/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1028333.mp3
1010996,Streptopelia decaocto,Eurasian Collared Dove,Paul Kelly,Ireland,2025-06-20,07:30,6,A,call,field recording,no,"[""Corvus frugilegus""]",44100,https://xeno-canto.org/1010996,https://xeno-canto.org/1010996/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC1010996.mp3
984066,Streptopelia decaocto,Eurasian Collared Dove,David Darrell-Lambert,United Kingdom,2020-06-14,05:45,29,A,song,field recording,no,[],48000,https://xeno-canto.org/984066,https://xeno-canto.org/984066/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC984066.mp3
972740,Streptopelia decaocto,Eurasian Collared Dove,Molly Bell,Ireland,2025-02-10,08:31,7,A,song,field recording,yes,[],44100,https://xeno-canto.org/972740,https://xeno-canto.org/972740/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC972740.mp3
823053,Streptopelia decaocto,Eurasian Collared Dove,Anthony McGeehan ,United Kingdom,2014-05-07,07:00,17,A,song,field recording,yes,[],44100,https://xeno-canto.org/823053,https://xeno-canto.org/823053/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC823053.mp3
820074,Streptopelia decaocto,Eurasian Collared Dove,Paul Kelly,Ireland,2023-07-27,06:00,18,A,song,field recording,no,[],44100,https://xeno-canto.org/820074,https://xeno-canto.org/820074/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC820074.mp3
715008,Streptopelia decaocto,Eurasian Collared Dove,Antonio Xeira,United Kingdom,2018-05-12,05:00,20,A,song,field recording,yes,[],44100,https://xeno-canto.org/715008,https://xeno-canto.org/715008/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC715008.mp3
621403,Streptopelia decaocto,Eurasian Collared Dove,Irish Wildlife Sounds,Ireland,2021-02-07,9:00,44,A,song,field recording,no,[],44100,https://xeno-canto.org/621403,https://xeno-canto.org/621403/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC621403.mp3
621402,Streptopelia decaocto,Eurasian Collared Dove,Irish Wildlife Sounds,Ireland,2021-02-06,9:00,19,A,song,field recording,no,[],44100,https://xeno-canto.org/621402,https://xeno-canto.org/621402/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC621402.mp3
618193,Streptopelia decaocto,Eurasian Collared Dove,Irish Wildlife Sounds,Ireland,2021-01-23,07:00,14,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/618193,https://xeno-canto.org/618193/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC618193.mp3
581649,Streptopelia decaocto,Eurasian Collared Dove,Calum Mckellar,United Kingdom,2020-08-03,05:40,4,A,flight call,field recording,no,"[""Columba palumbus""]",44100,https://xeno-canto.org/581649,https://xeno-canto.org/581649/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC581649.mp3
581067,Streptopelia decaocto,Eurasian Collared Dove,Arjun Dutta,United Kingdom,2020-07-30,06:30,9,A,"call, flight call",field recording,no,[],44100,https://xeno-canto.org/581067,https://xeno-canto.org/581067/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC581067.mp3
424172,Streptopelia decaocto,Eurasian Collared Dove,Guy Kirwan,United Kingdom,2018-06-29,19:30,8,A,song,field recording,yes,[],44100,https://xeno-canto.org/424172,https://xeno-canto.org/424172/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC424172.mp3
424168,Streptopelia decaocto,Eurasian Collared Dove,Guy Kirwan,United Kingdom,2018-06-22,20:00,15,A,song,field recording,yes,[],44100,https://xeno-canto.org/424168,https://xeno-canto.org/424168/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC424168.mp3
292976,Streptopelia decaocto,Eurasian Collared Dove,david m,United Kingdom,2015-05-07,05:37,23,A,song,field recording,yes,"[""Passer montanus""]",48000,https://xeno-canto.org/292976,https://xeno-canto.org/292976/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC292976.mp3
292476,Streptopelia decaocto,Eurasian Collared Dove,david m,United Kingdom,2015-09-07,06:29,57,A,"song, wing beats",field recording,yes,"[""Turdus merula"", ""Corvus corone"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/292476,https://xeno-canto.org/292476/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC292476.mp3
292475,Streptopelia decaocto,Eurasian Collared Dove,david m,United Kingdom,2015-09-07,06:28,8,A,song,field recording,yes,[],48000,https://xeno-canto.org/292475,https://xeno-canto.org/292475/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC292475.mp3
145644,Streptopelia decaocto,Eurasian Collared Dove,Patrik Åberg,United Kingdom,2013-07-11,05:35,44,A,song,field recording,yes,"[""Coloeus monedula"", ""Passer domesticus""]",44100,https://xeno-canto.org/145644,https://xeno-canto.org/145644/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC145644.mp3
133853,Streptopelia decaocto,Eurasian Collared Dove,Mike Nelson,United Kingdom,2013-05-10,10:00,18,A,song,field recording,yes,[],44100,https://xeno-canto.org/133853,https://xeno-canto.org/133853/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC133853.mp3
128849,Streptopelia decaocto,Eurasian Collared Dove,Ashley Fisher,United Kingdom,2013-04-06,07:26,42,A,song,field recording,yes,"[""Corvus corone"", ""Carduelis carduelis""]",44100,https://xeno-canto.org/128849,https://xeno-canto.org/128849/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/streptopelia_decaocto/XC128849.mp3
