xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1031530,Sturnus vulgaris,Common Starling,Paul Kelly,Ireland,2025-08-15,04:00,4,A,call,field recording,no,[],44100,https://xeno-canto.org/1031530,https://xeno-canto.org/1031530/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sturnus_vulgaris/XC1031530.mp3
1026159,Sturnus vulgaris,Common Starling,David Boyle,United Kingdom,2025-07-19,07:00,48,A,call,field recording,no,"[""Larus marinus""]",48000,https://xeno-canto.org/1026159,https://xeno-canto.org/1026159/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sturnus_vulgaris/XC1026159.mp3
908736,Sturnus vulgaris,Common Starling,Peter Stronach,United Kingdom,2024-05-25,13:57,13,A,begging call,field recording,yes,[],44100,https://xeno-canto.org/908736,https://xeno-canto.org/908736/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sturnus_vulgaris/XC908736.mp3
735526,Sturnus vulgaris,Common Starling,Irish Wildlife Sounds,Ireland,2022-06-05,08:00,53,A,call,field recording,no,[],44100,https://xeno-canto.org/735526,https://xeno-canto.org/735526/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sturnus_vulgaris/XC735526.mp3
734952,Sturnus vulgaris,Common Starling,Irish Wildlife Sounds,Ireland,2022-05-21,07:00,56,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/734952,https://xeno-canto.org/734952/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sturnus_vulgaris/XC734952.mp3
674526,Sturnus vulgaris,Common Starling,Peter Stronach,United Kingdom,2021-05-27,10:41,49,A,call,field recording,yes,[],44100,https://xeno-canto.org/674526,https://xeno-canto.org/674526/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sturnus_vulgaris/XC674526.mp3
669728,Sturnus vulgaris,Common Starling,Oscar Campbell,Ireland,2021-07-06,08:00,31,A,song,field recording,yes,[],44100,https://xeno-canto.org/669728,https://xeno-canto.org/669728/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sturnus_vulgaris/XC669728.mp3
652277,Sturnus vulgaris,Common Starling,Andrew Harrop,United Kingdom,2021-05-25,06:00,6,A,"begging call, hatchling or nestling",field recording,yes,[],44100,https://xeno-canto.org/652277,https://xeno-canto.org/652277/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sturnus_vulgaris/XC652277.mp3
628940,Sturnus vulgaris,Common Starling,Peter Stronach,United Kingdom,2021-03-14,08:00,3,A,"imitation, song, mimicry/imitation",field recording,yes,[],44100,https://xeno-canto.org/628940,https://xeno-canto.org/628940/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sturnus_vulgaris/XC628940.mp3
604962,Sturnus vulgaris,Common Starling,Simon Elliott,United Kingdom,1996-06-08,08:30,51,A,begging call,field recording,yes,[],44100,https://xeno-canto.org/604962,https://xeno-canto.org/604962/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sturnus_vulgaris/XC604962.mp3
603661,Sturnus vulgaris,Common Starling,Andrew Harrop,United Kingdom,2020-11-17,14:30,37,A,call,field recording,yes,[],44100,https://xeno-canto.org/603661,https://xeno-canto.org/603661/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sturnus_vulgaris/XC603661.mp3
595483,Sturnus vulgaris,Common Starling,Simon Elliott,United Kingdom,2002-05-19,10:00,25,A,"alarm call, begging call, hatchling or nestling",field recording,yes,"[""Branta canadensis""]",44100,https://xeno-canto.org/595483,https://xeno-canto.org/595483/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sturnus_vulgaris/XC595483.mp3
996283,Sturnus vulgaris,Common Starling,Johannes Worona,Germany,2025-05-09,06:40,53,A,begging call,field recording,yes,[],44100,https://xeno-canto.org/996283,https://xeno-canto.org/996283/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sturnus_vulgaris/XC996283.mp3
996281,Sturnus vulgaris,Common Starling,Johannes Worona,Germany,2025-05-09,06:39,8,A,begging call,field recording,yes,[],44100,https://xeno-canto.org/996281,https://xeno-canto.org/996281/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sturnus_vulgaris/XC996281.mp3
995266,Sturnus vulgaris,Common Starling,Johannes Worona,Germany,2025-05-06,06:51,2,A,call,field recording,yes,[],44100,https://xeno-canto.org/995266,https://xeno-canto.org/995266/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sturnus_vulgaris/XC995266.mp3
995264,Sturnus vulgaris,Common Starling,Johannes Worona,Germany,2025-05-06,06:51,2,A,call,field recording,yes,[],44100,https://xeno-canto.org/995264,https://xeno-canto.org/995264/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sturnus_vulgaris/XC995264.mp3
