xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
986487,Sylvia atricapilla,Eurasian Blackcap,David Darrell-Lambert,United Kingdom,2023-05-09,09:30,7,A,song,field recording,no,[],48000,https://xeno-canto.org/986487,https://xeno-canto.org/986487/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sylvia_atricapilla/XC986487.mp3
986437,Sylvia atricapilla,Eurasian Blackcap,Molly Bell,Ireland,2025-04-08,12:27,22,A,song,field recording,yes,"[""Turdus merula"", ""Troglodytes troglodytes"", ""Periparus ater""]",44100,https://xeno-canto.org/986437,https://xeno-canto.org/986437/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sylvia_atricapilla/XC986437.mp3
985877,Sylvia atricapilla,Eurasian Blackcap,David Darrell-Lambert,United Kingdom,2025-04-05,09:00,48,A,"song, displaying",field recording,yes,[],32000,https://xeno-canto.org/985877,https://xeno-canto.org/985877/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sylvia_atricapilla/XC985877.mp3
928946,Sylvia atricapilla,Eurasian Blackcap,Thomas Coldwell,United Kingdom,2024-06-02,10:20,14,A,song,field recording,yes,[],44100,https://xeno-canto.org/928946,https://xeno-canto.org/928946/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sylvia_atricapilla/XC928946.mp3
905250,Sylvia atricapilla,Eurasian Blackcap,Azens,United Kingdom,2024-05-20,05:18,36,A,song,field recording,no,"[""Columba palumbus"", ""Phylloscopus trochilus"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/905250,https://xeno-canto.org/905250/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sylvia_atricapilla/XC905250.mp3
854559,Sylvia atricapilla,Eurasian Blackcap,David Pennington,United Kingdom,2023-05-15,11:32,58,A,song,field recording,yes,[],48000,https://xeno-canto.org/854559,https://xeno-canto.org/854559/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sylvia_atricapilla/XC854559.mp3
795601,Sylvia atricapilla,Eurasian Blackcap,David Bissett,United Kingdom,2023-04-24,10:30,42,A,song,field recording,no,"[""Turdus merula"", ""Phylloscopus collybita""]",96000,https://xeno-canto.org/795601,https://xeno-canto.org/795601/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sylvia_atricapilla/XC795601.mp3
732590,Sylvia atricapilla,Eurasian Blackcap,Jonathan Bryant,United Kingdom,2022-05-17,07:30,54,A,song,field recording,yes,"[""Fringilla coelebs"", ""Picus viridis""]",48000,https://xeno-canto.org/732590,https://xeno-canto.org/732590/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sylvia_atricapilla/XC732590.mp3
728059,Sylvia atricapilla,Eurasian Blackcap,Dean McDonnell,Ireland,2022-05-02,11:00,16,A,song,field recording,yes,"[""Columba palumbus""]",44100,https://xeno-canto.org/728059,https://xeno-canto.org/728059/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sylvia_atricapilla/XC728059.mp3
725846,Sylvia atricapilla,Eurasian Blackcap,Lee Dingain,United Kingdom,2022-05-18,12:39,33,A,song,field recording,no,"[""Troglodytes troglodytes""]",44100,https://xeno-canto.org/725846,https://xeno-canto.org/725846/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sylvia_atricapilla/XC725846.mp3
717596,Sylvia atricapilla,Eurasian Blackcap,Irish Wildlife Sounds,Ireland,2022-04-13,17:00,19,A,"song, uncertain, plastic song",field recording,yes,[],44100,https://xeno-canto.org/717596,https://xeno-canto.org/717596/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sylvia_atricapilla/XC717596.mp3
650759,Sylvia atricapilla,Eurasian Blackcap,Paul Bourdin,Ireland,2021-05-14,14:30,40,A,song,field recording,yes,[],44100,https://xeno-canto.org/650759,https://xeno-canto.org/650759/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sylvia_atricapilla/XC650759.mp3
552452,Sylvia atricapilla,Eurasian Blackcap,Anthony McGeehan ,United Kingdom,2020-04-28,09:00,44,A,song,field recording,yes,[],48000,https://xeno-canto.org/552452,https://xeno-canto.org/552452/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sylvia_atricapilla/XC552452.mp3
551260,Sylvia atricapilla,Eurasian Blackcap,Harry Hussey,Ireland,2020-04-27,07:34,8,A,song,field recording,no,"[""Passer domesticus""]",48000,https://xeno-canto.org/551260,https://xeno-canto.org/551260/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sylvia_atricapilla/XC551260.mp3
466815,Sylvia atricapilla,Eurasian Blackcap,David Bissett,United Kingdom,2019-04-15,06:30,56,A,song,field recording,yes,"[""Cyanistes caeruleus"", ""Streptopelia decaocto""]",44100,https://xeno-canto.org/466815,https://xeno-canto.org/466815/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/sylvia_atricapilla/XC466815.mp3
