xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
986487,Sylvia atricapilla,Eurasian Blackcap,David Darrell-Lambert,United Kingdom,2023-05-09,09:30,7,A,song,field recording,no,[],48000,https://xeno-canto.org/986487,https://xeno-canto.org/986487/download,
986437,Sylvia atricapilla,Eurasian Blackcap,Molly Bell,Ireland,2025-04-08,12:27,22,A,song,field recording,yes,"[""Turdus merula"", ""Troglodytes troglodytes"", ""Periparus ater""]",44100,https://xeno-canto.org/986437,https://xeno-canto.org/986437/download,
985877,Sylvia atricapilla,Eurasian Blackcap,David Darrell-Lambert,United Kingdom,2025-04-05,09:00,48,A,"song, displaying",field recording,yes,[],32000,https://xeno-canto.org/985877,https://xeno-canto.org/985877/download,
928946,Sylvia atricapilla,Eurasian Blackcap,Thomas Coldwell,United Kingdom,2024-06-02,10:20,14,A,song,field recording,yes,[],44100,https://xeno-canto.org/928946,https://xeno-canto.org/928946/download,
905250,Sylvia atricapilla,Eurasian Blackcap,Azens,United Kingdom,2024-05-20,05:18,36,A,song,field recording,no,"[""Columba palumbus"", ""Phylloscopus trochilus"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/905250,https://xeno-canto.org/905250/download,
854559,Sylvia atricapilla,Eurasian Blackcap,David Pennington,United Kingdom,2023-05-15,11:32,58,A,song,field recording,yes,[],48000,https://xeno-canto.org/854559,https://xeno-canto.org/854559/download,
795601,Sylvia atricapilla,Eurasian Blackcap,David Bissett,United Kingdom,2023-04-24,10:30,42,A,song,field recording,no,"[""Turdus merula"", ""Phylloscopus collybita""]",96000,https://xeno-canto.org/795601,https://xeno-canto.org/795601/download,
732590,Sylvia atricapilla,Eurasian Blackcap,Jonathan Bryant,United Kingdom,2022-05-17,07:30,54,A,song,field recording,yes,"[""Fringilla coelebs"", ""Picus viridis""]",48000,https://xeno-canto.org/732590,https://xeno-canto.org/732590/download,
728059,Sylvia atricapilla,Eurasian Blackcap,Dean McDonnell,Ireland,2022-05-02,11:00,16,A,song,field recording,yes,"[""Columba palumbus""]",44100,https://xeno-canto.org/728059,https://xeno-canto.org/728059/download,
725846,Sylvia atricapilla,Eurasian Blackcap,Lee Dingain,United Kingdom,2022-05-18,12:39,33,A,song,field recording,no,"[""Troglodytes troglodytes""]",44100,https://xeno-canto.org/725846,https://xeno-canto.org/725846/download,
717596,Sylvia atricapilla,Eurasian Blackcap,Irish Wildlife Sounds,Ireland,2022-04-13,17:00,19,A,"song, uncertain, plastic song",field recording,yes,[],44100,https://xeno-canto.org/717596,https://xeno-canto.org/717596/download,
650759,Sylvia atricapilla,Eurasian Blackcap,Paul Bourdin,Ireland,2021-05-14,14:30,40,A,song,field recording,yes,[],44100,https://xeno-canto.org/650759,https://xeno-canto.org/650759/download,
552452,Sylvia atricapilla,Eurasian Blackcap,Anthony McGeehan ,United Kingdom,2020-04-28,09:00,44,A,song,field recording,yes,[],48000,https://xeno-canto.org/552452,https://xeno-canto.org/552452/download,
551260,Sylvia atricapilla,Eurasian Blackcap,Harry Hussey,Ireland,2020-04-27,07:34,8,A,song,field recording,no,"[""Passer domesticus""]",48000,https://xeno-canto.org/551260,https://xeno-canto.org/551260/download,
466815,Sylvia atricapilla,Eurasian Blackcap,David Bissett,United Kingdom,2019-04-15,06:30,56,A,song,field recording,yes,"[""Cyanistes caeruleus"", ""Streptopelia decaocto""]",44100,https://xeno-canto.org/466815,https://xeno-canto.org/466815/download,
421349,Sylvia atricapilla,Eurasian Blackcap,James Bradley,United Kingdom,2018-06-06,19:00,14,A,song,field recording,no,[],44100,https://xeno-canto.org/421349,https://xeno-canto.org/421349/download,
365135,Sylvia atricapilla,Eurasian Blackcap,Harry Hussey,Ireland,2017-04-18,11:30,47,A,song,field recording,yes,"[""Regulus regulus"", ""Columba palumbus"", ""Parus major"", ""Troglodytes troglodytes"", ""Phylloscopus collybita""]",44100,https://xeno-canto.org/365135,https://xeno-canto.org/365135/download,
326297,Sylvia atricapilla,Eurasian Blackcap,david m,United Kingdom,2016-07-05,05:30,47,A,song,field recording,yes,"[""Phylloscopus collybita""]",48000,https://xeno-canto.org/326297,https://xeno-canto.org/326297/download,
319012,Sylvia atricapilla,Eurasian Blackcap,Ashley Fisher,United Kingdom,2016-05-26,19:45,20,A,song,field recording,yes,[],44100,https://xeno-canto.org/319012,https://xeno-canto.org/319012/download,
317843,Sylvia atricapilla,Eurasian Blackcap,Ashley Fisher,United Kingdom,2016-05-22,06:26,18,A,song,field recording,yes,[],48000,https://xeno-canto.org/317843,https://xeno-canto.org/317843/download,
192704,Sylvia atricapilla,Eurasian Blackcap,david m,United Kingdom,2010-05-09,06:56,40,A,song,field recording,yes,[],48000,https://xeno-canto.org/192704,https://xeno-canto.org/192704/download,
1089038,Sylvia atricapilla,Eurasian Blackcap,Petter Westberg,Sweden,2025-05-07,10:30,57,A,song,field recording,yes,"[""Phylloscopus trochilus"", ""Chroicocephalus ridibundus"", ""Phylloscopus collybita""]",96000,https://xeno-canto.org/1089038,https://xeno-canto.org/1089038/download,
1087497,Sylvia atricapilla,Eurasian Blackcap,Petter Westberg,Sweden,2025-05-05,07:30,27,A,song,field recording,yes,"[""Cyanistes caeruleus"", ""Phylloscopus trochilus"", ""Parus major""]",96000,https://xeno-canto.org/1087497,https://xeno-canto.org/1087497/download,
1076066,Sylvia atricapilla,Eurasian Blackcap,Marc Anderson,Spain,2025-05-14,19:00,12,A,song,field recording,no,[],44100,https://xeno-canto.org/1076066,https://xeno-canto.org/1076066/download,
1076065,Sylvia atricapilla,Eurasian Blackcap,Marc Anderson,Spain,2025-05-14,19:00,21,A,song,field recording,no,[],48000,https://xeno-canto.org/1076065,https://xeno-canto.org/1076065/download,
1076058,Sylvia atricapilla,Eurasian Blackcap,Marc Anderson,Spain,2025-05-14,18:30,36,A,song,field recording,no,[],44100,https://xeno-canto.org/1076058,https://xeno-canto.org/1076058/download,
1076051,Sylvia atricapilla,Eurasian Blackcap,Marc Anderson,Spain,2025-05-14,08:30,8,A,song,field recording,no,[],48000,https://xeno-canto.org/1076051,https://xeno-canto.org/1076051/download,
1076046,Sylvia atricapilla,Eurasian Blackcap,Marc Anderson,Spain,2025-05-16,09:30,38,A,song,field recording,no,[],48000,https://xeno-canto.org/1076046,https://xeno-canto.org/1076046/download,
1076045,Sylvia atricapilla,Eurasian Blackcap,Marc Anderson,Spain,2025-05-16,09:30,37,A,song,field recording,no,[],48000,https://xeno-canto.org/1076045,https://xeno-canto.org/1076045/download,
1076043,Sylvia atricapilla,Eurasian Blackcap,Marc Anderson,Spain,2025-05-16,09:30,35,A,song,field recording,no,[],44100,https://xeno-canto.org/1076043,https://xeno-canto.org/1076043/download,
1076041,Sylvia atricapilla,Eurasian Blackcap,Marc Anderson,Spain,2025-05-16,09:30,24,A,call,field recording,no,[],48000,https://xeno-canto.org/1076041,https://xeno-canto.org/1076041/download,
1075026,Sylvia atricapilla,Eurasian Blackcap,Stanislas Wroza,France,2024-05-06,08:00,50,A,song,field recording,unknown,[],48000,https://xeno-canto.org/1075026,https://xeno-canto.org/1075026/download,
1045422,Sylvia atricapilla,Eurasian Blackcap,Jacobo Ramil Millarengo,Spain,2025-07-18,10:00,25,A,"call, soft warbler",field recording,yes,"[""Regulus ignicapilla"", ""Columba palumbus"", ""Chloris chloris"", ""Gallinula chloropus""]",44100,https://xeno-canto.org/1045422,https://xeno-canto.org/1045422/download,
1040893,Sylvia atricapilla,Eurasian Blackcap,Gianluca Congi,Italy,2025-07-06,15:41,36,A,"duet, song",field recording,no,"[""Apus apus""]",48000,https://xeno-canto.org/1040893,https://xeno-canto.org/1040893/download,
1037482,Sylvia atricapilla,Eurasian Blackcap,Steen Knarberg,Denmark,2025-05-06,12:43,14,A,uncertain,field recording,no,[],48000,https://xeno-canto.org/1037482,https://xeno-canto.org/1037482/download,
1015474,Sylvia atricapilla,Eurasian Blackcap,Romuald Mikusek,Poland,2025-05-25,12:50,42,A,song,field recording,yes,[],48000,https://xeno-canto.org/1015474,https://xeno-canto.org/1015474/download,
1014916,Sylvia atricapilla,Eurasian Blackcap,Lars Edenius,Sweden,2025-07-10,06:00,39,A,song,field recording,yes,[],48000,https://xeno-canto.org/1014916,https://xeno-canto.org/1014916/download,
1014909,Sylvia atricapilla,Eurasian Blackcap,Lars Edenius,Sweden,2025-07-10,06:00,41,A,song,field recording,yes,[],48000,https://xeno-canto.org/1014909,https://xeno-canto.org/1014909/download,
