xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1089165,Turdus merula,Common Blackbird,David Darrell-Lambert,United Kingdom,2026-03-18,12:00,5,A,song,field recording,yes,[],48000,https://xeno-canto.org/1089165,https://xeno-canto.org/1089165/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_merula/XC1089165.mp3
1088880,Turdus merula,Common Blackbird,Paul Kelly,Ireland,2026-03-06,07:30,50,A,"call, Canine, sheep.",field recording,no,[],24000,https://xeno-canto.org/1088880,https://xeno-canto.org/1088880/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_merula/XC1088880.mp3
986243,Turdus merula,Common Blackbird,Molly Bell,Ireland,2025-04-07,07:13,59,A,"dawn song, song",field recording,yes,"[""Erithacus rubecula"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/986243,https://xeno-canto.org/986243/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_merula/XC986243.mp3
982612,Turdus merula,Common Blackbird,Will Scott,United Kingdom,2025-03-24,05:00,45,A,song,field recording,no,[],44100,https://xeno-canto.org/982612,https://xeno-canto.org/982612/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_merula/XC982612.mp3
981210,Turdus merula,Common Blackbird,Paul Kelly,Ireland,2025-03-16,05:30,7,A,"alarm call, Ocean.",field recording,no,[],44100,https://xeno-canto.org/981210,https://xeno-canto.org/981210/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_merula/XC981210.mp3
949407,Turdus merula,Common Blackbird,David Bissett,United Kingdom,2024-11-16,16:15,55,A,"call, anxious call",field recording,no,[],48000,https://xeno-canto.org/949407,https://xeno-canto.org/949407/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_merula/XC949407.mp3
912632,Turdus merula,Common Blackbird,Paul Kelly,Ireland,2024-06-08,21:30,28,A,song,field recording,no,"[""Emberiza schoeniclus""]",44100,https://xeno-canto.org/912632,https://xeno-canto.org/912632/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_merula/XC912632.mp3
904743,Turdus merula,Common Blackbird,Agris Celmins,United Kingdom,2024-03-06,10:17,27,A,call,field recording,no,"[""Cyanistes caeruleus"", ""Regulus regulus"", ""Erithacus rubecula"", ""Aegithalos caudatus"", ""Pica pica""]",44100,https://xeno-canto.org/904743,https://xeno-canto.org/904743/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_merula/XC904743.mp3
898868,Turdus merula,Common Blackbird,Paul Kelly,Ireland,2024-04-21,20:00,15,A,song,field recording,no,[],44100,https://xeno-canto.org/898868,https://xeno-canto.org/898868/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_merula/XC898868.mp3
894642,Turdus merula,Common Blackbird,Simon Elliott,United Kingdom,2024-01-13,14:00,46,A,call,field recording,yes,"[""Carduelis carduelis""]",48000,https://xeno-canto.org/894642,https://xeno-canto.org/894642/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/turdus_merula/XC894642.mp3
