xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1089165,Turdus merula,Common Blackbird,David Darrell-Lambert,United Kingdom,2026-03-18,12:00,5,A,song,field recording,yes,[],48000,https://xeno-canto.org/1089165,https://xeno-canto.org/1089165/download,
1088880,Turdus merula,Common Blackbird,Paul Kelly,Ireland,2026-03-06,07:30,50,A,"call, Canine, sheep.",field recording,no,[],24000,https://xeno-canto.org/1088880,https://xeno-canto.org/1088880/download,
986243,Turdus merula,Common Blackbird,Molly Bell,Ireland,2025-04-07,07:13,59,A,"dawn song, song",field recording,yes,"[""Erithacus rubecula"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/986243,https://xeno-canto.org/986243/download,
982612,Turdus merula,Common Blackbird,Will Scott,United Kingdom,2025-03-24,05:00,45,A,song,field recording,no,[],44100,https://xeno-canto.org/982612,https://xeno-canto.org/982612/download,
981210,Turdus merula,Common Blackbird,Paul Kelly,Ireland,2025-03-16,05:30,7,A,"alarm call, Ocean.",field recording,no,[],44100,https://xeno-canto.org/981210,https://xeno-canto.org/981210/download,
949407,Turdus merula,Common Blackbird,David Bissett,United Kingdom,2024-11-16,16:15,55,A,"call, anxious call",field recording,no,[],48000,https://xeno-canto.org/949407,https://xeno-canto.org/949407/download,
912632,Turdus merula,Common Blackbird,Paul Kelly,Ireland,2024-06-08,21:30,28,A,song,field recording,no,"[""Emberiza schoeniclus""]",44100,https://xeno-canto.org/912632,https://xeno-canto.org/912632/download,
904743,Turdus merula,Common Blackbird,Agris Celmins,United Kingdom,2024-03-06,10:17,27,A,call,field recording,no,"[""Cyanistes caeruleus"", ""Regulus regulus"", ""Erithacus rubecula"", ""Aegithalos caudatus"", ""Pica pica""]",44100,https://xeno-canto.org/904743,https://xeno-canto.org/904743/download,
898868,Turdus merula,Common Blackbird,Paul Kelly,Ireland,2024-04-21,20:00,15,A,song,field recording,no,[],44100,https://xeno-canto.org/898868,https://xeno-canto.org/898868/download,
894642,Turdus merula,Common Blackbird,Simon Elliott,United Kingdom,2024-01-13,14:00,46,A,call,field recording,yes,"[""Carduelis carduelis""]",48000,https://xeno-canto.org/894642,https://xeno-canto.org/894642/download,
857364,Turdus merula,Common Blackbird,Paul Kelly,Ireland,2023-12-18,16:00,7,A,"alarm call, call",field recording,no,[],44100,https://xeno-canto.org/857364,https://xeno-canto.org/857364/download,
843690,Turdus merula,Common Blackbird,Paul Kelly,Ireland,2023-11-24,16:00,33,A,"alarm call, call",field recording,no,[],44100,https://xeno-canto.org/843690,https://xeno-canto.org/843690/download,
829984,Turdus merula,Common Blackbird,Agris Celmins,United Kingdom,2023-04-26,20:50,9,A,"call, rattle",field recording,no,[],44100,https://xeno-canto.org/829984,https://xeno-canto.org/829984/download,
817359,Turdus merula,Common Blackbird,david m,United Kingdom,2022-07-01,06:24,46,A,song,field recording,yes,"[""Cyanistes caeruleus"", ""Fringilla coelebs"", ""Emberiza citrinella"", ""Linaria cannabina""]",48000,https://xeno-canto.org/817359,https://xeno-canto.org/817359/download,
783056,Turdus merula,Common Blackbird,Paul Kelly,Ireland,2023-02-25,00:30,12,A,alarm call,field recording,no,[],44100,https://xeno-canto.org/783056,https://xeno-canto.org/783056/download,
774367,Turdus merula,Common Blackbird,Irish Wildlife Sounds,Ireland,2022-12-15,08:00,15,A,call,field recording,no,[],44100,https://xeno-canto.org/774367,https://xeno-canto.org/774367/download,
688992,Turdus merula,Common Blackbird,Simon Elliott,United Kingdom,2021-11-24,15:30,19,A,call,field recording,yes,[],48000,https://xeno-canto.org/688992,https://xeno-canto.org/688992/download,
666898,Turdus merula,Common Blackbird,Irish Wildlife Sounds,Ireland,2021-06-19,08:30,45,A,call,field recording,yes,[],44100,https://xeno-canto.org/666898,https://xeno-canto.org/666898/download,
