xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1087425,Turdus philomelos,Song Thrush,David Darrell-Lambert,United Kingdom,2026-03-12,07:00,37,A,song,field recording,yes,[],48000,https://xeno-canto.org/1087425,https://xeno-canto.org/1087425/download,
1086955,Turdus philomelos,Song Thrush,Paul Kelly,Ireland,2026-03-05,17:30,56,A,song,field recording,no,"[""Turdus merula""]",44100,https://xeno-canto.org/1086955,https://xeno-canto.org/1086955/download,
1086549,Turdus philomelos,Song Thrush,David Darrell-Lambert,United Kingdom,2026-03-07,16:00,34,A,song,field recording,no,[],48000,https://xeno-canto.org/1086549,https://xeno-canto.org/1086549/download,
1019089,Turdus philomelos,Song Thrush,Filippo Ceccolini,United Kingdom,2025-07-23,20:30,31,A,song,field recording,no,[],48000,https://xeno-canto.org/1019089,https://xeno-canto.org/1019089/download,
1010005,Turdus philomelos,Song Thrush,David Darrell-Lambert,United Kingdom,2025-06-27,07:00,32,A,song,field recording,yes,[],32000,https://xeno-canto.org/1010005,https://xeno-canto.org/1010005/download,
647776,Turdus philomelos,Song Thrush,Irish Wildlife Sounds,Ireland,2021-04-11,10:00,31,A,alarm call,field recording,no,[],44100,https://xeno-canto.org/647776,https://xeno-canto.org/647776/download,
626598,Turdus philomelos,Song Thrush,Will Scott,United Kingdom,2021-03-05,02:44,2,A,"flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/626598,https://xeno-canto.org/626598/download,
597567,Turdus philomelos,Song Thrush,Paul Parry,United Kingdom,2020-07-25,15:00,40,A,song,field recording,no,[],44100,https://xeno-canto.org/597567,https://xeno-canto.org/597567/download,
543872,Turdus philomelos,Song Thrush,Peter Stronach,United Kingdom,2020-03-26,18:00,26,A,song,field recording,yes,[],48000,https://xeno-canto.org/543872,https://xeno-canto.org/543872/download,
459983,Turdus philomelos,Song Thrush,Anthony McGeehan ,Ireland,2019-02-28,08:00,51,A,song,field recording,yes,[],48000,https://xeno-canto.org/459983,https://xeno-canto.org/459983/download,
309714,Turdus philomelos,Song Thrush,Marc Anderson,United Kingdom,2016-03-30,18:00,10,A,song,field recording,yes,[],48000,https://xeno-canto.org/309714,https://xeno-canto.org/309714/download,
309713,Turdus philomelos,Song Thrush,Marc Anderson,United Kingdom,2016-03-30,18:00,15,A,song,field recording,yes,[],48000,https://xeno-canto.org/309713,https://xeno-canto.org/309713/download,
255239,Turdus philomelos,Song Thrush,Anthony McGeehan ,Ireland,2015-06-11,17:30,55,A,call,field recording,yes,[],44100,https://xeno-canto.org/255239,https://xeno-canto.org/255239/download,
