species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
tyto_alba,1089291,Tyto alba,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1089291.mp3,4.0,7.0,-27.056466584955636,-27.264467966685135,species,Tyto alba,Barn Owl,0.9999008178710938,0.9999008178710938,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/tyto_alba/XC1089291__s4000__e7000.wav,
tyto_alba,1089078,Tyto alba,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1089078.mp3,4.0,7.0,-35.57928672007964,-39.44850217931773,species,Tyto alba,Barn Owl,0.9996216297149658,0.9996216297149658,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/tyto_alba/XC1089078__s4000__e7000.wav,
tyto_alba,1086822,Tyto alba,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1086822.mp3,1.0,4.0,-38.947948508121364,-38.947948508121364,species,Tyto alba,Barn Owl,0.9998781681060791,0.9998781681060791,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/tyto_alba/XC1086822__s1000__e4000.wav,
tyto_alba,1073103,Tyto alba,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1073103.mp3,1.0,4.0,-32.601315229131075,-32.601315229131075,species,Tyto alba,Barn Owl,0.901404857635498,0.901404857635498,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/tyto_alba/XC1073103__s1000__e4000.wav,
tyto_alba,1054166,Tyto alba,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1054166.mp3,1.0,4.0,-38.12707427952256,-38.446560098057226,species,Tyto alba,Barn Owl,0.9863386750221252,0.9863386750221252,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/tyto_alba/XC1054166__s1000__e4000.wav,
tyto_alba,1054165,Tyto alba,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1054165.mp3,25.0,28.0,-41.46605745164589,-40.0,species,Tyto alba,Barn Owl,0.9994902610778809,0.9994902610778809,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/tyto_alba/XC1054165__s25000__e28000.wav,
tyto_alba,1054164,Tyto alba,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1054164.mp3,1.0,4.0,-21.484413110457808,-21.493942173148902,species,Tyto alba,Barn Owl,0.9956566095352173,0.9956566095352173,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/tyto_alba/XC1054164__s1000__e4000.wav,
tyto_alba,1054164,Tyto alba,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1054164.mp3,4.0,7.0,-21.47992594889626,-21.493942173148902,species,Tyto alba,Barn Owl,0.9998987913131714,0.9998987913131714,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/tyto_alba/XC1054164__s4000__e7000.wav,
tyto_alba,1054164,Tyto alba,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1054164.mp3,7.0,10.0,-21.492466799199587,-21.493942173148902,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/tyto_alba/XC1054164__s7000__e10000.wav,
tyto_alba,1054164,Tyto alba,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1054164.mp3,13.0,16.0,-21.489169145600833,-21.493942173148902,species,Tyto alba,Barn Owl,0.4251156449317932,0.4251156449317932,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/tyto_alba/XC1054164__s13000__e16000.wav,
tyto_alba,1054164,Tyto alba,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1054164.mp3,16.0,19.0,-21.4909714823865,-21.493942173148902,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/tyto_alba/XC1054164__s16000__e19000.wav,
tyto_alba,1053321,Tyto alba,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1053321.mp3,1.0,4.0,-18.88547582361738,-18.88547582361738,species,Tyto alba,Barn Owl,0.9905855059623718,0.9905855059623718,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/tyto_alba/XC1053321__s1000__e4000.wav,
tyto_alba,1046309,Tyto alba,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1046309.mp3,1.0,4.0,-44.55285328006233,-40.0,species,Tyto alba,Barn Owl,0.8672138452529907,0.8672138452529907,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/tyto_alba/XC1046309__s1000__e4000.wav,
tyto_alba,1045968,Tyto alba,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1045968.mp3,4.0,7.0,-36.392992354363884,-37.310068808281386,species,Tyto alba,Barn Owl,0.9320472478866577,0.9320472478866577,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/tyto_alba/XC1045968__s4000__e7000.wav,
tyto_alba,1043646,Tyto alba,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1043646.mp3,1.0,4.0,-39.28875716176554,-39.28875716176554,species,Tyto alba,Barn Owl,0.9984803795814514,0.9984803795814514,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/tyto_alba/XC1043646__s1000__e4000.wav,
tyto_alba,1043109,Tyto alba,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1043109.mp3,4.0,7.0,-40.98105909890539,-40.0,species,Tyto alba,Barn Owl,0.9993997812271118,0.9993997812271118,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/tyto_alba/XC1043109__s4000__e7000.wav,
tyto_alba,1039759,Tyto alba,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1039759.mp3,4.0,7.0,-41.689616233104616,-40.0,drop,Engine,Engine,0.2764294743537903,0.2764294743537903,drop,0,,,
tyto_alba,1028061,Tyto alba,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1028061.mp3,1.0,4.0,-47.45412004440463,-40.0,species,Tyto alba,Barn Owl,0.9940005540847778,0.9940005540847778,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/species/tyto_alba/XC1028061__s1000__e4000.wav,
tyto_alba,1026992,Tyto alba,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1026992.mp3,1.0,4.0,-39.35598738424602,-40.0,drop,Tyto alba,Barn Owl,0.15540862083435059,0.15540862083435059,drop,0,,,
tyto_alba,1026992,Tyto alba,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1026992.mp3,4.0,7.0,-38.561471039797894,-40.0,drop,Tyto alba,Barn Owl,0.14973045885562897,0.14973045885562897,drop,0,,,
tyto_alba,1026992,Tyto alba,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1026992.mp3,7.0,10.0,-34.625272578571,-40.0,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/clips/non_bird/tyto_alba/XC1026992__s7000__e10000.wav,
