xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1089291,Tyto alba,Western Barn Owl,Mark James Pearson,United Kingdom,2026-03-05,19:07,9,A,"call, flight call, nocturnal flight call",field recording,no,[],48000,https://xeno-canto.org/1089291,https://xeno-canto.org/1089291/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1089291.mp3
1089078,Tyto alba,Western Barn Owl,Mark James Pearson,United Kingdom,2026-03-18,03:48,8,A,,field recording,no,[],44100,https://xeno-canto.org/1089078,https://xeno-canto.org/1089078/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1089078.mp3
1086822,Tyto alba,Western Barn Owl,David Tattersley,United Kingdom,2026-03-10,02:06,6,A,nocturnal flight call,field recording,no,[],48000,https://xeno-canto.org/1086822,https://xeno-canto.org/1086822/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1086822.mp3
1073103,Tyto alba,Western Barn Owl,Mark Pearson,United Kingdom,2026-01-16,22:15,4,A,"call, flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/1073103,https://xeno-canto.org/1073103/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1073103.mp3
1054166,Tyto alba,Western Barn Owl,David Darrell-Lambert,United Kingdom,2024-04-05,21:00,7,A,call,field recording,yes,[],48000,https://xeno-canto.org/1054166,https://xeno-canto.org/1054166/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1054166.mp3
1054165,Tyto alba,Western Barn Owl,David Darrell-Lambert,United Kingdom,2021-03-20,21:00,48,A,call,field recording,yes,[],24000,https://xeno-canto.org/1054165,https://xeno-canto.org/1054165/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1054165.mp3
1054164,Tyto alba,Western Barn Owl,David Darrell-Lambert,United Kingdom,2021-03-20,21:00,27,A,call,field recording,yes,[],24000,https://xeno-canto.org/1054164,https://xeno-canto.org/1054164/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1054164.mp3
1053321,Tyto alba,Western Barn Owl,James P,United Kingdom,2025-11-08,22:41,5,A,"call, flight call, nocturnal flight call",field recording,yes,[],44100,https://xeno-canto.org/1053321,https://xeno-canto.org/1053321/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1053321.mp3
1046309,Tyto alba,Western Barn Owl,Mark Pearson,United Kingdom,2025-10-07,23:20,7,A,"call, flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/1046309,https://xeno-canto.org/1046309/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1046309.mp3
1045968,Tyto alba,Western Barn Owl,John Sirrett,United Kingdom,2025-09-23,00:35,8,A,"nocturnal flight call, anthropogenic noise band",field recording,no,[],24000,https://xeno-canto.org/1045968,https://xeno-canto.org/1045968/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1045968.mp3
1043646,Tyto alba,Western Barn Owl,Paul Kelly,Ireland,2025-09-20,20:30,5,A,"call, nocturnal flight call, Ocean",field recording,no,[],24000,https://xeno-canto.org/1043646,https://xeno-canto.org/1043646/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1043646.mp3
1043109,Tyto alba,Western Barn Owl,David Tattersley,United Kingdom,2025-09-26,01:03,9,A,nocturnal flight call,field recording,no,[],48000,https://xeno-canto.org/1043109,https://xeno-canto.org/1043109/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1043109.mp3
1039759,Tyto alba,Western Barn Owl,Paul Kelly,Ireland,2025-09-04,22:30,8,A,call,field recording,no,[],44100,https://xeno-canto.org/1039759,https://xeno-canto.org/1039759/download,/Users/justyna-przy/Projects/ISE/FYP/src/bird_data/raw/tyto_alba/XC1039759.mp3
