species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
accipiter_nisus,1015215,Accipiter nisus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\accipiter_nisus\XC1015215.mp3,1.0,4.0,-90.11908306594418,-40.0,non_bird,,,0.0,0.0,non_bird,1.0,nonbird_lowconf,bird_data\clips\non_bird\accipiter_nisus\XC1015215__s1000__e4000.wav,
accipiter_nisus,1015212,Accipiter nisus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\accipiter_nisus\XC1015212.mp3,1.0,4.0,-82.10892584271042,-40.0,non_bird,,,0.0,0.0,non_bird,1.0,nonbird_lowconf,bird_data\clips\non_bird\accipiter_nisus\XC1015212__s1000__e4000.wav,
accipiter_nisus,726430,Accipiter nisus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\accipiter_nisus\XC726430.mp3,4.0,7.0,-27.77540342581596,-31.686434619543853,drop,Accipiter nisus,Eurasian Sparrowhawk,0.18919651210308075,0.18919651210308075,drop,0.0,,,
accipiter_nisus,916789,Accipiter nisus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\accipiter_nisus\XC916789.mp3,1.0,4.0,-35.780162606384884,-35.780162606384884,species,Accipiter nisus,Eurasian Sparrowhawk,0.9552043080329895,0.9552043080329895,species,1.0,rand_species,bird_data\clips\species\accipiter_nisus\XC916789__s1000__e4000.wav,
accipiter_nisus,1024301,Accipiter nisus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\accipiter_nisus\XC1024301.mp3,1.0,4.0,-25.47208876415048,-26.809048856238153,species,Accipiter nisus,Eurasian Sparrowhawk,0.9824892282485962,0.9824892282485962,species,1.0,rand_species,bird_data\clips\species\accipiter_nisus\XC1024301__s1000__e4000.wav,
accipiter_nisus,1024301,Accipiter nisus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\accipiter_nisus\XC1024301.mp3,4.0,7.0,-26.214005961067354,-26.809048856238153,non_bird,,,0.0,0.0,non_bird,1.0,nonbird_lowconf,bird_data\clips\non_bird\accipiter_nisus\XC1024301__s4000__e7000.wav,
accipiter_nisus,1024301,Accipiter nisus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\accipiter_nisus\XC1024301.mp3,10.0,13.0,-24.86076034373386,-26.809048856238153,non_bird,,,0.0,0.0,non_bird,1.0,nonbird_lowconf,bird_data\clips\non_bird\accipiter_nisus\XC1024301__s10000__e13000.wav,
accipiter_nisus,1024301,Accipiter nisus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\accipiter_nisus\XC1024301.mp3,13.0,16.0,-25.91395143694863,-26.809048856238153,non_bird,,,0.0,0.0,non_bird,0.0,,,
accipiter_nisus,1024301,Accipiter nisus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\accipiter_nisus\XC1024301.mp3,16.0,19.0,-26.3840753222561,-26.809048856238153,species,Accipiter nisus,Eurasian Sparrowhawk,0.9848690032958984,0.9848690032958984,species,1.0,rand_species,bird_data\clips\species\accipiter_nisus\XC1024301__s16000__e19000.wav,
accipiter_nisus,741322,Accipiter nisus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\accipiter_nisus\XC741322.mp3,9.0,12.0,-35.05329973261525,-36.587244238705075,species,Accipiter nisus,Eurasian Sparrowhawk,0.9857333898544312,0.9857333898544312,species,0.0,,,
