xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1071299,Accipiter nisus,Eurasian Sparrowhawk,Denis Dujardin,France,2026-01-06,11:30,5,A,call,field recording,no,[],48000,https://xeno-canto.org/1071299,https://xeno-canto.org/1071299/download,src/dataset/bird_data/raw/accipiter_nisus/XC1071299.mp3
1015215,Accipiter nisus,Eurasian Sparrowhawk,David Darrell-Lambert,United Kingdom,2015-03-28,06:30,4,B,call,field recording,yes,[],44100,https://xeno-canto.org/1015215,https://xeno-canto.org/1015215/download,src/dataset/bird_data/raw/accipiter_nisus/XC1015215.mp3
1015212,Accipiter nisus,Eurasian Sparrowhawk,David Darrell-Lambert,United Kingdom,2015-04-18,07:30,6,B,call,field recording,yes,[],44100,https://xeno-canto.org/1015212,https://xeno-canto.org/1015212/download,src/dataset/bird_data/raw/accipiter_nisus/XC1015212.mp3
726430,Accipiter nisus,Eurasian Sparrowhawk,Dean McDonnell,Ireland,2021-05-10,08:00,9,A,call,field recording,no,[],44100,https://xeno-canto.org/726430,https://xeno-canto.org/726430/download,src/dataset/bird_data/raw/accipiter_nisus/XC726430.mp3
916789,Accipiter nisus,Eurasian Sparrowhawk,Andrew Harrop,United Kingdom,2024-06-25,13:30,5,A,"alarm call, call",field recording,yes,[],44100,https://xeno-canto.org/916789,https://xeno-canto.org/916789/download,src/dataset/bird_data/raw/accipiter_nisus/XC916789.mp3
1024301,Accipiter nisus,Eurasian Sparrowhawk,David Darrell-Lambert,United Kingdom,2025-07-30,07:00,26,A,call,field recording,yes,[],32000,https://xeno-canto.org/1024301,https://xeno-canto.org/1024301/download,src/dataset/bird_data/raw/accipiter_nisus/XC1024301.mp3
741322,Accipiter nisus,Eurasian Sparrowhawk,Dean McDonnell,United Kingdom,2022-08-01,14:00,35,A,"begging call, call",field recording,no,[],44100,https://xeno-canto.org/741322,https://xeno-canto.org/741322/download,src/dataset/bird_data/raw/accipiter_nisus/XC741322.mp3
1053258,Accipiter nisus,Eurasian Sparrowhawk,Denis Dujardin,France,2025-09-14,10:00,11,A,call,field recording,yes,[],48000,https://xeno-canto.org/1053258,https://xeno-canto.org/1053258/download,src/dataset/bird_data/raw/accipiter_nisus/XC1053258.mp3
755238,Accipiter nisus,Eurasian Sparrowhawk,Mark Newsome,United Kingdom,2022-10-10,21:00,5,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/755238,https://xeno-canto.org/755238/download,src/dataset/bird_data/raw/accipiter_nisus/XC755238.mp3
685295,Accipiter nisus,Eurasian Sparrowhawk,Jorge Leitão,Portugal,2021-11-06,12:20,17,A,"call, uncertain, conflict call with a blackbird",field recording,yes,"[""Turdus merula""]",44100,https://xeno-canto.org/685295,https://xeno-canto.org/685295/download,src/dataset/bird_data/raw/accipiter_nisus/XC685295.mp3
309270,Accipiter nisus,Eurasian Sparrowhawk,Marc Anderson,Spain,2016-03-24,09:00,13,A,call,field recording,no,[],48000,https://xeno-canto.org/309270,https://xeno-canto.org/309270/download,src/dataset/bird_data/raw/accipiter_nisus/XC309270.mp3
