xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1015215,Accipiter nisus,Eurasian Sparrowhawk,David Darrell-Lambert,United Kingdom,2015-03-28,06:30,4,B,call,field recording,yes,[],44100,https://xeno-canto.org/1015215,https://xeno-canto.org/1015215/download,
1015212,Accipiter nisus,Eurasian Sparrowhawk,David Darrell-Lambert,United Kingdom,2015-04-18,07:30,6,B,call,field recording,yes,[],44100,https://xeno-canto.org/1015212,https://xeno-canto.org/1015212/download,
726430,Accipiter nisus,Eurasian Sparrowhawk,Dean McDonnell,Ireland,2021-05-10,08:00,9,A,call,field recording,no,[],44100,https://xeno-canto.org/726430,https://xeno-canto.org/726430/download,
916789,Accipiter nisus,Eurasian Sparrowhawk,Andrew Harrop,United Kingdom,2024-06-25,13:30,5,A,"alarm call, call",field recording,yes,[],44100,https://xeno-canto.org/916789,https://xeno-canto.org/916789/download,
1024301,Accipiter nisus,Eurasian Sparrowhawk,David Darrell-Lambert,United Kingdom,2025-07-30,07:00,26,A,call,field recording,yes,[],32000,https://xeno-canto.org/1024301,https://xeno-canto.org/1024301/download,
741322,Accipiter nisus,Eurasian Sparrowhawk,Dean McDonnell,United Kingdom,2022-08-01,14:00,35,A,"begging call, call",field recording,no,[],44100,https://xeno-canto.org/741322,https://xeno-canto.org/741322/download,
1053258,Accipiter nisus,Eurasian Sparrowhawk,Denis Dujardin,France,2025-09-14,10:00,11,A,call,field recording,yes,[],48000,https://xeno-canto.org/1053258,https://xeno-canto.org/1053258/download,
755238,Accipiter nisus,Eurasian Sparrowhawk,Mark Newsome,United Kingdom,2022-10-10,21:00,5,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/755238,https://xeno-canto.org/755238/download,
685295,Accipiter nisus,Eurasian Sparrowhawk,Jorge Leitão,Portugal,2021-11-06,12:20,17,A,"call, uncertain, conflict call with a blackbird",field recording,yes,"[""Turdus merula""]",44100,https://xeno-canto.org/685295,https://xeno-canto.org/685295/download,
309270,Accipiter nisus,Eurasian Sparrowhawk,Marc Anderson,Spain,2016-03-24,09:00,13,A,call,field recording,no,[],48000,https://xeno-canto.org/309270,https://xeno-canto.org/309270/download,
1015210,Accipiter nisus,Eurasian Sparrowhawk,David Darrell-Lambert,United Kingdom,2015-04-18,07:30,5,B,call,field recording,yes,[],44100,https://xeno-canto.org/1015210,https://xeno-canto.org/1015210/download,
1015214,Accipiter nisus,Eurasian Sparrowhawk,David Darrell-Lambert,United Kingdom,2022-05-12,06:30,5,B,call,field recording,yes,[],48000,https://xeno-canto.org/1015214,https://xeno-canto.org/1015214/download,
589046,Accipiter nisus,Eurasian Sparrowhawk,Simon Elliott,United Kingdom,1991-06-23,06:30,43,A,heartbeat,field recording,yes,[],44100,https://xeno-canto.org/589046,https://xeno-canto.org/589046/download,
1024300,Accipiter nisus,Eurasian Sparrowhawk,David Darrell-Lambert,United Kingdom,2025-07-30,07:00,35,A,call,field recording,yes,[],32000,https://xeno-canto.org/1024300,https://xeno-canto.org/1024300/download,
589050,Accipiter nisus,Eurasian Sparrowhawk,Simon Elliott,United Kingdom,1993-08-14,06:30,38,A,flight call,field recording,yes,"[""Columba palumbus""]",44100,https://xeno-canto.org/589050,https://xeno-canto.org/589050/download,
828277,Accipiter nisus,Eurasian Sparrowhawk,Lars Edenius,Sweden,2023-09-09,07:00,16,B,call,field recording,yes,[],48000,https://xeno-canto.org/828277,https://xeno-canto.org/828277/download,
394618,Accipiter nisus,Eurasian Sparrowhawk,Frank Roos,Netherlands,2015-10-20,13:30,49,A,begging call,field recording,no,[],44100,https://xeno-canto.org/394618,https://xeno-canto.org/394618/download,
291663,Accipiter nisus,Eurasian Sparrowhawk,Sebastian Weigand,Germany,2015-11-22,15:30,32,B,alarm call,field recording,yes,[],44100,https://xeno-canto.org/291663,https://xeno-canto.org/291663/download,
309239,Accipiter nisus,Eurasian Sparrowhawk,Marc Anderson,Spain,2016-03-24,09:00,10,A,call,field recording,no,[],48000,https://xeno-canto.org/309239,https://xeno-canto.org/309239/download,
894734,Accipiter nisus,Eurasian Sparrowhawk,Jorge Leitão,Portugal,2024-04-09,11:50,7,A,call,field recording,yes,[],44100,https://xeno-canto.org/894734,https://xeno-canto.org/894734/download,
721201,Accipiter nisus,Eurasian Sparrowhawk,Franz Lindinger,Germany,2022-05-02,10:00,12,A,song,field recording,yes,[],44100,https://xeno-canto.org/721201,https://xeno-canto.org/721201/download,
589043,Accipiter nisus,Eurasian Sparrowhawk,Simon Elliott,United Kingdom,1991-06-23,05:00,15,A,"begging call, hatchling or nestling",field recording,yes,[],44100,https://xeno-canto.org/589043,https://xeno-canto.org/589043/download,
1015208,Accipiter nisus,Eurasian Sparrowhawk,David Darrell-Lambert,United Kingdom,2020-07-25,07:30,6,A,call,field recording,yes,[],48000,https://xeno-canto.org/1015208,https://xeno-canto.org/1015208/download,
1028394,Accipiter nisus,Eurasian Sparrowhawk,Paul Bate,United Kingdom,2025-08-12,14:50,27,B,begging call,field recording,yes,"[""Columba palumbus""]",44100,https://xeno-canto.org/1028394,https://xeno-canto.org/1028394/download,
676982,Accipiter nisus,Eurasian Sparrowhawk,Bodo Sonnenburg,Germany,2021-09-27,12:50,8,B,call,field recording,yes,"[""Fringilla coelebs"", ""Corvus corax""]",48000,https://xeno-canto.org/676982,https://xeno-canto.org/676982/download,
839424,Accipiter nisus,Eurasian Sparrowhawk,Corentin Rivière,France,2022-10-20,18:30,8,B,alarm call,field recording,yes,[],48000,https://xeno-canto.org/839424,https://xeno-canto.org/839424/download,
983633,Accipiter nisus,Eurasian Sparrowhawk,SonoNatura,Spain,2025-03-26,14:00,10,B,song,field recording,no,[],44100,https://xeno-canto.org/983633,https://xeno-canto.org/983633/download,
718339,Accipiter nisus,Eurasian Sparrowhawk,Chèvremont Fabian,Belgium,2022-04-17,10:30,8,A,flight call,field recording,unknown,[],44100,https://xeno-canto.org/718339,https://xeno-canto.org/718339/download,
909903,Accipiter nisus,Eurasian Sparrowhawk,Claus Rüffler,Sweden,2024-05-02,08:00,27,B,alarm call,field recording,no,"[""Troglodytes troglodytes""]",44100,https://xeno-canto.org/909903,https://xeno-canto.org/909903/download,
916788,Accipiter nisus,Eurasian Sparrowhawk,Andrew Harrop,United Kingdom,2024-06-25,13:30,3,B,"alarm call, call",field recording,yes,[],44100,https://xeno-canto.org/916788,https://xeno-canto.org/916788/download,
1015207,Accipiter nisus,Eurasian Sparrowhawk,David Darrell-Lambert,United Kingdom,2020-07-25,07:30,11,A,call,field recording,yes,[],48000,https://xeno-canto.org/1015207,https://xeno-canto.org/1015207/download,
821439,Accipiter nisus,Eurasian Sparrowhawk,Stuart Fisher,United Kingdom,2023-08-04,10:00,7,B,"begging call, call",field recording,yes,"[""Corvus corone"", ""Periparus ater""]",44100,https://xeno-canto.org/821439,https://xeno-canto.org/821439/download,
87380,Accipiter nisus,Eurasian Sparrowhawk,Matthias Feuersenger,Portugal,2011-09-03,1045,54,B,"call, calls",field recording,no,[],44100,https://xeno-canto.org/87380,https://xeno-canto.org/87380/download,
536878,Accipiter nisus,Eurasian Sparrowhawk,Regina Eidner,Germany,2020-03-17,11:50,5,B,call,field recording,yes,[],48000,https://xeno-canto.org/536878,https://xeno-canto.org/536878/download,
381225,Accipiter nisus,Eurasian Sparrowhawk,Romuald Mikusek,Poland,2017-04-20,15:00,51,A,"alarm call, call",field recording,no,"[""Fringilla coelebs"", ""Periparus ater""]",44100,https://xeno-canto.org/381225,https://xeno-canto.org/381225/download,
725463,Accipiter nisus,Eurasian Sparrowhawk,Dimitri,Italy,2022-05-19,13:00,23,B,alarm call,field recording,yes,[],48000,https://xeno-canto.org/725463,https://xeno-canto.org/725463/download,
420205,Accipiter nisus,Eurasian Sparrowhawk,Jarek Matusiak,Poland,2018-06-11,18:00,35,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/420205,https://xeno-canto.org/420205/download,
1015205,Accipiter nisus,Eurasian Sparrowhawk,David Darrell-Lambert,United Kingdom,2020-07-25,07:30,37,A,call,field recording,yes,[],48000,https://xeno-canto.org/1015205,https://xeno-canto.org/1015205/download,
330073,Accipiter nisus,Eurasian Sparrowhawk,Anthony McGeehan ,Ireland,2016-08-02,14:00,19,B,call,field recording,no,[],44100,https://xeno-canto.org/330073,https://xeno-canto.org/330073/download,
360834,Accipiter nisus,Eurasian Sparrowhawk,Annette Hamann,Germany,2017-03-22,08:00,4,B,"alarm call, call",field recording,yes,"[""Emberiza citrinella"", ""Garrulus glandarius""]",44100,https://xeno-canto.org/360834,https://xeno-canto.org/360834/download,
986416,Accipiter nisus,Eurasian Sparrowhawk,René Heinrich,Germany,2025-04-06,15:00,9,B,,field recording,yes,[],44100,https://xeno-canto.org/986416,https://xeno-canto.org/986416/download,
589410,Accipiter nisus,Eurasian Sparrowhawk,Romuald Mikusek,Poland,2020-05-25,5:30,5,B,call,field recording,no,"[""Regulus ignicapilla"", ""Ficedula parva"", ""Erithacus rubecula""]",24000,https://xeno-canto.org/589410,https://xeno-canto.org/589410/download,
197389,Accipiter nisus,Eurasian Sparrowhawk,Patrik Åberg,Sweden,2014-06-26,19:27,58,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/197389,https://xeno-canto.org/197389/download,
738943,Accipiter nisus,Eurasian Sparrowhawk,Dean McDonnell,Ireland,2022-07-10,12:00,4,A,call,field recording,no,[],44100,https://xeno-canto.org/738943,https://xeno-canto.org/738943/download,
37237,Accipiter nisus,Eurasian Sparrowhawk,Stuart Fisher,United Kingdom,2009-08-01,08:20,35,B,"call, calls of a juvenile",field recording,unknown,"[""Troglodytes troglodytes"", ""Accipiter nisus""]",44100,https://xeno-canto.org/37237,https://xeno-canto.org/37237/download,
