species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
aegithalos_caudatus,1078573,Aegithalos caudatus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/aegithalos_caudatus/XC1078573.mp3,6.0,9.0,-30.55084341707365,-36.96308005296338,drop,Turdus philomelos,Song Thrush,0.9357863664627075,0.9357863664627075,drop,0,,,
aegithalos_caudatus,1078573,Aegithalos caudatus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/aegithalos_caudatus/XC1078573.mp3,12.0,15.0,-34.5493870891464,-36.96308005296338,drop,Turdus philomelos,Song Thrush,0.7646019458770752,0.7646019458770752,drop,0,,,
aegithalos_caudatus,1078573,Aegithalos caudatus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/aegithalos_caudatus/XC1078573.mp3,15.0,18.0,-29.113997458327855,-36.96308005296338,drop,Turdus philomelos,Song Thrush,0.9506722092628479,0.9506722092628479,drop,0,,,
aegithalos_caudatus,1078573,Aegithalos caudatus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/aegithalos_caudatus/XC1078573.mp3,24.0,27.0,-28.177698827577608,-36.96308005296338,drop,Turdus philomelos,Song Thrush,0.9852111339569092,0.9852111339569092,drop,0,,,
aegithalos_caudatus,1078573,Aegithalos caudatus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/aegithalos_caudatus/XC1078573.mp3,27.0,30.0,-28.506454712548184,-36.96308005296338,drop,Turdus philomelos,Song Thrush,0.977873682975769,0.977873682975769,drop,0,,,
aegithalos_caudatus,1078573,Aegithalos caudatus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/aegithalos_caudatus/XC1078573.mp3,30.0,33.0,-29.729570534448566,-36.96308005296338,drop,Turdus philomelos,Song Thrush,0.995639443397522,0.995639443397522,drop,0,,,
aegithalos_caudatus,1078553,Aegithalos caudatus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/aegithalos_caudatus/XC1078553.mp3,4.0,7.0,-23.0746162244508,-29.383717488122322,species,Aegithalos caudatus,Long-tailed Tit,0.9549685716629028,0.9549685716629028,species,0,,,
aegithalos_caudatus,1078553,Aegithalos caudatus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/aegithalos_caudatus/XC1078553.mp3,10.0,13.0,-20.451001876066503,-29.383717488122322,species,Aegithalos caudatus,Long-tailed Tit,0.9789968729019165,0.9789968729019165,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/aegithalos_caudatus/XC1078553__s10000__e13000.wav,
aegithalos_caudatus,1078553,Aegithalos caudatus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/aegithalos_caudatus/XC1078553.mp3,13.0,16.0,-27.405167705988983,-29.383717488122322,drop,Regulus regulus,Goldcrest,0.15904487669467926,0.15904487669467926,drop,0,,,
aegithalos_caudatus,1078553,Aegithalos caudatus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/aegithalos_caudatus/XC1078553.mp3,16.0,19.0,-26.35499004909429,-29.383717488122322,species,Aegithalos caudatus,Long-tailed Tit,0.9956834316253662,0.9956834316253662,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/aegithalos_caudatus/XC1078553__s16000__e19000.wav,
