xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
863698,Aegithalos caudatus,Long-tailed Tit,Paul Kelly,Ireland,2024-01-13,08:00,19,B,call,field recording,no,"[""Cygnus cygnus"", ""Numenius arquata"", ""Panurus biarmicus""]",44100,https://xeno-canto.org/863698,https://xeno-canto.org/863698/download,bird_data\raw\aegithalos_caudatus\XC863698.mp3
972501,Aegithalos caudatus,Long-tailed Tit,David Darrell-Lambert,United Kingdom,2025-02-09,11:00,51,B,call,field recording,yes,[],48000,https://xeno-canto.org/972501,https://xeno-canto.org/972501/download,bird_data\raw\aegithalos_caudatus\XC972501.mp3
985191,Aegithalos caudatus,Long-tailed Tit,David Darrell-Lambert,United Kingdom,2024-03-20,18:30,40,B,alarm call,field recording,yes,[],48000,https://xeno-canto.org/985191,https://xeno-canto.org/985191/download,bird_data\raw\aegithalos_caudatus\XC985191.mp3
901932,Aegithalos caudatus,Long-tailed Tit,Agris Celmins,United Kingdom,2024-04-20,06:25,20,B,call,field recording,no,"[""Turdus merula"", ""Corvus corone""]",44100,https://xeno-canto.org/901932,https://xeno-canto.org/901932/download,bird_data\raw\aegithalos_caudatus\XC901932.mp3
994207,Aegithalos caudatus,Long-tailed Tit,Andrew Harrop,United Kingdom,2025-05-03,09:30,7,B,"alarm call, call",field recording,yes,[],44100,https://xeno-canto.org/994207,https://xeno-canto.org/994207/download,bird_data\raw\aegithalos_caudatus\XC994207.mp3
1031115,Aegithalos caudatus,Long-tailed Tit,Meena Haribal,United Kingdom,2025-06-26,14:00,47,B,call,field recording,yes,[],44100,https://xeno-canto.org/1031115,https://xeno-canto.org/1031115/download,bird_data\raw\aegithalos_caudatus\XC1031115.mp3
1014625,Aegithalos caudatus,Long-tailed Tit,David Darrell-Lambert,United Kingdom,2025-07-09,12:00,20,B,call,field recording,yes,[],32000,https://xeno-canto.org/1014625,https://xeno-canto.org/1014625/download,bird_data\raw\aegithalos_caudatus\XC1014625.mp3
671218,Aegithalos caudatus,Long-tailed Tit,Lee Alder,United Kingdom,2021-08-28,09:22,24,B,call,field recording,no,[],48000,https://xeno-canto.org/671218,https://xeno-canto.org/671218/download,bird_data\raw\aegithalos_caudatus\XC671218.mp3
987361,Aegithalos caudatus,Long-tailed Tit,David Darrell-Lambert,United Kingdom,2024-09-14,07:30,37,B,call,field recording,yes,[],44100,https://xeno-canto.org/987361,https://xeno-canto.org/987361/download,bird_data\raw\aegithalos_caudatus\XC987361.mp3
1052213,Aegithalos caudatus,Long-tailed Tit,Paul Kelly,Ireland,2025-10-29,07:00,42,B,call,field recording,no,[],44100,https://xeno-canto.org/1052213,https://xeno-canto.org/1052213/download,bird_data\raw\aegithalos_caudatus\XC1052213.mp3
1065097,Aegithalos caudatus,Long-tailed Tit,Paul Driver,United Kingdom,2025-11-26,08:00,39,B,call,field recording,yes,[],48000,https://xeno-canto.org/1065097,https://xeno-canto.org/1065097/download,bird_data\raw\aegithalos_caudatus\XC1065097.mp3
959898,Aegithalos caudatus,Long-tailed Tit,Paul Kelly,Ireland,2024-12-29,08:00,24,B,call,field recording,no,"[""Rallus aquaticus""]",44100,https://xeno-canto.org/959898,https://xeno-canto.org/959898/download,bird_data\raw\aegithalos_caudatus\XC959898.mp3
861889,Aegithalos caudatus,Long-tailed Tit,Paul Kelly,Ireland,2024-01-14,16:00,52,B,call,field recording,no,"[""Turdus philomelos""]",44100,https://xeno-canto.org/861889,https://xeno-canto.org/861889/download,bird_data\raw\aegithalos_caudatus\XC861889.mp3
972082,Aegithalos caudatus,Long-tailed Tit,David Darrell-Lambert,United Kingdom,2025-02-08,11:00,54,B,call,field recording,yes,[],48000,https://xeno-canto.org/972082,https://xeno-canto.org/972082/download,bird_data\raw\aegithalos_caudatus\XC972082.mp3
983674,Aegithalos caudatus,Long-tailed Tit,Paul Driver,United Kingdom,2025-03-11,10:18,27,B,call,field recording,yes,[],48000,https://xeno-canto.org/983674,https://xeno-canto.org/983674/download,bird_data\raw\aegithalos_caudatus\XC983674.mp3
572439,Aegithalos caudatus,Long-tailed Tit,Simon Elliott,United Kingdom,2020-04-25,10:00,19,B,"begging call, song, bubbling song & begging call of incubating female, ",field recording,yes,"[""Columba palumbus""]",44100,https://xeno-canto.org/572439,https://xeno-canto.org/572439/download,bird_data\raw\aegithalos_caudatus\XC572439.mp3
572450,Aegithalos caudatus,Long-tailed Tit,Simon Elliott,United Kingdom,2020-05-12,06:00,36,B,"begging call, hatchling or nestling",field recording,yes,"[""Coloeus monedula""]",44100,https://xeno-canto.org/572450,https://xeno-canto.org/572450/download,bird_data\raw\aegithalos_caudatus\XC572450.mp3
810822,Aegithalos caudatus,Long-tailed Tit,Paul Driver,United Kingdom,2023-06-16,07:15,20,B,call,field recording,yes,[],48000,https://xeno-canto.org/810822,https://xeno-canto.org/810822/download,bird_data\raw\aegithalos_caudatus\XC810822.mp3
921515,Aegithalos caudatus,Long-tailed Tit,Paul Driver,United Kingdom,2024-07-09,08:25,24,B,call,field recording,yes,[],44100,https://xeno-canto.org/921515,https://xeno-canto.org/921515/download,bird_data\raw\aegithalos_caudatus\XC921515.mp3
191397,Aegithalos caudatus,Long-tailed Tit,Oscar Campbell,United Kingdom,2014-08-05,16:30,46,B,call,field recording,yes,[],44100,https://xeno-canto.org/191397,https://xeno-canto.org/191397/download,bird_data\raw\aegithalos_caudatus\XC191397.mp3
675658,Aegithalos caudatus,Long-tailed Tit,Lee Alder,United Kingdom,2021-09-11,12:43,58,B,call,field recording,no,[],48000,https://xeno-canto.org/675658,https://xeno-canto.org/675658/download,bird_data\raw\aegithalos_caudatus\XC675658.mp3
1051386,Aegithalos caudatus,Long-tailed Tit,Paul Kelly,Ireland,2025-10-16,17:30,51,B,call,field recording,no,[],24000,https://xeno-canto.org/1051386,https://xeno-canto.org/1051386/download,bird_data\raw\aegithalos_caudatus\XC1051386.mp3
1065095,Aegithalos caudatus,Long-tailed Tit,Paul Driver,United Kingdom,2025-11-26,08:53,26,B,call,field recording,yes,[],48000,https://xeno-canto.org/1065095,https://xeno-canto.org/1065095/download,bird_data\raw\aegithalos_caudatus\XC1065095.mp3
956861,Aegithalos caudatus,Long-tailed Tit,Mark Plummer,United Kingdom,2024-12-19,01:56,26,B,"alarm call, call, flight call",field recording,no,[],48000,https://xeno-canto.org/956861,https://xeno-canto.org/956861/download,bird_data\raw\aegithalos_caudatus\XC956861.mp3
858903,Aegithalos caudatus,Long-tailed Tit,S P Milligan,United Kingdom,2024-01-01,15:30,24,B,"call, contact call",field recording,yes,[],44100,https://xeno-canto.org/858903,https://xeno-canto.org/858903/download,bird_data\raw\aegithalos_caudatus\XC858903.mp3
402049,Aegithalos caudatus,Long-tailed Tit,Chris Batty,United Kingdom,2018-02-07,11:30,18,B,call,field recording,yes,[],22050,https://xeno-canto.org/402049,https://xeno-canto.org/402049/download,bird_data\raw\aegithalos_caudatus\XC402049.mp3
977037,Aegithalos caudatus,Long-tailed Tit,David Darrell-Lambert,United Kingdom,2025-03-01,13:30,44,B,song,field recording,yes,"[""Cyanistes caeruleus""]",32000,https://xeno-canto.org/977037,https://xeno-canto.org/977037/download,bird_data\raw\aegithalos_caudatus\XC977037.mp3
572437,Aegithalos caudatus,Long-tailed Tit,Simon Elliott,United Kingdom,2020-04-25,10:00,34,B,"begging call, song, bubbling song & begging call of incubating female, ",field recording,yes,"[""Troglodytes troglodytes""]",44100,https://xeno-canto.org/572437,https://xeno-canto.org/572437/download,bird_data\raw\aegithalos_caudatus\XC572437.mp3
572444,Aegithalos caudatus,Long-tailed Tit,Simon Elliott,United Kingdom,2020-05-08,06:00,27,B,"begging call, hatchling or nestling",field recording,yes,"[""Columba palumbus"", ""Corvus corone"", ""Corvus frugilegus""]",44100,https://xeno-canto.org/572444,https://xeno-canto.org/572444/download,bird_data\raw\aegithalos_caudatus\XC572444.mp3
809346,Aegithalos caudatus,Long-tailed Tit,Anthony McGeehan ,United Kingdom,2023-06-06,07:00,38,B,call,field recording,yes,[],48000,https://xeno-canto.org/809346,https://xeno-canto.org/809346/download,bird_data\raw\aegithalos_caudatus\XC809346.mp3
582340,Aegithalos caudatus,Long-tailed Tit,Oscar Campbell,United Kingdom,2020-07-15,09:00,42,B,call,field recording,yes,[],44100,https://xeno-canto.org/582340,https://xeno-canto.org/582340/download,bird_data\raw\aegithalos_caudatus\XC582340.mp3
1040681,Aegithalos caudatus,Long-tailed Tit,Vincent Pourchaire,France,2025-08-04,07:30,13,B,call,field recording,no,[],48000,https://xeno-canto.org/1040681,https://xeno-canto.org/1040681/download,bird_data\raw\aegithalos_caudatus\XC1040681.mp3
673444,Aegithalos caudatus,Long-tailed Tit,John Sirrett,United Kingdom,2021-09-10,07:30,5,B,"alarm call, call, anthropogenic",field recording,no,[],48000,https://xeno-canto.org/673444,https://xeno-canto.org/673444/download,bird_data\raw\aegithalos_caudatus\XC673444.mp3
839245,Aegithalos caudatus,Long-tailed Tit,Simon Elliott,United Kingdom,2023-10-29,12:30,56,B,call,field recording,yes,[],44100,https://xeno-canto.org/839245,https://xeno-canto.org/839245/download,bird_data\raw\aegithalos_caudatus\XC839245.mp3
1065083,Aegithalos caudatus,Long-tailed Tit,Paul Driver,United Kingdom,2025-11-13,08:55,43,B,call,field recording,yes,[],44100,https://xeno-canto.org/1065083,https://xeno-canto.org/1065083/download,bird_data\raw\aegithalos_caudatus\XC1065083.mp3
956849,Aegithalos caudatus,Long-tailed Tit,Paul Driver,United Kingdom,2024-12-27,09:06,37,B,call,field recording,yes,[],44100,https://xeno-canto.org/956849,https://xeno-canto.org/956849/download,bird_data\raw\aegithalos_caudatus\XC956849.mp3
777848,Aegithalos caudatus,Long-tailed Tit,Fraser Simpson,United Kingdom,2023-01-29,09:00,55,B,"alarm call, call",field recording,yes,[],44100,https://xeno-canto.org/777848,https://xeno-canto.org/777848/download,bird_data\raw\aegithalos_caudatus\XC777848.mp3
973579,Aegithalos caudatus,Long-tailed Tit,Esteban Vilboux,France,2025-02-16,09:00,35,A,call,in the hand,yes,[],48000,https://xeno-canto.org/973579,https://xeno-canto.org/973579/download,bird_data\raw\aegithalos_caudatus\XC973579.mp3
884848,Aegithalos caudatus,Long-tailed Tit,Paul Driver,United Kingdom,2024-03-16,08:39,36,B,call,field recording,yes,"[""Cyanistes caeruleus"", ""Turdus philomelos""]",48000,https://xeno-canto.org/884848,https://xeno-canto.org/884848/download,bird_data\raw\aegithalos_caudatus\XC884848.mp3
572436,Aegithalos caudatus,Long-tailed Tit,Simon Elliott,United Kingdom,2020-04-25,10:00,27,B,"begging call, song, bubbling song & begging call of incubating female, ",field recording,yes,[],44100,https://xeno-canto.org/572436,https://xeno-canto.org/572436/download,bird_data\raw\aegithalos_caudatus\XC572436.mp3
315498,Aegithalos caudatus,Long-tailed Tit,iSpiny,United Kingdom,2016-05-08,15:45,8,B,alarm call,field recording,yes,[],44100,https://xeno-canto.org/315498,https://xeno-canto.org/315498/download,bird_data\raw\aegithalos_caudatus\XC315498.mp3
731719,Aegithalos caudatus,Long-tailed Tit,Simon Roddis,United Kingdom,2022-06-13,06:30,40,B,alarm call,field recording,yes,"[""Columba palumbus"", ""Turdus philomelos"", ""Chroicocephalus ridibundus"", ""Troglodytes troglodytes"", ""Phylloscopus collybita""]",44100,https://xeno-canto.org/731719,https://xeno-canto.org/731719/download,bird_data\raw\aegithalos_caudatus\XC731719.mp3
327179,Aegithalos caudatus,Long-tailed Tit,Bram Piot,United Kingdom,2016-07-14,18:00,42,B,call,field recording,yes,"[""Columba palumbus"", ""Turdus philomelos"", ""Carduelis carduelis""]",44100,https://xeno-canto.org/327179,https://xeno-canto.org/327179/download,bird_data\raw\aegithalos_caudatus\XC327179.mp3
926750,Aegithalos caudatus,Long-tailed Tit,Lars Edenius,Sweden,2024-08-10,07:00,29,B,call,field recording,no,[],44100,https://xeno-canto.org/926750,https://xeno-canto.org/926750/download,bird_data\raw\aegithalos_caudatus\XC926750.mp3
592958,Aegithalos caudatus,Long-tailed Tit,Arjun Dutta,United Kingdom,2020-09-27,07:25,17,B,call,field recording,no,[],44100,https://xeno-canto.org/592958,https://xeno-canto.org/592958/download,bird_data\raw\aegithalos_caudatus\XC592958.mp3
838142,Aegithalos caudatus,Long-tailed Tit,David Pennington,United Kingdom,2023-10-25,15:31,31,B,call,field recording,yes,[],48000,https://xeno-canto.org/838142,https://xeno-canto.org/838142/download,bird_data\raw\aegithalos_caudatus\XC838142.mp3
1063015,Aegithalos caudatus,Long-tailed Tit,Paul Kelly,Ireland,2025-11-27,16:30,27,B,call,field recording,no,[],24000,https://xeno-canto.org/1063015,https://xeno-canto.org/1063015/download,bird_data\raw\aegithalos_caudatus\XC1063015.mp3
778166,Aegithalos caudatus,Long-tailed Tit,Paul Driver,United Kingdom,2016-12-13,10:40,14,B,call,field recording,yes,[],44100,https://xeno-canto.org/778166,https://xeno-canto.org/778166/download,bird_data\raw\aegithalos_caudatus\XC778166.mp3
706855,Aegithalos caudatus,Long-tailed Tit,Irish Wildlife Sounds,Ireland,2022-01-24,08:30,49,B,call,field recording,yes,[],44100,https://xeno-canto.org/706855,https://xeno-canto.org/706855/download,bird_data\raw\aegithalos_caudatus\XC706855.mp3
704310,Aegithalos caudatus,Long-tailed Tit,Elias A. Ryberg,Norway,2022-02-25,11:37,33,A,"call, song",field recording,yes,"[""Periparus ater""]",48000,https://xeno-canto.org/704310,https://xeno-canto.org/704310/download,bird_data\raw\aegithalos_caudatus\XC704310.mp3
706376,Aegithalos caudatus,Long-tailed Tit,Paul Archer,Ireland,2022-03-04,14:00,44,B,call,field recording,yes,[],48000,https://xeno-canto.org/706376,https://xeno-canto.org/706376/download,bird_data\raw\aegithalos_caudatus\XC706376.mp3
447592,Aegithalos caudatus,Long-tailed Tit,David Darrell-Lambert,United Kingdom,2017-04-21,11:00,34,B,call,field recording,yes,[],48000,https://xeno-canto.org/447592,https://xeno-canto.org/447592/download,bird_data\raw\aegithalos_caudatus\XC447592.mp3
198231,Aegithalos caudatus,Long-tailed Tit,david m,United Kingdom,2011-05-14,07:07,48,B,call,field recording,yes,[],48000,https://xeno-canto.org/198231,https://xeno-canto.org/198231/download,bird_data\raw\aegithalos_caudatus\XC198231.mp3
423114,Aegithalos caudatus,Long-tailed Tit,brickegickel,United Kingdom,2018-06-25,13:00,11,B,call,field recording,yes,[],44100,https://xeno-canto.org/423114,https://xeno-canto.org/423114/download,bird_data\raw\aegithalos_caudatus\XC423114.mp3
314921,Aegithalos caudatus,Long-tailed Tit,iSpiny,United Kingdom,2015-07-03,13:13,10,B,"call, song",field recording,unknown,[],44100,https://xeno-canto.org/314921,https://xeno-canto.org/314921/download,bird_data\raw\aegithalos_caudatus\XC314921.mp3
845709,Aegithalos caudatus,Long-tailed Tit,Marcin Sołowiej,Poland,2023-08-31,08:30,10,B,call,field recording,yes,[],48000,https://xeno-canto.org/845709,https://xeno-canto.org/845709/download,bird_data\raw\aegithalos_caudatus\XC845709.mp3
1045039,Aegithalos caudatus,Long-tailed Tit,Lars Edenius,Sweden,2025-09-30,07:30,34,A,call,field recording,no,"[""Pyrrhula pyrrhula""]",44100,https://xeno-canto.org/1045039,https://xeno-canto.org/1045039/download,bird_data\raw\aegithalos_caudatus\XC1045039.mp3
788312,Aegithalos caudatus,Long-tailed Tit,Mark Lewis,United Kingdom,2017-10-11,10:00,34,B,call,field recording,yes,[],44100,https://xeno-canto.org/788312,https://xeno-canto.org/788312/download,bird_data\raw\aegithalos_caudatus\XC788312.mp3
1063014,Aegithalos caudatus,Long-tailed Tit,Paul Kelly,Ireland,2025-11-27,16:30,17,B,call,field recording,no,[],24000,https://xeno-canto.org/1063014,https://xeno-canto.org/1063014/download,bird_data\raw\aegithalos_caudatus\XC1063014.mp3
610869,Aegithalos caudatus,Long-tailed Tit,Ramya,United Kingdom,2020-12-22,09:00,19,B,"call, song",field recording,yes,[],44100,https://xeno-canto.org/610869,https://xeno-canto.org/610869/download,bird_data\raw\aegithalos_caudatus\XC610869.mp3
698871,Aegithalos caudatus,Long-tailed Tit,Paul Kelly,Ireland,2022-01-19,09:00,43,B,call,field recording,no,[],24000,https://xeno-canto.org/698871,https://xeno-canto.org/698871/download,bird_data\raw\aegithalos_caudatus\XC698871.mp3
531109,Aegithalos caudatus,Long-tailed Tit,Jarek Matusiak,Germany,2020-02-19,06:00,31,A,call,field recording,yes,"[""Certhia familiaris""]",32000,https://xeno-canto.org/531109,https://xeno-canto.org/531109/download,bird_data\raw\aegithalos_caudatus\XC531109.mp3
705606,Aegithalos caudatus,Long-tailed Tit,Paul Kelly,Ireland,2022-03-02,16:00,21,B,call,field recording,yes,[],48000,https://xeno-canto.org/705606,https://xeno-canto.org/705606/download,bird_data\raw\aegithalos_caudatus\XC705606.mp3
409285,Aegithalos caudatus,Long-tailed Tit,Marc Anderson,United Kingdom,2018-04-05,17:00,13,B,call,field recording,yes,[],48000,https://xeno-canto.org/409285,https://xeno-canto.org/409285/download,bird_data\raw\aegithalos_caudatus\XC409285.mp3
188590,Aegithalos caudatus,Long-tailed Tit,david m,United Kingdom,2014-05-03,07:58,31,B,call,field recording,yes,"[""Alauda arvensis""]",48000,https://xeno-canto.org/188590,https://xeno-canto.org/188590/download,bird_data\raw\aegithalos_caudatus\XC188590.mp3
348046,Aegithalos caudatus,Long-tailed Tit,Tero Linjama,Finland,2015-06-05,06:30,10,A,call,field recording,yes,[],48000,https://xeno-canto.org/348046,https://xeno-canto.org/348046/download,bird_data\raw\aegithalos_caudatus\XC348046.mp3
394143,Aegithalos caudatus,Long-tailed Tit,Marco Dragonetti,Italy,2016-07-01,19:00,51,A,call,field recording,yes,[],48000,https://xeno-canto.org/394143,https://xeno-canto.org/394143/download,bird_data\raw\aegithalos_caudatus\XC394143.mp3
825212,Aegithalos caudatus,Long-tailed Tit,Penegal,France,2023-08-24,08:00,4,B,uncertain,in the hand,no,[],48000,https://xeno-canto.org/825212,https://xeno-canto.org/825212/download,bird_data\raw\aegithalos_caudatus\XC825212.mp3
951577,Aegithalos caudatus,Long-tailed Tit,Jarek Matusiak,Poland,2024-09-19,12:00,5,A,"alarm call, call",field recording,yes,"[""Parus major""]",32000,https://xeno-canto.org/951577,https://xeno-canto.org/951577/download,bird_data\raw\aegithalos_caudatus\XC951577.mp3
788308,Aegithalos caudatus,Long-tailed Tit,Mark Lewis,United Kingdom,2017-10-11,10:00,34,B,call,field recording,yes,[],44100,https://xeno-canto.org/788308,https://xeno-canto.org/788308/download,bird_data\raw\aegithalos_caudatus\XC788308.mp3
692824,Aegithalos caudatus,Long-tailed Tit,Irish Wildlife Sounds,Ireland,2021-11-23,11:00,30,B,call,field recording,yes,[],44100,https://xeno-canto.org/692824,https://xeno-canto.org/692824/download,bird_data\raw\aegithalos_caudatus\XC692824.mp3
608607,Aegithalos caudatus,Long-tailed Tit,Simon Elliott,United Kingdom,2020-12-13,08:00,33,B,call,field recording,yes,"[""Anser anser""]",48000,https://xeno-canto.org/608607,https://xeno-canto.org/608607/download,bird_data\raw\aegithalos_caudatus\XC608607.mp3
698005,Aegithalos caudatus,Long-tailed Tit,Andrew Edwards,United Kingdom,2022-01-20,16:00,30,B,call,field recording,yes,[],44100,https://xeno-canto.org/698005,https://xeno-canto.org/698005/download,bird_data\raw\aegithalos_caudatus\XC698005.mp3
