xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
706762,Alcedo atthis,Common Kingfisher,Irish Wildlife Sounds,Ireland,2022-01-27,08:00,28,A,flight call,field recording,no,[],44100,https://xeno-canto.org/706762,https://xeno-canto.org/706762/download,
213554,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2015-02-15,09:00,16,A,call,field recording,no,"[""Regulus regulus""]",44100,https://xeno-canto.org/213554,https://xeno-canto.org/213554/download,
1059565,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2015-03-10,09:30,9,A,call,field recording,yes,[],44100,https://xeno-canto.org/1059565,https://xeno-canto.org/1059565/download,
1059567,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2009-04-26,09:30,6,A,call,field recording,yes,[],44100,https://xeno-canto.org/1059567,https://xeno-canto.org/1059567/download,
1059566,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2014-05-03,09:30,5,A,call,field recording,yes,[],96000,https://xeno-canto.org/1059566,https://xeno-canto.org/1059566/download,
1059623,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2020-06-12,10:00,33,A,call,field recording,yes,[],48000,https://xeno-canto.org/1059623,https://xeno-canto.org/1059623/download,
928954,Alcedo atthis,Common Kingfisher,Thomas Coldwell,United Kingdom,2024-07-26,08:50,29,A,"call, duet",field recording,yes,"[""Cyanistes caeruleus""]",44100,https://xeno-canto.org/928954,https://xeno-canto.org/928954/download,
822282,Alcedo atthis,Common Kingfisher,Simon Elliott,United Kingdom,2023-08-12,05:40,10,A,call,field recording,no,"[""Columba palumbus""]",48000,https://xeno-canto.org/822282,https://xeno-canto.org/822282/download,
686764,Alcedo atthis,Common Kingfisher,Irish Wildlife Sounds,Ireland,2021-09-23,07:00,13,A,flight call,field recording,no,[],44100,https://xeno-canto.org/686764,https://xeno-canto.org/686764/download,
625505,Alcedo atthis,Common Kingfisher,Nikolay Sariev,United Kingdom,2020-10-15,16:02,24,A,flight call,field recording,yes,"[""Cygnus olor"", ""Coloeus monedula"", ""Anas platyrhynchos""]",48000,https://xeno-canto.org/625505,https://xeno-canto.org/625505/download,
686539,Alcedo atthis,Common Kingfisher,Simon Elliott,United Kingdom,2021-11-14,07:00,21,A,call,field recording,yes,"[""Anser anser"", ""Mergus merganser""]",48000,https://xeno-canto.org/686539,https://xeno-canto.org/686539/download,
774427,Alcedo atthis,Common Kingfisher,Irish Wildlife Sounds,Ireland,2022-12-01,08:00,16,A,flight call,field recording,no,[],44100,https://xeno-canto.org/774427,https://xeno-canto.org/774427/download,
775757,Alcedo atthis,Common Kingfisher,Paul Kelly,Ireland,2023-01-14,10:30,28,B,alarm call,field recording,yes,"[""Turdus philomelos"", ""Anas crecca""]",44100,https://xeno-canto.org/775757,https://xeno-canto.org/775757/download,
971627,Alcedo atthis,Common Kingfisher,Paul Kelly,Ireland,2025-02-02,17:00,6,B,"call, Farm machinery.",field recording,no,[],44100,https://xeno-canto.org/971627,https://xeno-canto.org/971627/download,
1059564,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2015-03-10,09:30,7,A,call,field recording,yes,[],44100,https://xeno-canto.org/1059564,https://xeno-canto.org/1059564/download,
985852,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2024-04-22,07:30,4,A,call,field recording,yes,[],48000,https://xeno-canto.org/985852,https://xeno-canto.org/985852/download,
1059557,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2022-05-09,07:30,3,A,call,field recording,yes,[],48000,https://xeno-canto.org/1059557,https://xeno-canto.org/1059557/download,
1059621,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2020-06-12,10:00,33,B,call,field recording,yes,[],48000,https://xeno-canto.org/1059621,https://xeno-canto.org/1059621/download,
744605,Alcedo atthis,Common Kingfisher,Irish Wildlife Sounds,Ireland,2022-07-07,07:00,12,A,song,field recording,no,[],44100,https://xeno-canto.org/744605,https://xeno-canto.org/744605/download,
822281,Alcedo atthis,Common Kingfisher,Simon Elliott,United Kingdom,2023-08-12,05:30,18,A,call,field recording,no,"[""Columba palumbus""]",48000,https://xeno-canto.org/822281,https://xeno-canto.org/822281/download,
686763,Alcedo atthis,Common Kingfisher,Irish Wildlife Sounds,Ireland,2021-09-07,07:00,9,A,flight call,field recording,no,[],44100,https://xeno-canto.org/686763,https://xeno-canto.org/686763/download,
595416,Alcedo atthis,Common Kingfisher,Nikolay Sariev,United Kingdom,2020-10-15,14:09,4,A,flight call,field recording,yes,"[""Branta canadensis"", ""Corvus corone""]",48000,https://xeno-canto.org/595416,https://xeno-canto.org/595416/download,
447354,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2016-11-11,12:30,3,A,call,field recording,yes,[],48000,https://xeno-canto.org/447354,https://xeno-canto.org/447354/download,
771375,Alcedo atthis,Common Kingfisher,Paul Kelly,Ireland,2022-12-25,16:00,7,B,flight call,field recording,yes,[],48000,https://xeno-canto.org/771375,https://xeno-canto.org/771375/download,
618166,Alcedo atthis,Common Kingfisher,Irish Wildlife Sounds,Ireland,2021-01-09,07:00,12,B,flight call,field recording,no,[],44100,https://xeno-canto.org/618166,https://xeno-canto.org/618166/download,
468537,Alcedo atthis,Common Kingfisher,Alexander Henderson,United Kingdom,2019-02-19,08:11,21,B,flight call,field recording,yes,"[""Turdus philomelos"", ""Turdus merula"", ""Corvus corone"", ""Parus major"", ""Anas crecca""]",44100,https://xeno-canto.org/468537,https://xeno-canto.org/468537/download,
1059563,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2015-03-10,09:30,7,A,call,field recording,yes,[],44100,https://xeno-canto.org/1059563,https://xeno-canto.org/1059563/download,
794984,Alcedo atthis,Common Kingfisher,Simon Elliott,United Kingdom,2023-04-17,07:30,41,A,call,field recording,yes,"[""Anser anser""]",48000,https://xeno-canto.org/794984,https://xeno-canto.org/794984/download,
368882,Alcedo atthis,Common Kingfisher,GABRIEL LEITE,United Kingdom,2017-05-11,07:30,10,B,flight call,field recording,yes,[],48000,https://xeno-canto.org/368882,https://xeno-canto.org/368882/download,
807503,Alcedo atthis,Common Kingfisher,SonoNatura,Spain,2023-06-06,08:30,52,A,call,field recording,no,[],48000,https://xeno-canto.org/807503,https://xeno-canto.org/807503/download,
744600,Alcedo atthis,Common Kingfisher,Irish Wildlife Sounds,Ireland,2022-07-21,07:00,11,A,flight call,field recording,no,[],44100,https://xeno-canto.org/744600,https://xeno-canto.org/744600/download,
749399,Alcedo atthis,Common Kingfisher,Irish Wildlife Sounds,Ireland,2022-08-21,07:00,13,A,song,field recording,no,[],44100,https://xeno-canto.org/749399,https://xeno-canto.org/749399/download,
686762,Alcedo atthis,Common Kingfisher,Irish Wildlife Sounds,Ireland,2021-09-03,07:00,25,A,flight call,field recording,no,[],44100,https://xeno-canto.org/686762,https://xeno-canto.org/686762/download,
388944,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2017-10-08,07:00,9,A,call,field recording,no,[],48000,https://xeno-canto.org/388944,https://xeno-canto.org/388944/download,
1059555,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2017-11-09,08:00,6,B,call,field recording,yes,[],48000,https://xeno-canto.org/1059555,https://xeno-canto.org/1059555/download,
765883,Alcedo atthis,Common Kingfisher,Andrew Harrop,United Kingdom,2022-12-06,12:30,6,B,"alarm call, flight call",field recording,yes,[],44100,https://xeno-canto.org/765883,https://xeno-canto.org/765883/download,
1074728,Alcedo atthis,Common Kingfisher,Pere Josa,Spain,2026-01-15,09:30,19,A,call,field recording,no,[],44100,https://xeno-canto.org/1074728,https://xeno-canto.org/1074728/download,
878138,Alcedo atthis,Common Kingfisher,Susanne Kuijpers,Netherlands,2024-02-27,00:00,4,A,"flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/878138,https://xeno-canto.org/878138/download,
1059562,Alcedo atthis,Common Kingfisher,David Darrell-Lambert,United Kingdom,2015-03-28,09:30,9,A,call,field recording,yes,[],44100,https://xeno-canto.org/1059562,https://xeno-canto.org/1059562/download,
794983,Alcedo atthis,Common Kingfisher,Simon Elliott,United Kingdom,2023-04-17,07:30,5,A,call,field recording,yes,[],48000,https://xeno-canto.org/794983,https://xeno-canto.org/794983/download,
368881,Alcedo atthis,Common Kingfisher,GABRIEL LEITE,United Kingdom,2017-05-11,07:30,6,B,flight call,field recording,yes,[],48000,https://xeno-canto.org/368881,https://xeno-canto.org/368881/download,
731994,Alcedo atthis,Common Kingfisher,Marc Anderson,Sweden,2022-06-06,04:30,16,A,call,field recording,no,[],44100,https://xeno-canto.org/731994,https://xeno-canto.org/731994/download,
425999,Alcedo atthis,Common Kingfisher,Ashley Saunders,United Kingdom,2018-07-18,12:30,17,A,begging call,field recording,yes,[],44100,https://xeno-canto.org/425999,https://xeno-canto.org/425999/download,
749398,Alcedo atthis,Common Kingfisher,Irish Wildlife Sounds,Ireland,2022-08-27,01:51,4,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/749398,https://xeno-canto.org/749398/download,
686761,Alcedo atthis,Common Kingfisher,Irish Wildlife Sounds,Ireland,2021-09-02,07:00,29,A,flight call,field recording,no,[],44100,https://xeno-canto.org/686761,https://xeno-canto.org/686761/download,
1052367,Alcedo atthis,Common Kingfisher,Paul Kelly,Ireland,2025-10-29,16:30,9,B,"call, flight call",field recording,no,[],44100,https://xeno-canto.org/1052367,https://xeno-canto.org/1052367/download,
