xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1062382,Anthus pratensis,Meadow Pipit,Jorge Leitão,Portugal,2025-12-02,09:03,25,A,call,field recording,yes,[],44100,https://xeno-canto.org/1062382,https://xeno-canto.org/1062382/download,
1043369,Anthus pratensis,Meadow Pipit,Ulf Elman,Sweden,2025-09-27,07:31,40,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/1043369,https://xeno-canto.org/1043369/download,
1035153,Anthus pratensis,Meadow Pipit,Lars Edenius,Sweden,2025-08-30,08:00,49,A,flight call,field recording,no,[],44100,https://xeno-canto.org/1035153,https://xeno-canto.org/1035153/download,
947654,Anthus pratensis,Meadow Pipit,Jarek Matusiak,Poland,2024-11-08,12:00,27,A,"call, flight call",field recording,yes,[],32000,https://xeno-canto.org/947654,https://xeno-canto.org/947654/download,
905203,Anthus pratensis,Meadow Pipit,Azens,United Kingdom,2024-05-20,05:47,52,A,"call, flight call",field recording,yes,"[""Columba palumbus"", ""Phylloscopus trochilus"", ""Turdus philomelos"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/905203,https://xeno-canto.org/905203/download,
872473,Anthus pratensis,Meadow Pipit,Mats Olsson,Sweden,2020-07-15,08:30,20,A,alarm call,field recording,yes,"[""Thalasseus sandvicensis""]",44100,https://xeno-canto.org/872473,https://xeno-canto.org/872473/download,
837668,Anthus pratensis,Meadow Pipit,Paul Kelly,Ireland,2023-10-16,07:00,10,A,call,field recording,no,[],44100,https://xeno-canto.org/837668,https://xeno-canto.org/837668/download,
788055,Anthus pratensis,Meadow Pipit,Twan Mols,Netherlands,2022-05-28,09:00,59,A,song,field recording,yes,[],44100,https://xeno-canto.org/788055,https://xeno-canto.org/788055/download,
666827,Anthus pratensis,Meadow Pipit,Irish Wildlife Sounds,Ireland,2021-05-29,13:00,33,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/666827,https://xeno-canto.org/666827/download,
664576,Anthus pratensis,Meadow Pipit,Thomas Bergman,Sweden,2021-07-17,10:08,46,A,"alarm call, call, flight call",field recording,yes,[],48000,https://xeno-canto.org/664576,https://xeno-canto.org/664576/download,
637708,Anthus pratensis,Meadow Pipit,Peter Boesman,Belgium,2021-04-09,08:30,35,A,call,field recording,unknown,[],44100,https://xeno-canto.org/637708,https://xeno-canto.org/637708/download,
597234,Anthus pratensis,Meadow Pipit,Peter Boesman,Belgium,2020-10-23,09:45,28,A,flight call,field recording,unknown,[],44100,https://xeno-canto.org/597234,https://xeno-canto.org/597234/download,
595971,Anthus pratensis,Meadow Pipit,Simon Elliott,United Kingdom,1997-06-09,12:00,17,A,call,field recording,yes,[],44100,https://xeno-canto.org/595971,https://xeno-canto.org/595971/download,
595970,Anthus pratensis,Meadow Pipit,Simon Elliott,United Kingdom,1997-06-09,12:00,9,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/595970,https://xeno-canto.org/595970/download,
595969,Anthus pratensis,Meadow Pipit,Simon Elliott,United Kingdom,2009-06-12,20:30,47,A,alarm call,field recording,yes,"[""Turdus philomelos"", ""Anthus trivialis""]",48000,https://xeno-canto.org/595969,https://xeno-canto.org/595969/download,
