xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
614195,Anthus pratensis,Meadow Pipit,Calum Mckellar,United Kingdom,2021-01-10,08:40,20,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/614195,https://xeno-canto.org/614195/download,
1078556,Anthus pratensis,Meadow Pipit,David Darrell-Lambert,United Kingdom,2026-02-08,13:00,8,B,flight call,field recording,yes,[],48000,https://xeno-canto.org/1078556,https://xeno-canto.org/1078556/download,
1077169,Anthus pratensis,Meadow Pipit,David Darrell-Lambert,United Kingdom,2014-03-12,?,26,B,singing,field recording,yes,[],96000,https://xeno-canto.org/1077169,https://xeno-canto.org/1077169/download,
1077171,Anthus pratensis,Meadow Pipit,David Darrell-Lambert,United Kingdom,2014-04-30,?,45,B,singing,field recording,yes,[],96000,https://xeno-canto.org/1077171,https://xeno-canto.org/1077171/download,
905203,Anthus pratensis,Meadow Pipit,Azens,United Kingdom,2024-05-20,05:47,52,A,"call, flight call",field recording,yes,"[""Columba palumbus"", ""Phylloscopus trochilus"", ""Turdus philomelos"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/905203,https://xeno-canto.org/905203/download,
595971,Anthus pratensis,Meadow Pipit,Simon Elliott,United Kingdom,1997-06-09,12:00,17,A,call,field recording,yes,[],44100,https://xeno-canto.org/595971,https://xeno-canto.org/595971/download,
582282,Anthus pratensis,Meadow Pipit,Oscar Campbell,Ireland,2020-07-11,08:00,37,A,"alarm call, flight call",field recording,yes,"[""Erithacus rubecula""]",44100,https://xeno-canto.org/582282,https://xeno-canto.org/582282/download,
1077099,Anthus pratensis,Meadow Pipit,David Darrell-Lambert,United Kingdom,2020-08-31,07:00,6,B,call,field recording,yes,[],48000,https://xeno-canto.org/1077099,https://xeno-canto.org/1077099/download,
1077114,Anthus pratensis,Meadow Pipit,David Darrell-Lambert,United Kingdom,2013-09-27,07:00,40,A,call,field recording,yes,[],96000,https://xeno-canto.org/1077114,https://xeno-canto.org/1077114/download,
837668,Anthus pratensis,Meadow Pipit,Paul Kelly,Ireland,2023-10-16,07:00,10,A,call,field recording,no,[],44100,https://xeno-canto.org/837668,https://xeno-canto.org/837668/download,
1077124,Anthus pratensis,Meadow Pipit,David Darrell-Lambert,United Kingdom,2016-11-11,?,13,A,call,field recording,yes,[],48000,https://xeno-canto.org/1077124,https://xeno-canto.org/1077124/download,
1077144,Anthus pratensis,Meadow Pipit,David Darrell-Lambert,United Kingdom,2021-12-07,?,34,B,call,field recording,yes,[],48000,https://xeno-canto.org/1077144,https://xeno-canto.org/1077144/download,
614083,Anthus pratensis,Meadow Pipit,Calum Mckellar,United Kingdom,2020-01-08,13:30,11,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/614083,https://xeno-canto.org/614083/download,
1077085,Anthus pratensis,Meadow Pipit,David Darrell-Lambert,United Kingdom,2012-02-05,07:00,7,B,call,field recording,yes,[],96000,https://xeno-canto.org/1077085,https://xeno-canto.org/1077085/download,
1077168,Anthus pratensis,Meadow Pipit,David Darrell-Lambert,United Kingdom,2014-03-12,?,42,B,singing,field recording,yes,[],96000,https://xeno-canto.org/1077168,https://xeno-canto.org/1077168/download,
1077170,Anthus pratensis,Meadow Pipit,David Darrell-Lambert,United Kingdom,2014-04-30,?,3,B,singing,field recording,yes,[],96000,https://xeno-canto.org/1077170,https://xeno-canto.org/1077170/download,
666827,Anthus pratensis,Meadow Pipit,Irish Wildlife Sounds,Ireland,2021-05-29,13:00,33,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/666827,https://xeno-canto.org/666827/download,
595970,Anthus pratensis,Meadow Pipit,Simon Elliott,United Kingdom,1997-06-09,12:00,9,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/595970,https://xeno-canto.org/595970/download,
860535,Anthus pratensis,Meadow Pipit,Anthony McGeehan ,United Kingdom,2021-07-14,07:00,38,B,song,field recording,yes,"[""Thalasseus sandvicensis"", ""Sterna paradisaea""]",48000,https://xeno-canto.org/860535,https://xeno-canto.org/860535/download,
687421,Anthus pratensis,Meadow Pipit,Irish Wildlife Sounds,Ireland,2021-08-26,07:00,49,B,flight call,field recording,no,[],44100,https://xeno-canto.org/687421,https://xeno-canto.org/687421/download,
1077164,Anthus pratensis,Meadow Pipit,David Darrell-Lambert,United Kingdom,2023-09-09,?,5,B,flight call,field recording,yes,[],48000,https://xeno-canto.org/1077164,https://xeno-canto.org/1077164/download,
1077133,Anthus pratensis,Meadow Pipit,David Darrell-Lambert,United Kingdom,2019-10-13,?,19,B,call,field recording,yes,[],48000,https://xeno-canto.org/1077133,https://xeno-canto.org/1077133/download,
1077151,Anthus pratensis,Meadow Pipit,David Darrell-Lambert,United Kingdom,2023-11-06,?,21,B,flight call,field recording,yes,[],48000,https://xeno-canto.org/1077151,https://xeno-canto.org/1077151/download,
1077101,Anthus pratensis,Meadow Pipit,David Darrell-Lambert,United Kingdom,2020-12-07,07:00,8,B,call,field recording,yes,[],48000,https://xeno-canto.org/1077101,https://xeno-canto.org/1077101/download,
1079059,Anthus pratensis,Meadow Pipit,Adrien Peillon,France,2026-01-31,15:25,7,A,"call, flight call",field recording,no,[],48000,https://xeno-canto.org/1079059,https://xeno-canto.org/1079059/download,
781824,Anthus pratensis,Meadow Pipit,Paul Kelly,Ireland,2023-02-12,09:30,15,B,flight call,field recording,no,[],44100,https://xeno-canto.org/781824,https://xeno-canto.org/781824/download,
1077154,Anthus pratensis,Meadow Pipit,David Darrell-Lambert,United Kingdom,2025-03-20,?,4,B,flight call,field recording,yes,[],32000,https://xeno-canto.org/1077154,https://xeno-canto.org/1077154/download,
986346,Anthus pratensis,Meadow Pipit,David Darrell-Lambert,United Kingdom,2025-04-07,18:00,7,B,"aberrant, song",field recording,yes,[],44100,https://xeno-canto.org/986346,https://xeno-canto.org/986346/download,
595965,Anthus pratensis,Meadow Pipit,Simon Elliott,United Kingdom,1990-05-20,08:00,54,A,song,field recording,yes,[],44100,https://xeno-canto.org/595965,https://xeno-canto.org/595965/download,
