species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
buteo_buteo,1077055,Buteo buteo,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/buteo_buteo/XC1077055.mp3,1.0,4.0,-47.19473017751055,-40.0,species,Buteo buteo,Common Buzzard,0.7766059041023254,0.7766059041023254,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/buteo_buteo/XC1077055__s1000__e4000.wav,
buteo_buteo,1002146,Buteo buteo,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/buteo_buteo/XC1002146.mp3,,,,,,,,,,drop,0,,,no_windows
buteo_buteo,778137,Buteo buteo,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/buteo_buteo/XC778137.mp3,1.0,4.0,-32.50588066865361,-40.0,species,Buteo buteo,Common Buzzard,0.989697277545929,0.989697277545929,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/buteo_buteo/XC778137__s1000__e4000.wav,
buteo_buteo,647788,Buteo buteo,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/buteo_buteo/XC647788.mp3,1.0,4.0,-24.30347006766276,-24.309873177084345,species,Buteo buteo,Common Buzzard,0.4631938934326172,0.4631938934326172,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/buteo_buteo/XC647788__s1000__e4000.wav,
buteo_buteo,647788,Buteo buteo,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/buteo_buteo/XC647788.mp3,7.0,10.0,-23.663798710689807,-24.309873177084345,drop,Ardea cinerea,Gray Heron,0.44158869981765747,0.44158869981765747,drop,0,,,
buteo_buteo,1011060,Buteo buteo,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/buteo_buteo/XC1011060.mp3,4.0,7.0,-50.43798734802966,-40.0,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/buteo_buteo/XC1011060__s4000__e7000.wav,
buteo_buteo,591122,Buteo buteo,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/buteo_buteo/XC591122.mp3,1.0,4.0,-39.091347928486826,-40.0,species,Buteo buteo,Common Buzzard,0.42122524976730347,0.42122524976730347,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/buteo_buteo/XC591122__s1000__e4000.wav,
buteo_buteo,591122,Buteo buteo,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/buteo_buteo/XC591122.mp3,7.0,10.0,-31.364640655016714,-40.0,species,Buteo buteo,Common Buzzard,0.9013479948043823,0.9013479948043823,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/buteo_buteo/XC591122__s7000__e10000.wav,
buteo_buteo,591122,Buteo buteo,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/buteo_buteo/XC591122.mp3,25.0,28.0,-30.589317545522437,-40.0,drop,Loxia curvirostra,Red Crossbill,0.5224239230155945,0.5224239230155945,drop,0,,,
buteo_buteo,1002997,Buteo buteo,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/buteo_buteo/XC1002997.mp3,1.0,4.0,-41.796859789498,-40.0,species,Buteo buteo,Common Buzzard,0.5413699746131897,0.5413699746131897,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/buteo_buteo/XC1002997__s1000__e4000.wav,
buteo_buteo,1031059,Buteo buteo,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/buteo_buteo/XC1031059.mp3,13.0,16.0,-45.2802371251941,-40.0,species,Buteo buteo,Common Buzzard,0.9238654971122742,0.9238654971122742,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/buteo_buteo/XC1031059__s13000__e16000.wav,
