xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1077055,Buteo buteo,Common Buzzard,Paul Kelly,Ireland,2026-01-31,17:00,10,A,"call, flight call",field recording,no,"[""Anas crecca""]",44100,https://xeno-canto.org/1077055,https://xeno-canto.org/1077055/download,src/dataset/bird_data/raw/buteo_buteo/XC1077055.mp3
1002146,Buteo buteo,Common Buzzard,David Darrell-Lambert,United Kingdom,2016-02-25,07:00,2,B,call,field recording,yes,[],48000,https://xeno-canto.org/1002146,https://xeno-canto.org/1002146/download,src/dataset/bird_data/raw/buteo_buteo/XC1002146.mp3
778137,Buteo buteo,Common Buzzard,Paul Driver,United Kingdom,2013-03-31,07:35,11,A,"call, pair",field recording,yes,[],44100,https://xeno-canto.org/778137,https://xeno-canto.org/778137/download,src/dataset/bird_data/raw/buteo_buteo/XC778137.mp3
647788,Buteo buteo,Common Buzzard,Irish Wildlife Sounds,Ireland,2021-04-12,10:00,10,A,"call, odd grunts",field recording,no,[],44100,https://xeno-canto.org/647788,https://xeno-canto.org/647788/download,src/dataset/bird_data/raw/buteo_buteo/XC647788.mp3
1011060,Buteo buteo,Common Buzzard,David Darrell-Lambert,United Kingdom,2008-05-30,07:00,10,A,call,field recording,yes,[],44100,https://xeno-canto.org/1011060,https://xeno-canto.org/1011060/download,src/dataset/bird_data/raw/buteo_buteo/XC1011060.mp3
591122,Buteo buteo,Common Buzzard,Simon Elliott,United Kingdom,2000-06-25,08:00,32,A,"call, hatchling or nestling",field recording,yes,[],48000,https://xeno-canto.org/591122,https://xeno-canto.org/591122/download,src/dataset/bird_data/raw/buteo_buteo/XC591122.mp3
1002997,Buteo buteo,Common Buzzard,David Darrell-Lambert,United Kingdom,2020-07-13,08:30,11,A,call,field recording,yes,[],48000,https://xeno-canto.org/1002997,https://xeno-canto.org/1002997/download,src/dataset/bird_data/raw/buteo_buteo/XC1002997.mp3
1031059,Buteo buteo,Common Buzzard,David Tattersley,United Kingdom,2025-08-20,05:59,35,A,begging call,field recording,no,[],48000,https://xeno-canto.org/1031059,https://xeno-canto.org/1031059/download,src/dataset/bird_data/raw/buteo_buteo/XC1031059.mp3
942851,Buteo buteo,Common Buzzard,Arjun Dutta,United Kingdom,2024-09-04,12:00,54,A,"call, flight call",field recording,yes,[],44100,https://xeno-canto.org/942851,https://xeno-canto.org/942851/download,src/dataset/bird_data/raw/buteo_buteo/XC942851.mp3
757395,Buteo buteo,Common Buzzard,Simon Elliott,United Kingdom,2022-10-23,07:30,2,B,flight call,field recording,yes,[],48000,https://xeno-canto.org/757395,https://xeno-canto.org/757395/download,src/dataset/bird_data/raw/buteo_buteo/XC757395.mp3
950013,Buteo buteo,Common Buzzard,Paul Kelly,Ireland,2024-11-11,17:00,9,A,flight call,field recording,no,[],44100,https://xeno-canto.org/950013,https://xeno-canto.org/950013/download,src/dataset/bird_data/raw/buteo_buteo/XC950013.mp3
