xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1076275,Carduelis carduelis,European Goldfinch,Andrew McCafferty,United Kingdom,2026-01-31,11:00,37,B,call,field recording,yes,"[""Fringilla coelebs""]",48000,https://xeno-canto.org/1076275,https://xeno-canto.org/1076275/download,src/dataset/bird_data/raw/carduelis_carduelis/XC1076275.mp3
1078548,Carduelis carduelis,European Goldfinch,David Darrell-Lambert,United Kingdom,2026-02-08,13:00,27,B,song,field recording,yes,[],48000,https://xeno-canto.org/1078548,https://xeno-canto.org/1078548/download,src/dataset/bird_data/raw/carduelis_carduelis/XC1078548.mp3
1052341,Carduelis carduelis,European Goldfinch,Lee Alder,United Kingdom,2025-03-03,15:23,51,A,"song, Traffic Noise, light aircraft, industrial noise",field recording,no,[],48000,https://xeno-canto.org/1052341,https://xeno-canto.org/1052341/download,src/dataset/bird_data/raw/carduelis_carduelis/XC1052341.mp3
1063754,Carduelis carduelis,European Goldfinch,Lee Alder,United Kingdom,2025-04-26,17:31,47,A,"song, industrial noise, human voices, dog barking",field recording,no,"[""Turdus philomelos"", ""Acrocephalus scirpaceus"", ""Turdus merula"", ""Coloeus monedula"", ""Phylloscopus collybita""]",48000,https://xeno-canto.org/1063754,https://xeno-canto.org/1063754/download,src/dataset/bird_data/raw/carduelis_carduelis/XC1063754.mp3
878546,Carduelis carduelis,European Goldfinch,Stuart Barker,United Kingdom,2023-05-17,06:34,12,A,song,field recording,no,[],48000,https://xeno-canto.org/878546,https://xeno-canto.org/878546/download,src/dataset/bird_data/raw/carduelis_carduelis/XC878546.mp3
1011150,Carduelis carduelis,European Goldfinch,Owen Selly,United Kingdom,2025-06-30,07:00,11,B,flight call,field recording,yes,"[""Sylvia atricapilla""]",48000,https://xeno-canto.org/1011150,https://xeno-canto.org/1011150/download,src/dataset/bird_data/raw/carduelis_carduelis/XC1011150.mp3
145542,Carduelis carduelis,European Goldfinch,Patrik Åberg,United Kingdom,2013-07-09,06:41,42,A,call,field recording,yes,[],44100,https://xeno-canto.org/145542,https://xeno-canto.org/145542/download,src/dataset/bird_data/raw/carduelis_carduelis/XC145542.mp3
1034264,Carduelis carduelis,European Goldfinch,Andrew Harrop,United Kingdom,2025-08-31,10:00,5,B,call,field recording,yes,[],44100,https://xeno-canto.org/1034264,https://xeno-canto.org/1034264/download,src/dataset/bird_data/raw/carduelis_carduelis/XC1034264.mp3
1044261,Carduelis carduelis,European Goldfinch,David Darrell-Lambert,United Kingdom,2025-09-30,11:00,24,B,"aberrant, call",field recording,yes,[],48000,https://xeno-canto.org/1044261,https://xeno-canto.org/1044261/download,src/dataset/bird_data/raw/carduelis_carduelis/XC1044261.mp3
839234,Carduelis carduelis,European Goldfinch,Andrew Harrop,United Kingdom,2023-10-29,09:00,4,B,call,field recording,yes,[],44100,https://xeno-canto.org/839234,https://xeno-canto.org/839234/download,src/dataset/bird_data/raw/carduelis_carduelis/XC839234.mp3
948693,Carduelis carduelis,European Goldfinch,Paul Kelly,Ireland,2024-11-09,07:30,14,B,call,field recording,no,[],44100,https://xeno-canto.org/948693,https://xeno-canto.org/948693/download,src/dataset/bird_data/raw/carduelis_carduelis/XC948693.mp3
767094,Carduelis carduelis,European Goldfinch,Will Scott,United Kingdom,2022-12-09,05:50,6,B,"flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/767094,https://xeno-canto.org/767094/download,src/dataset/bird_data/raw/carduelis_carduelis/XC767094.mp3
628760,Carduelis carduelis,European Goldfinch,Sean Morris,United Kingdom,2021-01-31,00:00,3,B,call,field recording,no,[],44100,https://xeno-canto.org/628760,https://xeno-canto.org/628760/download,src/dataset/bird_data/raw/carduelis_carduelis/XC628760.mp3
