xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1076275,Carduelis carduelis,European Goldfinch,Andrew McCafferty,United Kingdom,2026-01-31,11:00,37,B,call,field recording,yes,"[""Fringilla coelebs""]",48000,https://xeno-canto.org/1076275,https://xeno-canto.org/1076275/download,
1078548,Carduelis carduelis,European Goldfinch,David Darrell-Lambert,United Kingdom,2026-02-08,13:00,27,B,song,field recording,yes,[],48000,https://xeno-canto.org/1078548,https://xeno-canto.org/1078548/download,
1052341,Carduelis carduelis,European Goldfinch,Lee Alder,United Kingdom,2025-03-03,15:23,51,A,"song, Traffic Noise, light aircraft, industrial noise",field recording,no,[],48000,https://xeno-canto.org/1052341,https://xeno-canto.org/1052341/download,
1063754,Carduelis carduelis,European Goldfinch,Lee Alder,United Kingdom,2025-04-26,17:31,47,A,"song, industrial noise, human voices, dog barking",field recording,no,"[""Turdus philomelos"", ""Acrocephalus scirpaceus"", ""Turdus merula"", ""Coloeus monedula"", ""Phylloscopus collybita""]",48000,https://xeno-canto.org/1063754,https://xeno-canto.org/1063754/download,
878546,Carduelis carduelis,European Goldfinch,Stuart Barker,United Kingdom,2023-05-17,06:34,12,A,song,field recording,no,[],48000,https://xeno-canto.org/878546,https://xeno-canto.org/878546/download,
1011150,Carduelis carduelis,European Goldfinch,Owen Selly,United Kingdom,2025-06-30,07:00,11,B,flight call,field recording,yes,"[""Sylvia atricapilla""]",48000,https://xeno-canto.org/1011150,https://xeno-canto.org/1011150/download,
145542,Carduelis carduelis,European Goldfinch,Patrik Åberg,United Kingdom,2013-07-09,06:41,42,A,call,field recording,yes,[],44100,https://xeno-canto.org/145542,https://xeno-canto.org/145542/download,
1034264,Carduelis carduelis,European Goldfinch,Andrew Harrop,United Kingdom,2025-08-31,10:00,5,B,call,field recording,yes,[],44100,https://xeno-canto.org/1034264,https://xeno-canto.org/1034264/download,
1044261,Carduelis carduelis,European Goldfinch,David Darrell-Lambert,United Kingdom,2025-09-30,11:00,24,B,"aberrant, call",field recording,yes,[],48000,https://xeno-canto.org/1044261,https://xeno-canto.org/1044261/download,
839234,Carduelis carduelis,European Goldfinch,Andrew Harrop,United Kingdom,2023-10-29,09:00,4,B,call,field recording,yes,[],44100,https://xeno-canto.org/839234,https://xeno-canto.org/839234/download,
948693,Carduelis carduelis,European Goldfinch,Paul Kelly,Ireland,2024-11-09,07:30,14,B,call,field recording,no,[],44100,https://xeno-canto.org/948693,https://xeno-canto.org/948693/download,
767094,Carduelis carduelis,European Goldfinch,Will Scott,United Kingdom,2022-12-09,05:50,6,B,"flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/767094,https://xeno-canto.org/767094/download,
628760,Carduelis carduelis,European Goldfinch,Sean Morris,United Kingdom,2021-01-31,00:00,3,B,call,field recording,no,[],44100,https://xeno-canto.org/628760,https://xeno-canto.org/628760/download,
1078547,Carduelis carduelis,European Goldfinch,David Darrell-Lambert,United Kingdom,2026-02-08,13:00,32,B,"song, wingbeats",field recording,yes,[],48000,https://xeno-canto.org/1078547,https://xeno-canto.org/1078547/download,
984538,Carduelis carduelis,European Goldfinch,Sidney Martin,Ireland,2025-03-31,17:30,23,B,song,field recording,yes,[],44100,https://xeno-canto.org/984538,https://xeno-canto.org/984538/download,
366113,Carduelis carduelis,European Goldfinch,Ashley Fisher,United Kingdom,2017-04-23,18:50,42,A,song,field recording,yes,[],48000,https://xeno-canto.org/366113,https://xeno-canto.org/366113/download,
647553,Carduelis carduelis,European Goldfinch,Simon Elliott,United Kingdom,2021-05-12,11:00,46,A,song,field recording,yes,[],48000,https://xeno-canto.org/647553,https://xeno-canto.org/647553/download,
1011143,Carduelis carduelis,European Goldfinch,Paul Kelly,Ireland,2025-06-20,07:30,23,B,call,field recording,no,[],44100,https://xeno-canto.org/1011143,https://xeno-canto.org/1011143/download,
1017407,Carduelis carduelis,European Goldfinch,David Tattersley,United Kingdom,2025-07-19,05:17,45,B,song,field recording,no,[],48000,https://xeno-canto.org/1017407,https://xeno-canto.org/1017407/download,
671215,Carduelis carduelis,European Goldfinch,Lee Alder,United Kingdom,2021-08-09,09:39,17,B,call,field recording,no,"[""Pica pica""]",48000,https://xeno-canto.org/671215,https://xeno-canto.org/671215/download,
1041702,Carduelis carduelis,European Goldfinch,David Darrell-Lambert,United Kingdom,2025-09-14,10:00,6,B,flight call,field recording,yes,[],32000,https://xeno-canto.org/1041702,https://xeno-canto.org/1041702/download,
678445,Carduelis carduelis,European Goldfinch,Michał Jezierski,United Kingdom,2021-10-03,10:22,11,B,flight call,field recording,yes,"[""Anthus pratensis""]",48000,https://xeno-canto.org/678445,https://xeno-canto.org/678445/download,
843211,Carduelis carduelis,European Goldfinch,Paul Kelly,Ireland,2023-11-11,07:30,24,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/843211,https://xeno-canto.org/843211/download,
42174,Carduelis carduelis,European Goldfinch,Stuart Fisher,United Kingdom,2009-12-26,14.00,51,B,"song, winter song",field recording,unknown,"[""Carduelis carduelis"", ""Sturnus vulgaris""]",44100,https://xeno-canto.org/42174,https://xeno-canto.org/42174/download,
352843,Carduelis carduelis,European Goldfinch,Lars Lachmann,Ireland,2017-01-24,09:00,43,B,song,field recording,yes,"[""Larus argentatus""]",44100,https://xeno-canto.org/352843,https://xeno-canto.org/352843/download,
1078545,Carduelis carduelis,European Goldfinch,David Darrell-Lambert,United Kingdom,2026-02-08,13:00,5,B,"flight call, wingbeats",field recording,yes,[],48000,https://xeno-canto.org/1078545,https://xeno-canto.org/1078545/download,
893166,Carduelis carduelis,European Goldfinch,Lee Alder,United Kingdom,2024-03-24,10:23,56,B,song,field recording,no,"[""Corvus corone"", ""Erithacus rubecula"", ""Carduelis carduelis""]",48000,https://xeno-canto.org/893166,https://xeno-canto.org/893166/download,
1056165,Carduelis carduelis,European Goldfinch,Colm Philpott,Ireland,2025-04-23,13:30,41,B,uncertain,field recording,no,[],44100,https://xeno-canto.org/1056165,https://xeno-canto.org/1056165/download,
998466,Carduelis carduelis,European Goldfinch,Colm Philpott,Ireland,2025-05-14,17:00,33,B,uncertain,in the hand,no,[],44100,https://xeno-canto.org/998466,https://xeno-canto.org/998466/download,
921697,Carduelis carduelis,European Goldfinch,Paul Driver,United Kingdom,2024-06-30,06:15,49,B,song,field recording,yes,[],44100,https://xeno-canto.org/921697,https://xeno-canto.org/921697/download,
923915,Carduelis carduelis,European Goldfinch,Paul Kelly,Ireland,2024-07-22,21:30,28,B,"call, subsong",field recording,no,[],44100,https://xeno-canto.org/923915,https://xeno-canto.org/923915/download,
194934,Carduelis carduelis,European Goldfinch,Dawid Jablonski,United Kingdom,2014-08-31,19:30,35,B,call,field recording,unknown,[],44100,https://xeno-canto.org/194934,https://xeno-canto.org/194934/download,
749285,Carduelis carduelis,European Goldfinch,Bernard BOUSQUET,Ireland,2022-09-14,08:30,6,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/749285,https://xeno-canto.org/749285/download,
526733,Carduelis carduelis,European Goldfinch,James Lidster,United Kingdom,2017-10-08,07:15,8,B,call,field recording,yes,[],44100,https://xeno-canto.org/526733,https://xeno-canto.org/526733/download,
843210,Carduelis carduelis,European Goldfinch,Paul Kelly,Ireland,2023-11-11,07:30,10,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/843210,https://xeno-canto.org/843210/download,
690694,Carduelis carduelis,European Goldfinch,Lars Edenius,Sweden,2021-12-10,08:00,29,A,call,field recording,yes,[],48000,https://xeno-canto.org/690694,https://xeno-canto.org/690694/download,
776847,Carduelis carduelis,European Goldfinch,Stanislas Wroza,France,2023-01-21,08:00,16,A,"flight call, single bird in flight",field recording,yes,[],48000,https://xeno-canto.org/776847,https://xeno-canto.org/776847/download,
623624,Carduelis carduelis,European Goldfinch,Irish Wildlife Sounds,Ireland,2021-02-21,12:00,46,B,"imitation, song, mimicry/imitation",field recording,no,[],44100,https://xeno-canto.org/623624,https://xeno-canto.org/623624/download,
832142,Carduelis carduelis,European Goldfinch,David Darrell-Lambert,United Kingdom,2023-03-04,16:00,42,B,call,field recording,yes,[],48000,https://xeno-canto.org/832142,https://xeno-canto.org/832142/download,
