species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
chloris_chloris,618878,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC618878.mp3,22.0,25.0,-39.88194494627366,-40.0,drop,Corvus monedula,Eurasian Jackdaw,0.3993397355079651,0.3993397355079651,drop,0,,,
chloris_chloris,623515,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC623515.mp3,30.0,33.0,-39.26985811966397,-40.0,species,Chloris chloris,European Greenfinch,0.9960820078849792,0.9960820078849792,species,1,rand_species,bird_data\clips\species\chloris_chloris\XC623515__s30000__e33000.wav,
chloris_chloris,167100,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC167100.mp3,1.0,4.0,-27.33473190870172,-40.0,species,Chloris chloris,European Greenfinch,0.9967496395111084,0.9967496395111084,species,1,rand_species,bird_data\clips\species\chloris_chloris\XC167100__s1000__e4000.wav,
chloris_chloris,167100,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC167100.mp3,7.0,10.0,-28.41969808450053,-40.0,species,Chloris chloris,European Greenfinch,0.9947216510772705,0.9947216510772705,species,0,,,
chloris_chloris,167100,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC167100.mp3,13.0,16.0,-37.33504735475777,-40.0,drop,Fringilla coelebs,Common Chaffinch,0.13773171603679657,0.13773171603679657,drop,0,,,
chloris_chloris,167100,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC167100.mp3,16.0,19.0,-31.135024624686004,-40.0,species,Chloris chloris,European Greenfinch,0.9873307347297668,0.9873307347297668,species,1,rand_species,bird_data\clips\species\chloris_chloris\XC167100__s16000__e19000.wav,
chloris_chloris,167100,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC167100.mp3,22.0,25.0,-33.65421326513346,-40.0,species,Chloris chloris,European Greenfinch,0.8213195204734802,0.8213195204734802,species,0,,,
chloris_chloris,167100,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC167100.mp3,25.0,28.0,-34.80070111066326,-40.0,species,Chloris chloris,European Greenfinch,0.9776856303215027,0.9776856303215027,species,1,rand_species,bird_data\clips\species\chloris_chloris\XC167100__s25000__e28000.wav,
chloris_chloris,601908,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC601908.mp3,1.0,4.0,-24.913099866042163,-40.0,species,Chloris chloris,European Greenfinch,0.9226477146148682,0.9226477146148682,species,0,,,
chloris_chloris,601908,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC601908.mp3,4.0,7.0,-24.165820953904994,-40.0,species,Chloris chloris,European Greenfinch,0.770824134349823,0.770824134349823,species,1,rand_species,bird_data\clips\species\chloris_chloris\XC601908__s4000__e7000.wav,
chloris_chloris,601908,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC601908.mp3,7.0,10.0,-34.206321162789436,-40.0,drop,Chordeiles minor,Common Nighthawk,0.13838456571102142,0.13838456571102142,drop,0,,,
chloris_chloris,601908,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC601908.mp3,10.0,13.0,-26.50115401987808,-40.0,species,Chloris chloris,European Greenfinch,0.9914831519126892,0.9914831519126892,species,1,rand_species,bird_data\clips\species\chloris_chloris\XC601908__s10000__e13000.wav,
chloris_chloris,601908,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC601908.mp3,16.0,19.0,-25.499126482822984,-40.0,species,Chloris chloris,European Greenfinch,0.9792453050613403,0.9792453050613403,species,0,,,
chloris_chloris,601908,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC601908.mp3,22.0,25.0,-25.604986285577613,-40.0,species,Chloris chloris,European Greenfinch,0.9795320630073547,0.9795320630073547,species,1,rand_species,bird_data\clips\species\chloris_chloris\XC601908__s22000__e25000.wav,
chloris_chloris,906003,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC906003.mp3,1.0,4.0,-40.3234067195273,-40.0,species,Chloris chloris,European Greenfinch,0.9279616475105286,0.9279616475105286,species,1,rand_species,bird_data\clips\species\chloris_chloris\XC906003__s1000__e4000.wav,
chloris_chloris,601912,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC601912.mp3,1.0,4.0,-30.12666044807147,-30.184540740785906,drop,Progne subis,Purple Martin,0.19094586372375488,0.19094586372375488,drop,0,,,
chloris_chloris,601912,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC601912.mp3,4.0,7.0,-26.65512871271025,-30.184540740785906,drop,Linaria flavirostris,Twite,0.19922979176044464,0.19922979176044464,drop,0,,,
chloris_chloris,601912,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC601912.mp3,16.0,19.0,-29.961324569960492,-30.184540740785906,drop,Progne subis,Purple Martin,0.6097899675369263,0.6097899675369263,drop,0,,,
chloris_chloris,601912,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC601912.mp3,19.0,22.0,-27.118642467259505,-30.184540740785906,drop,Progne subis,Purple Martin,0.5816953182220459,0.5816953182220459,drop,0,,,
chloris_chloris,601912,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC601912.mp3,22.0,25.0,-29.41069569110703,-30.184540740785906,drop,Progne subis,Purple Martin,0.763256311416626,0.763256311416626,drop,0,,,
chloris_chloris,601912,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC601912.mp3,25.0,28.0,-28.854912668047568,-30.184540740785906,drop,Progne subis,Purple Martin,0.17779989540576935,0.17779989540576935,drop,0,,,
chloris_chloris,1017408,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC1017408.mp3,27.0,30.0,-38.176694453216456,-40.0,species,Chloris chloris,European Greenfinch,0.9545190334320068,0.9545190334320068,species,1,rand_species,bird_data\clips\species\chloris_chloris\XC1017408__s27000__e30000.wav,
chloris_chloris,1017408,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC1017408.mp3,30.0,33.0,-39.79146791473312,-40.0,species,Chloris chloris,European Greenfinch,0.8603549003601074,0.8603549003601074,species,1,rand_species,bird_data\clips\species\chloris_chloris\XC1017408__s30000__e33000.wav,
chloris_chloris,1030055,Chloris chloris,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\chloris_chloris\XC1030055.mp3,1.0,4.0,-32.25926278653634,-33.84356608261332,species,Chloris chloris,European Greenfinch,0.9887089133262634,0.9887089133262634,species,0,,,
