xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
618878,Chloris chloris,European Greenfinch,Mr Mark Shorten,Ireland,2021-01-28,03:30,29,B,call,field recording,yes,[],48000,https://xeno-canto.org/618878,https://xeno-canto.org/618878/download,bird_data\raw\chloris_chloris\XC618878.mp3
623515,Chloris chloris,European Greenfinch,Michał Jezierski,United Kingdom,2021-02-22,11:28,38,B,song,field recording,yes,"[""Cyanistes caeruleus"", ""Turdus philomelos"", ""Erithacus rubecula""]",48000,https://xeno-canto.org/623515,https://xeno-canto.org/623515/download,bird_data\raw\chloris_chloris\XC623515.mp3
167100,Chloris chloris,European Greenfinch,david m,United Kingdom,2012-03-02,06:45,55,A,call,field recording,yes,"[""Turdus philomelos"", ""Prunella modularis"", ""Streptopelia decaocto""]",48000,https://xeno-canto.org/167100,https://xeno-canto.org/167100/download,bird_data\raw\chloris_chloris\XC167100.mp3
601908,Chloris chloris,European Greenfinch,Simon Elliott,United Kingdom,2003-04-21,08:30,54,A,song,field recording,yes,"[""Turdus merula"", ""Sitta europaea""]",48000,https://xeno-canto.org/601908,https://xeno-canto.org/601908/download,bird_data\raw\chloris_chloris\XC601908.mp3
906003,Chloris chloris,European Greenfinch,Paul Bate,United Kingdom,2024-05-25,05:37,7,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/906003,https://xeno-canto.org/906003/download,bird_data\raw\chloris_chloris\XC906003.mp3
601912,Chloris chloris,European Greenfinch,Simon Elliott,United Kingdom,2001-06-17,13:00,38,A,begging call,field recording,yes,[],48000,https://xeno-canto.org/601912,https://xeno-canto.org/601912/download,bird_data\raw\chloris_chloris\XC601912.mp3
1017408,Chloris chloris,European Greenfinch,David Tattersley,United Kingdom,2025-07-19,05:31,39,B,call,field recording,no,[],48000,https://xeno-canto.org/1017408,https://xeno-canto.org/1017408/download,bird_data\raw\chloris_chloris\XC1017408.mp3
1030055,Chloris chloris,European Greenfinch,Krzysztof Deoniziak,United Kingdom,2025-08-18,09:00,32,B,"call, song",field recording,yes,"[""Columba palumbus"", ""Larus argentatus"", ""Parus major"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/1030055,https://xeno-canto.org/1030055/download,bird_data\raw\chloris_chloris\XC1030055.mp3
588196,Chloris chloris,European Greenfinch,Calum Mckellar,United Kingdom,2020-09-08,06:30,12,B,flight call,field recording,no,[],44100,https://xeno-canto.org/588196,https://xeno-canto.org/588196/download,bird_data\raw\chloris_chloris\XC588196.mp3
687558,Chloris chloris,European Greenfinch,Irish Wildlife Sounds,Ireland,2021-10-29,09:00,14,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/687558,https://xeno-canto.org/687558/download,bird_data\raw\chloris_chloris\XC687558.mp3
