species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
cinclus_cinclus,706895,Cinclus cinclus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/cinclus_cinclus/XC706895.mp3,1.0,4.0,-35.669101862840826,-40.0,drop,Ficedula hypoleuca,European Pied Flycatcher,0.5931295156478882,0.5931295156478882,drop,0,,,
cinclus_cinclus,717506,Cinclus cinclus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/cinclus_cinclus/XC717506.mp3,,,,,,,,,,drop,0,,,no_windows
cinclus_cinclus,709606,Cinclus cinclus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/cinclus_cinclus/XC709606.mp3,26.0,29.0,-32.66472108493752,-35.05129193326417,species,Cinclus cinclus,White-throated Dipper,0.9797185659408569,0.9797185659408569,species,0,,,
cinclus_cinclus,709606,Cinclus cinclus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/cinclus_cinclus/XC709606.mp3,32.0,35.0,-32.05205784414999,-35.05129193326417,species,Cinclus cinclus,White-throated Dipper,0.5089526176452637,0.5089526176452637,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/cinclus_cinclus/XC709606__s32000__e35000.wav,
cinclus_cinclus,709606,Cinclus cinclus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/cinclus_cinclus/XC709606.mp3,35.0,38.0,-34.91149508661791,-35.05129193326417,species,Cinclus cinclus,White-throated Dipper,0.9480239748954773,0.9480239748954773,species,0,,,
cinclus_cinclus,709606,Cinclus cinclus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/cinclus_cinclus/XC709606.mp3,38.0,41.0,-33.777870390897476,-35.05129193326417,species,Cinclus cinclus,White-throated Dipper,0.9727979302406311,0.9727979302406311,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/cinclus_cinclus/XC709606__s38000__e41000.wav,
cinclus_cinclus,709606,Cinclus cinclus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/cinclus_cinclus/XC709606.mp3,41.0,44.0,-34.84790210189972,-35.05129193326417,species,Cinclus cinclus,White-throated Dipper,0.9962027668952942,0.9962027668952942,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/cinclus_cinclus/XC709606__s41000__e44000.wav,
cinclus_cinclus,709606,Cinclus cinclus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/cinclus_cinclus/XC709606.mp3,44.0,47.0,-33.52540023938422,-35.05129193326417,species,Cinclus cinclus,White-throated Dipper,0.9858766198158264,0.9858766198158264,species,0,,,
cinclus_cinclus,637777,Cinclus cinclus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/cinclus_cinclus/XC637777.mp3,,,,,,,,,,drop,0,,,no_windows
cinclus_cinclus,375964,Cinclus cinclus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/cinclus_cinclus/XC375964.mp3,1.0,4.0,-28.173337979814313,-40.0,species,Cinclus cinclus,White-throated Dipper,0.8567361831665039,0.8567361831665039,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/cinclus_cinclus/XC375964__s1000__e4000.wav,
cinclus_cinclus,375964,Cinclus cinclus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/cinclus_cinclus/XC375964.mp3,4.0,7.0,-35.76623266155083,-40.0,drop,Phylloscopus borealis,Arctic Warbler,0.12506838142871857,0.12506838142871857,drop,0,,,
cinclus_cinclus,375964,Cinclus cinclus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/cinclus_cinclus/XC375964.mp3,7.0,10.0,-38.09462536007773,-40.0,drop,Myiothlypis flaveola,Flavescent Warbler,0.28552353382110596,0.28552353382110596,drop,0,,,
