xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
706895,Cinclus cinclus,White-throated Dipper,Irish Wildlife Sounds,Ireland,2022-01-30,10:00,12,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/706895,https://xeno-canto.org/706895/download,bird_data\raw\cinclus_cinclus\XC706895.mp3
717506,Cinclus cinclus,White-throated Dipper,Dean McDonnell,Ireland,2022-02-25,19:30,3,A,"call, flight call",field recording,yes,[],44100,https://xeno-canto.org/717506,https://xeno-canto.org/717506/download,bird_data\raw\cinclus_cinclus\XC717506.mp3
709606,Cinclus cinclus,White-throated Dipper,Sven Jägbrant,Sweden,2022-03-13,07:30,58,A,song,field recording,yes,"[""Cygnus cygnus""]",44100,https://xeno-canto.org/709606,https://xeno-canto.org/709606/download,bird_data\raw\cinclus_cinclus\XC709606.mp3
637777,Cinclus cinclus,White-throated Dipper,Dan Lombard,United Kingdom,2021-04-10,08:30,3,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/637777,https://xeno-canto.org/637777/download,bird_data\raw\cinclus_cinclus\XC637777.mp3
375964,Cinclus cinclus,White-throated Dipper,Timo Schnabel ,Germany,2017-05-24,16:05,20,A,flight call,field recording,no,[],44100,https://xeno-canto.org/375964,https://xeno-canto.org/375964/download,bird_data\raw\cinclus_cinclus\XC375964.mp3
569404,Cinclus cinclus,White-throated Dipper,Stanislas Wroza,France,2020-06-14,07:30,5,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/569404,https://xeno-canto.org/569404/download,bird_data\raw\cinclus_cinclus\XC569404.mp3
380670,Cinclus cinclus,White-throated Dipper,Yoann Blanchon,Spain,2017-07-04,20:00,26,A,call,field recording,yes,[],44100,https://xeno-canto.org/380670,https://xeno-canto.org/380670/download,bird_data\raw\cinclus_cinclus\XC380670.mp3
673367,Cinclus cinclus,White-throated Dipper,Beatrix Saadi-Varchmin,Germany,2021-09-06,07:52,9,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/673367,https://xeno-canto.org/673367/download,bird_data\raw\cinclus_cinclus\XC673367.mp3
758055,Cinclus cinclus,White-throated Dipper,Paul Kelly,Ireland,2022-10-27,11:00,6,B,"alarm call, Water, stream flowing.",field recording,yes,[],44100,https://xeno-canto.org/758055,https://xeno-canto.org/758055/download,bird_data\raw\cinclus_cinclus\XC758055.mp3
688764,Cinclus cinclus,White-throated Dipper,Jim Lloyd,United Kingdom,2021-11-23,14:00,45,B,song,field recording,yes,[],48000,https://xeno-canto.org/688764,https://xeno-canto.org/688764/download,bird_data\raw\cinclus_cinclus\XC688764.mp3
397286,Cinclus cinclus,White-throated Dipper,Bernard King,Ireland,2017-12-26,09:00,37,B,song,field recording,yes,"[""Erithacus rubecula"", ""Pica pica""]",44100,https://xeno-canto.org/397286,https://xeno-canto.org/397286/download,bird_data\raw\cinclus_cinclus\XC397286.mp3
613345,Cinclus cinclus,White-throated Dipper,Mr Mark Shorten,Ireland,2021-01-06,09:00,40,A,song,field recording,no,[],48000,https://xeno-canto.org/613345,https://xeno-canto.org/613345/download,bird_data\raw\cinclus_cinclus\XC613345.mp3
621043,Cinclus cinclus,White-throated Dipper,Andrew Harrop,United Kingdom,2021-02-11,15:00,3,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/621043,https://xeno-canto.org/621043/download,bird_data\raw\cinclus_cinclus\XC621043.mp3
633228,Cinclus cinclus,White-throated Dipper,Stanislas Wroza,France,2021-03-27,09:00,34,A,"call, song",field recording,yes,[],48000,https://xeno-canto.org/633228,https://xeno-canto.org/633228/download,bird_data\raw\cinclus_cinclus\XC633228.mp3
99141,Cinclus cinclus,White-throated Dipper,Charles Fleming,United Kingdom,2012-04-15,1500,28,B,song,field recording,unknown,[],44100,https://xeno-canto.org/99141,https://xeno-canto.org/99141/download,bird_data\raw\cinclus_cinclus\XC99141.mp3
244019,Cinclus cinclus,White-throated Dipper,Terje Kolaas,Norway,2015-05-15,21:00,27,B,"begging call, song",field recording,yes,[],48000,https://xeno-canto.org/244019,https://xeno-canto.org/244019/download,bird_data\raw\cinclus_cinclus\XC244019.mp3
569402,Cinclus cinclus,White-throated Dipper,Stanislas Wroza,France,2020-06-14,07:30,6,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/569402,https://xeno-canto.org/569402/download,bird_data\raw\cinclus_cinclus\XC569402.mp3
579984,Cinclus cinclus,White-throated Dipper,Eduardo Realinho,Spain,2020-07-29,21:30,26,B,"call, flight call",field recording,yes,[],44100,https://xeno-canto.org/579984,https://xeno-canto.org/579984/download,bird_data\raw\cinclus_cinclus\XC579984.mp3
1045919,Cinclus cinclus,White-throated Dipper,Jorge Valella Robledo,Spain,2025-09-28,08:00,8,B,call,field recording,no,[],44100,https://xeno-canto.org/1045919,https://xeno-canto.org/1045919/download,bird_data\raw\cinclus_cinclus\XC1045919.mp3
757607,Cinclus cinclus,White-throated Dipper,Tom Bedford,United Kingdom,2022-10-22,14:30,24,B,song,field recording,yes,[],44100,https://xeno-canto.org/757607,https://xeno-canto.org/757607/download,bird_data\raw\cinclus_cinclus\XC757607.mp3
1054699,Cinclus cinclus,White-throated Dipper,Gianluca Congi,Italy,2025-11-12,14:30,4,A,"alarm call, call",field recording,yes,[],48000,https://xeno-canto.org/1054699,https://xeno-canto.org/1054699/download,bird_data\raw\cinclus_cinclus\XC1054699.mp3
512901,Cinclus cinclus,White-throated Dipper,Jerome Fischer,Switzerland,2019-12-12,13:00,28,A,song,field recording,yes,[],48000,https://xeno-canto.org/512901,https://xeno-canto.org/512901/download,bird_data\raw\cinclus_cinclus\XC512901.mp3
613344,Cinclus cinclus,White-throated Dipper,Mr Mark Shorten,Ireland,2021-01-06,09:00,5,A,flight call,field recording,no,[],48000,https://xeno-canto.org/613344,https://xeno-canto.org/613344/download,bird_data\raw\cinclus_cinclus\XC613344.mp3
530663,Cinclus cinclus,White-throated Dipper,Andrew Harrop,United Kingdom,2020-02-28,10:00,25,B,song,field recording,yes,[],44100,https://xeno-canto.org/530663,https://xeno-canto.org/530663/download,bird_data\raw\cinclus_cinclus\XC530663.mp3
633227,Cinclus cinclus,White-throated Dipper,Stanislas Wroza,France,2021-03-27,09:00,27,A,"call, song",field recording,yes,[],48000,https://xeno-canto.org/633227,https://xeno-canto.org/633227/download,bird_data\raw\cinclus_cinclus\XC633227.mp3
987685,Cinclus cinclus,White-throated Dipper,Damien Sevrin,Belgium,2025-04-12,02:27,43,A,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/987685,https://xeno-canto.org/987685/download,bird_data\raw\cinclus_cinclus\XC987685.mp3
