species_label,selected_total,selected_species,selected_nonbird,unique_recordings
accipiter_nisus,187,157,30,127
acrocephalus_schoenobaenus,466,405,61,250
aegithalos_caudatus,526,504,22,250
alcedo_atthis,306,256,50,250
anthus_pratensis,347,293,54,250
apus_apus,438,418,20,250
buteo_buteo,403,372,31,250
carduelis_carduelis,540,490,50,250
chloris_chloris,467,403,64,250
cinclus_cinclus,250,232,18,146
coloeus_monedula,28,0,28,250
columba_livia,133,120,13,72
columba_palumbus,470,420,50,250
corvus_corax,504,437,67,250
corvus_cornix,325,278,47,250
corvus_frugilegus,411,377,34,217
cuculus_canorus,446,406,40,250
cyanistes_caeruleus,452,402,50,250
delichon_urbicum,403,347,56,250
dendrocopos_major,430,377,53,250
emberiza_citrinella,377,332,45,250
emberiza_schoeniclus,422,351,71,250
erithacus_rubecula,465,386,79,250
falco_peregrinus,381,337,44,218
falco_tinnunculus,443,401,42,250
fringilla_coelebs,419,367,52,250
garrulus_glandarius,435,393,42,250
hirundo_rustica,523,459,64,250
motacilla_alba,387,338,49,250
motacilla_cinerea,342,298,44,250
muscicapa_striata,264,198,66,250
oenanthe_oenanthe,381,323,58,250
parus_major,454,387,67,250
passer_domesticus,462,397,65,250
periparus_ater,477,437,40,250
phasianus_colchicus,344,301,43,250
phylloscopus_collybita,480,430,50,249
phylloscopus_trochilus,407,358,49,250
pica_pica,487,440,47,250
prunella_modularis,522,488,34,250
regulus_regulus,333,244,89,250
saxicola_rubicola,516,469,47,250
spinus_spinus,440,409,31,250
streptopelia_decaocto,454,431,23,250
sturnus_vulgaris,335,162,173,250
sylvia_atricapilla,423,319,104,250
troglodytes_troglodytes,489,458,31,250
turdus_merula,394,291,103,250
turdus_philomelos,375,266,109,250
tyto_alba,332,271,61,250
