species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
coloeus_monedula,593255,Coloeus monedula,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/coloeus_monedula/XC593255.mp3,1.0,4.0,-23.52995833361291,-23.52995833361291,drop,Corvus monedula,Eurasian Jackdaw,0.9991149306297302,0.9991149306297302,drop,0,,,
coloeus_monedula,626961,Coloeus monedula,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/coloeus_monedula/XC626961.mp3,1.0,4.0,-27.56970673255543,-27.56970673255543,drop,Corvus monedula,Eurasian Jackdaw,0.4301445186138153,0.4301445186138153,drop,0,,,
coloeus_monedula,894178,Coloeus monedula,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/coloeus_monedula/XC894178.mp3,1.0,4.0,-19.635730488341817,-19.635730488341817,drop,Corvus monedula,Eurasian Jackdaw,0.9896462559700012,0.9896462559700012,drop,0,,,
coloeus_monedula,894171,Coloeus monedula,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/coloeus_monedula/XC894171.mp3,9.0,12.0,-20.66903943279931,-24.557323886012558,drop,Corvus monedula,Eurasian Jackdaw,0.8941530585289001,0.8941530585289001,drop,0,,,
coloeus_monedula,894171,Coloeus monedula,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/coloeus_monedula/XC894171.mp3,12.0,15.0,-24.444096192383313,-24.557323886012558,drop,Corvus monedula,Eurasian Jackdaw,0.9789014458656311,0.9789014458656311,drop,0,,,
coloeus_monedula,894171,Coloeus monedula,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/coloeus_monedula/XC894171.mp3,15.0,18.0,-20.45860002167105,-24.557323886012558,drop,Corvus monedula,Eurasian Jackdaw,0.9728094935417175,0.9728094935417175,drop,0,,,
coloeus_monedula,894171,Coloeus monedula,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/coloeus_monedula/XC894171.mp3,18.0,21.0,-24.093439251506968,-24.557323886012558,drop,Corvus monedula,Eurasian Jackdaw,0.9120064377784729,0.9120064377784729,drop,0,,,
coloeus_monedula,894171,Coloeus monedula,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/coloeus_monedula/XC894171.mp3,21.0,24.0,-22.083131498222723,-24.557323886012558,drop,Corvus monedula,Eurasian Jackdaw,0.8685217499732971,0.8685217499732971,drop,0,,,
coloeus_monedula,894171,Coloeus monedula,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/coloeus_monedula/XC894171.mp3,27.0,30.0,-23.618288222614904,-24.557323886012558,drop,Corvus monedula,Eurasian Jackdaw,0.7363916039466858,0.7363916039466858,drop,0,,,
coloeus_monedula,811335,Coloeus monedula,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/coloeus_monedula/XC811335.mp3,1.0,4.0,-27.312310001114597,-30.788771250404988,drop,Corvus monedula,Eurasian Jackdaw,0.9947397112846375,0.9947397112846375,drop,0,,,
coloeus_monedula,811335,Coloeus monedula,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/coloeus_monedula/XC811335.mp3,7.0,10.0,-28.075744119054463,-30.788771250404988,drop,Corvus monedula,Eurasian Jackdaw,0.9911195635795593,0.9911195635795593,drop,0,,,
coloeus_monedula,811335,Coloeus monedula,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/coloeus_monedula/XC811335.mp3,16.0,19.0,-25.525252191927933,-30.788771250404988,drop,Corvus monedula,Eurasian Jackdaw,0.994400680065155,0.994400680065155,drop,0,,,
coloeus_monedula,811335,Coloeus monedula,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/coloeus_monedula/XC811335.mp3,19.0,22.0,-24.540511338727526,-30.788771250404988,drop,Corvus monedula,Eurasian Jackdaw,0.9894773364067078,0.9894773364067078,drop,0,,,
coloeus_monedula,811335,Coloeus monedula,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/coloeus_monedula/XC811335.mp3,22.0,25.0,-28.148352217950745,-30.788771250404988,drop,Corvus monedula,Eurasian Jackdaw,0.9962080717086792,0.9962080717086792,drop,0,,,
