xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
862853,Columba livia,Rock Dove,Andrew Harrop,United Kingdom,2024-01-20,11:00,2,B,wingbeats,field recording,yes,[],44100,https://xeno-canto.org/862853,https://xeno-canto.org/862853/download,
121680,Columba livia,Rock Dove,Jarek Matusiak,Poland,2013-02-16,14:00,45,A,"aberrant, song",field recording,yes,[],48000,https://xeno-canto.org/121680,https://xeno-canto.org/121680/download,
462611,Columba livia,Rock Dove,Stanislas Wroza,Poland,2019-03-20,09:00,38,A,"call, flight call, song",field recording,yes,[],44100,https://xeno-canto.org/462611,https://xeno-canto.org/462611/download,
364890,Columba livia,Rock Dove,GABRIEL LEITE,United Kingdom,2017-04-17,07:30,13,B,"call, song",field recording,yes,[],48000,https://xeno-canto.org/364890,https://xeno-canto.org/364890/download,
1029262,Columba livia,Rock Dove,Agris Celmins,United Kingdom,2025-05-18,08:09,38,B,song,field recording,yes,[],44100,https://xeno-canto.org/1029262,https://xeno-canto.org/1029262/download,
1029263,Columba livia,Rock Dove,Agris Celmins,United Kingdom,2025-06-08,09:02,21,B,song,field recording,yes,[],44100,https://xeno-canto.org/1029263,https://xeno-canto.org/1029263/download,
660926,Columba livia,Rock Dove,Dimitri,Italy,2021-07-04,08:00,38,B,call,field recording,yes,[],48000,https://xeno-canto.org/660926,https://xeno-canto.org/660926/download,
602019,Columba livia,Rock Dove,Michał Jezierski,United Kingdom,2020-08-22,18:21,21,B,"begging call, call, wing beats",field recording,yes,[],48000,https://xeno-canto.org/602019,https://xeno-canto.org/602019/download,
283442,Columba livia,Rock Dove,Frank Holzapfel,Germany,2015-09-20,?,10,B,wing noise,field recording,yes,[],44100,https://xeno-canto.org/283442,https://xeno-canto.org/283442/download,
755295,Columba livia,Rock Dove,Paul Kelly,Ireland,2022-10-09,09:30,6,B,call,field recording,yes,[],44100,https://xeno-canto.org/755295,https://xeno-canto.org/755295/download,
500494,Columba livia,Rock Dove,Chris Batty,United Kingdom,2017-11-02,07:43,8,B,song,field recording,no,[],22050,https://xeno-canto.org/500494,https://xeno-canto.org/500494/download,
706903,Columba livia,Rock Dove,Irish Wildlife Sounds,Ireland,2021-12-26,09:00,22,B,song,field recording,yes,[],44100,https://xeno-canto.org/706903,https://xeno-canto.org/706903/download,
42690,Columba livia,Rock Dove,Stuart Fisher,United Kingdom,2010-01-12,12:15,30,B,"call, male display calls",field recording,unknown,[],44100,https://xeno-canto.org/42690,https://xeno-canto.org/42690/download,
