xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1069390,Columba palumbus,Common Wood Pigeon,Francesco Sottile,Italy,2025-12-23,08:36,15,A,song,field recording,yes,"[""Passer italiae""]",44100,https://xeno-canto.org/1069390,https://xeno-canto.org/1069390/download,
1069385,Columba palumbus,Common Wood Pigeon,Francesco Sottile,Italy,2025-12-23,08:31,16,A,song,field recording,yes,"[""Sylvia atricapilla"", ""Serinus serinus""]",44100,https://xeno-canto.org/1069385,https://xeno-canto.org/1069385/download,
1066214,Columba palumbus,Common Wood Pigeon,Adrien Peillon,France,2025-05-29,17:15,7,A,song,field recording,yes,"[""Erithacus rubecula""]",48000,https://xeno-canto.org/1066214,https://xeno-canto.org/1066214/download,
1065526,Columba palumbus,Common Wood Pigeon,Filippo Ceccolini,Italy,2025-12-18,15:09,9,A,song,field recording,no,"[""Erithacus rubecula""]",48000,https://xeno-canto.org/1065526,https://xeno-canto.org/1065526/download,
1059048,Columba palumbus,Common Wood Pigeon,Paul Kelly,Portugal,2025-11-13,17:00,11,A,song,field recording,no,"[""Columba palumbus""]",24000,https://xeno-canto.org/1059048,https://xeno-canto.org/1059048/download,
1056684,Columba palumbus,Common Wood Pigeon,Paul Kelly,Portugal,2025-11-11,21:30,52,A,"song, Rain.",field recording,no,[],24000,https://xeno-canto.org/1056684,https://xeno-canto.org/1056684/download,
1056099,Columba palumbus,Common Wood Pigeon,Paul Kelly,Portugal,2025-11-09,17:00,29,A,song,field recording,no,[],24000,https://xeno-canto.org/1056099,https://xeno-canto.org/1056099/download,
1051910,Columba palumbus,Common Wood Pigeon,Lars Lachmann,Germany,2025-05-17,20:30,37,A,song,field recording,yes,"[""Turdus merula""]",48000,https://xeno-canto.org/1051910,https://xeno-canto.org/1051910/download,
1039078,Columba palumbus,Common Wood Pigeon,Adam Gruszczyński,Poland,2025-04-30,05:30,8,A,song,field recording,no,[],48000,https://xeno-canto.org/1039078,https://xeno-canto.org/1039078/download,
1039075,Columba palumbus,Common Wood Pigeon,Adam Gruszczyński,Poland,2025-04-21,05:30,9,A,song,field recording,no,[],48000,https://xeno-canto.org/1039075,https://xeno-canto.org/1039075/download,
1039072,Columba palumbus,Common Wood Pigeon,Adam Gruszczyński,Poland,2025-04-19,05:30,22,A,song,field recording,no,[],48000,https://xeno-canto.org/1039072,https://xeno-canto.org/1039072/download,
1038282,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2023-06-13,20:30,4,A,wingbeats,field recording,yes,[],48000,https://xeno-canto.org/1038282,https://xeno-canto.org/1038282/download,
1038281,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2023-05-09,20:30,7,A,wingbeats,field recording,yes,[],48000,https://xeno-canto.org/1038281,https://xeno-canto.org/1038281/download,
1038280,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2020-05-16,08:00,3,A,wingbeats,field recording,yes,[],48000,https://xeno-canto.org/1038280,https://xeno-canto.org/1038280/download,
1038279,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2023-06-13,20:30,6,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038279,https://xeno-canto.org/1038279/download,
1038277,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2020-05-12,08:00,8,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038277,https://xeno-canto.org/1038277/download,
1038276,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2020-05-11,11:00,11,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038276,https://xeno-canto.org/1038276/download,
1038275,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2019-04-26,04:30,13,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038275,https://xeno-canto.org/1038275/download,
1038274,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2019-04-14,09:00,12,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038274,https://xeno-canto.org/1038274/download,
1038273,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2018-07-11,10:00,9,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038273,https://xeno-canto.org/1038273/download,
1038272,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2018-07-11,10:00,9,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038272,https://xeno-canto.org/1038272/download,
