xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
619407,Columba palumbus,Common Wood Pigeon,david m,United Kingdom,2021-01-31,08:14,25,A,wing beats,field recording,no,"[""Erithacus rubecula"", ""Passer montanus"", ""Sturnus vulgaris""]",48000,https://xeno-canto.org/619407,https://xeno-canto.org/619407/download,bird_data\raw\columba_palumbus\XC619407.mp3
878721,Columba palumbus,Common Wood Pigeon,Paul Kelly,Ireland,2024-02-24,08:00,16,A,"call, dawn song",field recording,no,"[""Fringilla coelebs"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/878721,https://xeno-canto.org/878721/download,bird_data\raw\columba_palumbus\XC878721.mp3
1038252,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2008-03-29,09:00,14,A,song,field recording,yes,[],44100,https://xeno-canto.org/1038252,https://xeno-canto.org/1038252/download,bird_data\raw\columba_palumbus\XC1038252.mp3
1038275,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2019-04-26,04:30,13,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038275,https://xeno-canto.org/1038275/download,bird_data\raw\columba_palumbus\XC1038275.mp3
1038281,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2023-05-09,20:30,7,A,wingbeats,field recording,yes,[],48000,https://xeno-canto.org/1038281,https://xeno-canto.org/1038281/download,bird_data\raw\columba_palumbus\XC1038281.mp3
1038282,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2023-06-13,20:30,4,A,wingbeats,field recording,yes,[],48000,https://xeno-canto.org/1038282,https://xeno-canto.org/1038282/download,bird_data\raw\columba_palumbus\XC1038282.mp3
1038273,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2018-07-11,10:00,9,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038273,https://xeno-canto.org/1038273/download,bird_data\raw\columba_palumbus\XC1038273.mp3
1038261,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2015-08-11,12:00,35,A,song,field recording,yes,[],44100,https://xeno-canto.org/1038261,https://xeno-canto.org/1038261/download,bird_data\raw\columba_palumbus\XC1038261.mp3
1038269,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2017-09-02,16:00,8,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038269,https://xeno-canto.org/1038269/download,bird_data\raw\columba_palumbus\XC1038269.mp3
943113,Columba palumbus,Common Wood Pigeon,Sonothèque ADVL,France,2024-10-24,11:00,7,B,wingbeats,field recording,yes,[],48000,https://xeno-canto.org/943113,https://xeno-canto.org/943113/download,bird_data\raw\columba_palumbus\XC943113.mp3
