xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
619407,Columba palumbus,Common Wood Pigeon,david m,United Kingdom,2021-01-31,08:14,25,A,wing beats,field recording,no,"[""Erithacus rubecula"", ""Passer montanus"", ""Sturnus vulgaris""]",48000,https://xeno-canto.org/619407,https://xeno-canto.org/619407/download,
878721,Columba palumbus,Common Wood Pigeon,Paul Kelly,Ireland,2024-02-24,08:00,16,A,"call, dawn song",field recording,no,"[""Fringilla coelebs"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/878721,https://xeno-canto.org/878721/download,
1038252,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2008-03-29,09:00,14,A,song,field recording,yes,[],44100,https://xeno-canto.org/1038252,https://xeno-canto.org/1038252/download,
1038275,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2019-04-26,04:30,13,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038275,https://xeno-canto.org/1038275/download,
1038281,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2023-05-09,20:30,7,A,wingbeats,field recording,yes,[],48000,https://xeno-canto.org/1038281,https://xeno-canto.org/1038281/download,
1038282,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2023-06-13,20:30,4,A,wingbeats,field recording,yes,[],48000,https://xeno-canto.org/1038282,https://xeno-canto.org/1038282/download,
1038273,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2018-07-11,10:00,9,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038273,https://xeno-canto.org/1038273/download,
1038261,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2015-08-11,12:00,35,A,song,field recording,yes,[],44100,https://xeno-canto.org/1038261,https://xeno-canto.org/1038261/download,
1038269,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2017-09-02,16:00,8,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038269,https://xeno-canto.org/1038269/download,
943113,Columba palumbus,Common Wood Pigeon,Sonothèque ADVL,France,2024-10-24,11:00,7,B,wingbeats,field recording,yes,[],48000,https://xeno-canto.org/943113,https://xeno-canto.org/943113/download,
626358,Columba palumbus,Common Wood Pigeon,Samuel Levy,United Kingdom,2020-11-30,05:00,43,B,song,field recording,no,"[""Erithacus rubecula""]",44100,https://xeno-canto.org/626358,https://xeno-canto.org/626358/download,
1069390,Columba palumbus,Common Wood Pigeon,Francesco Sottile,Italy,2025-12-23,08:36,15,A,song,field recording,yes,"[""Passer italiae""]",44100,https://xeno-canto.org/1069390,https://xeno-canto.org/1069390/download,
619211,Columba palumbus,Common Wood Pigeon,david m,United Kingdom,2021-01-30,08:22,27,A,wing beats,field recording,no,"[""Corvus corone"", ""Coloeus monedula""]",48000,https://xeno-canto.org/619211,https://xeno-canto.org/619211/download,
631299,Columba palumbus,Common Wood Pigeon,Kristian Whittaker,United Kingdom,2021-02-26,23:26,15,A,"call, song",field recording,no,[],44100,https://xeno-canto.org/631299,https://xeno-canto.org/631299/download,
891899,Columba palumbus,Common Wood Pigeon,Agris Celmins,United Kingdom,2024-03-30,08:36,38,A,call,field recording,no,"[""Erithacus rubecula"", ""Pica pica"", ""Carduelis carduelis"", ""Dendrocopos major""]",44100,https://xeno-canto.org/891899,https://xeno-canto.org/891899/download,
1038274,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2019-04-14,09:00,12,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038274,https://xeno-canto.org/1038274/download,
1038280,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2020-05-16,08:00,3,A,wingbeats,field recording,yes,[],48000,https://xeno-canto.org/1038280,https://xeno-canto.org/1038280/download,
1038279,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2023-06-13,20:30,6,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038279,https://xeno-canto.org/1038279/download,
1038272,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2018-07-11,10:00,9,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038272,https://xeno-canto.org/1038272/download,
1038255,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2012-08-04,08:30,10,A,song,field recording,yes,[],96000,https://xeno-canto.org/1038255,https://xeno-canto.org/1038255/download,
1038262,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2015-09-07,08:00,11,A,song,field recording,yes,[],44100,https://xeno-canto.org/1038262,https://xeno-canto.org/1038262/download,
626347,Columba palumbus,Common Wood Pigeon,Samuel Levy,United Kingdom,2020-11-28,02:15,10,B,song,field recording,no,[],44100,https://xeno-canto.org/626347,https://xeno-canto.org/626347/download,
1069385,Columba palumbus,Common Wood Pigeon,Francesco Sottile,Italy,2025-12-23,08:31,16,A,song,field recording,yes,"[""Sylvia atricapilla"", ""Serinus serinus""]",44100,https://xeno-canto.org/1069385,https://xeno-canto.org/1069385/download,
862283,Columba palumbus,Common Wood Pigeon,Andrew Harrop,United Kingdom,2024-01-17,14:00,8,B,song,field recording,yes,[],44100,https://xeno-canto.org/862283,https://xeno-canto.org/862283/download,
626965,Columba palumbus,Common Wood Pigeon,Irish Wildlife Sounds,Ireland,2021-02-27,09:00,57,A,song,field recording,no,[],44100,https://xeno-canto.org/626965,https://xeno-canto.org/626965/download,
890388,Columba palumbus,Common Wood Pigeon,Mark Plummer,United Kingdom,2024-03-26,08:54,9,A,song,field recording,no,"[""Turdus philomelos"", ""Phylloscopus collybita""]",22050,https://xeno-canto.org/890388,https://xeno-canto.org/890388/download,
1038270,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2018-04-22,08:30,15,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038270,https://xeno-canto.org/1038270/download,
1038277,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2020-05-12,08:00,8,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038277,https://xeno-canto.org/1038277/download,
1038267,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2017-06-09,05:00,13,A,song,field recording,yes,[],48000,https://xeno-canto.org/1038267,https://xeno-canto.org/1038267/download,
1038260,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2015-07-16,10:00,4,A,song,field recording,yes,[],44100,https://xeno-canto.org/1038260,https://xeno-canto.org/1038260/download,
1038254,Columba palumbus,Common Wood Pigeon,David Darrell-Lambert,United Kingdom,2012-08-04,08:30,41,A,song,field recording,yes,[],96000,https://xeno-canto.org/1038254,https://xeno-canto.org/1038254/download,
673237,Columba palumbus,Common Wood Pigeon,Simon Elliott,United Kingdom,2021-09-05,06:00,13,A,"call, feeding call",field recording,yes,[],44100,https://xeno-canto.org/673237,https://xeno-canto.org/673237/download,
1059048,Columba palumbus,Common Wood Pigeon,Paul Kelly,Portugal,2025-11-13,17:00,11,A,song,field recording,no,"[""Columba palumbus""]",24000,https://xeno-canto.org/1059048,https://xeno-canto.org/1059048/download,
