species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
corvus_corax,864746,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/corvus_corax/XC864746.mp3,1.0,4.0,-16.79914498406489,-19.4699762110782,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/corvus_corax/XC864746__s1000__e4000.wav,
corvus_corax,864746,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/corvus_corax/XC864746.mp3,4.0,7.0,-17.759499239360636,-19.4699762110782,species,Corvus corax,Common Raven,0.6466881036758423,0.6466881036758423,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/corvus_corax/XC864746__s4000__e7000.wav,
corvus_corax,864746,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/corvus_corax/XC864746.mp3,13.0,16.0,-16.585269043207504,-19.4699762110782,drop,Poecile montanus,Willow Tit,0.14513616263866425,0.14513616263866425,drop,0,,,
corvus_corax,864746,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/corvus_corax/XC864746.mp3,16.0,19.0,-16.328325504740732,-19.4699762110782,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/corvus_corax/XC864746__s16000__e19000.wav,
corvus_corax,864746,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/corvus_corax/XC864746.mp3,19.0,22.0,-16.842053782613103,-19.4699762110782,species,Corvus corax,Common Raven,0.5099678039550781,0.5099678039550781,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/corvus_corax/XC864746__s19000__e22000.wav,
corvus_corax,864746,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/corvus_corax/XC864746.mp3,25.0,28.0,-19.002920549505603,-19.4699762110782,species,Corvus corax,Common Raven,0.9514204263687134,0.9514204263687134,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/corvus_corax/XC864746__s25000__e28000.wav,
corvus_corax,975274,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/corvus_corax/XC975274.mp3,13.0,16.0,-39.944515586772035,-40.0,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/corvus_corax/XC975274__s13000__e16000.wav,
corvus_corax,975274,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/corvus_corax/XC975274.mp3,19.0,22.0,-39.83591069378169,-40.0,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/corvus_corax/XC975274__s19000__e22000.wav,
corvus_corax,975274,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/corvus_corax/XC975274.mp3,25.0,28.0,-36.27925218543814,-40.0,drop,Dog,Dog,0.19143567979335785,0.19143567979335785,drop,0,,,
corvus_corax,735515,Corvus corax,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/corvus_corax/XC735515.mp3,4.0,7.0,-22.67101190903051,-40.0,species,Corvus corax,Common Raven,0.8657397031784058,0.8657397031784058,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/corvus_corax/XC735515__s4000__e7000.wav,
