xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
864746,Corvus corax,Northern Raven,Shaun Micklewright,United Kingdom,2024-01-12,14:00,52,A,"call, flight call",field recording,yes,[],44100,https://xeno-canto.org/864746,https://xeno-canto.org/864746/download,src/dataset/bird_data/raw/corvus_corax/XC864746.mp3
975274,Corvus corax,Northern Raven,Paul Kelly,Ireland,2025-02-16,17:30,31,B,"call, Ocean.",field recording,no,[],44100,https://xeno-canto.org/975274,https://xeno-canto.org/975274/download,src/dataset/bird_data/raw/corvus_corax/XC975274.mp3
735515,Corvus corax,Northern Raven,Irish Wildlife Sounds,Ireland,2022-03-31,07:30,44,A,flight call,field recording,no,[],44100,https://xeno-canto.org/735515,https://xeno-canto.org/735515/download,src/dataset/bird_data/raw/corvus_corax/XC735515.mp3
794703,Corvus corax,Northern Raven,Paul Donald,United Kingdom,2023-04-21,08:00,42,A,call,field recording,no,[],44100,https://xeno-canto.org/794703,https://xeno-canto.org/794703/download,src/dataset/bird_data/raw/corvus_corax/XC794703.mp3
763188,Corvus corax,Northern Raven,Simon Elliott,United Kingdom,1986-05-16,07:30,17,A,"alarm call, flight call",field recording,yes,[],48000,https://xeno-canto.org/763188,https://xeno-canto.org/763188/download,src/dataset/bird_data/raw/corvus_corax/XC763188.mp3
812066,Corvus corax,Northern Raven,Paul Driver,United Kingdom,2022-06-15,06:22,45,A,begging call,field recording,yes,[],44100,https://xeno-canto.org/812066,https://xeno-canto.org/812066/download,src/dataset/bird_data/raw/corvus_corax/XC812066.mp3
1025335,Corvus corax,Northern Raven,David Boyle,United Kingdom,2025-07-31,05:30,23,B,flight call,field recording,no,[],48000,https://xeno-canto.org/1025335,https://xeno-canto.org/1025335/download,src/dataset/bird_data/raw/corvus_corax/XC1025335.mp3
1040780,Corvus corax,Northern Raven,Stewart Hares,United Kingdom,2024-08-26,10:00,8,B,"call, duet",field recording,yes,"[""Erithacus rubecula""]",44100,https://xeno-canto.org/1040780,https://xeno-canto.org/1040780/download,src/dataset/bird_data/raw/corvus_corax/XC1040780.mp3
941732,Corvus corax,Northern Raven,Michael John O Mahony,Ireland,2024-09-04,08:30,9,B,flight call,field recording,no,[],24000,https://xeno-canto.org/941732,https://xeno-canto.org/941732/download,src/dataset/bird_data/raw/corvus_corax/XC941732.mp3
62900,Corvus corax,Northern Raven,Dougie Preston,United Kingdom,2010-10-06,?,50,A,call,field recording,unknown,[],44100,https://xeno-canto.org/62900,https://xeno-canto.org/62900/download,src/dataset/bird_data/raw/corvus_corax/XC62900.mp3
1063439,Corvus corax,Northern Raven,Paul Kelly,Ireland,2025-11-26,16:00,12,B,call,field recording,no,[],24000,https://xeno-canto.org/1063439,https://xeno-canto.org/1063439/download,src/dataset/bird_data/raw/corvus_corax/XC1063439.mp3
955965,Corvus corax,Northern Raven,Mark Plummer,United Kingdom,2024-12-14,14:10,10,A,"call, flight call",field recording,no,"[""Corvus corone""]",48000,https://xeno-canto.org/955965,https://xeno-canto.org/955965/download,src/dataset/bird_data/raw/corvus_corax/XC955965.mp3
962880,Corvus corax,Northern Raven,Andrew Harrop,United Kingdom,2025-01-22,10:00,11,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/962880,https://xeno-canto.org/962880/download,src/dataset/bird_data/raw/corvus_corax/XC962880.mp3
871750,Corvus corax,Northern Raven,Andrew Harrop,United Kingdom,2024-02-08,11:00,6,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/871750,https://xeno-canto.org/871750/download,src/dataset/bird_data/raw/corvus_corax/XC871750.mp3
723078,Corvus corax,Northern Raven,Irish Wildlife Sounds,Ireland,2022-03-28,07:00,15,B,flight call,field recording,no,[],44100,https://xeno-canto.org/723078,https://xeno-canto.org/723078/download,src/dataset/bird_data/raw/corvus_corax/XC723078.mp3
763187,Corvus corax,Northern Raven,Simon Elliott,United Kingdom,2006-04-23,09:30,15,A,"alarm call, flight call",field recording,yes,[],48000,https://xeno-canto.org/763187,https://xeno-canto.org/763187/download,src/dataset/bird_data/raw/corvus_corax/XC763187.mp3
763185,Corvus corax,Northern Raven,Simon Elliott,United Kingdom,2005-05-30,07:30,17,A,call,field recording,yes,"[""Fringilla coelebs"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/763185,https://xeno-canto.org/763185/download,src/dataset/bird_data/raw/corvus_corax/XC763185.mp3
915964,Corvus corax,Northern Raven,Paul Kelly,Ireland,2024-06-23,05:30,19,B,begging call,field recording,no,"[""Alauda arvensis"", ""Turdus philomelos"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/915964,https://xeno-canto.org/915964/download,src/dataset/bird_data/raw/corvus_corax/XC915964.mp3
1024294,Corvus corax,Northern Raven,David Darrell-Lambert,United Kingdom,2025-07-28,19:00,12,B,flight call,field recording,yes,[],32000,https://xeno-canto.org/1024294,https://xeno-canto.org/1024294/download,src/dataset/bird_data/raw/corvus_corax/XC1024294.mp3
1035635,Corvus corax,Northern Raven,Colm Philpott,Ireland,2025-08-23,10:00,43,B,uncertain,in the hand,yes,[],44100,https://xeno-canto.org/1035635,https://xeno-canto.org/1035635/download,src/dataset/bird_data/raw/corvus_corax/XC1035635.mp3
934389,Corvus corax,Northern Raven,Paul Kelly,Ireland,2024-09-12,19:30,5,B,call,field recording,no,[],44100,https://xeno-canto.org/934389,https://xeno-canto.org/934389/download,src/dataset/bird_data/raw/corvus_corax/XC934389.mp3
