xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
706760,Corvus cornix,Hooded Crow,Irish Wildlife Sounds,Ireland,2022-01-29,08:00,11,A,alarm call,field recording,no,[],44100,https://xeno-canto.org/706760,https://xeno-canto.org/706760/download,
875335,Corvus cornix,Hooded Crow,Andrew Harrop,United Kingdom,2024-02-16,09:30,4,B,"alarm call, flight call",field recording,yes,[],44100,https://xeno-canto.org/875335,https://xeno-canto.org/875335/download,
717835,Corvus cornix,Hooded Crow,Irish Wildlife Sounds,Ireland,2022-03-25,07:00,9,A,flight call,field recording,no,[],44100,https://xeno-canto.org/717835,https://xeno-canto.org/717835/download,
717706,Corvus cornix,Hooded Crow,Irish Wildlife Sounds,Ireland,2022-04-01,17:00,25,A,call,field recording,yes,[],44100,https://xeno-canto.org/717706,https://xeno-canto.org/717706/download,
996155,Corvus cornix,Hooded Crow,Colm Philpott,Ireland,2025-05-06,15:00,21,B,uncertain,in the hand,yes,[],44100,https://xeno-canto.org/996155,https://xeno-canto.org/996155/download,
735195,Corvus cornix,Hooded Crow,Irish Wildlife Sounds,Ireland,2022-06-14,07:30,7,B,alarm call,field recording,no,[],44100,https://xeno-canto.org/735195,https://xeno-canto.org/735195/download,
668519,Corvus cornix,Hooded Crow,Sean Morris,United Kingdom,2021-07-23,05:42,19,B,"flight call, wing beats",field recording,no,"[""Gavia stellata"", ""Spinus spinus"", ""Periparus ater""]",48000,https://xeno-canto.org/668519,https://xeno-canto.org/668519/download,
1052813,Corvus cornix,Hooded Crow,Colm Philpott,Ireland,2025-08-24,13:30,2,B,uncertain,field recording,no,[],44100,https://xeno-canto.org/1052813,https://xeno-canto.org/1052813/download,
686758,Corvus cornix,Hooded Crow,Irish Wildlife Sounds,Ireland,2021-09-02,02:00,12,A,flight call,field recording,no,[],44100,https://xeno-canto.org/686758,https://xeno-canto.org/686758/download,
939840,Corvus cornix,Hooded Crow,Andrew Harrop,United Kingdom,2024-10-12,15:30,24,B,call,field recording,yes,[],44100,https://xeno-canto.org/939840,https://xeno-canto.org/939840/download,
1058278,Corvus cornix,Hooded Crow,Colm Philpott,Ireland,2025-11-19,14:00,28,B,uncertain,field recording,no,[],44100,https://xeno-canto.org/1058278,https://xeno-canto.org/1058278/download,
771714,Corvus cornix,Hooded Crow,Paul Archer,Ireland,2022-12-26,16:00,45,A,call,field recording,yes,[],44100,https://xeno-canto.org/771714,https://xeno-canto.org/771714/download,
628789,Corvus cornix,Hooded Crow,Sean Morris,United Kingdom,2021-01-31,11:18,4,A,call,field recording,no,[],44100,https://xeno-canto.org/628789,https://xeno-canto.org/628789/download,
621406,Corvus cornix,Hooded Crow,Irish Wildlife Sounds,Ireland,2021-02-06,9:00,7,B,call,field recording,no,[],44100,https://xeno-canto.org/621406,https://xeno-canto.org/621406/download,
785223,Corvus cornix,Hooded Crow,Andrew Harrop,United Kingdom,2023-03-10,09:00,3,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/785223,https://xeno-canto.org/785223/download,
642547,Corvus cornix,Hooded Crow,Sean Morris,United Kingdom,2021-04-25,16:00,49,B,alarm call,field recording,yes,"[""Fringilla coelebs"", ""Turdus merula"", ""Corvus corax"", ""Parus major"", ""Anthus pratensis"", ""Vanellus vanellus""]",44100,https://xeno-canto.org/642547,https://xeno-canto.org/642547/download,
372358,Corvus cornix,Hooded Crow,GABRIEL LEITE,Ireland,2017-05-27,08:00,16,B,song,field recording,yes,[],48000,https://xeno-canto.org/372358,https://xeno-canto.org/372358/download,
571216,Corvus cornix,Hooded Crow,Mr Mark Shorten,Ireland,2020-06-24,09:00,22,B,"begging call, call",field recording,unknown,[],48000,https://xeno-canto.org/571216,https://xeno-canto.org/571216/download,
667682,Corvus cornix,Hooded Crow,Irish Wildlife Sounds,Ireland,2021-07-08,8:00,10,B,call,field recording,no,[],44100,https://xeno-canto.org/667682,https://xeno-canto.org/667682/download,
1031417,Corvus cornix,Hooded Crow,Krzysztof Deoniziak,United Kingdom,2025-08-21,12:30,13,B,call,field recording,yes,[],44100,https://xeno-canto.org/1031417,https://xeno-canto.org/1031417/download,
497501,Corvus cornix,Hooded Crow,Andrew Harrop,United Kingdom,2019-09-16,15:30,16,B,call,field recording,yes,[],48000,https://xeno-canto.org/497501,https://xeno-canto.org/497501/download,
692954,Corvus cornix,Hooded Crow,Irish Wildlife Sounds,Ireland,2021-10-20,08:00,19,B,"flight call, rolling alarm",field recording,no,[],44100,https://xeno-canto.org/692954,https://xeno-canto.org/692954/download,
1056053,Corvus cornix,Hooded Crow,Colm Philpott,Ireland,2025-11-16,11:30,19,B,uncertain,field recording,yes,[],44100,https://xeno-canto.org/1056053,https://xeno-canto.org/1056053/download,
775199,Corvus cornix,Hooded Crow,Irish Wildlife Sounds,Ireland,2022-12-14,08:00,35,B,"call, wingbeats",field recording,no,[],44100,https://xeno-canto.org/775199,https://xeno-canto.org/775199/download,
1070189,Corvus cornix,Hooded Crow,Colm Philpott,Ireland,2026-01-02,13:00,9,B,uncertain,field recording,yes,[],44100,https://xeno-canto.org/1070189,https://xeno-canto.org/1070189/download,
971562,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2025-02-05,09:33,3,A,call,field recording,yes,[],44100,https://xeno-canto.org/971562,https://xeno-canto.org/971562/download,
723068,Corvus cornix,Hooded Crow,Irish Wildlife Sounds,Ireland,2022-03-27,08:00,8,B,call,field recording,no,[],44100,https://xeno-canto.org/723068,https://xeno-canto.org/723068/download,
988976,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2025-04-16,06:57,6,A,call,field recording,yes,[],44100,https://xeno-canto.org/988976,https://xeno-canto.org/988976/download,
318232,Corvus cornix,Hooded Crow,Bernard BOUSQUET,United Kingdom,2016-05-10,15:00,10,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/318232,https://xeno-canto.org/318232/download,
566066,Corvus cornix,Hooded Crow,Mr Mark Shorten,Ireland,2020-06-07,06:00,3,B,call,field recording,no,[],44100,https://xeno-canto.org/566066,https://xeno-canto.org/566066/download,
661652,Corvus cornix,Hooded Crow,Sean Morris,United Kingdom,2021-07-05,11:34,14,B,"call, flight call",field recording,yes,"[""Alauda arvensis""]",48000,https://xeno-canto.org/661652,https://xeno-canto.org/661652/download,
670413,Corvus cornix,Hooded Crow,Sean Morris,United Kingdom,2021-08-23,05:35,30,B,call,field recording,unknown,"[""Larus argentatus""]",48000,https://xeno-canto.org/670413,https://xeno-canto.org/670413/download,
1047294,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2021-09-30,07:00,4,A,call,field recording,no,[],44100,https://xeno-canto.org/1047294,https://xeno-canto.org/1047294/download,
692953,Corvus cornix,Hooded Crow,Irish Wildlife Sounds,Ireland,2021-10-13,08:00,12,B,"flight call, wingbeats",field recording,no,[],44100,https://xeno-canto.org/692953,https://xeno-canto.org/692953/download,
767197,Corvus cornix,Hooded Crow,Irish Wildlife Sounds,Ireland,2022-11-19,07:30,12,B,flight call,field recording,no,[],44100,https://xeno-canto.org/767197,https://xeno-canto.org/767197/download,
775194,Corvus cornix,Hooded Crow,Irish Wildlife Sounds,Ireland,2022-12-14,08:00,12,B,call,field recording,no,[],44100,https://xeno-canto.org/775194,https://xeno-canto.org/775194/download,
1070188,Corvus cornix,Hooded Crow,Colm Philpott,Ireland,2026-01-02,12:00,16,B,uncertain,field recording,yes,[],44100,https://xeno-canto.org/1070188,https://xeno-canto.org/1070188/download,
971553,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2025-02-05,09:25,43,A,call,field recording,yes,[],44100,https://xeno-canto.org/971553,https://xeno-canto.org/971553/download,
723067,Corvus cornix,Hooded Crow,Irish Wildlife Sounds,Ireland,2022-03-27,08:00,8,B,call,field recording,no,[],44100,https://xeno-canto.org/723067,https://xeno-canto.org/723067/download,
988137,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2025-04-14,07:08,4,A,call,field recording,yes,[],44100,https://xeno-canto.org/988137,https://xeno-canto.org/988137/download,
1002035,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2025-05-27,07:04,5,A,call,field recording,yes,[],44100,https://xeno-canto.org/1002035,https://xeno-canto.org/1002035/download,
110062,Corvus cornix,Hooded Crow,Morgan Williams,Ireland,2010-06-10,11:00,29,B,call,field recording,unknown,[],44100,https://xeno-canto.org/110062,https://xeno-canto.org/110062/download,
394046,Corvus cornix,Hooded Crow,Dominic Garcia-Hall,Ireland,2017-07-02,23:00,4,B,"call, flight call",field recording,yes,[],44100,https://xeno-canto.org/394046,https://xeno-canto.org/394046/download,
191403,Corvus cornix,Hooded Crow,Oscar Campbell,Ireland,2014-08-09,06:30,45,B,call,field recording,yes,"[""Pica pica"", ""Troglodytes troglodytes"", ""Linaria cannabina""]",44100,https://xeno-canto.org/191403,https://xeno-canto.org/191403/download,
1043587,Corvus cornix,Hooded Crow,Johannes Worona,Germany,2025-09-24,08:10,5,A,call,field recording,no,[],44100,https://xeno-canto.org/1043587,https://xeno-canto.org/1043587/download,
500619,Corvus cornix,Hooded Crow,Andrew Harrop,United Kingdom,2019-10-03,13:30,6,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/500619,https://xeno-canto.org/500619/download,
506479,Corvus cornix,Hooded Crow,David Darrell-Lambert,United Kingdom,2019-11-06,12:30,21,B,song,field recording,yes,[],48000,https://xeno-canto.org/506479,https://xeno-canto.org/506479/download,
