xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1024253,Corvus frugilegus,Rook,Ulf Elman,Sweden,2025-07-30,05:44,21,A,call,field recording,yes,"[""Coloeus monedula""]",48000,https://xeno-canto.org/1024253,https://xeno-canto.org/1024253/download,
960647,Corvus frugilegus,Rook,Shaun Micklewright,United Kingdom,2025-01-07,16:00,59,A,call,field recording,yes,[],44100,https://xeno-canto.org/960647,https://xeno-canto.org/960647/download,
944398,Corvus frugilegus,Rook,Bodo Sonnenburg,Germany,2024-11-02,12:09,38,A,call,field recording,yes,[],48000,https://xeno-canto.org/944398,https://xeno-canto.org/944398/download,
911573,Corvus frugilegus,Rook,Lennart Jeppsson,Sweden,2024-06-02,09:30,33,A,begging call,field recording,yes,"[""Turdus merula""]",48000,https://xeno-canto.org/911573,https://xeno-canto.org/911573/download,
872926,Corvus frugilegus,Rook,Hannu Varkki,Finland,2023-05-14,09:06,35,A,call,field recording,yes,"[""Phylloscopus trochilus"", ""Coloeus monedula""]",48000,https://xeno-canto.org/872926,https://xeno-canto.org/872926/download,
777776,Corvus frugilegus,Rook,Dean McDonnell,Ireland,2023-01-27,15:00,17,A,"call, flight call",field recording,no,[],44100,https://xeno-canto.org/777776,https://xeno-canto.org/777776/download,
767314,Corvus frugilegus,Rook,SonoNatura,Spain,2022-12-09,10:30,15,A,call,field recording,yes,[],48000,https://xeno-canto.org/767314,https://xeno-canto.org/767314/download,
767313,Corvus frugilegus,Rook,SonoNatura,Spain,2022-12-09,10:30,30,A,call,field recording,yes,[],48000,https://xeno-canto.org/767313,https://xeno-canto.org/767313/download,
745457,Corvus frugilegus,Rook,Lars Edenius,Sweden,2022-08-22,06:00,27,A,"alarm call, call",field recording,no,"[""Columba palumbus"", ""Coloeus monedula""]",44100,https://xeno-canto.org/745457,https://xeno-canto.org/745457/download,
715079,Corvus frugilegus,Rook,Lars Edenius,Sweden,2022-04-13,07:00,8,A,call,field recording,yes,[],48000,https://xeno-canto.org/715079,https://xeno-canto.org/715079/download,
667310,Corvus frugilegus,Rook,Mats Rellmar,Sweden,2021-03-17,11:00,34,A,call,field recording,yes,[],44100,https://xeno-canto.org/667310,https://xeno-canto.org/667310/download,
647763,Corvus frugilegus,Rook,Irish Wildlife Sounds,Ireland,2021-04-12,10:00,26,A,flight call,field recording,no,[],44100,https://xeno-canto.org/647763,https://xeno-canto.org/647763/download,
647752,Corvus frugilegus,Rook,Irish Wildlife Sounds,Ireland,2021-04-07,08:00,11,A,uncertain,field recording,no,[],44100,https://xeno-canto.org/647752,https://xeno-canto.org/647752/download,
637798,Corvus frugilegus,Rook,Irish Wildlife Sounds,Ireland,2021-04-05,9:00,13,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/637798,https://xeno-canto.org/637798/download,
618149,Corvus frugilegus,Rook,Irish Wildlife Sounds,Ireland,2021-01-18,09:30,47,A,call,field recording,yes,[],44100,https://xeno-canto.org/618149,https://xeno-canto.org/618149/download,
614528,Corvus frugilegus,Rook,Jarek Matusiak,Poland,2021-01-09,14:00,6,A,song,field recording,unknown,[],48000,https://xeno-canto.org/614528,https://xeno-canto.org/614528/download,
603681,Corvus frugilegus,Rook,Micha Luhn,Germany,2020-11-15,08:20,5,A,call,field recording,no,[],48000,https://xeno-canto.org/603681,https://xeno-canto.org/603681/download,
519578,Corvus frugilegus,Rook,Jarek Matusiak,Poland,2020-01-12,15:00,58,A,"flight call, song",field recording,unknown,[],48000,https://xeno-canto.org/519578,https://xeno-canto.org/519578/download,
519566,Corvus frugilegus,Rook,Jarek Matusiak,Poland,2020-01-12,15:00,28,A,"flight call, song",field recording,unknown,[],48000,https://xeno-canto.org/519566,https://xeno-canto.org/519566/download,
