species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
corvus_frugilegus,960647,Corvus frugilegus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\corvus_frugilegus\XC960647.mp3,21.0,24.0,-22.868582574295292,-24.19020941917246,species,Corvus frugilegus,Rook,0.9995142221450806,0.9995142221450806,species,0.0,,,
corvus_frugilegus,960647,Corvus frugilegus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\corvus_frugilegus\XC960647.mp3,24.0,27.0,-23.53197470650462,-24.19020941917246,species,Corvus frugilegus,Rook,0.9990072846412659,0.9990072846412659,species,0.0,,,
corvus_frugilegus,960647,Corvus frugilegus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\corvus_frugilegus\XC960647.mp3,27.0,30.0,-22.57516226060398,-24.19020941917246,species,Corvus frugilegus,Rook,0.9990990161895752,0.9990990161895752,species,1.0,rand_species,bird_data\clips\species\corvus_frugilegus\XC960647__s27000__e30000.wav,
corvus_frugilegus,960647,Corvus frugilegus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\corvus_frugilegus\XC960647.mp3,39.0,42.0,-22.108302519496338,-24.19020941917246,species,Corvus frugilegus,Rook,0.9984368681907654,0.9984368681907654,species,1.0,rand_species,bird_data\clips\species\corvus_frugilegus\XC960647__s39000__e42000.wav,
corvus_frugilegus,960647,Corvus frugilegus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\corvus_frugilegus\XC960647.mp3,42.0,45.0,-20.326844733155347,-24.19020941917246,species,Corvus frugilegus,Rook,0.9962704181671143,0.9962704181671143,species,0.0,,,
corvus_frugilegus,960647,Corvus frugilegus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\corvus_frugilegus\XC960647.mp3,45.0,48.0,-20.19123985320644,-24.19020941917246,species,Corvus frugilegus,Rook,0.9992399215698242,0.9992399215698242,species,1.0,rand_species,bird_data\clips\species\corvus_frugilegus\XC960647__s45000__e48000.wav,
corvus_frugilegus,456940,Corvus frugilegus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\corvus_frugilegus\XC456940.mp3,1.0,4.0,-36.75310984400749,-39.612563294689814,species,Corvus frugilegus,Rook,0.9650112390518188,0.9650112390518188,species,1.0,rand_species,bird_data\clips\species\corvus_frugilegus\XC456940__s1000__e4000.wav,
corvus_frugilegus,456940,Corvus frugilegus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\corvus_frugilegus\XC456940.mp3,13.0,16.0,-39.45825142531922,-39.612563294689814,drop,Corvus monedula,Eurasian Jackdaw,0.8086435794830322,0.8086435794830322,drop,0.0,,,
corvus_frugilegus,456940,Corvus frugilegus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\corvus_frugilegus\XC456940.mp3,16.0,19.0,-35.658670404922944,-39.612563294689814,drop,Corvus monedula,Eurasian Jackdaw,0.46653369069099426,0.46653369069099426,drop,0.0,,,
corvus_frugilegus,456940,Corvus frugilegus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\corvus_frugilegus\XC456940.mp3,19.0,22.0,-36.64430477841168,-39.612563294689814,species,Corvus frugilegus,Rook,0.9834274649620056,0.9834274649620056,species,1.0,rand_species,bird_data\clips\species\corvus_frugilegus\XC456940__s19000__e22000.wav,
corvus_frugilegus,456940,Corvus frugilegus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\corvus_frugilegus\XC456940.mp3,22.0,25.0,-36.67347267016512,-39.612563294689814,species,Corvus frugilegus,Rook,0.9827073216438293,0.9827073216438293,species,1.0,rand_species,bird_data\clips\species\corvus_frugilegus\XC456940__s22000__e25000.wav,
corvus_frugilegus,456940,Corvus frugilegus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\corvus_frugilegus\XC456940.mp3,25.0,28.0,-34.67011437124953,-39.612563294689814,drop,Corvus cornix,Hooded Crow,0.28444576263427734,0.28444576263427734,drop,0.0,,,
corvus_frugilegus,710846,Corvus frugilegus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\corvus_frugilegus\XC710846.mp3,4.0,7.0,-38.62650375860139,-39.39966716190578,species,Corvus frugilegus,Rook,0.980881929397583,0.980881929397583,species,1.0,rand_species,bird_data\clips\species\corvus_frugilegus\XC710846__s4000__e7000.wav,
corvus_frugilegus,710846,Corvus frugilegus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\corvus_frugilegus\XC710846.mp3,7.0,10.0,-39.27203450641459,-39.39966716190578,species,Corvus frugilegus,Rook,0.9982519745826721,0.9982519745826721,species,1.0,rand_species,bird_data\clips\species\corvus_frugilegus\XC710846__s7000__e10000.wav,
corvus_frugilegus,710846,Corvus frugilegus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\corvus_frugilegus\XC710846.mp3,10.0,13.0,-38.98974765913012,-39.39966716190578,species,Corvus frugilegus,Rook,0.97988361120224,0.97988361120224,species,1.0,rand_species,bird_data\clips\species\corvus_frugilegus\XC710846__s10000__e13000.wav,
corvus_frugilegus,647763,Corvus frugilegus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\corvus_frugilegus\XC647763.mp3,10.0,13.0,-29.987175504114354,-40.0,species,Corvus frugilegus,Rook,0.9897639751434326,0.9897639751434326,species,1.0,rand_species,bird_data\clips\species\corvus_frugilegus\XC647763__s10000__e13000.wav,
corvus_frugilegus,647763,Corvus frugilegus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\corvus_frugilegus\XC647763.mp3,13.0,16.0,-36.42945102611029,-40.0,species,Corvus frugilegus,Rook,0.9788080453872681,0.9788080453872681,species,1.0,rand_species,bird_data\clips\species\corvus_frugilegus\XC647763__s13000__e16000.wav,
corvus_frugilegus,949915,Corvus frugilegus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\corvus_frugilegus\XC949915.mp3,13.0,16.0,-61.25373450873586,-40.0,species,Corvus frugilegus,Rook,0.842422366142273,0.842422366142273,species,1.0,rand_species,bird_data\clips\species\corvus_frugilegus\XC949915__s13000__e16000.wav,
corvus_frugilegus,914928,Corvus frugilegus,c:\Users\shado\Year3Projects\FYP\src\dataset\bird_data\raw\corvus_frugilegus\XC914928.mp3,1.0,4.0,-16.072519767869057,-20.016064102089757,species,Corvus frugilegus,Rook,0.7685293555259705,0.7685293555259705,species,1.0,rand_species,bird_data\clips\species\corvus_frugilegus\XC914928__s1000__e4000.wav,
