xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
960647,Corvus frugilegus,Rook,Shaun Micklewright,United Kingdom,2025-01-07,16:00,59,A,call,field recording,yes,[],44100,https://xeno-canto.org/960647,https://xeno-canto.org/960647/download,bird_data\raw\corvus_frugilegus\XC960647.mp3
456940,Corvus frugilegus,Rook,David Darrell-Lambert,United Kingdom,2019-02-09,15:00,32,B,call,field recording,yes,"[""Coloeus monedula""]",48000,https://xeno-canto.org/456940,https://xeno-canto.org/456940/download,bird_data\raw\corvus_frugilegus\XC456940.mp3
710846,Corvus frugilegus,Rook,Andrew Harrop,United Kingdom,2022-03-24,10:30,18,B,call,field recording,yes,[],44100,https://xeno-canto.org/710846,https://xeno-canto.org/710846/download,bird_data\raw\corvus_frugilegus\XC710846.mp3
647763,Corvus frugilegus,Rook,Irish Wildlife Sounds,Ireland,2021-04-12,10:00,26,A,flight call,field recording,no,[],44100,https://xeno-canto.org/647763,https://xeno-canto.org/647763/download,bird_data\raw\corvus_frugilegus\XC647763.mp3
949915,Corvus frugilegus,Rook,Arjun Dutta,United Kingdom,2023-05-16,11:00,18,B,"call, flight call",field recording,yes,[],44100,https://xeno-canto.org/949915,https://xeno-canto.org/949915/download,bird_data\raw\corvus_frugilegus\XC949915.mp3
914928,Corvus frugilegus,Rook,Paul Kelly,Ireland,2024-06-12,05:00,15,B,call,field recording,no,[],44100,https://xeno-canto.org/914928,https://xeno-canto.org/914928/download,bird_data\raw\corvus_frugilegus\XC914928.mp3
1023360,Corvus frugilegus,Rook,Filippo Ceccolini,United Kingdom,2025-07-23,20:10,10,B,call,field recording,no,[],48000,https://xeno-canto.org/1023360,https://xeno-canto.org/1023360/download,bird_data\raw\corvus_frugilegus\XC1023360.mp3
1062955,Corvus frugilegus,Rook,Colm Philpott,Ireland,2025-08-19,15:00,5,B,uncertain,field recording,yes,[],44100,https://xeno-canto.org/1062955,https://xeno-canto.org/1062955/download,bird_data\raw\corvus_frugilegus\XC1062955.mp3
1041209,Corvus frugilegus,Rook,Colm Philpott,Ireland,2025-09-22,18:30,23,B,uncertain,field recording,yes,[],44100,https://xeno-canto.org/1041209,https://xeno-canto.org/1041209/download,bird_data\raw\corvus_frugilegus\XC1041209.mp3
755396,Corvus frugilegus,Rook,Stuart Fisher,United Kingdom,2022-10-09,07:30,19,B,call,field recording,yes,"[""Regulus regulus"", ""Anser anser"", ""Erithacus rubecula""]",96000,https://xeno-canto.org/755396,https://xeno-canto.org/755396/download,bird_data\raw\corvus_frugilegus\XC755396.mp3
