xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
788594,Cuculus canorus,Common Cuckoo,Olivier SWIFT,France,2023-03-27,09:09,25,A,song,field recording,yes,"[""Fringilla coelebs"", ""Erithacus rubecula"", ""Phylloscopus collybita""]",44100,https://xeno-canto.org/788594,https://xeno-canto.org/788594/download,bird_data\raw\cuculus_canorus\XC788594.mp3
985856,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2024-04-23,19:30,24,A,song,field recording,yes,[],48000,https://xeno-canto.org/985856,https://xeno-canto.org/985856/download,bird_data\raw\cuculus_canorus\XC985856.mp3
1047797,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2023-05-10,12:00,14,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047797,https://xeno-canto.org/1047797/download,bird_data\raw\cuculus_canorus\XC1047797.mp3
1008676,Cuculus canorus,Common Cuckoo,David Pennington,United Kingdom,2025-06-21,03:56,8,A,call,field recording,no,[],44100,https://xeno-canto.org/1008676,https://xeno-canto.org/1008676/download,bird_data\raw\cuculus_canorus\XC1008676.mp3
1023233,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2025-07-27,09:00,50,A,begging call,field recording,yes,[],32000,https://xeno-canto.org/1023233,https://xeno-canto.org/1023233/download,bird_data\raw\cuculus_canorus\XC1023233.mp3
825325,Cuculus canorus,Common Cuckoo,Bodo Sonnenburg,Germany,2023-08-27,05:47,15,A,call,field recording,no,"[""Corvus cornix""]",48000,https://xeno-canto.org/825325,https://xeno-canto.org/825325/download,bird_data\raw\cuculus_canorus\XC825325.mp3
600718,Cuculus canorus,Common Cuckoo,Feliu López i Gelats,Spain,2020-10-02,02:30,15,B,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/600718,https://xeno-canto.org/600718/download,bird_data\raw\cuculus_canorus\XC600718.mp3
631911,Cuculus canorus,Common Cuckoo,tardy sylvain,France,2021-03-25,01:06,6,A,"nocturnal flight call, tawny owl",field recording,no,[],44100,https://xeno-canto.org/631911,https://xeno-canto.org/631911/download,bird_data\raw\cuculus_canorus\XC631911.mp3
650319,Cuculus canorus,Common Cuckoo,Huw Lloyd,United Kingdom,2021-04-30,18:30,47,A,song,field recording,no,[],44100,https://xeno-canto.org/650319,https://xeno-canto.org/650319/download,bird_data\raw\cuculus_canorus\XC650319.mp3
1047795,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2023-05-02,10:00,38,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047795,https://xeno-canto.org/1047795/download,bird_data\raw\cuculus_canorus\XC1047795.mp3
917958,Cuculus canorus,Common Cuckoo,Arjun Dutta,United Kingdom,2024-06-03,20:15,42,A,song,field recording,yes,[],44100,https://xeno-canto.org/917958,https://xeno-canto.org/917958/download,bird_data\raw\cuculus_canorus\XC917958.mp3
267944,Cuculus canorus,Common Cuckoo,Martin Sutherland,United Kingdom,2015-07-19,07:00,42,A,begging call,field recording,yes,[],44100,https://xeno-canto.org/267944,https://xeno-canto.org/267944/download,bird_data\raw\cuculus_canorus\XC267944.mp3
582752,Cuculus canorus,Common Cuckoo,Bodo Sonnenburg,Germany,2020-08-16,07:37,45,A,begging call,field recording,yes,"[""Hirundo rustica""]",48000,https://xeno-canto.org/582752,https://xeno-canto.org/582752/download,bird_data\raw\cuculus_canorus\XC582752.mp3
542700,Cuculus canorus,Common Cuckoo,Jack Berteau,France,2020-03-15,15:30,9,A,song,field recording,no,"[""Phylloscopus collybita""]",48000,https://xeno-canto.org/542700,https://xeno-canto.org/542700/download,bird_data\raw\cuculus_canorus\XC542700.mp3
650317,Cuculus canorus,Common Cuckoo,Huw Lloyd,United Kingdom,2021-04-30,11:30,53,A,song,field recording,no,[],44100,https://xeno-canto.org/650317,https://xeno-canto.org/650317/download,bird_data\raw\cuculus_canorus\XC650317.mp3
1047794,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2023-05-01,08:00,12,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047794,https://xeno-canto.org/1047794/download,bird_data\raw\cuculus_canorus\XC1047794.mp3
779253,Cuculus canorus,Common Cuckoo,Huw Lloyd,United Kingdom,2022-06-07,21:30,11,A,"call, song",field recording,no,[],44100,https://xeno-canto.org/779253,https://xeno-canto.org/779253/download,bird_data\raw\cuculus_canorus\XC779253.mp3
267945,Cuculus canorus,Common Cuckoo,Martin Sutherland,United Kingdom,2015-07-28,16:30,26,B,begging call,field recording,yes,[],44100,https://xeno-canto.org/267945,https://xeno-canto.org/267945/download,bird_data\raw\cuculus_canorus\XC267945.mp3
394656,Cuculus canorus,Common Cuckoo,Frank Roos,Netherlands,2014-08-15,13:00,3,A,begging call,field recording,yes,[],44100,https://xeno-canto.org/394656,https://xeno-canto.org/394656/download,bird_data\raw\cuculus_canorus\XC394656.mp3
307855,Cuculus canorus,Common Cuckoo,Carlos W.,Spain,2016-03-20,10:00,19,A,song,field recording,yes,[],44100,https://xeno-canto.org/307855,https://xeno-canto.org/307855/download,bird_data\raw\cuculus_canorus\XC307855.mp3
650316,Cuculus canorus,Common Cuckoo,Huw Lloyd,United Kingdom,2021-04-30,11:30,34,A,song,field recording,no,[],44100,https://xeno-canto.org/650316,https://xeno-canto.org/650316/download,bird_data\raw\cuculus_canorus\XC650316.mp3
1047793,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2022-05-12,05:00,50,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047793,https://xeno-canto.org/1047793/download,bird_data\raw\cuculus_canorus\XC1047793.mp3
747892,Cuculus canorus,Common Cuckoo,Huw Lloyd,United Kingdom,2022-06-07,10:30,11,A,"call, song",field recording,no,[],44100,https://xeno-canto.org/747892,https://xeno-canto.org/747892/download,bird_data\raw\cuculus_canorus\XC747892.mp3
814505,Cuculus canorus,Common Cuckoo,David Kuster,Germany,2023-07-05,07:00,32,A,begging call,field recording,yes,[],44100,https://xeno-canto.org/814505,https://xeno-canto.org/814505/download,bird_data\raw\cuculus_canorus\XC814505.mp3
194311,Cuculus canorus,Common Cuckoo,Tomek Tumiel,Poland,2014-08-06,15:00,40,A,begging call,field recording,yes,"[""Saxicola rubetra""]",48000,https://xeno-canto.org/194311,https://xeno-canto.org/194311/download,bird_data\raw\cuculus_canorus\XC194311.mp3
788606,Cuculus canorus,Common Cuckoo,Olivier SWIFT,France,2023-03-27,09:52,25,B,"call, song",field recording,yes,"[""Fringilla coelebs""]",44100,https://xeno-canto.org/788606,https://xeno-canto.org/788606/download,bird_data\raw\cuculus_canorus\XC788606.mp3
650315,Cuculus canorus,Common Cuckoo,Huw Lloyd,United Kingdom,2021-04-30,11:00,23,A,song,field recording,no,[],44100,https://xeno-canto.org/650315,https://xeno-canto.org/650315/download,bird_data\raw\cuculus_canorus\XC650315.mp3
1047792,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2022-05-09,06:00,37,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047792,https://xeno-canto.org/1047792/download,bird_data\raw\cuculus_canorus\XC1047792.mp3
747891,Cuculus canorus,Common Cuckoo,Huw Lloyd,United Kingdom,2022-06-07,10:30,13,A,"call, song",field recording,no,[],44100,https://xeno-canto.org/747891,https://xeno-canto.org/747891/download,bird_data\raw\cuculus_canorus\XC747891.mp3
664594,Cuculus canorus,Common Cuckoo,bert de bruin,Denmark,2021-07-10,20:00,32,A,song,field recording,no,[],44100,https://xeno-canto.org/664594,https://xeno-canto.org/664594/download,bird_data\raw\cuculus_canorus\XC664594.mp3
85944,Cuculus canorus,Common Cuckoo,Patrik Åberg,Sweden,2011-08-04,08:32,58,A,begging call,field recording,unknown,[],44100,https://xeno-canto.org/85944,https://xeno-canto.org/85944/download,bird_data\raw\cuculus_canorus\XC85944.mp3
788599,Cuculus canorus,Common Cuckoo,Olivier SWIFT,France,2023-03-27,09:10,42,B,"call, song",field recording,yes,[],44100,https://xeno-canto.org/788599,https://xeno-canto.org/788599/download,bird_data\raw\cuculus_canorus\XC788599.mp3
650314,Cuculus canorus,Common Cuckoo,Huw Lloyd,United Kingdom,2021-04-30,08:30,12,A,song,field recording,no,[],44100,https://xeno-canto.org/650314,https://xeno-canto.org/650314/download,bird_data\raw\cuculus_canorus\XC650314.mp3
1047791,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2020-05-08,08:00,8,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047791,https://xeno-canto.org/1047791/download,bird_data\raw\cuculus_canorus\XC1047791.mp3
747890,Cuculus canorus,Common Cuckoo,Huw Lloyd,United Kingdom,2022-06-09,04:00,8,A,"call, song",field recording,no,[],44100,https://xeno-canto.org/747890,https://xeno-canto.org/747890/download,bird_data\raw\cuculus_canorus\XC747890.mp3
663567,Cuculus canorus,Common Cuckoo,Lars Edenius,Sweden,2021-07-10,22:00,38,A,song,field recording,no,"[""Poecile montanus""]",44100,https://xeno-canto.org/663567,https://xeno-canto.org/663567/download,bird_data\raw\cuculus_canorus\XC663567.mp3
823032,Cuculus canorus,Common Cuckoo,Sacha Balavoine,France,2022-08-17,00:00,5,B,"nocturnal flight call, song",field recording,no,[],48000,https://xeno-canto.org/823032,https://xeno-canto.org/823032/download,bird_data\raw\cuculus_canorus\XC823032.mp3
788597,Cuculus canorus,Common Cuckoo,Olivier SWIFT,France,2023-03-27,09:09,44,B,song,field recording,yes,"[""Turdus viscivorus"", ""Fringilla coelebs"", ""Erithacus rubecula"", ""Phylloscopus collybita""]",44100,https://xeno-canto.org/788597,https://xeno-canto.org/788597/download,bird_data\raw\cuculus_canorus\XC788597.mp3
650313,Cuculus canorus,Common Cuckoo,Huw Lloyd,United Kingdom,2021-04-30,08:30,21,A,song,field recording,no,[],44100,https://xeno-canto.org/650313,https://xeno-canto.org/650313/download,bird_data\raw\cuculus_canorus\XC650313.mp3
