xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
788594,Cuculus canorus,Common Cuckoo,Olivier SWIFT,France,2023-03-27,09:09,25,A,song,field recording,yes,"[""Fringilla coelebs"", ""Erithacus rubecula"", ""Phylloscopus collybita""]",44100,https://xeno-canto.org/788594,https://xeno-canto.org/788594/download,
985856,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2024-04-23,19:30,24,A,song,field recording,yes,[],48000,https://xeno-canto.org/985856,https://xeno-canto.org/985856/download,
1047797,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2023-05-10,12:00,14,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047797,https://xeno-canto.org/1047797/download,
1008676,Cuculus canorus,Common Cuckoo,David Pennington,United Kingdom,2025-06-21,03:56,8,A,call,field recording,no,[],44100,https://xeno-canto.org/1008676,https://xeno-canto.org/1008676/download,
1023233,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2025-07-27,09:00,50,A,begging call,field recording,yes,[],32000,https://xeno-canto.org/1023233,https://xeno-canto.org/1023233/download,
825325,Cuculus canorus,Common Cuckoo,Bodo Sonnenburg,Germany,2023-08-27,05:47,15,A,call,field recording,no,"[""Corvus cornix""]",48000,https://xeno-canto.org/825325,https://xeno-canto.org/825325/download,
600718,Cuculus canorus,Common Cuckoo,Feliu López i Gelats,Spain,2020-10-02,02:30,15,B,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/600718,https://xeno-canto.org/600718/download,
631911,Cuculus canorus,Common Cuckoo,tardy sylvain,France,2021-03-25,01:06,6,A,"nocturnal flight call, tawny owl",field recording,no,[],44100,https://xeno-canto.org/631911,https://xeno-canto.org/631911/download,
650319,Cuculus canorus,Common Cuckoo,Huw Lloyd,United Kingdom,2021-04-30,18:30,47,A,song,field recording,no,[],44100,https://xeno-canto.org/650319,https://xeno-canto.org/650319/download,
1047795,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2023-05-02,10:00,38,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047795,https://xeno-canto.org/1047795/download,
917958,Cuculus canorus,Common Cuckoo,Arjun Dutta,United Kingdom,2024-06-03,20:15,42,A,song,field recording,yes,[],44100,https://xeno-canto.org/917958,https://xeno-canto.org/917958/download,
267944,Cuculus canorus,Common Cuckoo,Martin Sutherland,United Kingdom,2015-07-19,07:00,42,A,begging call,field recording,yes,[],44100,https://xeno-canto.org/267944,https://xeno-canto.org/267944/download,
582752,Cuculus canorus,Common Cuckoo,Bodo Sonnenburg,Germany,2020-08-16,07:37,45,A,begging call,field recording,yes,"[""Hirundo rustica""]",48000,https://xeno-canto.org/582752,https://xeno-canto.org/582752/download,
542700,Cuculus canorus,Common Cuckoo,Jack Berteau,France,2020-03-15,15:30,9,A,song,field recording,no,"[""Phylloscopus collybita""]",48000,https://xeno-canto.org/542700,https://xeno-canto.org/542700/download,
650317,Cuculus canorus,Common Cuckoo,Huw Lloyd,United Kingdom,2021-04-30,11:30,53,A,song,field recording,no,[],44100,https://xeno-canto.org/650317,https://xeno-canto.org/650317/download,
1047794,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2023-05-01,08:00,12,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047794,https://xeno-canto.org/1047794/download,
779253,Cuculus canorus,Common Cuckoo,Huw Lloyd,United Kingdom,2022-06-07,21:30,11,A,"call, song",field recording,no,[],44100,https://xeno-canto.org/779253,https://xeno-canto.org/779253/download,
267945,Cuculus canorus,Common Cuckoo,Martin Sutherland,United Kingdom,2015-07-28,16:30,26,B,begging call,field recording,yes,[],44100,https://xeno-canto.org/267945,https://xeno-canto.org/267945/download,
394656,Cuculus canorus,Common Cuckoo,Frank Roos,Netherlands,2014-08-15,13:00,3,A,begging call,field recording,yes,[],44100,https://xeno-canto.org/394656,https://xeno-canto.org/394656/download,
307855,Cuculus canorus,Common Cuckoo,Carlos W.,Spain,2016-03-20,10:00,19,A,song,field recording,yes,[],44100,https://xeno-canto.org/307855,https://xeno-canto.org/307855/download,
650316,Cuculus canorus,Common Cuckoo,Huw Lloyd,United Kingdom,2021-04-30,11:30,34,A,song,field recording,no,[],44100,https://xeno-canto.org/650316,https://xeno-canto.org/650316/download,
1047793,Cuculus canorus,Common Cuckoo,David Darrell-Lambert,United Kingdom,2022-05-12,05:00,50,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1047793,https://xeno-canto.org/1047793/download,
747892,Cuculus canorus,Common Cuckoo,Huw Lloyd,United Kingdom,2022-06-07,10:30,11,A,"call, song",field recording,no,[],44100,https://xeno-canto.org/747892,https://xeno-canto.org/747892/download,
814505,Cuculus canorus,Common Cuckoo,David Kuster,Germany,2023-07-05,07:00,32,A,begging call,field recording,yes,[],44100,https://xeno-canto.org/814505,https://xeno-canto.org/814505/download,
194311,Cuculus canorus,Common Cuckoo,Tomek Tumiel,Poland,2014-08-06,15:00,40,A,begging call,field recording,yes,"[""Saxicola rubetra""]",48000,https://xeno-canto.org/194311,https://xeno-canto.org/194311/download,
788606,Cuculus canorus,Common Cuckoo,Olivier SWIFT,France,2023-03-27,09:52,25,B,"call, song",field recording,yes,"[""Fringilla coelebs""]",44100,https://xeno-canto.org/788606,https://xeno-canto.org/788606/download,
