xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1070960,Cyanistes caeruleus,Eurasian Blue Tit,Paul Kelly,Ireland,2026-01-01,08:00,42,A,song,field recording,no,[],44100,https://xeno-canto.org/1070960,https://xeno-canto.org/1070960/download,
1069868,Cyanistes caeruleus,Eurasian Blue Tit,Jacobo Ramil Millarengo,Spain,2025-12-31,13:00,25,A,call,field recording,yes,"[""Sylvia atricapilla"", ""Erithacus rubecula"", ""Sturnus unicolor"", ""Pica pica""]",44100,https://xeno-canto.org/1069868,https://xeno-canto.org/1069868/download,
1035544,Cyanistes caeruleus,Eurasian Blue Tit,Miika Silfverberg,Finland,2025-09-03,06:00,12,A,,field recording,no,[],48000,https://xeno-canto.org/1035544,https://xeno-canto.org/1035544/download,
994559,Cyanistes caeruleus,Eurasian Blue Tit,João Tomás,Spain,2025-04-23,8:17,30,A,song,field recording,yes,"[""Luscinia megarhynchos"", ""Phylloscopus bonelli""]",44100,https://xeno-canto.org/994559,https://xeno-canto.org/994559/download,
991723,Cyanistes caeruleus,Eurasian Blue Tit,Jacobo Ramil Millarengo,Spain,2025-04-23,18:30,52,A,song,field recording,yes,[],44100,https://xeno-canto.org/991723,https://xeno-canto.org/991723/download,
987574,Cyanistes caeruleus,Eurasian Blue Tit,Elias A. Ryberg,Norway,2025-04-12,11:08,58,A,song,field recording,yes,"[""Fringilla coelebs"", ""Turdus philomelos""]",48000,https://xeno-canto.org/987574,https://xeno-canto.org/987574/download,
985196,Cyanistes caeruleus,Eurasian Blue Tit,David Darrell-Lambert,United Kingdom,2024-04-01,09:30,23,A,song,field recording,yes,[],48000,https://xeno-canto.org/985196,https://xeno-canto.org/985196/download,
983973,Cyanistes caeruleus,Eurasian Blue Tit,Susanne Kuijpers,Netherlands,2025-03-29,06:23,25,A,song,field recording,no,"[""Parus major""]",44100,https://xeno-canto.org/983973,https://xeno-canto.org/983973/download,
975495,Cyanistes caeruleus,Eurasian Blue Tit,Jarek Matusiak,Poland,2025-02-23,11:00,21,A,song,field recording,yes,[],32000,https://xeno-canto.org/975495,https://xeno-canto.org/975495/download,
972604,Cyanistes caeruleus,Eurasian Blue Tit,Francesco Sottile,Italy,2025-02-03,09:11,9,A,song,field recording,yes,[],44100,https://xeno-canto.org/972604,https://xeno-canto.org/972604/download,
972599,Cyanistes caeruleus,Eurasian Blue Tit,Francesco Sottile,Italy,2025-02-03,08:14,50,A,call,field recording,yes,[],44100,https://xeno-canto.org/972599,https://xeno-canto.org/972599/download,
