xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
964530,Cyanistes caeruleus,Eurasian Blue Tit,Paul Kelly,Ireland,2025-01-16,08:00,13,A,song,field recording,no,"[""Regulus regulus"", ""Turdus philomelos""]",44100,https://xeno-canto.org/964530,https://xeno-canto.org/964530/download,
168022,Cyanistes caeruleus,Eurasian Blue Tit,david m,United Kingdom,2012-02-25,07:12,51,A,call,field recording,yes,"[""Fringilla coelebs""]",48000,https://xeno-canto.org/168022,https://xeno-canto.org/168022/download,
981569,Cyanistes caeruleus,Eurasian Blue Tit,Andrew McCafferty,United Kingdom,2025-03-19,10:48,24,B,song,field recording,yes,[],44100,https://xeno-canto.org/981569,https://xeno-canto.org/981569/download,
985196,Cyanistes caeruleus,Eurasian Blue Tit,David Darrell-Lambert,United Kingdom,2024-04-01,09:30,23,A,song,field recording,yes,[],48000,https://xeno-canto.org/985196,https://xeno-canto.org/985196/download,
602811,Cyanistes caeruleus,Eurasian Blue Tit,david m,United Kingdom,2020-05-17,05:53,44,A,call,field recording,yes,"[""Alauda arvensis"", ""Columba palumbus"", ""Turdus philomelos"", ""Troglodytes troglodytes"", ""Phasianus colchicus""]",48000,https://xeno-canto.org/602811,https://xeno-canto.org/602811/download,
655029,Cyanistes caeruleus,Eurasian Blue Tit,Andrew McCafferty,United Kingdom,2021-06-07,13:20,25,A,alarm call,field recording,unknown,"[""Coloeus monedula""]",48000,https://xeno-canto.org/655029,https://xeno-canto.org/655029/download,
1024297,Cyanistes caeruleus,Eurasian Blue Tit,David Darrell-Lambert,United Kingdom,2025-07-30,07:00,27,B,call,field recording,yes,[],32000,https://xeno-canto.org/1024297,https://xeno-canto.org/1024297/download,
1052370,Cyanistes caeruleus,Eurasian Blue Tit,Colm Philpott,Ireland,2025-08-14,14:00,5,B,song,field recording,no,[],44100,https://xeno-canto.org/1052370,https://xeno-canto.org/1052370/download,
1054317,Cyanistes caeruleus,Eurasian Blue Tit,Colm Philpott,Ireland,2025-09-01,10:30,43,B,song,field recording,no,[],44100,https://xeno-canto.org/1054317,https://xeno-canto.org/1054317/download,
708264,Cyanistes caeruleus,Eurasian Blue Tit,Chris Balchin,United Kingdom,2021-10-26,08:30,2,B,flight call,field recording,no,[],48000,https://xeno-canto.org/708264,https://xeno-canto.org/708264/download,
