xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
975929,Delichon urbicum,Common House Martin,Arjun Dutta,Spain,2025-01-18,13:00,37,B,"call, flight call",field recording,yes,"[""Ptyonoprogne rupestris""]",44100,https://xeno-canto.org/975929,https://xeno-canto.org/975929/download,bird_data\raw\delichon_urbicum\XC975929.mp3
826581,Delichon urbicum,Common House Martin,Luka BOLLET-DUGOUL,France,2023-02-27,15:30,7,B,call,field recording,no,[],44100,https://xeno-canto.org/826581,https://xeno-canto.org/826581/download,bird_data\raw\delichon_urbicum\XC826581.mp3
1033122,Delichon urbicum,Common House Martin,Nelson Conceição,Portugal,2025-03-31,01:53,5,B,call,field recording,no,[],48000,https://xeno-canto.org/1033122,https://xeno-canto.org/1033122/download,bird_data\raw\delichon_urbicum\XC1033122.mp3
985395,Delichon urbicum,Common House Martin,David Darrell-Lambert,United Kingdom,2024-04-07,08:00,7,B,call,field recording,yes,[],48000,https://xeno-canto.org/985395,https://xeno-canto.org/985395/download,bird_data\raw\delichon_urbicum\XC985395.mp3
935413,Delichon urbicum,Common House Martin,Arjun Dutta,United Kingdom,2024-05-23,14:30,15,B,"call, flight call",field recording,yes,"[""Fringilla coelebs""]",44100,https://xeno-canto.org/935413,https://xeno-canto.org/935413/download,bird_data\raw\delichon_urbicum\XC935413.mp3
598647,Delichon urbicum,Common House Martin,Simon Elliott,United Kingdom,1997-06-15,06:00,55,A,"begging call, call, song, hatchling or nestling",field recording,yes,[],44100,https://xeno-canto.org/598647,https://xeno-canto.org/598647/download,bird_data\raw\delichon_urbicum\XC598647.mp3
572974,Delichon urbicum,Common House Martin,Mr Mark Shorten,Ireland,2020-07-02,09:30,45,A,"call, flight call, song",field recording,yes,"[""Buteo buteo""]",44100,https://xeno-canto.org/572974,https://xeno-canto.org/572974/download,bird_data\raw\delichon_urbicum\XC572974.mp3
935415,Delichon urbicum,Common House Martin,Arjun Dutta,United Kingdom,2021-08-05,07:30,27,B,"call, flight call",field recording,yes,"[""Hirundo rustica""]",44100,https://xeno-canto.org/935415,https://xeno-canto.org/935415/download,bird_data\raw\delichon_urbicum\XC935415.mp3
1036803,Delichon urbicum,Common House Martin,David Darrell-Lambert,United Kingdom,2025-09-07,10:00,7,B,call,field recording,yes,[],32000,https://xeno-canto.org/1036803,https://xeno-canto.org/1036803/download,bird_data\raw\delichon_urbicum\XC1036803.mp3
592669,Delichon urbicum,Common House Martin,Sidney M,Spain,2020-10-03,09:00,4,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/592669,https://xeno-canto.org/592669/download,bird_data\raw\delichon_urbicum\XC592669.mp3
