xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1073825,Delichon urbicum,Common House Martin,Nelson Conceição,Portugal,2026-01-12,17:56,6,B,flight call,field recording,yes,[],48000,https://xeno-canto.org/1073825,https://xeno-canto.org/1073825/download,
826581,Delichon urbicum,Common House Martin,Luka BOLLET-DUGOUL,France,2023-02-27,15:30,7,B,call,field recording,no,[],44100,https://xeno-canto.org/826581,https://xeno-canto.org/826581/download,
1033122,Delichon urbicum,Common House Martin,Nelson Conceição,Portugal,2025-03-31,01:53,5,B,call,field recording,no,[],48000,https://xeno-canto.org/1033122,https://xeno-canto.org/1033122/download,
985395,Delichon urbicum,Common House Martin,David Darrell-Lambert,United Kingdom,2024-04-07,08:00,7,B,call,field recording,yes,[],48000,https://xeno-canto.org/985395,https://xeno-canto.org/985395/download,
1071437,Delichon urbicum,Common House Martin,David Darrell-Lambert,United Kingdom,2020-05-30,15:00,4,B,call,field recording,yes,[],48000,https://xeno-canto.org/1071437,https://xeno-canto.org/1071437/download,
598647,Delichon urbicum,Common House Martin,Simon Elliott,United Kingdom,1997-06-15,06:00,55,A,"begging call, call, song, hatchling or nestling",field recording,yes,[],44100,https://xeno-canto.org/598647,https://xeno-canto.org/598647/download,
572974,Delichon urbicum,Common House Martin,Mr Mark Shorten,Ireland,2020-07-02,09:30,45,A,"call, flight call, song",field recording,yes,"[""Buteo buteo""]",44100,https://xeno-canto.org/572974,https://xeno-canto.org/572974/download,
1071443,Delichon urbicum,Common House Martin,David Darrell-Lambert,United Kingdom,2023-08-29,09:30,16,B,call,field recording,yes,[],48000,https://xeno-canto.org/1071443,https://xeno-canto.org/1071443/download,
1036803,Delichon urbicum,Common House Martin,David Darrell-Lambert,United Kingdom,2025-09-07,10:00,7,B,call,field recording,yes,[],32000,https://xeno-canto.org/1036803,https://xeno-canto.org/1036803/download,
592669,Delichon urbicum,Common House Martin,Sidney M,Spain,2020-10-03,09:00,4,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/592669,https://xeno-canto.org/592669/download,
1072460,Delichon urbicum,Common House Martin,Nelson Conceição,Portugal,2026-01-12,16:56,6,B,flight call,field recording,yes,"[""Phoenicopterus roseus""]",48000,https://xeno-canto.org/1072460,https://xeno-canto.org/1072460/download,
793822,Delichon urbicum,Common House Martin,Nelson Conceição,Portugal,2023-02-21,05:59,13,B,call,field recording,no,[],48000,https://xeno-canto.org/793822,https://xeno-canto.org/793822/download,
1028665,Delichon urbicum,Common House Martin,Nelson Conceição,Portugal,2025-03-04,01:25,4,B,call,field recording,no,[],48000,https://xeno-canto.org/1028665,https://xeno-canto.org/1028665/download,
985394,Delichon urbicum,Common House Martin,David Darrell-Lambert,United Kingdom,2024-04-07,08:00,20,B,call,field recording,yes,[],48000,https://xeno-canto.org/985394,https://xeno-canto.org/985394/download,
1071436,Delichon urbicum,Common House Martin,David Darrell-Lambert,United Kingdom,2019-05-31,07:00,55,B,song,field recording,yes,[],48000,https://xeno-canto.org/1071436,https://xeno-canto.org/1071436/download,
1071468,Delichon urbicum,Common House Martin,David Darrell-Lambert,United Kingdom,2012-06-25,18:30,59,B,"call, song",field recording,yes,[],96000,https://xeno-canto.org/1071468,https://xeno-canto.org/1071468/download,
1071431,Delichon urbicum,Common House Martin,David Darrell-Lambert,United Kingdom,2018-07-13,10:00,29,B,call,field recording,yes,[],48000,https://xeno-canto.org/1071431,https://xeno-canto.org/1071431/download,
1071442,Delichon urbicum,Common House Martin,David Darrell-Lambert,United Kingdom,2020-08-14,07:30,10,B,call,field recording,yes,[],48000,https://xeno-canto.org/1071442,https://xeno-canto.org/1071442/download,
1036004,Delichon urbicum,Common House Martin,David Tattersley,United Kingdom,2025-09-05,06:45,43,B,call,field recording,yes,"[""Coloeus monedula"", ""Erithacus rubecula""]",48000,https://xeno-canto.org/1036004,https://xeno-canto.org/1036004/download,
975929,Delichon urbicum,Common House Martin,Arjun Dutta,Spain,2025-01-18,13:00,37,B,"call, flight call",field recording,yes,"[""Ptyonoprogne rupestris""]",44100,https://xeno-canto.org/975929,https://xeno-canto.org/975929/download,
786119,Delichon urbicum,Common House Martin,Nelson Conceição,Portugal,2023-02-04,03:29,5,B,call,field recording,no,[],48000,https://xeno-canto.org/786119,https://xeno-canto.org/786119/download,
798717,Delichon urbicum,Common House Martin,Nelson Conceição,Portugal,2023-03-16,04:22,8,B,"call, song",field recording,no,[],48000,https://xeno-canto.org/798717,https://xeno-canto.org/798717/download,
898662,Delichon urbicum,Common House Martin,Jochem verweij,Sweden,2024-04-27,13:01,36,A,"begging call, call, flight call, song",field recording,yes,"[""Alauda arvensis""]",44100,https://xeno-canto.org/898662,https://xeno-canto.org/898662/download,
1071435,Delichon urbicum,Common House Martin,David Darrell-Lambert,United Kingdom,2019-05-31,07:00,25,B,call,field recording,yes,[],48000,https://xeno-canto.org/1071435,https://xeno-canto.org/1071435/download,
935412,Delichon urbicum,Common House Martin,Arjun Dutta,United Kingdom,2024-06-24,15:30,22,B,"call, flight call",field recording,yes,[],44100,https://xeno-canto.org/935412,https://xeno-canto.org/935412/download,
1071429,Delichon urbicum,Common House Martin,David Darrell-Lambert,United Kingdom,2018-07-13,10:00,6,B,call,field recording,yes,[],48000,https://xeno-canto.org/1071429,https://xeno-canto.org/1071429/download,
1071440,Delichon urbicum,Common House Martin,David Darrell-Lambert,United Kingdom,2022-08-29,09:30,16,B,call,field recording,yes,[],48000,https://xeno-canto.org/1071440,https://xeno-canto.org/1071440/download,
830071,Delichon urbicum,Common House Martin,Paul Kelly,Ireland,2023-09-07,19:30,7,B,"call, flight call",field recording,no,[],44100,https://xeno-canto.org/830071,https://xeno-canto.org/830071/download,
782484,Delichon urbicum,Common House Martin,José Manuel Reyes Páez,Spain,2023-02-22,20:30,37,B,"flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/782484,https://xeno-canto.org/782484/download,
632473,Delichon urbicum,Common House Martin,Sergi,Spain,2021-03-27,07:10,3,B,flight call,field recording,no,[],44100,https://xeno-canto.org/632473,https://xeno-canto.org/632473/download,
142697,Delichon urbicum,Common House Martin,Fernand DEROUSSEN,France,2006-04-29,10:30,46,A,"alarm call, song",field recording,yes,[],44100,https://xeno-canto.org/142697,https://xeno-canto.org/142697/download,
935413,Delichon urbicum,Common House Martin,Arjun Dutta,United Kingdom,2024-05-23,14:30,15,B,"call, flight call",field recording,yes,"[""Fringilla coelebs""]",44100,https://xeno-canto.org/935413,https://xeno-canto.org/935413/download,
666920,Delichon urbicum,Common House Martin,Irish Wildlife Sounds,Ireland,2021-06-21,18:00,12,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/666920,https://xeno-canto.org/666920/download,
1071428,Delichon urbicum,Common House Martin,David Darrell-Lambert,United Kingdom,2018-07-13,10:00,16,B,alarm call,field recording,yes,[],48000,https://xeno-canto.org/1071428,https://xeno-canto.org/1071428/download,
1071438,Delichon urbicum,Common House Martin,David Darrell-Lambert,United Kingdom,2020-08-14,08:00,10,B,call,field recording,yes,[],48000,https://xeno-canto.org/1071438,https://xeno-canto.org/1071438/download,
826935,Delichon urbicum,Common House Martin,Martin Wood,United Kingdom,2023-09-02,05:30,9,B,call,field recording,no,[],44100,https://xeno-canto.org/826935,https://xeno-canto.org/826935/download,
620097,Delichon urbicum,Common House Martin,Paulo Alves,Portugal,2021-02-06,13:00,5,B,"alarm call, flight call",field recording,yes,[],48000,https://xeno-canto.org/620097,https://xeno-canto.org/620097/download,
462846,Delichon urbicum,Common House Martin,Nelson Conceição,Portugal,2019-03-18,17:50,38,B,"flight call, song",field recording,yes,"[""Turdus merula"", ""Carduelis carduelis"", ""Alectoris rufa"", ""Galerida cristata"", ""Linaria cannabina""]",48000,https://xeno-canto.org/462846,https://xeno-canto.org/462846/download,
894567,Delichon urbicum,Common House Martin,Jorge Leitão,Portugal,2024-04-06,12:39,18,B,flight call,field recording,yes,"[""Erithacus rubecula""]",44100,https://xeno-canto.org/894567,https://xeno-canto.org/894567/download,
906004,Delichon urbicum,Common House Martin,Paul Bate,United Kingdom,2024-05-23,05:10,3,B,flight call,field recording,no,[],44100,https://xeno-canto.org/906004,https://xeno-canto.org/906004/download,
659938,Delichon urbicum,Common House Martin,Andrew Harrop,United Kingdom,2021-06-28,19:30,3,B,call,field recording,yes,[],44100,https://xeno-canto.org/659938,https://xeno-canto.org/659938/download,
1025086,Delichon urbicum,Common House Martin,Filippo Ceccolini,United Kingdom,2025-07-29,10:00,13,B,call,field recording,yes,[],48000,https://xeno-canto.org/1025086,https://xeno-canto.org/1025086/download,
935415,Delichon urbicum,Common House Martin,Arjun Dutta,United Kingdom,2021-08-05,07:30,27,B,"call, flight call",field recording,yes,"[""Hirundo rustica""]",44100,https://xeno-canto.org/935415,https://xeno-canto.org/935415/download,
672219,Delichon urbicum,Common House Martin,Michał Jezierski,United Kingdom,2021-09-04,6:03,22,B,flight call,field recording,no,[],44100,https://xeno-canto.org/672219,https://xeno-canto.org/672219/download,
533286,Delichon urbicum,Common House Martin,Nelson Conceição,Portugal,2020-02-24,08:22,2,B,flight call,field recording,no,[],48000,https://xeno-canto.org/533286,https://xeno-canto.org/533286/download,
310564,Delichon urbicum,Common House Martin,Daniel Parker,France,2016-03-27,07:35,3,B,flight call,field recording,no,[],44100,https://xeno-canto.org/310564,https://xeno-canto.org/310564/download,
792855,Delichon urbicum,Common House Martin,João Tomás,Spain,2023-04-09,08:00,8,B,alarm call,field recording,no,"[""Gallus gallus"", ""Pica pica""]",44100,https://xeno-canto.org/792855,https://xeno-canto.org/792855/download,
801678,Delichon urbicum,Common House Martin,Stuart Fisher,United Kingdom,2023-05-15,10:30,30,B,flight call,field recording,yes,"[""Erithacus rubecula"", ""Riparia riparia""]",44100,https://xeno-canto.org/801678,https://xeno-canto.org/801678/download,
659937,Delichon urbicum,Common House Martin,Andrew Harrop,United Kingdom,2021-06-28,19:30,4,B,call,field recording,yes,[],44100,https://xeno-canto.org/659937,https://xeno-canto.org/659937/download,
935416,Delichon urbicum,Common House Martin,Arjun Dutta,United Kingdom,2021-07-21,13:30,37,B,"call, flight call",field recording,yes,"[""Apus apus""]",44100,https://xeno-canto.org/935416,https://xeno-canto.org/935416/download,
690536,Delichon urbicum,Common House Martin,Chris Batty,United Kingdom,2020-08-09,09:20,8,B,"call, flight call",field recording,no,[],44100,https://xeno-canto.org/690536,https://xeno-canto.org/690536/download,
1039403,Delichon urbicum,Common House Martin,João Tomás,Spain,2025-09-12,10:45,4,A,"call, ""dre""",field recording,no,[],44100,https://xeno-canto.org/1039403,https://xeno-canto.org/1039403/download,
533283,Delichon urbicum,Common House Martin,Nelson Conceição,Portugal,2020-02-24,08:20,21,B,flight call,field recording,no,"[""Turdus merula"", ""Streptopelia decaocto"", ""Chloris chloris"", ""Serinus serinus""]",48000,https://xeno-canto.org/533283,https://xeno-canto.org/533283/download,
792853,Delichon urbicum,Common House Martin,João Tomás,Spain,2023-04-07,08:00,25,B,call,field recording,no,"[""Erithacus rubecula"", ""Pica pica""]",44100,https://xeno-canto.org/792853,https://xeno-canto.org/792853/download,
725073,Delichon urbicum,Common House Martin,Ian Roberts,United Kingdom,2022-05-15,07:00,10,B,call,field recording,yes,[],44100,https://xeno-canto.org/725073,https://xeno-canto.org/725073/download,
659936,Delichon urbicum,Common House Martin,Andrew Harrop,United Kingdom,2021-06-28,19:30,17,B,call,field recording,yes,[],44100,https://xeno-canto.org/659936,https://xeno-canto.org/659936/download,
928950,Delichon urbicum,Common House Martin,Thomas Coldwell,United Kingdom,2024-07-26,08:47,8,B,call,field recording,no,"[""Carduelis carduelis""]",44100,https://xeno-canto.org/928950,https://xeno-canto.org/928950/download,
539438,Delichon urbicum,Common House Martin,nick talbot,United Kingdom,2018-08-25,10:00,9,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/539438,https://xeno-canto.org/539438/download,
937351,Delichon urbicum,Common House Martin,Manuel Grosselet,France,2024-09-13,10:33,47,B,call,field recording,yes,[],44100,https://xeno-canto.org/937351,https://xeno-canto.org/937351/download,
533280,Delichon urbicum,Common House Martin,Nelson Conceição,Portugal,2020-02-24,08:04,5,B,flight call,field recording,no,"[""Passer domesticus""]",48000,https://xeno-canto.org/533280,https://xeno-canto.org/533280/download,
792850,Delichon urbicum,Common House Martin,João Tomás,Spain,2023-04-08,08:00,52,B,call,field recording,no,"[""Phylloscopus ibericus""]",44100,https://xeno-canto.org/792850,https://xeno-canto.org/792850/download,
667940,Delichon urbicum,Common House Martin,Irish Wildlife Sounds,Ireland,2021-05-24,13:00,14,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/667940,https://xeno-canto.org/667940/download,
570198,Delichon urbicum,Common House Martin,Mr Mark Shorten,Ireland,2020-06-18,16:30,12,B,"flight call, song",field recording,yes,[],48000,https://xeno-canto.org/570198,https://xeno-canto.org/570198/download,
921701,Delichon urbicum,Common House Martin,Paul Driver,United Kingdom,2024-07-02,06:50,33,B,"begging call, call",field recording,yes,[],44100,https://xeno-canto.org/921701,https://xeno-canto.org/921701/download,
331967,Delichon urbicum,Common House Martin,Craig Brookes,United Kingdom,2016-08-22,20:00,23,B,"alarm call, flight call",field recording,yes,"[""Turdus merula"", ""Erithacus rubecula""]",44100,https://xeno-canto.org/331967,https://xeno-canto.org/331967/download,
936596,Delichon urbicum,Common House Martin,João Tomás,Spain,2024-09-27,20:00,16,B,call,field recording,no,"[""Phoenicurus ochruros""]",44100,https://xeno-canto.org/936596,https://xeno-canto.org/936596/download,
792842,Delichon urbicum,Common House Martin,José Manuel Reyes Páez,Spain,2023-04-12,00:45,46,B,"flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/792842,https://xeno-canto.org/792842/download,
416951,Delichon urbicum,Common House Martin,Harry Hussey,Ireland,2018-05-25,17:23,46,B,call,field recording,yes,"[""Branta canadensis""]",44100,https://xeno-canto.org/416951,https://xeno-canto.org/416951/download,
566597,Delichon urbicum,Common House Martin,B Whyte,United Kingdom,2020-06-08,20:30,19,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/566597,https://xeno-canto.org/566597/download,
737839,Delichon urbicum,Common House Martin,Paul Kelly,Ireland,2022-07-16,18:00,12,B,call,field recording,yes,"[""Hirundo rustica""]",48000,https://xeno-canto.org/737839,https://xeno-canto.org/737839/download,
191399,Delichon urbicum,Common House Martin,Oscar Campbell,United Kingdom,2014-08-07,10:00,17,B,call,field recording,yes,[],44100,https://xeno-canto.org/191399,https://xeno-canto.org/191399/download,
932277,Delichon urbicum,Common House Martin,Thomas Bitsch,France,2024-09-04,03:08,6,B,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/932277,https://xeno-canto.org/932277/download,
791964,Delichon urbicum,Common House Martin,João Tomás,Spain,2023-04-09,09:00,8,B,alarm call,field recording,no,"[""Pica pica""]",44100,https://xeno-canto.org/791964,https://xeno-canto.org/791964/download,
370581,Delichon urbicum,Common House Martin,Harry Hussey,Ireland,2017-05-17,16:00,48,B,call,field recording,yes,"[""Fringilla coelebs"", ""Turdus merula"", ""Erithacus rubecula"", ""Troglodytes troglodytes"", ""Phylloscopus collybita""]",44100,https://xeno-canto.org/370581,https://xeno-canto.org/370581/download,
377793,Delichon urbicum,Common House Martin,David Darrell-Lambert,United Kingdom,2017-06-16,07:00,24,B,song,field recording,yes,[],48000,https://xeno-canto.org/377793,https://xeno-canto.org/377793/download,
690529,Delichon urbicum,Common House Martin,Chris Batty,United Kingdom,2019-07-08,11:34,15,B,"call, flight call",field recording,no,"[""Passer domesticus""]",22050,https://xeno-canto.org/690529,https://xeno-canto.org/690529/download,
1025955,Delichon urbicum,Common House Martin,Cureau Hervé,France,2025-08-03,14:30,33,A,"begging call, call",field recording,yes,[],48000,https://xeno-canto.org/1025955,https://xeno-canto.org/1025955/download,
841717,Delichon urbicum,Common House Martin,Gianluca Congi,Italy,2022-09-07,18:45,21,B,"call, flight call",field recording,yes,[],44100,https://xeno-canto.org/841717,https://xeno-canto.org/841717/download,
716872,Delichon urbicum,Common House Martin,Sergi,Spain,2022-04-15,08:25,8,B,flight call,field recording,no,[],44100,https://xeno-canto.org/716872,https://xeno-canto.org/716872/download,
768814,Delichon urbicum,Common House Martin,Michel Veldt,Netherlands,2021-05-30,09:56,22,A,"call, flight call, song",field recording,yes,[],48000,https://xeno-canto.org/768814,https://xeno-canto.org/768814/download,
