xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1070045,Dendrocopos major,Great Spotted Woodpecker,Uku Paal,Spain,2025-12-26,09:30,41,A,call,field recording,yes,[],48000,https://xeno-canto.org/1070045,https://xeno-canto.org/1070045/download,
1061195,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2015-04-27,11:30,49,A,"song, feeding",field recording,yes,[],44100,https://xeno-canto.org/1061195,https://xeno-canto.org/1061195/download,
1061170,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2019-02-23,08:00,14,A,call,field recording,yes,[],48000,https://xeno-canto.org/1061170,https://xeno-canto.org/1061170/download,
1061167,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2019-02-23,08:00,14,A,song,field recording,yes,[],48000,https://xeno-canto.org/1061167,https://xeno-canto.org/1061167/download,
1061151,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2021-02-28,08:00,7,A,song,field recording,yes,[],48000,https://xeno-canto.org/1061151,https://xeno-canto.org/1061151/download,
1061126,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2019-05-23,07:00,45,A,begging call,field recording,yes,[],48000,https://xeno-canto.org/1061126,https://xeno-canto.org/1061126/download,
1053218,Dendrocopos major,Great Spotted Woodpecker,Lennart Jeppsson,Sweden,2025-11-08,15:00,45,A,call,field recording,yes,[],44100,https://xeno-canto.org/1053218,https://xeno-canto.org/1053218/download,
1048380,Dendrocopos major,Great Spotted Woodpecker,Lars Edenius,Sweden,2025-10-17,08:30,33,A,pecking,field recording,yes,[],48000,https://xeno-canto.org/1048380,https://xeno-canto.org/1048380/download,
1031422,Dendrocopos major,Great Spotted Woodpecker,Miika Silfverberg,Finland,2025-08-21,10:52,17,A,"alarm call, drumming",field recording,yes,[],48000,https://xeno-canto.org/1031422,https://xeno-canto.org/1031422/download,
1025975,Dendrocopos major,Great Spotted Woodpecker,SonoNatura,Spain,2025-03-15,10:00,54,A,"call, drumming",field recording,no,[],44100,https://xeno-canto.org/1025975,https://xeno-canto.org/1025975/download,
1019733,Dendrocopos major,Great Spotted Woodpecker,He Wenjin/文进,United Kingdom,2025-07-21,06:00,18,A,call,field recording,yes,"[""Streptopelia decaocto""]",48000,https://xeno-canto.org/1019733,https://xeno-canto.org/1019733/download,
1005074,Dendrocopos major,Great Spotted Woodpecker,Richard Brahmstaedt,Sweden,2025-06-06,13:04,34,A,begging call,field recording,no,[],44100,https://xeno-canto.org/1005074,https://xeno-canto.org/1005074/download,
986168,Dendrocopos major,Great Spotted Woodpecker,Lars Edenius,Sweden,2025-04-07,08:00,57,A,drumming,field recording,yes,"[""Fringilla coelebs""]",48000,https://xeno-canto.org/986168,https://xeno-canto.org/986168/download,
982353,Dendrocopos major,Great Spotted Woodpecker,Lars Edenius,Sweden,2025-03-23,06:30,57,A,drumming,field recording,yes,[],48000,https://xeno-canto.org/982353,https://xeno-canto.org/982353/download,
979809,Dendrocopos major,Great Spotted Woodpecker,Petter Westberg,Sweden,2025-02-27,16:30,28,A,call,field recording,yes,"[""Dryocopus martius"", ""Poecile palustris""]",96000,https://xeno-canto.org/979809,https://xeno-canto.org/979809/download,
979808,Dendrocopos major,Great Spotted Woodpecker,Petter Westberg,Sweden,2025-02-27,17:00,46,A,alarm call,field recording,yes,"[""Glaucidium passerinum""]",96000,https://xeno-canto.org/979808,https://xeno-canto.org/979808/download,
976571,Dendrocopos major,Great Spotted Woodpecker,Lars Edenius,Sweden,2025-02-28,08:00,54,A,drumming,field recording,no,[],48000,https://xeno-canto.org/976571,https://xeno-canto.org/976571/download,
965749,Dendrocopos major,Great Spotted Woodpecker,Lars Edenius,Sweden,2025-02-01,08:30,21,A,call,field recording,yes,[],48000,https://xeno-canto.org/965749,https://xeno-canto.org/965749/download,
961468,Dendrocopos major,Great Spotted Woodpecker,Le Louaver Manuel,France,2025-01-17,09:30,18,A,drumming,field recording,no,"[""Streptopelia decaocto""]",44100,https://xeno-canto.org/961468,https://xeno-canto.org/961468/download,
960366,Dendrocopos major,Great Spotted Woodpecker,Lars Edenius,Sweden,2025-01-11,08:30,23,A,pecking,field recording,yes,[],48000,https://xeno-canto.org/960366,https://xeno-canto.org/960366/download,
956102,Dendrocopos major,Great Spotted Woodpecker,Jacobo Ramil Millarengo,Spain,2024-12-20,12:30,8,A,"call, flight call, interaction calls uttered in flight",field recording,yes,"[""Sitta europaea""]",44100,https://xeno-canto.org/956102,https://xeno-canto.org/956102/download,
952225,Dendrocopos major,Great Spotted Woodpecker,Lars Edenius,Sweden,2024-11-27,08:30,22,A,"call, pecking",field recording,no,[],48000,https://xeno-canto.org/952225,https://xeno-canto.org/952225/download,
951564,Dendrocopos major,Great Spotted Woodpecker,Jarek Matusiak,Poland,2024-09-19,12:00,7,A,call,field recording,yes,[],32000,https://xeno-canto.org/951564,https://xeno-canto.org/951564/download,
943952,Dendrocopos major,Great Spotted Woodpecker,Timo Roeke,Netherlands,2024-10-31,10:00,53,A,call,field recording,yes,"[""Regulus regulus""]",48000,https://xeno-canto.org/943952,https://xeno-canto.org/943952/download,
933417,Dendrocopos major,Great Spotted Woodpecker,Jarek Matusiak,Poland,2024-09-12,18:30,24,A,call,field recording,yes,[],32000,https://xeno-canto.org/933417,https://xeno-canto.org/933417/download,
926794,Dendrocopos major,Great Spotted Woodpecker,Jorge Leitão,Portugal,2024-08-11,07:00,8,A,call,field recording,yes,[],44100,https://xeno-canto.org/926794,https://xeno-canto.org/926794/download,
916797,Dendrocopos major,Great Spotted Woodpecker,Olivier SWIFT,France,2024-06-12,11:44,38,A,call,field recording,no,"[""Cyanistes caeruleus"", ""Sylvia atricapilla"", ""Certhia brachydactyla""]",48000,https://xeno-canto.org/916797,https://xeno-canto.org/916797/download,
912709,Dendrocopos major,Great Spotted Woodpecker,Lars Edenius,Sweden,2024-06-12,17:00,54,A,call,field recording,no,[],44100,https://xeno-canto.org/912709,https://xeno-canto.org/912709/download,
911171,Dendrocopos major,Great Spotted Woodpecker,W. Agster,Germany,2024-05-27,09:30,24,A,call,field recording,yes,[],48000,https://xeno-canto.org/911171,https://xeno-canto.org/911171/download,
900650,Dendrocopos major,Great Spotted Woodpecker,Francesco Barberini,Italy,2024-04-21,12:00,49,A,drumming,field recording,yes,"[""Regulus ignicapilla"", ""Sylvia atricapilla"", ""Erithacus rubecula""]",44100,https://xeno-canto.org/900650,https://xeno-canto.org/900650/download,
892411,Dendrocopos major,Great Spotted Woodpecker,Peter Stronach,United Kingdom,2024-03-25,07:00,45,A,drumming,field recording,yes,"[""Regulus regulus"", ""Periparus ater""]",44100,https://xeno-canto.org/892411,https://xeno-canto.org/892411/download,
891730,Dendrocopos major,Great Spotted Woodpecker,Lars Edenius,Sweden,2024-03-31,08:00,51,A,drumming,field recording,no,[],48000,https://xeno-canto.org/891730,https://xeno-canto.org/891730/download,
883467,Dendrocopos major,Great Spotted Woodpecker,Lennart Jeppsson,Sweden,2024-03-20,15:00,48,A,drumming,field recording,yes,[],48000,https://xeno-canto.org/883467,https://xeno-canto.org/883467/download,
879473,Dendrocopos major,Great Spotted Woodpecker,Ulf Elman,Sweden,2024-03-04,07:51,54,A,call,field recording,no,[],48000,https://xeno-canto.org/879473,https://xeno-canto.org/879473/download,
878389,Dendrocopos major,Great Spotted Woodpecker,Peter Stronach,United Kingdom,2024-02-28,08:15,38,A,drumming,field recording,yes,"[""Fringilla coelebs"", ""Certhia familiaris""]",44100,https://xeno-canto.org/878389,https://xeno-canto.org/878389/download,
876854,Dendrocopos major,Great Spotted Woodpecker,Lars Edenius,Sweden,2024-02-18,12:00,46,A,"alarm call, excitement call",field recording,no,[],44100,https://xeno-canto.org/876854,https://xeno-canto.org/876854/download,
864586,Dendrocopos major,Great Spotted Woodpecker,Lars Edenius,Sweden,2024-01-30,08:30,23,A,call,field recording,yes,[],48000,https://xeno-canto.org/864586,https://xeno-canto.org/864586/download,
857876,Dendrocopos major,Great Spotted Woodpecker,Lars Edenius,Sweden,2023-12-28,09:00,42,A,call,field recording,yes,[],48000,https://xeno-canto.org/857876,https://xeno-canto.org/857876/download,
856886,Dendrocopos major,Great Spotted Woodpecker,Lars Edenius,Sweden,2023-12-21,08:30,35,A,pecking,field recording,yes,[],48000,https://xeno-canto.org/856886,https://xeno-canto.org/856886/download,
856557,Dendrocopos major,Great Spotted Woodpecker,Martin Billard,France,2023-12-17,10:25,20,A,call,field recording,yes,[],44100,https://xeno-canto.org/856557,https://xeno-canto.org/856557/download,
853723,Dendrocopos major,Great Spotted Woodpecker,Martin Billard,France,2023-12-08,12:29,10,A,"call, N11",field recording,yes,"[""Fringilla coelebs"", ""Garrulus glandarius""]",44100,https://xeno-canto.org/853723,https://xeno-canto.org/853723/download,
841901,Dendrocopos major,Great Spotted Woodpecker,Ulf Elman,Sweden,2018-04-28,08:04,41,A,drumming,field recording,unknown,[],48000,https://xeno-canto.org/841901,https://xeno-canto.org/841901/download,
841562,Dendrocopos major,Great Spotted Woodpecker,Gianluca Congi,Italy,2023-06-05,18:38,30,A,"begging call, call, foraging cues",field recording,no,[],48000,https://xeno-canto.org/841562,https://xeno-canto.org/841562/download,
839038,Dendrocopos major,Great Spotted Woodpecker,Martin Billard,France,2023-10-23,10:54,19,A,call,field recording,yes,"[""Dendrocopos major""]",44100,https://xeno-canto.org/839038,https://xeno-canto.org/839038/download,
839026,Dendrocopos major,Great Spotted Woodpecker,Martin Billard,France,2023-10-23,09:44,20,A,call,field recording,yes,[],44100,https://xeno-canto.org/839026,https://xeno-canto.org/839026/download,
827930,Dendrocopos major,Great Spotted Woodpecker,Lars Edenius,Sweden,2023-09-07,07:00,40,A,call,field recording,yes,[],48000,https://xeno-canto.org/827930,https://xeno-canto.org/827930/download,
818700,Dendrocopos major,Great Spotted Woodpecker,Dominique Guillerme,France,2023-07-18,08:00,7,A,call,in the hand,yes,[],48000,https://xeno-canto.org/818700,https://xeno-canto.org/818700/download,
817746,Dendrocopos major,Great Spotted Woodpecker,Lars Edenius,Sweden,2023-07-20,06:00,33,A,call,field recording,yes,[],48000,https://xeno-canto.org/817746,https://xeno-canto.org/817746/download,
809218,Dendrocopos major,Great Spotted Woodpecker,Jorge Leitão,Portugal,2023-06-15,10:30,50,A,call,field recording,yes,[],44100,https://xeno-canto.org/809218,https://xeno-canto.org/809218/download,
808894,Dendrocopos major,Great Spotted Woodpecker,Dominique Guillerme,France,2023-06-14,10:40,44,A,call,in the hand,yes,[],48000,https://xeno-canto.org/808894,https://xeno-canto.org/808894/download,
805663,Dendrocopos major,Great Spotted Woodpecker,Romuald Mikusek,Poland,2023-04-22,06:50,4,A,drumming,field recording,no,"[""Sitta europaea""]",48000,https://xeno-canto.org/805663,https://xeno-canto.org/805663/download,
799877,Dendrocopos major,Great Spotted Woodpecker,Niels Van Doninck,Belgium,2022-03-21,14:05,31,A,"drumming, excitement call",field recording,yes,"[""Fringilla coelebs"", ""Branta canadensis"", ""Parus major"", ""Passer domesticus""]",48000,https://xeno-canto.org/799877,https://xeno-canto.org/799877/download,
795228,Dendrocopos major,Great Spotted Woodpecker,Dominique Guillerme,France,2023-04-20,09:00,54,A,drumming,in the hand,no,[],48000,https://xeno-canto.org/795228,https://xeno-canto.org/795228/download,
