species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
dendrocopos_major,1072792,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1072792.mp3,9.0,12.0,-38.88701747485712,-40.0,species,Dendrocopos major,Great Spotted Woodpecker,0.7495183348655701,0.7495183348655701,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/dendrocopos_major/XC1072792__s9000__e12000.wav,
dendrocopos_major,1072792,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1072792.mp3,12.0,15.0,-35.36117504580951,-40.0,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/dendrocopos_major/XC1072792__s12000__e15000.wav,
dendrocopos_major,1072792,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1072792.mp3,15.0,18.0,-37.39430470695556,-40.0,species,Dendrocopos major,Great Spotted Woodpecker,0.8349652886390686,0.8349652886390686,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/dendrocopos_major/XC1072792__s15000__e18000.wav,
dendrocopos_major,1072792,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1072792.mp3,24.0,27.0,-25.5838543728599,-40.0,species,Dendrocopos major,Great Spotted Woodpecker,0.33886072039604187,0.33886072039604187,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/dendrocopos_major/XC1072792__s24000__e27000.wav,
dendrocopos_major,1072792,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1072792.mp3,27.0,30.0,-26.705729762869602,-40.0,species,Dendrocopos major,Great Spotted Woodpecker,0.7566173076629639,0.7566173076629639,species,0,,,
dendrocopos_major,1072792,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1072792.mp3,30.0,33.0,-26.418369712028728,-40.0,species,Dendrocopos major,Great Spotted Woodpecker,0.8721505403518677,0.8721505403518677,species,0,,,
dendrocopos_major,1061170,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1061170.mp3,4.0,7.0,-38.46598618156121,-40.0,species,Dendrocopos major,Great Spotted Woodpecker,0.9773223400115967,0.9773223400115967,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/dendrocopos_major/XC1061170__s4000__e7000.wav,
dendrocopos_major,892411,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC892411.mp3,1.0,4.0,-28.862154166362618,-36.14322938531658,species,Dendrocopos major,Great Spotted Woodpecker,0.9736537337303162,0.9736537337303162,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/dendrocopos_major/XC892411__s1000__e4000.wav,
dendrocopos_major,892411,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC892411.mp3,4.0,7.0,-35.040362913670265,-36.14322938531658,drop,Periparus ater,Coal Tit,0.7739630937576294,0.7739630937576294,drop,0,,,
dendrocopos_major,892411,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC892411.mp3,7.0,10.0,-34.64118636466146,-36.14322938531658,drop,Tetrastes bonasia,Hazel Grouse,0.17798621952533722,0.17798621952533722,drop,0,,,
dendrocopos_major,892411,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC892411.mp3,13.0,16.0,-34.00984608881511,-36.14322938531658,drop,Tetrastes bonasia,Hazel Grouse,0.6227565407752991,0.6227565407752991,drop,0,,,
dendrocopos_major,892411,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC892411.mp3,16.0,19.0,-30.620420478688448,-36.14322938531658,species,Dendrocopos major,Great Spotted Woodpecker,0.6833909749984741,0.6833909749984741,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/dendrocopos_major/XC892411__s16000__e19000.wav,
dendrocopos_major,892411,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC892411.mp3,25.0,28.0,-35.868698047229465,-36.14322938531658,drop,Periparus ater,Coal Tit,0.6193268299102783,0.6193268299102783,drop,0,,,
dendrocopos_major,1061195,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1061195.mp3,19.0,22.0,-79.72757778211968,-40.0,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/dendrocopos_major/XC1061195__s19000__e22000.wav,
dendrocopos_major,1061126,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1061126.mp3,25.0,28.0,-33.741260414465756,-38.79765491354607,species,Dendrocopos major,Great Spotted Woodpecker,0.927031934261322,0.927031934261322,species,0,,,
dendrocopos_major,1061126,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1061126.mp3,28.0,31.0,-37.00750441080987,-38.79765491354607,species,Dendrocopos major,Great Spotted Woodpecker,0.7414922118186951,0.7414922118186951,species,0,,,
dendrocopos_major,1061126,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1061126.mp3,31.0,34.0,-36.344095788830806,-38.79765491354607,species,Dendrocopos major,Great Spotted Woodpecker,0.7716328501701355,0.7716328501701355,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/dendrocopos_major/XC1061126__s31000__e34000.wav,
dendrocopos_major,1061126,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1061126.mp3,34.0,37.0,-32.3755959972634,-38.79765491354607,species,Dendrocopos major,Great Spotted Woodpecker,0.40024513006210327,0.40024513006210327,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/dendrocopos_major/XC1061126__s34000__e37000.wav,
dendrocopos_major,1061126,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1061126.mp3,37.0,40.0,-33.886326952357365,-38.79765491354607,species,Dendrocopos major,Great Spotted Woodpecker,0.9872890710830688,0.9872890710830688,species,0,,,
dendrocopos_major,1061126,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1061126.mp3,40.0,43.0,-32.51945131915407,-38.79765491354607,species,Dendrocopos major,Great Spotted Woodpecker,0.9850082397460938,0.9850082397460938,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/dendrocopos_major/XC1061126__s40000__e43000.wav,
dendrocopos_major,654694,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC654694.mp3,1.0,4.0,-36.267418330217915,-39.6792760735482,species,Dendrocopos major,Great Spotted Woodpecker,0.9307188391685486,0.9307188391685486,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/dendrocopos_major/XC654694__s1000__e4000.wav,
dendrocopos_major,654694,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC654694.mp3,4.0,7.0,-37.447128521900055,-39.6792760735482,species,Dendrocopos major,Great Spotted Woodpecker,0.9791111350059509,0.9791111350059509,species,0,,,
dendrocopos_major,654694,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC654694.mp3,7.0,10.0,-36.46544730955001,-39.6792760735482,species,Dendrocopos major,Great Spotted Woodpecker,0.6913372874259949,0.6913372874259949,species,0,,,
dendrocopos_major,654694,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC654694.mp3,10.0,13.0,-36.15741165174445,-39.6792760735482,species,Dendrocopos major,Great Spotted Woodpecker,0.9597921967506409,0.9597921967506409,species,0,,,
dendrocopos_major,654694,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC654694.mp3,13.0,16.0,-37.53967845004791,-39.6792760735482,species,Dendrocopos major,Great Spotted Woodpecker,0.8704482316970825,0.8704482316970825,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/dendrocopos_major/XC654694__s13000__e16000.wav,
dendrocopos_major,654694,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC654694.mp3,16.0,19.0,-39.45843459290871,-39.6792760735482,species,Dendrocopos major,Great Spotted Woodpecker,0.6649845838546753,0.6649845838546753,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/dendrocopos_major/XC654694__s16000__e19000.wav,
dendrocopos_major,1019733,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1019733.mp3,1.0,4.0,-45.089091465752986,-40.0,species,Dendrocopos major,Great Spotted Woodpecker,0.9592784643173218,0.9592784643173218,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/dendrocopos_major/XC1019733__s1000__e4000.wav,
dendrocopos_major,841211,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC841211.mp3,,,,,,,,,,drop,0,,,no_windows
dendrocopos_major,1061205,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1061205.mp3,1.0,4.0,-88.91099996022645,-40.0,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/dendrocopos_major/XC1061205__s1000__e4000.wav,
dendrocopos_major,598965,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC598965.mp3,,,,,,,,,,drop,0,,,no_windows
dendrocopos_major,1065017,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1065017.mp3,4.0,7.0,-34.3029395129087,-34.42165921438409,drop,Accipiter nisus,Eurasian Sparrowhawk,0.22718113660812378,0.22718113660812378,drop,0,,,
dendrocopos_major,1065017,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1065017.mp3,13.0,16.0,-33.85361813124051,-34.42165921438409,drop,Dendrocopos major,Great Spotted Woodpecker,0.2130385786294937,0.2130385786294937,drop,0,,,
dendrocopos_major,1065017,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1065017.mp3,16.0,19.0,-33.63248100684388,-34.42165921438409,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/dendrocopos_major/XC1065017__s16000__e19000.wav,
dendrocopos_major,1065017,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1065017.mp3,19.0,22.0,-34.07778406797776,-34.42165921438409,drop,Turdus philomelos,Song Thrush,0.3934502601623535,0.3934502601623535,drop,0,,,
dendrocopos_major,1065017,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1065017.mp3,22.0,25.0,-34.26918211162436,-34.42165921438409,drop,Turdus philomelos,Song Thrush,0.8723281025886536,0.8723281025886536,drop,0,,,
dendrocopos_major,1065017,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1065017.mp3,25.0,28.0,-33.7879029898091,-34.42165921438409,drop,Turdus philomelos,Song Thrush,0.4842844009399414,0.4842844009399414,drop,0,,,
dendrocopos_major,1061190,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1061190.mp3,1.0,4.0,-28.09515892910854,-28.477961127103942,species,Dendrocopos major,Great Spotted Woodpecker,0.9882688522338867,0.9882688522338867,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/dendrocopos_major/XC1061190__s1000__e4000.wav,
dendrocopos_major,1061189,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1061189.mp3,1.0,4.0,-27.095827381757957,-27.61088350474112,species,Dendrocopos major,Great Spotted Woodpecker,0.9747089147567749,0.9747089147567749,species,0,,,
dendrocopos_major,1061189,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1061189.mp3,10.0,13.0,-27.408062195493702,-27.61088350474112,species,Dendrocopos major,Great Spotted Woodpecker,0.9466625452041626,0.9466625452041626,species,0,,,
dendrocopos_major,1061189,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1061189.mp3,13.0,16.0,-27.372503315693212,-27.61088350474112,species,Dendrocopos major,Great Spotted Woodpecker,0.9673155546188354,0.9673155546188354,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/dendrocopos_major/XC1061189__s13000__e16000.wav,
dendrocopos_major,1061189,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1061189.mp3,19.0,22.0,-26.922869859156204,-27.61088350474112,species,Dendrocopos major,Great Spotted Woodpecker,0.9876528978347778,0.9876528978347778,species,0,,,
dendrocopos_major,1061189,Dendrocopos major,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/dendrocopos_major/XC1061189.mp3,22.0,25.0,-26.978760227876542,-27.61088350474112,species,Dendrocopos major,Great Spotted Woodpecker,0.9780448079109192,0.9780448079109192,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/dendrocopos_major/XC1061189__s22000__e25000.wav,
