xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1072792,Dendrocopos major,Great Spotted Woodpecker,Paul Kelly,Ireland,2026-01-04,08:00,44,B,call,field recording,no,[],24000,https://xeno-canto.org/1072792,https://xeno-canto.org/1072792/download,
1061170,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2019-02-23,08:00,14,A,call,field recording,yes,[],48000,https://xeno-canto.org/1061170,https://xeno-canto.org/1061170/download,
892411,Dendrocopos major,Great Spotted Woodpecker,Peter Stronach,United Kingdom,2024-03-25,07:00,45,A,drumming,field recording,yes,"[""Regulus regulus"", ""Periparus ater""]",44100,https://xeno-canto.org/892411,https://xeno-canto.org/892411/download,
1061195,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2015-04-27,11:30,49,A,"song, feeding",field recording,yes,[],44100,https://xeno-canto.org/1061195,https://xeno-canto.org/1061195/download,
1061126,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2019-05-23,07:00,45,A,begging call,field recording,yes,[],48000,https://xeno-canto.org/1061126,https://xeno-canto.org/1061126/download,
654694,Dendrocopos major,Great Spotted Woodpecker,Paul Bourdin,Ireland,2021-06-06,06:30,55,A,call,field recording,yes,[],44100,https://xeno-canto.org/654694,https://xeno-canto.org/654694/download,
1019733,Dendrocopos major,Great Spotted Woodpecker,He Wenjin/文进,United Kingdom,2025-07-21,06:00,18,A,call,field recording,yes,"[""Streptopelia decaocto""]",48000,https://xeno-canto.org/1019733,https://xeno-canto.org/1019733/download,
841211,Dendrocopos major,Great Spotted Woodpecker,Tom Gale,United Kingdom,2023-08-22,13:30,3,B,call,field recording,yes,[],44100,https://xeno-canto.org/841211,https://xeno-canto.org/841211/download,
1061205,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2012-09-02,08:00,11,B,"call, feeding",field recording,yes,[],96000,https://xeno-canto.org/1061205,https://xeno-canto.org/1061205/download,
598965,Dendrocopos major,Great Spotted Woodpecker,Mr Mark Shorten,Ireland,2020-10-30,12:00,2,B,call,field recording,yes,[],44100,https://xeno-canto.org/598965,https://xeno-canto.org/598965/download,
1065017,Dendrocopos major,Great Spotted Woodpecker,Paul Driver,United Kingdom,2025-11-13,08:14,32,B,tapping,field recording,yes,[],44100,https://xeno-canto.org/1065017,https://xeno-canto.org/1065017/download,
1061190,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2015-12-15,08:00,8,B,"call, feeding",field recording,yes,[],44100,https://xeno-canto.org/1061190,https://xeno-canto.org/1061190/download,
1061189,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2016-01-16,08:00,33,B,"call, feeding",field recording,yes,[],44100,https://xeno-canto.org/1061189,https://xeno-canto.org/1061189/download,
1061167,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2019-02-23,08:00,14,A,song,field recording,yes,[],48000,https://xeno-canto.org/1061167,https://xeno-canto.org/1061167/download,
99938,Dendrocopos major,Great Spotted Woodpecker,Tony Whitehead,United Kingdom,2003-03-29,?,37,A,call,field recording,unknown,[],44100,https://xeno-canto.org/99938,https://xeno-canto.org/99938/download,
714183,Dendrocopos major,Great Spotted Woodpecker,Simon Elliott,United Kingdom,2022-04-09,06:00,56,A,drumming,field recording,yes,"[""Corvus corone"", ""Troglodytes troglodytes"", ""Phylloscopus collybita"", ""Phasianus colchicus""]",48000,https://xeno-canto.org/714183,https://xeno-canto.org/714183/download,
593985,Dendrocopos major,Great Spotted Woodpecker,Simon Elliott,United Kingdom,2002-05-03,13:00,11,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/593985,https://xeno-canto.org/593985/download,
1061157,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2020-06-12,08:00,31,B,call,field recording,yes,[],48000,https://xeno-canto.org/1061157,https://xeno-canto.org/1061157/download,
792746,Dendrocopos major,Great Spotted Woodpecker,Simon Elliott,United Kingdom,2020-07-12,05:00,47,A,call,field recording,yes,"[""Columba palumbus"", ""Corvus frugilegus"", ""Troglodytes troglodytes"", ""Phylloscopus collybita""]",48000,https://xeno-canto.org/792746,https://xeno-canto.org/792746/download,
828292,Dendrocopos major,Great Spotted Woodpecker,Tom Gale,United Kingdom,2023-08-22,13:00,18,B,call,field recording,yes,"[""Linaria cannabina""]",44100,https://xeno-canto.org/828292,https://xeno-canto.org/828292/download,
1061153,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2020-09-02,08:00,20,B,call,field recording,yes,[],48000,https://xeno-canto.org/1061153,https://xeno-canto.org/1061153/download,
436994,Dendrocopos major,Great Spotted Woodpecker,Dominic Garcia-Hall,United Kingdom,2018-10-01,09:30,26,B,"alarm call, call",field recording,yes,"[""Sitta europaea""]",44100,https://xeno-canto.org/436994,https://xeno-canto.org/436994/download,
1063013,Dendrocopos major,Great Spotted Woodpecker,Paul Kelly,Ireland,2025-11-27,16:30,25,B,call,field recording,no,"[""Aegithalos caudatus""]",24000,https://xeno-canto.org/1063013,https://xeno-canto.org/1063013/download,
1061128,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2016-12-27,08:00,50,B,song,field recording,yes,[],48000,https://xeno-canto.org/1061128,https://xeno-canto.org/1061128/download,
1061183,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2018-01-06,08:00,25,B,"call, feeding",field recording,yes,[],48000,https://xeno-canto.org/1061183,https://xeno-canto.org/1061183/download,
1061151,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2021-02-28,08:00,7,A,song,field recording,yes,[],48000,https://xeno-canto.org/1061151,https://xeno-canto.org/1061151/download,
1061209,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2011-03-28,07:30,18,B,"call, feeding",field recording,yes,[],44100,https://xeno-canto.org/1061209,https://xeno-canto.org/1061209/download,
1061201,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2015-04-06,08:00,9,B,"call, feeding",field recording,yes,[],44100,https://xeno-canto.org/1061201,https://xeno-canto.org/1061201/download,
593984,Dendrocopos major,Great Spotted Woodpecker,Simon Elliott,United Kingdom,2002-05-20,11:00,11,A,call,field recording,yes,"[""Fulica atra""]",44100,https://xeno-canto.org/593984,https://xeno-canto.org/593984/download,
1024210,Dendrocopos major,Great Spotted Woodpecker,Paul Driver,United Kingdom,2025-06-10,07:37,18,B,call,field recording,yes,[],44100,https://xeno-canto.org/1024210,https://xeno-canto.org/1024210/download,
921529,Dendrocopos major,Great Spotted Woodpecker,Paul Driver,United Kingdom,2024-07-09,08:16,24,B,call,field recording,yes,[],44100,https://xeno-canto.org/921529,https://xeno-canto.org/921529/download,
824644,Dendrocopos major,Great Spotted Woodpecker,Andrew Harrop,United Kingdom,2023-08-23,11:00,10,B,call,field recording,yes,[],44100,https://xeno-canto.org/824644,https://xeno-canto.org/824644/download,
1043802,Dendrocopos major,Great Spotted Woodpecker,Paul Kelly,Ireland,2025-09-28,07:00,10,B,call,field recording,no,"[""Corvus frugilegus"", ""Erithacus rubecula""]",24000,https://xeno-canto.org/1043802,https://xeno-canto.org/1043802/download,
201625,Dendrocopos major,Great Spotted Woodpecker,David Darrell-Lambert,United Kingdom,2014-10-26,11:30,2,B,call,field recording,yes,[],44100,https://xeno-canto.org/201625,https://xeno-canto.org/201625/download,
1063012,Dendrocopos major,Great Spotted Woodpecker,Paul Kelly,Ireland,2025-11-27,16:30,8,B,"call, Canine.",field recording,no,"[""Phylloscopus collybita""]",24000,https://xeno-canto.org/1063012,https://xeno-canto.org/1063012/download,
778158,Dendrocopos major,Great Spotted Woodpecker,Paul Driver,United Kingdom,2016-12-14,07:52,8,B,call,field recording,yes,[],44100,https://xeno-canto.org/778158,https://xeno-canto.org/778158/download,
