xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
861321,Emberiza citrinella,Yellowhammer,Chris Button,United Kingdom,2024-01-11,09:00,7,B,flight call,field recording,yes,[],48000,https://xeno-canto.org/861321,https://xeno-canto.org/861321/download,src/dataset/bird_data/raw/emberiza_citrinella/XC861321.mp3
168017,Emberiza citrinella,Yellowhammer,david m,United Kingdom,2012-02-25,07:08,43,A,"call, song",field recording,yes,"[""Cyanistes caeruleus"", ""Fringilla coelebs"", ""Corvus corone""]",48000,https://xeno-canto.org/168017,https://xeno-canto.org/168017/download,src/dataset/bird_data/raw/emberiza_citrinella/XC168017.mp3
631704,Emberiza citrinella,Yellowhammer,Will Scott,United Kingdom,2021-03-25,07:00,10,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/631704,https://xeno-canto.org/631704/download,src/dataset/bird_data/raw/emberiza_citrinella/XC631704.mp3
892228,Emberiza citrinella,Yellowhammer,Andrew Harrop,United Kingdom,2024-04-01,11:30,10,B,song,field recording,yes,[],44100,https://xeno-canto.org/892228,https://xeno-canto.org/892228/download,src/dataset/bird_data/raw/emberiza_citrinella/XC892228.mp3
655122,Emberiza citrinella,Yellowhammer,david m,United Kingdom,2021-05-16,05:21,18,A,call,field recording,yes,"[""Columba palumbus"", ""Corvus corone"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/655122,https://xeno-canto.org/655122/download,src/dataset/bird_data/raw/emberiza_citrinella/XC655122.mp3
180948,Emberiza citrinella,Yellowhammer,Dawid Jablonski,United Kingdom,2014-06-01,17:00,4,A,song,field recording,yes,[],44100,https://xeno-canto.org/180948,https://xeno-canto.org/180948/download,src/dataset/bird_data/raw/emberiza_citrinella/XC180948.mp3
1025096,Emberiza citrinella,Yellowhammer,Filippo Ceccolini,United Kingdom,2025-07-24,12:45,5,B,song,field recording,yes,[],48000,https://xeno-canto.org/1025096,https://xeno-canto.org/1025096/download,src/dataset/bird_data/raw/emberiza_citrinella/XC1025096.mp3
625444,Emberiza citrinella,Yellowhammer,david m,United Kingdom,2020-08-16,06:24,21,B,call,field recording,yes,[],48000,https://xeno-canto.org/625444,https://xeno-canto.org/625444/download,src/dataset/bird_data/raw/emberiza_citrinella/XC625444.mp3
836690,Emberiza citrinella,Yellowhammer,David Darrell-Lambert,United Kingdom,2023-09-15,09:30,23,B,flight call,field recording,yes,[],48000,https://xeno-canto.org/836690,https://xeno-canto.org/836690/download,src/dataset/bird_data/raw/emberiza_citrinella/XC836690.mp3
914640,Emberiza citrinella,Yellowhammer,Arjun Dutta,United Kingdom,2021-10-12,07:30,11,B,"call, flight call",field recording,yes,[],44100,https://xeno-canto.org/914640,https://xeno-canto.org/914640/download,src/dataset/bird_data/raw/emberiza_citrinella/XC914640.mp3
