xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
861321,Emberiza citrinella,Yellowhammer,Chris Button,United Kingdom,2024-01-11,09:00,7,B,flight call,field recording,yes,[],48000,https://xeno-canto.org/861321,https://xeno-canto.org/861321/download,
168017,Emberiza citrinella,Yellowhammer,david m,United Kingdom,2012-02-25,07:08,43,A,"call, song",field recording,yes,"[""Cyanistes caeruleus"", ""Fringilla coelebs"", ""Corvus corone""]",48000,https://xeno-canto.org/168017,https://xeno-canto.org/168017/download,
631704,Emberiza citrinella,Yellowhammer,Will Scott,United Kingdom,2021-03-25,07:00,10,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/631704,https://xeno-canto.org/631704/download,
892228,Emberiza citrinella,Yellowhammer,Andrew Harrop,United Kingdom,2024-04-01,11:30,10,B,song,field recording,yes,[],44100,https://xeno-canto.org/892228,https://xeno-canto.org/892228/download,
655122,Emberiza citrinella,Yellowhammer,david m,United Kingdom,2021-05-16,05:21,18,A,call,field recording,yes,"[""Columba palumbus"", ""Corvus corone"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/655122,https://xeno-canto.org/655122/download,
180948,Emberiza citrinella,Yellowhammer,Dawid Jablonski,United Kingdom,2014-06-01,17:00,4,A,song,field recording,yes,[],44100,https://xeno-canto.org/180948,https://xeno-canto.org/180948/download,
1025096,Emberiza citrinella,Yellowhammer,Filippo Ceccolini,United Kingdom,2025-07-24,12:45,5,B,song,field recording,yes,[],48000,https://xeno-canto.org/1025096,https://xeno-canto.org/1025096/download,
625444,Emberiza citrinella,Yellowhammer,david m,United Kingdom,2020-08-16,06:24,21,B,call,field recording,yes,[],48000,https://xeno-canto.org/625444,https://xeno-canto.org/625444/download,
836690,Emberiza citrinella,Yellowhammer,David Darrell-Lambert,United Kingdom,2023-09-15,09:30,23,B,flight call,field recording,yes,[],48000,https://xeno-canto.org/836690,https://xeno-canto.org/836690/download,
914640,Emberiza citrinella,Yellowhammer,Arjun Dutta,United Kingdom,2021-10-12,07:30,11,B,"call, flight call",field recording,yes,[],44100,https://xeno-canto.org/914640,https://xeno-canto.org/914640/download,
952934,Emberiza citrinella,Yellowhammer,Paul Kelly,Ireland,2024-11-17,08:00,8,B,"call, Traffic.",field recording,no,"[""Erithacus rubecula""]",44100,https://xeno-canto.org/952934,https://xeno-canto.org/952934/download,
1062335,Emberiza citrinella,Yellowhammer,Dean Cornish,United Kingdom,2025-12-02,23:30,3,B,"call, flight call, nocturnal flight call",field recording,no,[],24000,https://xeno-canto.org/1062335,https://xeno-canto.org/1062335/download,
614085,Emberiza citrinella,Yellowhammer,Calum Mckellar,United Kingdom,2020-01-08,09:00,33,B,call,field recording,yes,[],44100,https://xeno-canto.org/614085,https://xeno-canto.org/614085/download,
781944,Emberiza citrinella,Yellowhammer,Paul Kelly,Ireland,2023-02-12,08:30,4,B,call,field recording,no,[],44100,https://xeno-canto.org/781944,https://xeno-canto.org/781944/download,
579443,Emberiza citrinella,Yellowhammer,david m,United Kingdom,2020-03-09,06:03,15,B,"alarm call, call, flight call",field recording,yes,[],48000,https://xeno-canto.org/579443,https://xeno-canto.org/579443/download,
544862,Emberiza citrinella,Yellowhammer,Peter Stronach,United Kingdom,2020-04-09,06:15,17,B,call,field recording,yes,"[""Columba palumbus""]",48000,https://xeno-canto.org/544862,https://xeno-canto.org/544862/download,
260119,Emberiza citrinella,Yellowhammer,david m,United Kingdom,2015-05-19,05:56,52,A,song,field recording,yes,"[""Alauda arvensis""]",48000,https://xeno-canto.org/260119,https://xeno-canto.org/260119/download,
1009478,Emberiza citrinella,Yellowhammer,David Darrell-Lambert,United Kingdom,2025-06-26,07:00,3,B,song,field recording,yes,[],32000,https://xeno-canto.org/1009478,https://xeno-canto.org/1009478/download,
921626,Emberiza citrinella,Yellowhammer,Paul Driver,United Kingdom,2024-07-14,09:23,39,B,alarm call,field recording,yes,[],44100,https://xeno-canto.org/921626,https://xeno-canto.org/921626/download,
196054,Emberiza citrinella,Yellowhammer,david m,United Kingdom,2010-08-01,09:06,40,B,song,field recording,yes,[],48000,https://xeno-canto.org/196054,https://xeno-canto.org/196054/download,
836689,Emberiza citrinella,Yellowhammer,David Darrell-Lambert,United Kingdom,2023-09-15,09:30,5,B,flight call,field recording,yes,[],48000,https://xeno-canto.org/836689,https://xeno-canto.org/836689/download,
914639,Emberiza citrinella,Yellowhammer,Arjun Dutta,United Kingdom,2021-10-09,07:30,38,B,"call, flight call",field recording,yes,[],44100,https://xeno-canto.org/914639,https://xeno-canto.org/914639/download,
914641,Emberiza citrinella,Yellowhammer,Arjun Dutta,United Kingdom,2021-11-07,08:30,25,B,"call, flight call",field recording,yes,[],44100,https://xeno-canto.org/914641,https://xeno-canto.org/914641/download,
771713,Emberiza citrinella,Yellowhammer,Paul Archer,Ireland,2022-12-26,16:00,33,B,call,field recording,yes,[],44100,https://xeno-canto.org/771713,https://xeno-canto.org/771713/download,
614084,Emberiza citrinella,Yellowhammer,Calum Mckellar,United Kingdom,2020-01-08,13:30,11,B,call,field recording,yes,[],44100,https://xeno-canto.org/614084,https://xeno-canto.org/614084/download,
309546,Emberiza citrinella,Yellowhammer,david m,United Kingdom,2016-02-16,08:21,15,B,"call, flight call",field recording,yes,"[""Erithacus rubecula""]",48000,https://xeno-canto.org/309546,https://xeno-canto.org/309546/download,
561553,Emberiza citrinella,Yellowhammer,Simon Gillings,United Kingdom,2020-03-16,09:44,28,B,song,field recording,yes,"[""Corvus corone""]",48000,https://xeno-canto.org/561553,https://xeno-canto.org/561553/download,
992385,Emberiza citrinella,Yellowhammer,Tero Linjama,Finland,2025-04-27,18:00,13,A,song,field recording,yes,[],44100,https://xeno-canto.org/992385,https://xeno-canto.org/992385/download,
995270,Emberiza citrinella,Yellowhammer,Jonathan Potts,United Kingdom,2025-05-05,17:30,51,B,song,field recording,yes,"[""Phylloscopus trochilus""]",44100,https://xeno-canto.org/995270,https://xeno-canto.org/995270/download,
1008323,Emberiza citrinella,Yellowhammer,Paul Kelly,Ireland,2025-06-20,21:30,6,B,"call, Ocean.",field recording,no,[],44100,https://xeno-canto.org/1008323,https://xeno-canto.org/1008323/download,
921625,Emberiza citrinella,Yellowhammer,Paul Driver,United Kingdom,2024-07-14,09:25,48,B,alarm call,field recording,yes,[],44100,https://xeno-canto.org/921625,https://xeno-canto.org/921625/download,
144327,Emberiza citrinella,Yellowhammer,Buhl Johannes,Germany,2013-08-04,08:00,43,A,call,field recording,unknown,[],48000,https://xeno-canto.org/144327,https://xeno-canto.org/144327/download,
751209,Emberiza citrinella,Yellowhammer,Lars Edenius,Sweden,2022-09-28,08:00,22,A,call,field recording,yes,[],48000,https://xeno-canto.org/751209,https://xeno-canto.org/751209/download,
754522,Emberiza citrinella,Yellowhammer,Will Scott,United Kingdom,2022-10-08,06:00,2,B,"flight call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/754522,https://xeno-canto.org/754522/download,
442792,Emberiza citrinella,Yellowhammer,W. Agster,Germany,2018-11-15,10:00,26,A,call,field recording,yes,[],48000,https://xeno-canto.org/442792,https://xeno-canto.org/442792/download,
611663,Emberiza citrinella,Yellowhammer,Craig Brookes,United Kingdom,2020-12-30,13:00,12,B,flight call,field recording,yes,"[""Fringilla coelebs"", ""Coloeus monedula""]",44100,https://xeno-canto.org/611663,https://xeno-canto.org/611663/download,
453501,Emberiza citrinella,Yellowhammer,Andrew Harrop,United Kingdom,2019-01-24,11:29,25,B,"call, flight call",field recording,yes,[],16000,https://xeno-canto.org/453501,https://xeno-canto.org/453501/download,
210437,Emberiza citrinella,Yellowhammer,david m,United Kingdom,2014-02-25,08:54,48,B,song,field recording,yes,[],48000,https://xeno-canto.org/210437,https://xeno-canto.org/210437/download,
537074,Emberiza citrinella,Yellowhammer,Michał Jezierski,United Kingdom,2020-03-19,14:30,24,B,call,field recording,yes,"[""Turdus philomelos"", ""Erithacus rubecula"", ""Phasianus colchicus""]",44100,https://xeno-canto.org/537074,https://xeno-canto.org/537074/download,
985932,Emberiza citrinella,Yellowhammer,Lars Edenius,Sweden,2025-04-06,07:30,29,A,song,field recording,yes,"[""Fringilla coelebs"", ""Cygnus cygnus""]",48000,https://xeno-canto.org/985932,https://xeno-canto.org/985932/download,
639077,Emberiza citrinella,Yellowhammer,Dan Lombard,United Kingdom,2020-05-04,08:00,8,B,call,field recording,yes,[],44100,https://xeno-canto.org/639077,https://xeno-canto.org/639077/download,
