species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
emberiza_schoeniclus,870645,Emberiza schoeniclus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/emberiza_schoeniclus/XC870645.mp3,4.0,7.0,-29.985783007183855,-40.0,species,Emberiza schoeniclus,Reed Bunting,0.4651847779750824,0.4651847779750824,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/emberiza_schoeniclus/XC870645__s4000__e7000.wav,
emberiza_schoeniclus,870645,Emberiza schoeniclus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/emberiza_schoeniclus/XC870645.mp3,10.0,13.0,-29.343808942150403,-40.0,species,Emberiza schoeniclus,Reed Bunting,0.3435208797454834,0.3435208797454834,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/emberiza_schoeniclus/XC870645__s10000__e13000.wav,
emberiza_schoeniclus,870645,Emberiza schoeniclus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/emberiza_schoeniclus/XC870645.mp3,16.0,19.0,-33.036155925905405,-40.0,species,Emberiza schoeniclus,Reed Bunting,0.3736974000930786,0.3736974000930786,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/emberiza_schoeniclus/XC870645__s16000__e19000.wav,
emberiza_schoeniclus,914649,Emberiza schoeniclus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/emberiza_schoeniclus/XC914649.mp3,1.0,4.0,-50.48192527258646,-40.0,species,Emberiza schoeniclus,Reed Bunting,0.961310863494873,0.961310863494873,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/emberiza_schoeniclus/XC914649__s1000__e4000.wav,
emberiza_schoeniclus,914645,Emberiza schoeniclus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/emberiza_schoeniclus/XC914645.mp3,13.0,16.0,-65.07857329918278,-40.0,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/emberiza_schoeniclus/XC914645__s13000__e16000.wav,
emberiza_schoeniclus,102048,Emberiza schoeniclus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/emberiza_schoeniclus/XC102048.mp3,1.0,4.0,-37.08162563360321,-40.0,species,Emberiza schoeniclus,Reed Bunting,0.9769814610481262,0.9769814610481262,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/emberiza_schoeniclus/XC102048__s1000__e4000.wav,
emberiza_schoeniclus,102048,Emberiza schoeniclus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/emberiza_schoeniclus/XC102048.mp3,7.0,10.0,-38.92188982451645,-40.0,species,Emberiza schoeniclus,Reed Bunting,0.9682963490486145,0.9682963490486145,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/emberiza_schoeniclus/XC102048__s7000__e10000.wav,
emberiza_schoeniclus,102048,Emberiza schoeniclus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/emberiza_schoeniclus/XC102048.mp3,13.0,16.0,-37.69771572236063,-40.0,species,Emberiza schoeniclus,Reed Bunting,0.9747442603111267,0.9747442603111267,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/emberiza_schoeniclus/XC102048__s13000__e16000.wav,
emberiza_schoeniclus,735603,Emberiza schoeniclus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/emberiza_schoeniclus/XC735603.mp3,1.0,4.0,-19.250692510529024,-20.563172709345437,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/emberiza_schoeniclus/XC735603__s1000__e4000.wav,
emberiza_schoeniclus,735603,Emberiza schoeniclus,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/emberiza_schoeniclus/XC735603.mp3,4.0,7.0,-20.56263039706749,-20.563172709345437,drop,Anthus pratensis,Meadow Pipit,0.8918383121490479,0.8918383121490479,drop,0,,,
