xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
870645,Emberiza schoeniclus,Common Reed Bunting,Paul Kelly,Ireland,2024-01-14,08:00,19,A,call,field recording,no,"[""Cygnus cygnus"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/870645,https://xeno-canto.org/870645/download,src/dataset/bird_data/raw/emberiza_schoeniclus/XC870645.mp3
914649,Emberiza schoeniclus,Common Reed Bunting,Arjun Dutta,United Kingdom,2022-02-20,13:30,4,B,call,field recording,yes,[],44100,https://xeno-canto.org/914649,https://xeno-canto.org/914649/download,src/dataset/bird_data/raw/emberiza_schoeniclus/XC914649.mp3
914645,Emberiza schoeniclus,Common Reed Bunting,Arjun Dutta,United Kingdom,2022-03-09,15:30,16,B,call,field recording,yes,[],44100,https://xeno-canto.org/914645,https://xeno-canto.org/914645/download,src/dataset/bird_data/raw/emberiza_schoeniclus/XC914645.mp3
102048,Emberiza schoeniclus,Common Reed Bunting,Richard Dunn,United Kingdom,2012-04-20,20:30,24,A,song,field recording,unknown,[],44100,https://xeno-canto.org/102048,https://xeno-canto.org/102048/download,src/dataset/bird_data/raw/emberiza_schoeniclus/XC102048.mp3
735603,Emberiza schoeniclus,Common Reed Bunting,Irish Wildlife Sounds,Ireland,2022-05-29,07:30,46,A,song,field recording,no,[],44100,https://xeno-canto.org/735603,https://xeno-canto.org/735603/download,src/dataset/bird_data/raw/emberiza_schoeniclus/XC735603.mp3
596407,Emberiza schoeniclus,Common Reed Bunting,Simon Elliott,United Kingdom,2015-06-08,21:00,14,A,call,field recording,yes,"[""Columba palumbus"", ""Fringilla coelebs"", ""Turdus merula"", ""Acanthis cabaret""]",48000,https://xeno-canto.org/596407,https://xeno-canto.org/596407/download,src/dataset/bird_data/raw/emberiza_schoeniclus/XC596407.mp3
595169,Emberiza schoeniclus,Common Reed Bunting,Simon Elliott,United Kingdom,2007-07-01,06:00,13,A,"begging call, hatchling or nestling",field recording,yes,"[""Chroicocephalus ridibundus""]",48000,https://xeno-canto.org/595169,https://xeno-canto.org/595169/download,src/dataset/bird_data/raw/emberiza_schoeniclus/XC595169.mp3
749241,Emberiza schoeniclus,Common Reed Bunting,Irish Wildlife Sounds,Ireland,2022-08-06,07:00,7,B,flight call,field recording,no,[],44100,https://xeno-canto.org/749241,https://xeno-canto.org/749241/download,src/dataset/bird_data/raw/emberiza_schoeniclus/XC749241.mp3
1041732,Emberiza schoeniclus,Common Reed Bunting,David Darrell-Lambert,United Kingdom,2025-09-19,18:00,7,B,call,field recording,yes,[],48000,https://xeno-canto.org/1041732,https://xeno-canto.org/1041732/download,src/dataset/bird_data/raw/emberiza_schoeniclus/XC1041732.mp3
840795,Emberiza schoeniclus,Common Reed Bunting,Paul Kelly,Ireland,2023-10-30,01:00,4,B,call,field recording,no,[],44100,https://xeno-canto.org/840795,https://xeno-canto.org/840795/download,src/dataset/bird_data/raw/emberiza_schoeniclus/XC840795.mp3
766657,Emberiza schoeniclus,Common Reed Bunting,Irish Wildlife Sounds,Ireland,2022-11-16,07:30,14,B,flight call,field recording,no,[],44100,https://xeno-canto.org/766657,https://xeno-canto.org/766657/download,src/dataset/bird_data/raw/emberiza_schoeniclus/XC766657.mp3
845794,Emberiza schoeniclus,Common Reed Bunting,Andrew Harrop,United Kingdom,2023-12-06,09:30,14,B,call,field recording,yes,[],44100,https://xeno-canto.org/845794,https://xeno-canto.org/845794/download,src/dataset/bird_data/raw/emberiza_schoeniclus/XC845794.mp3
596405,Emberiza schoeniclus,Common Reed Bunting,Simon Elliott,United Kingdom,2004-01-04,10:00,19,A,call,field recording,yes,[],44100,https://xeno-canto.org/596405,https://xeno-canto.org/596405/download,src/dataset/bird_data/raw/emberiza_schoeniclus/XC596405.mp3
621908,Emberiza schoeniclus,Common Reed Bunting,Mark Newsome,United Kingdom,2021-02-16,02:17,14,B,nocturnal flight call,field recording,no,[],44100,https://xeno-canto.org/621908,https://xeno-canto.org/621908/download,src/dataset/bird_data/raw/emberiza_schoeniclus/XC621908.mp3
786268,Emberiza schoeniclus,Common Reed Bunting,Paul Kelly,Ireland,2023-03-05,18:00,17,B,"call, song",field recording,no,"[""Corvus frugilegus""]",44100,https://xeno-canto.org/786268,https://xeno-canto.org/786268/download,src/dataset/bird_data/raw/emberiza_schoeniclus/XC786268.mp3
986769,Emberiza schoeniclus,Common Reed Bunting,Brian Cox,United Kingdom,2025-04-08,09:30,21,B,song,field recording,yes,[],44100,https://xeno-canto.org/986769,https://xeno-canto.org/986769/download,src/dataset/bird_data/raw/emberiza_schoeniclus/XC986769.mp3
86327,Emberiza schoeniclus,Common Reed Bunting,David Farrow,United Kingdom,2010-05-15,?,49,A,song,field recording,unknown,[],44100,https://xeno-canto.org/86327,https://xeno-canto.org/86327/download,src/dataset/bird_data/raw/emberiza_schoeniclus/XC86327.mp3
596406,Emberiza schoeniclus,Common Reed Bunting,Simon Elliott,United Kingdom,2015-06-08,21:00,44,A,call,field recording,yes,"[""Columba palumbus"", ""Fringilla coelebs"", ""Turdus merula"", ""Acanthis cabaret""]",48000,https://xeno-canto.org/596406,https://xeno-canto.org/596406/download,src/dataset/bird_data/raw/emberiza_schoeniclus/XC596406.mp3
1014612,Emberiza schoeniclus,Common Reed Bunting,David Darrell-Lambert,United Kingdom,2025-07-09,18:00,39,B,song,field recording,yes,[],32000,https://xeno-canto.org/1014612,https://xeno-canto.org/1014612/download,src/dataset/bird_data/raw/emberiza_schoeniclus/XC1014612.mp3
670557,Emberiza schoeniclus,Common Reed Bunting,John Sirrett,United Kingdom,2021-08-26,07:30,34,B,flight call,field recording,no,"[""Streptopelia decaocto""]",48000,https://xeno-canto.org/670557,https://xeno-canto.org/670557/download,src/dataset/bird_data/raw/emberiza_schoeniclus/XC670557.mp3
