xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
870645,Emberiza schoeniclus,Common Reed Bunting,Paul Kelly,Ireland,2024-01-14,08:00,19,A,call,field recording,no,"[""Cygnus cygnus"", ""Troglodytes troglodytes""]",44100,https://xeno-canto.org/870645,https://xeno-canto.org/870645/download,
914649,Emberiza schoeniclus,Common Reed Bunting,Arjun Dutta,United Kingdom,2022-02-20,13:30,4,B,call,field recording,yes,[],44100,https://xeno-canto.org/914649,https://xeno-canto.org/914649/download,
914645,Emberiza schoeniclus,Common Reed Bunting,Arjun Dutta,United Kingdom,2022-03-09,15:30,16,B,call,field recording,yes,[],44100,https://xeno-canto.org/914645,https://xeno-canto.org/914645/download,
102048,Emberiza schoeniclus,Common Reed Bunting,Richard Dunn,United Kingdom,2012-04-20,20:30,24,A,song,field recording,unknown,[],44100,https://xeno-canto.org/102048,https://xeno-canto.org/102048/download,
735603,Emberiza schoeniclus,Common Reed Bunting,Irish Wildlife Sounds,Ireland,2022-05-29,07:30,46,A,song,field recording,no,[],44100,https://xeno-canto.org/735603,https://xeno-canto.org/735603/download,
596407,Emberiza schoeniclus,Common Reed Bunting,Simon Elliott,United Kingdom,2015-06-08,21:00,14,A,call,field recording,yes,"[""Columba palumbus"", ""Fringilla coelebs"", ""Turdus merula"", ""Acanthis cabaret""]",48000,https://xeno-canto.org/596407,https://xeno-canto.org/596407/download,
595169,Emberiza schoeniclus,Common Reed Bunting,Simon Elliott,United Kingdom,2007-07-01,06:00,13,A,"begging call, hatchling or nestling",field recording,yes,"[""Chroicocephalus ridibundus""]",48000,https://xeno-canto.org/595169,https://xeno-canto.org/595169/download,
749241,Emberiza schoeniclus,Common Reed Bunting,Irish Wildlife Sounds,Ireland,2022-08-06,07:00,7,B,flight call,field recording,no,[],44100,https://xeno-canto.org/749241,https://xeno-canto.org/749241/download,
1041732,Emberiza schoeniclus,Common Reed Bunting,David Darrell-Lambert,United Kingdom,2025-09-19,18:00,7,B,call,field recording,yes,[],48000,https://xeno-canto.org/1041732,https://xeno-canto.org/1041732/download,
840795,Emberiza schoeniclus,Common Reed Bunting,Paul Kelly,Ireland,2023-10-30,01:00,4,B,call,field recording,no,[],44100,https://xeno-canto.org/840795,https://xeno-canto.org/840795/download,
