xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
355282,Erithacus rubecula,European Robin,david m,United Kingdom,2017-01-30,08:31,49,A,song,field recording,yes,[],48000,https://xeno-canto.org/355282,https://xeno-canto.org/355282/download,src/dataset/bird_data/raw/erithacus_rubecula/XC355282.mp3
1078549,Erithacus rubecula,European Robin,David Darrell-Lambert,United Kingdom,2026-02-08,13:00,21,B,song,field recording,yes,[],48000,https://xeno-canto.org/1078549,https://xeno-canto.org/1078549/download,src/dataset/bird_data/raw/erithacus_rubecula/XC1078549.mp3
405338,Erithacus rubecula,European Robin,Dominic Garcia-Hall,United Kingdom,2018-03-08,12:00,30,A,song,field recording,yes,[],44100,https://xeno-canto.org/405338,https://xeno-canto.org/405338/download,src/dataset/bird_data/raw/erithacus_rubecula/XC405338.mp3
986244,Erithacus rubecula,European Robin,Molly Bell,Ireland,2025-04-07,08:28,28,A,song,field recording,yes,"[""Fringilla coelebs"", ""Phylloscopus trochilus""]",44100,https://xeno-canto.org/986244,https://xeno-canto.org/986244/download,src/dataset/bird_data/raw/erithacus_rubecula/XC986244.mp3
996390,Erithacus rubecula,European Robin,David Darrell-Lambert,United Kingdom,2025-05-03,05:00,41,A,song,field recording,yes,[],32000,https://xeno-canto.org/996390,https://xeno-canto.org/996390/download,src/dataset/bird_data/raw/erithacus_rubecula/XC996390.mp3
919240,Erithacus rubecula,European Robin,Anthony McGeehan ,United Kingdom,2024-06-24,08:00,53,A,song,field recording,yes,[],48000,https://xeno-canto.org/919240,https://xeno-canto.org/919240/download,src/dataset/bird_data/raw/erithacus_rubecula/XC919240.mp3
326557,Erithacus rubecula,European Robin,Ashley Fisher,United Kingdom,2016-07-03,20:23,23,A,call,field recording,yes,[],48000,https://xeno-canto.org/326557,https://xeno-canto.org/326557/download,src/dataset/bird_data/raw/erithacus_rubecula/XC326557.mp3
1029273,Erithacus rubecula,European Robin,Agris Celmins,United Kingdom,2024-08-19,05:48,25,A,call,field recording,no,[],44100,https://xeno-canto.org/1029273,https://xeno-canto.org/1029273/download,src/dataset/bird_data/raw/erithacus_rubecula/XC1029273.mp3
1029274,Erithacus rubecula,European Robin,Agris Celmins,United Kingdom,2024-09-13,09:00,30,A,call,field recording,no,[],44100,https://xeno-canto.org/1029274,https://xeno-canto.org/1029274/download,src/dataset/bird_data/raw/erithacus_rubecula/XC1029274.mp3
756310,Erithacus rubecula,European Robin,Paul Kelly,Ireland,2022-10-12,18:00,58,A,"call, song",field recording,no,[],44100,https://xeno-canto.org/756310,https://xeno-canto.org/756310/download,src/dataset/bird_data/raw/erithacus_rubecula/XC756310.mp3
767149,Erithacus rubecula,European Robin,Irish Wildlife Sounds,Ireland,2022-11-29,08:30,43,A,song,field recording,yes,[],44100,https://xeno-canto.org/767149,https://xeno-canto.org/767149/download,src/dataset/bird_data/raw/erithacus_rubecula/XC767149.mp3
778202,Erithacus rubecula,European Robin,Paul Driver,United Kingdom,2016-12-14,08:20,14,B,"alarm call, hawk alarm",field recording,yes,[],44100,https://xeno-canto.org/778202,https://xeno-canto.org/778202/download,src/dataset/bird_data/raw/erithacus_rubecula/XC778202.mp3
355272,Erithacus rubecula,European Robin,david m,United Kingdom,2017-01-30,07:24,55,A,song,field recording,yes,"[""Corvus corone""]",48000,https://xeno-canto.org/355272,https://xeno-canto.org/355272/download,src/dataset/bird_data/raw/erithacus_rubecula/XC355272.mp3
981484,Erithacus rubecula,European Robin,David Darrell-Lambert,United Kingdom,2025-02-24,10:30,58,B,song,field recording,yes,"[""Tringa totanus""]",32000,https://xeno-canto.org/981484,https://xeno-canto.org/981484/download,src/dataset/bird_data/raw/erithacus_rubecula/XC981484.mp3
358533,Erithacus rubecula,European Robin,Tony Whitehead,United Kingdom,2017-03-11,06:30,34,A,song,field recording,yes,[],44100,https://xeno-canto.org/358533,https://xeno-canto.org/358533/download,src/dataset/bird_data/raw/erithacus_rubecula/XC358533.mp3
911117,Erithacus rubecula,European Robin,Molly Bell,Ireland,2024-04-28,05:07,23,A,song,field recording,no,[],44100,https://xeno-canto.org/911117,https://xeno-canto.org/911117/download,src/dataset/bird_data/raw/erithacus_rubecula/XC911117.mp3
599061,Erithacus rubecula,European Robin,Simon Elliott,United Kingdom,2005-05-24,16:00,11,A,call,field recording,yes,"[""Turdus merula""]",44100,https://xeno-canto.org/599061,https://xeno-canto.org/599061/download,src/dataset/bird_data/raw/erithacus_rubecula/XC599061.mp3
658930,Erithacus rubecula,European Robin,Simon Elliott,United Kingdom,2021-06-08,07:00,17,A,"begging call, hatchling or nestling",field recording,yes,[],48000,https://xeno-canto.org/658930,https://xeno-canto.org/658930/download,src/dataset/bird_data/raw/erithacus_rubecula/XC658930.mp3
1024896,Erithacus rubecula,European Robin,Paul Kelly,Ireland,2025-07-24,04:30,13,B,call,field recording,no,[],44100,https://xeno-canto.org/1024896,https://xeno-canto.org/1024896/download,src/dataset/bird_data/raw/erithacus_rubecula/XC1024896.mp3
