xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1073395,Falco peregrinus,Peregrine Falcon,Jessica Peruzzo,Italy,2026-01-18,11:30,22,A,call,field recording,yes,[],48000,https://xeno-canto.org/1073395,https://xeno-canto.org/1073395/download,
1059390,Falco peregrinus,Peregrine Falcon,Denis Dujardin,France,2025-11-23,10:30,19,A,alarm call,field recording,no,"[""Corvus corone""]",48000,https://xeno-canto.org/1059390,https://xeno-canto.org/1059390/download,
1055457,Falco peregrinus,Peregrine Falcon,Stanislas Wroza,France,2025-10-14,17:54,19,A,"call, flight call, attack",field recording,unknown,[],44100,https://xeno-canto.org/1055457,https://xeno-canto.org/1055457/download,
1052542,Falco peregrinus,Peregrine Falcon,Van Herrewege Alex,Belgium,2025-11-04,23:09,8,A,call,field recording,no,[],192000,https://xeno-canto.org/1052542,https://xeno-canto.org/1052542/download,
1013457,Falco peregrinus,Peregrine Falcon,David Darrell-Lambert,United Kingdom,2021-02-21,09:30,15,A,call,field recording,yes,[],48000,https://xeno-canto.org/1013457,https://xeno-canto.org/1013457/download,
1013451,Falco peregrinus,Peregrine Falcon,David Darrell-Lambert,United Kingdom,2017-07-09,09:30,22,A,call,field recording,yes,[],48000,https://xeno-canto.org/1013451,https://xeno-canto.org/1013451/download,
1013450,Falco peregrinus,Peregrine Falcon,David Darrell-Lambert,United Kingdom,2017-07-09,09:30,2,A,call,field recording,yes,[],48000,https://xeno-canto.org/1013450,https://xeno-canto.org/1013450/download,
1013447,Falco peregrinus,Peregrine Falcon,David Darrell-Lambert,United Kingdom,2017-07-09,09:30,22,A,call,field recording,yes,[],48000,https://xeno-canto.org/1013447,https://xeno-canto.org/1013447/download,
1013434,Falco peregrinus,Peregrine Falcon,David Darrell-Lambert,United Kingdom,2016-03-13,07:00,49,A,call,field recording,yes,[],48000,https://xeno-canto.org/1013434,https://xeno-canto.org/1013434/download,
1013413,Falco peregrinus,Peregrine Falcon,David Darrell-Lambert,United Kingdom,2015-07-03,05:30,41,A,call,field recording,yes,[],44100,https://xeno-canto.org/1013413,https://xeno-canto.org/1013413/download,
1011337,Falco peregrinus,Peregrine Falcon,David Darrell-Lambert,United Kingdom,2025-05-14,06:00,24,A,call,field recording,yes,[],32000,https://xeno-canto.org/1011337,https://xeno-canto.org/1011337/download,
1002273,Falco peregrinus,Peregrine Falcon,Mark Newsome,United Kingdom,2025-05-15,22:45,11,A,nocturnal flight call,field recording,no,"[""Acrocephalus scirpaceus"", ""Corvus frugilegus""]",44100,https://xeno-canto.org/1002273,https://xeno-canto.org/1002273/download,
998792,Falco peregrinus,Peregrine Falcon,Bregt Desmet,Belgium,2025-05-14,15:33,9,A,call,field recording,no,[],48000,https://xeno-canto.org/998792,https://xeno-canto.org/998792/download,
997786,Falco peregrinus,Peregrine Falcon,Stanislas Wroza,France,2025-04-29,08:30,16,A,"alarm call, flight call, excitement call",field recording,unknown,[],32000,https://xeno-canto.org/997786,https://xeno-canto.org/997786/download,
997727,Falco peregrinus,Peregrine Falcon,Stanislas Wroza,France,2025-05-09,09:30,34,A,"flight call, interaction calls",field recording,unknown,[],32000,https://xeno-canto.org/997727,https://xeno-canto.org/997727/download,
997697,Falco peregrinus,Peregrine Falcon,Stanislas Wroza,France,2025-04-22,09:00,47,A,alarm call,field recording,unknown,[],32000,https://xeno-canto.org/997697,https://xeno-canto.org/997697/download,
985567,Falco peregrinus,Peregrine Falcon,Gil Lissens,Belgium,2025-03-17,18:18,10,A,song,in the hand,yes,[],48000,https://xeno-canto.org/985567,https://xeno-canto.org/985567/download,
985566,Falco peregrinus,Peregrine Falcon,Gil Lissens,Belgium,2025-03-17,18:18,51,A,song,in the hand,yes,[],48000,https://xeno-canto.org/985566,https://xeno-canto.org/985566/download,
982723,Falco peregrinus,Peregrine Falcon,David Boyle,United Kingdom,2022-07-06,10:00,19,A,call,field recording,no,[],48000,https://xeno-canto.org/982723,https://xeno-canto.org/982723/download,
977608,Falco peregrinus,Peregrine Falcon,David Darrell-Lambert,Sweden,2023-09-07,08:00,10,A,call,field recording,yes,[],48000,https://xeno-canto.org/977608,https://xeno-canto.org/977608/download,
959071,Falco peregrinus,Peregrine Falcon,MERCIER Christophe,France,2024-10-25,13:43,48,A,call,field recording,no,[],44100,https://xeno-canto.org/959071,https://xeno-canto.org/959071/download,
942609,Falco peregrinus,Peregrine Falcon,Sergi Carreras,Spain,2024-10-25,07:45,33,A,call,field recording,no,[],44100,https://xeno-canto.org/942609,https://xeno-canto.org/942609/download,
936452,Falco peregrinus,Peregrine Falcon,Sergi Carreras,Spain,2024-09-28,07:50,6,A,call,field recording,no,[],44100,https://xeno-canto.org/936452,https://xeno-canto.org/936452/download,
932137,Falco peregrinus,Peregrine Falcon,Sergi Carreras,Spain,2024-09-06,00:10,18,A,"call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/932137,https://xeno-canto.org/932137/download,
929744,Falco peregrinus,Peregrine Falcon,Arjun Dutta,United Kingdom,2023-09-05,11:00,41,A,begging call,field recording,yes,"[""Corvus corax"", ""Aegithalos caudatus""]",44100,https://xeno-canto.org/929744,https://xeno-canto.org/929744/download,
924255,Falco peregrinus,Peregrine Falcon,Jorge Leitão,Portugal,2024-07-31,18:06,18,A,call,field recording,yes,[],44100,https://xeno-canto.org/924255,https://xeno-canto.org/924255/download,
918400,Falco peregrinus,Peregrine Falcon,Giuseppe Speranza,Italy,2024-06-29,08:00,35,A,"alarm call, call",field recording,yes,[],44100,https://xeno-canto.org/918400,https://xeno-canto.org/918400/download,
912322,Falco peregrinus,Peregrine Falcon,WINDELS Martin,Belgium,2024-05-10,17:00,9,A,"alarm call, call",field recording,unknown,[],44100,https://xeno-canto.org/912322,https://xeno-canto.org/912322/download,
912318,Falco peregrinus,Peregrine Falcon,WINDELS Martin,Belgium,2024-05-10,17:00,11,A,call,in the hand,yes,[],44100,https://xeno-canto.org/912318,https://xeno-canto.org/912318/download,
910551,Falco peregrinus,Peregrine Falcon,Sergi Carreras,Spain,2024-06-04,05:30,11,A,"call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/910551,https://xeno-canto.org/910551/download,
910549,Falco peregrinus,Peregrine Falcon,Sergi Carreras,Spain,2024-06-04,03:30,22,A,"call, nocturnal flight call",field recording,no,[],44100,https://xeno-canto.org/910549,https://xeno-canto.org/910549/download,
910217,Falco peregrinus,Peregrine Falcon,Sergi Carreras,Spain,2024-06-03,06:25,14,A,call,field recording,no,[],44100,https://xeno-canto.org/910217,https://xeno-canto.org/910217/download,
903473,Falco peregrinus,Peregrine Falcon,Stanislas Wroza,France,2024-05-02,07:30,17,A,"flight call, chasing an European Turtle Dove, collision",field recording,unknown,[],48000,https://xeno-canto.org/903473,https://xeno-canto.org/903473/download,
