xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
968289,Falco tinnunculus,Common Kestrel,Mark Plummer,United Kingdom,2024-01-26,13:38,14,B,"call, flight call",field recording,no,"[""Carduelis carduelis""]",48000,https://xeno-canto.org/968289,https://xeno-canto.org/968289/download,bird_data\raw\falco_tinnunculus\XC968289.mp3
590630,Falco tinnunculus,Common Kestrel,Simon Elliott,United Kingdom,1998-02-01,08:00,7,A,call,field recording,yes,[],44100,https://xeno-canto.org/590630,https://xeno-canto.org/590630/download,bird_data\raw\falco_tinnunculus\XC590630.mp3
1012109,Falco tinnunculus,Common Kestrel,David Darrell-Lambert,United Kingdom,2023-03-03,13:00,24,B,call,field recording,yes,[],48000,https://xeno-canto.org/1012109,https://xeno-canto.org/1012109/download,bird_data\raw\falco_tinnunculus\XC1012109.mp3
1012105,Falco tinnunculus,Common Kestrel,David Darrell-Lambert,United Kingdom,2023-04-14,13:30,34,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/1012105,https://xeno-canto.org/1012105/download,bird_data\raw\falco_tinnunculus\XC1012105.mp3
590537,Falco tinnunculus,Common Kestrel,Simon Elliott,United Kingdom,1999-05-25,15:00,16,A,call,field recording,yes,[],44100,https://xeno-canto.org/590537,https://xeno-canto.org/590537/download,bird_data\raw\falco_tinnunculus\XC590537.mp3
670606,Falco tinnunculus,Common Kestrel,Simon Elliott,United Kingdom,2021-06-22,10:00,7,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/670606,https://xeno-canto.org/670606/download,bird_data\raw\falco_tinnunculus\XC670606.mp3
921759,Falco tinnunculus,Common Kestrel,Paul Kelly,Ireland,2024-07-13,23:30,10,A,alarm call,field recording,no,"[""Sterna paradisaea""]",44100,https://xeno-canto.org/921759,https://xeno-canto.org/921759/download,bird_data\raw\falco_tinnunculus\XC921759.mp3
59756,Falco tinnunculus,Common Kestrel,Stuart Fisher,United Kingdom,2010-08-15,10:45,22,B,"call, calls of a male",field recording,unknown,[],44100,https://xeno-canto.org/59756,https://xeno-canto.org/59756/download,bird_data\raw\falco_tinnunculus\XC59756.mp3
1044414,Falco tinnunculus,Common Kestrel,Paul Kelly,Ireland,2025-09-26,07:00,3,A,alarm call,field recording,no,[],24000,https://xeno-canto.org/1044414,https://xeno-canto.org/1044414/download,bird_data\raw\falco_tinnunculus\XC1044414.mp3
687552,Falco tinnunculus,Common Kestrel,Irish Wildlife Sounds,Ireland,2021-10-12,14:30,34,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/687552,https://xeno-canto.org/687552/download,bird_data\raw\falco_tinnunculus\XC687552.mp3
1056564,Falco tinnunculus,Common Kestrel,Sergi Carreras,Spain,2025-11-18,08:00,44,A,call,field recording,no,[],44100,https://xeno-canto.org/1056564,https://xeno-canto.org/1056564/download,bird_data\raw\falco_tinnunculus\XC1056564.mp3
855768,Falco tinnunculus,Common Kestrel,SonoNatura,Spain,2023-12-15,18:00,47,A,"call, flight call",field recording,yes,[],48000,https://xeno-canto.org/855768,https://xeno-canto.org/855768/download,bird_data\raw\falco_tinnunculus\XC855768.mp3
860673,Falco tinnunculus,Common Kestrel,João Tomás,Spain,2024-01-07,8:35,44,A,call,field recording,yes,"[""Corvus corone"", ""Passer domesticus""]",44100,https://xeno-canto.org/860673,https://xeno-canto.org/860673/download,bird_data\raw\falco_tinnunculus\XC860673.mp3
972777,Falco tinnunculus,Common Kestrel,Mark Plummer,United Kingdom,2024-02-06,07:04,14,B,flight call,field recording,no,[],48000,https://xeno-canto.org/972777,https://xeno-canto.org/972777/download,bird_data\raw\falco_tinnunculus\XC972777.mp3
1012108,Falco tinnunculus,Common Kestrel,David Darrell-Lambert,United Kingdom,2023-03-01,13:00,5,B,call,field recording,yes,[],48000,https://xeno-canto.org/1012108,https://xeno-canto.org/1012108/download,bird_data\raw\falco_tinnunculus\XC1012108.mp3
776062,Falco tinnunculus,Common Kestrel,Dan Lombard,United Kingdom,2021-04-26,20:00,13,A,call,field recording,no,[],44100,https://xeno-canto.org/776062,https://xeno-canto.org/776062/download,bird_data\raw\falco_tinnunculus\XC776062.mp3
987075,Falco tinnunculus,Common Kestrel,David Darrell-Lambert,United Kingdom,2023-05-10,09:30,4,B,call,field recording,yes,[],48000,https://xeno-canto.org/987075,https://xeno-canto.org/987075/download,bird_data\raw\falco_tinnunculus\XC987075.mp3
657551,Falco tinnunculus,Common Kestrel,Simon Elliott,United Kingdom,2021-06-18,08:00,50,A,"begging call, hatchling or nestling",field recording,yes,[],48000,https://xeno-canto.org/657551,https://xeno-canto.org/657551/download,bird_data\raw\falco_tinnunculus\XC657551.mp3
403047,Falco tinnunculus,Common Kestrel,Dominic Garcia-Hall,United Kingdom,2017-07-17,10:30,13,A,"begging call, call",field recording,yes,[],44100,https://xeno-canto.org/403047,https://xeno-canto.org/403047/download,bird_data\raw\falco_tinnunculus\XC403047.mp3
59755,Falco tinnunculus,Common Kestrel,Stuart Fisher,United Kingdom,2010-08-15,10:45,21,B,"call, calls of a male",field recording,unknown,[],44100,https://xeno-canto.org/59755,https://xeno-canto.org/59755/download,bird_data\raw\falco_tinnunculus\XC59755.mp3
1044413,Falco tinnunculus,Common Kestrel,Paul Kelly,Ireland,2025-09-26,07:00,13,A,"call, flight call",field recording,no,[],24000,https://xeno-canto.org/1044413,https://xeno-canto.org/1044413/download,bird_data\raw\falco_tinnunculus\XC1044413.mp3
1048874,Falco tinnunculus,Common Kestrel,Paul Kelly,Ireland,2025-10-06,08:00,8,B,"call, flight call",field recording,no,[],44100,https://xeno-canto.org/1048874,https://xeno-canto.org/1048874/download,bird_data\raw\falco_tinnunculus\XC1048874.mp3
1055740,Falco tinnunculus,Common Kestrel,Stanislas Wroza,France,2025-11-08,9:00,31,A,"call, flight call, song",field recording,unknown,[],48000,https://xeno-canto.org/1055740,https://xeno-canto.org/1055740/download,bird_data\raw\falco_tinnunculus\XC1055740.mp3
445373,Falco tinnunculus,Common Kestrel,Jordi Calvet,Spain,2018-12-09,10:00,29,A,flight call,field recording,yes,"[""Fringilla coelebs""]",44100,https://xeno-canto.org/445373,https://xeno-canto.org/445373/download,bird_data\raw\falco_tinnunculus\XC445373.mp3
1069929,Falco tinnunculus,Common Kestrel,Denis Dujardin,France,2026-01-01,10:30,3,B,alarm call,field recording,no,[],48000,https://xeno-canto.org/1069929,https://xeno-canto.org/1069929/download,bird_data\raw\falco_tinnunculus\XC1069929.mp3
