xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1072766,Fringilla coelebs,Common Chaffinch,Colm Philpott,Ireland,2026-01-15,10:30,46,B,uncertain,field recording,yes,[],44100,https://xeno-canto.org/1072766,https://xeno-canto.org/1072766/download,src/dataset/bird_data/raw/fringilla_coelebs/XC1072766.mp3
403900,Fringilla coelebs,Common Chaffinch,david m,United Kingdom,2018-02-06,07:44,44,A,call,field recording,yes,"[""Corvus corone""]",48000,https://xeno-canto.org/403900,https://xeno-canto.org/403900/download,src/dataset/bird_data/raw/fringilla_coelebs/XC403900.mp3
977045,Fringilla coelebs,Common Chaffinch,Shaun Micklewright,United Kingdom,2025-03-02,09:00,40,A,song,field recording,yes,"[""Corvus corone""]",44100,https://xeno-canto.org/977045,https://xeno-canto.org/977045/download,src/dataset/bird_data/raw/fringilla_coelebs/XC977045.mp3
792138,Fringilla coelebs,Common Chaffinch,Ian Roberts,United Kingdom,2023-04-09,09:00,46,A,song,field recording,yes,"[""Larus argentatus"", ""Erithacus rubecula"", ""Carduelis carduelis"", ""Linaria cannabina""]",44100,https://xeno-canto.org/792138,https://xeno-canto.org/792138/download,src/dataset/bird_data/raw/fringilla_coelebs/XC792138.mp3
805310,Fringilla coelebs,Common Chaffinch,Lee Alder,United Kingdom,2023-05-17,13:10,59,A,"song, footsteps, human voices, aircraft noise",field recording,no,"[""Phylloscopus trochilus"", ""Chroicocephalus ridibundus"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/805310,https://xeno-canto.org/805310/download,src/dataset/bird_data/raw/fringilla_coelebs/XC805310.mp3
910422,Fringilla coelebs,Common Chaffinch,Paul Kelly,Ireland,2024-06-02,21:00,21,A,song,field recording,no,"[""Alauda arvensis""]",44100,https://xeno-canto.org/910422,https://xeno-canto.org/910422/download,src/dataset/bird_data/raw/fringilla_coelebs/XC910422.mp3
1017240,Fringilla coelebs,Common Chaffinch,Anthony McGeehan ,United Kingdom,2025-07-16,06:00,20,B,"alarm call, call, flight call",field recording,no,[],48000,https://xeno-canto.org/1017240,https://xeno-canto.org/1017240/download,src/dataset/bird_data/raw/fringilla_coelebs/XC1017240.mp3
1025084,Fringilla coelebs,Common Chaffinch,Andrew Harrop,United Kingdom,2025-08-01,11:00,6,B,call,field recording,no,[],44100,https://xeno-canto.org/1025084,https://xeno-canto.org/1025084/download,src/dataset/bird_data/raw/fringilla_coelebs/XC1025084.mp3
1041795,Fringilla coelebs,Common Chaffinch,David Darrell-Lambert,United Kingdom,2025-09-21,10:00,2,B,call,field recording,yes,[],48000,https://xeno-canto.org/1041795,https://xeno-canto.org/1041795/download,src/dataset/bird_data/raw/fringilla_coelebs/XC1041795.mp3
350143,Fringilla coelebs,Common Chaffinch,david m,United Kingdom,2016-10-22,08:35,54,A,song,field recording,yes,"[""Corvus corone"", ""Erithacus rubecula""]",48000,https://xeno-canto.org/350143,https://xeno-canto.org/350143/download,src/dataset/bird_data/raw/fringilla_coelebs/XC350143.mp3
1062222,Fringilla coelebs,Common Chaffinch,Mark Plummer,United Kingdom,2025-11-28,12:40,16,A,"call, flight call",field recording,no,[],32000,https://xeno-canto.org/1062222,https://xeno-canto.org/1062222/download,src/dataset/bird_data/raw/fringilla_coelebs/XC1062222.mp3
1065478,Fringilla coelebs,Common Chaffinch,Mark Plummer,United Kingdom,2025-12-14,08:08,8,A,"call, flight call",field recording,no,[],44100,https://xeno-canto.org/1065478,https://xeno-canto.org/1065478/download,src/dataset/bird_data/raw/fringilla_coelebs/XC1065478.mp3
775299,Fringilla coelebs,Common Chaffinch,Paul Kelly,Ireland,2023-01-02,12:30,33,B,"call, Ocean",field recording,no,"[""Cyanistes caeruleus"", ""Ardea cinerea"", ""Erithacus rubecula""]",44100,https://xeno-canto.org/775299,https://xeno-canto.org/775299/download,src/dataset/bird_data/raw/fringilla_coelebs/XC775299.mp3
310970,Fringilla coelebs,Common Chaffinch,david m,United Kingdom,2016-02-16,06:56,50,A,call,field recording,yes,"[""Turdus philomelos"", ""Troglodytes troglodytes"", ""Phasianus colchicus""]",48000,https://xeno-canto.org/310970,https://xeno-canto.org/310970/download,src/dataset/bird_data/raw/fringilla_coelebs/XC310970.mp3
627081,Fringilla coelebs,Common Chaffinch,Irish Wildlife Sounds,Ireland,2021-03-04,08:00,44,A,"call, chiffchaff calls, descending calls, pink calls",field recording,yes,[],44100,https://xeno-canto.org/627081,https://xeno-canto.org/627081/download,src/dataset/bird_data/raw/fringilla_coelebs/XC627081.mp3
331572,Fringilla coelebs,Common Chaffinch,david m,United Kingdom,2016-04-26,06:17,46,A,song,field recording,yes,"[""Larus argentatus"", ""Linaria cannabina""]",48000,https://xeno-canto.org/331572,https://xeno-canto.org/331572/download,src/dataset/bird_data/raw/fringilla_coelebs/XC331572.mp3
805307,Fringilla coelebs,Common Chaffinch,Lee Alder,United Kingdom,2023-05-17,10:04,50,A,"song, footsteps, human voices, ",field recording,no,"[""Cuculus canorus"", ""Phylloscopus trochilus"", ""Erithacus rubecula""]",48000,https://xeno-canto.org/805307,https://xeno-canto.org/805307/download,src/dataset/bird_data/raw/fringilla_coelebs/XC805307.mp3
666916,Fringilla coelebs,Common Chaffinch,Irish Wildlife Sounds,Ireland,2021-06-21,18:00,47,A,song,field recording,yes,[],44100,https://xeno-canto.org/666916,https://xeno-canto.org/666916/download,src/dataset/bird_data/raw/fringilla_coelebs/XC666916.mp3
582345,Fringilla coelebs,Common Chaffinch,Oscar Campbell,United Kingdom,2020-07-16,08:00,56,B,song,field recording,yes,[],44100,https://xeno-canto.org/582345,https://xeno-canto.org/582345/download,src/dataset/bird_data/raw/fringilla_coelebs/XC582345.mp3
26041,Fringilla coelebs,Common Chaffinch,Stuart Fisher,United Kingdom,2006-08-05,?,17,B,"call, contact, flight & juvenile calls",field recording,unknown,"[""Parus major"", ""Periparus ater""]",44100,https://xeno-canto.org/26041,https://xeno-canto.org/26041/download,src/dataset/bird_data/raw/fringilla_coelebs/XC26041.mp3
749290,Fringilla coelebs,Common Chaffinch,Bernard BOUSQUET,Ireland,2022-09-14,08:30,9,B,call,field recording,no,[],44100,https://xeno-canto.org/749290,https://xeno-canto.org/749290/download,src/dataset/bird_data/raw/fringilla_coelebs/XC749290.mp3
937212,Fringilla coelebs,Common Chaffinch,Andrew Harrop,United Kingdom,2024-10-02,12:30,10,B,call,field recording,yes,[],44100,https://xeno-canto.org/937212,https://xeno-canto.org/937212/download,src/dataset/bird_data/raw/fringilla_coelebs/XC937212.mp3
842904,Fringilla coelebs,Common Chaffinch,Paul Kelly,Ireland,2023-11-11,07:30,27,A,call,field recording,no,[],44100,https://xeno-canto.org/842904,https://xeno-canto.org/842904/download,src/dataset/bird_data/raw/fringilla_coelebs/XC842904.mp3
1065081,Fringilla coelebs,Common Chaffinch,Paul Driver,United Kingdom,2025-12-03,08:41,25,B,call,field recording,yes,[],48000,https://xeno-canto.org/1065081,https://xeno-canto.org/1065081/download,src/dataset/bird_data/raw/fringilla_coelebs/XC1065081.mp3
697613,Fringilla coelebs,Common Chaffinch,Lee Alder,United Kingdom,2022-01-15,09:24,40,B,call,field recording,no,"[""Cyanistes caeruleus"", ""Turdus philomelos"", ""Erithacus rubecula""]",48000,https://xeno-canto.org/697613,https://xeno-canto.org/697613/download,src/dataset/bird_data/raw/fringilla_coelebs/XC697613.mp3
168042,Fringilla coelebs,Common Chaffinch,david m,United Kingdom,2012-02-25,07:55,58,A,call,field recording,yes,"[""Turdus viscivorus"", ""Corvus corone""]",48000,https://xeno-canto.org/168042,https://xeno-canto.org/168042/download,src/dataset/bird_data/raw/fringilla_coelebs/XC168042.mp3
179748,Fringilla coelebs,Common Chaffinch,david m,United Kingdom,2014-03-23,06:13,35,A,song,field recording,yes,"[""Columba palumbus""]",48000,https://xeno-canto.org/179748,https://xeno-canto.org/179748/download,src/dataset/bird_data/raw/fringilla_coelebs/XC179748.mp3
131312,Fringilla coelebs,Common Chaffinch,Ashley Fisher,United Kingdom,2013-04-19,20:40,25,A,"call, 'rain call'",field recording,yes,[],44100,https://xeno-canto.org/131312,https://xeno-canto.org/131312/download,src/dataset/bird_data/raw/fringilla_coelebs/XC131312.mp3
735006,Fringilla coelebs,Common Chaffinch,Irish Wildlife Sounds,Ireland,2022-05-28,20:00,56,A,song,field recording,yes,[],44100,https://xeno-canto.org/735006,https://xeno-canto.org/735006/download,src/dataset/bird_data/raw/fringilla_coelebs/XC735006.mp3
181529,Fringilla coelebs,Common Chaffinch,david m,United Kingdom,2013-06-29,06:40,42,A,song,field recording,yes,[],48000,https://xeno-canto.org/181529,https://xeno-canto.org/181529/download,src/dataset/bird_data/raw/fringilla_coelebs/XC181529.mp3
576364,Fringilla coelebs,Common Chaffinch,Mr Mark Shorten,Ireland,2020-07-16,09:30,5,B,call,field recording,yes,[],44100,https://xeno-canto.org/576364,https://xeno-canto.org/576364/download,src/dataset/bird_data/raw/fringilla_coelebs/XC576364.mp3
933484,Fringilla coelebs,Common Chaffinch,Jorge Leitão,Portugal,2024-08-20,19:30,46,A,begging call,field recording,yes,[],48000,https://xeno-canto.org/933484,https://xeno-canto.org/933484/download,src/dataset/bird_data/raw/fringilla_coelebs/XC933484.mp3
198092,Fringilla coelebs,Common Chaffinch,Anthony McGeehan ,United Kingdom,2013-09-22,12:00,7,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/198092,https://xeno-canto.org/198092/download,src/dataset/bird_data/raw/fringilla_coelebs/XC198092.mp3
914561,Fringilla coelebs,Common Chaffinch,Arjun Dutta,United Kingdom,2021-10-14,07:15,43,B,"call, flight call",field recording,no,[],44100,https://xeno-canto.org/914561,https://xeno-canto.org/914561/download,src/dataset/bird_data/raw/fringilla_coelebs/XC914561.mp3
182190,Fringilla coelebs,Common Chaffinch,david m,United Kingdom,2013-11-22,08:23,35,A,call,field recording,yes,[],48000,https://xeno-canto.org/182190,https://xeno-canto.org/182190/download,src/dataset/bird_data/raw/fringilla_coelebs/XC182190.mp3
859477,Fringilla coelebs,Common Chaffinch,Esperanza Poveda,Spain,2023-12-20,?,54,A,call,in the hand,yes,[],44100,https://xeno-canto.org/859477,https://xeno-canto.org/859477/download,src/dataset/bird_data/raw/fringilla_coelebs/XC859477.mp3
628787,Fringilla coelebs,Common Chaffinch,Sean Morris,United Kingdom,2021-01-31,11:16,16,B,call,field recording,no,"[""Turdus merula""]",44100,https://xeno-canto.org/628787,https://xeno-canto.org/628787/download,src/dataset/bird_data/raw/fringilla_coelebs/XC628787.mp3
168036,Fringilla coelebs,Common Chaffinch,david m,United Kingdom,2012-02-25,07:51,50,A,song,field recording,yes,[],48000,https://xeno-canto.org/168036,https://xeno-canto.org/168036/download,src/dataset/bird_data/raw/fringilla_coelebs/XC168036.mp3
179425,Fringilla coelebs,Common Chaffinch,david m,United Kingdom,2014-03-17,06:39,49,A,call,field recording,yes,[],48000,https://xeno-canto.org/179425,https://xeno-canto.org/179425/download,src/dataset/bird_data/raw/fringilla_coelebs/XC179425.mp3
986008,Fringilla coelebs,Common Chaffinch,David Darrell-Lambert,United Kingdom,2025-04-06,08:30,5,B,call,field recording,yes,[],32000,https://xeno-canto.org/986008,https://xeno-canto.org/986008/download,src/dataset/bird_data/raw/fringilla_coelebs/XC986008.mp3
555078,Fringilla coelebs,Common Chaffinch,Calum Mckellar,United Kingdom,2020-05-07,10:00,20,A,song,field recording,yes,[],44100,https://xeno-canto.org/555078,https://xeno-canto.org/555078/download,src/dataset/bird_data/raw/fringilla_coelebs/XC555078.mp3
180725,Fringilla coelebs,Common Chaffinch,david m,United Kingdom,2013-06-01,05:28,50,A,call,field recording,yes,[],48000,https://xeno-canto.org/180725,https://xeno-canto.org/180725/download,src/dataset/bird_data/raw/fringilla_coelebs/XC180725.mp3
576363,Fringilla coelebs,Common Chaffinch,Mr Mark Shorten,Ireland,2020-07-16,09:30,11,B,flight call,field recording,yes,[],44100,https://xeno-canto.org/576363,https://xeno-canto.org/576363/download,src/dataset/bird_data/raw/fringilla_coelebs/XC576363.mp3
470666,Fringilla coelebs,Common Chaffinch,Hans Matheve,Italy,2018-08-04,?,19,A,call,field recording,yes,[],48000,https://xeno-canto.org/470666,https://xeno-canto.org/470666/download,src/dataset/bird_data/raw/fringilla_coelebs/XC470666.mp3
