xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
775299,Fringilla coelebs,Common Chaffinch,Paul Kelly,Ireland,2023-01-02,12:30,33,B,"call, Ocean",field recording,no,"[""Cyanistes caeruleus"", ""Ardea cinerea"", ""Erithacus rubecula""]",44100,https://xeno-canto.org/775299,https://xeno-canto.org/775299/download,
403900,Fringilla coelebs,Common Chaffinch,david m,United Kingdom,2018-02-06,07:44,44,A,call,field recording,yes,"[""Corvus corone""]",48000,https://xeno-canto.org/403900,https://xeno-canto.org/403900/download,
977045,Fringilla coelebs,Common Chaffinch,Shaun Micklewright,United Kingdom,2025-03-02,09:00,40,A,song,field recording,yes,"[""Corvus corone""]",44100,https://xeno-canto.org/977045,https://xeno-canto.org/977045/download,
792138,Fringilla coelebs,Common Chaffinch,Ian Roberts,United Kingdom,2023-04-09,09:00,46,A,song,field recording,yes,"[""Larus argentatus"", ""Erithacus rubecula"", ""Carduelis carduelis"", ""Linaria cannabina""]",44100,https://xeno-canto.org/792138,https://xeno-canto.org/792138/download,
805310,Fringilla coelebs,Common Chaffinch,Lee Alder,United Kingdom,2023-05-17,13:10,59,A,"song, footsteps, human voices, aircraft noise",field recording,no,"[""Phylloscopus trochilus"", ""Chroicocephalus ridibundus"", ""Troglodytes troglodytes""]",48000,https://xeno-canto.org/805310,https://xeno-canto.org/805310/download,
910422,Fringilla coelebs,Common Chaffinch,Paul Kelly,Ireland,2024-06-02,21:00,21,A,song,field recording,no,"[""Alauda arvensis""]",44100,https://xeno-canto.org/910422,https://xeno-canto.org/910422/download,
1017240,Fringilla coelebs,Common Chaffinch,Anthony McGeehan ,United Kingdom,2025-07-16,06:00,20,B,"alarm call, call, flight call",field recording,no,[],48000,https://xeno-canto.org/1017240,https://xeno-canto.org/1017240/download,
1025084,Fringilla coelebs,Common Chaffinch,Andrew Harrop,United Kingdom,2025-08-01,11:00,6,B,call,field recording,no,[],44100,https://xeno-canto.org/1025084,https://xeno-canto.org/1025084/download,
1041795,Fringilla coelebs,Common Chaffinch,David Darrell-Lambert,United Kingdom,2025-09-21,10:00,2,B,call,field recording,yes,[],48000,https://xeno-canto.org/1041795,https://xeno-canto.org/1041795/download,
350143,Fringilla coelebs,Common Chaffinch,david m,United Kingdom,2016-10-22,08:35,54,A,song,field recording,yes,"[""Corvus corone"", ""Erithacus rubecula""]",48000,https://xeno-canto.org/350143,https://xeno-canto.org/350143/download,
