xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1079013,Garrulus glandarius,Eurasian Jay,Olivier SWIFT,France,2025-04-07,16:00,29,A,call,field recording,no,[],32000,https://xeno-canto.org/1079013,https://xeno-canto.org/1079013/download,
1076631,Garrulus glandarius,Eurasian Jay,Filippo Ceccolini,Italy,2026-02-01,15:30,32,A,call,field recording,no,"[""Cyanistes caeruleus""]",48000,https://xeno-canto.org/1076631,https://xeno-canto.org/1076631/download,
1075821,Garrulus glandarius,Eurasian Jay,Marc Anderson,Spain,2025-05-16,07:30,36,A,call,field recording,no,[],48000,https://xeno-canto.org/1075821,https://xeno-canto.org/1075821/download,
1063204,Garrulus glandarius,Eurasian Jay,Jacobo Ramil Millarengo,Spain,2025-12-06,11:00,40,A,call,field recording,no,[],44100,https://xeno-canto.org/1063204,https://xeno-canto.org/1063204/download,
1049184,Garrulus glandarius,Eurasian Jay,João Tomás,Spain,2025-10-13,10:47,57,A,"alarm call, call",field recording,no,"[""Fringilla coelebs"", ""Cyanopica cooki"", ""Lullula arborea"", ""Sturnus unicolor"", ""Carduelis carduelis""]",44100,https://xeno-canto.org/1049184,https://xeno-canto.org/1049184/download,
1017972,Garrulus glandarius,Eurasian Jay,Jordi Calvet,Spain,2025-07-17,08:00,16,A,call,field recording,yes,[],48000,https://xeno-canto.org/1017972,https://xeno-canto.org/1017972/download,
971285,Garrulus glandarius,Eurasian Jay,Mark Plummer,United Kingdom,2024-01-29,14:32,5,A,call,field recording,no,"[""Parus major""]",48000,https://xeno-canto.org/971285,https://xeno-canto.org/971285/download,
960497,Garrulus glandarius,Eurasian Jay,Henk Schreuders,Netherlands,2025-01-11,12:35,38,A,call,field recording,yes,"[""Sitta europaea"", ""Parus major""]",48000,https://xeno-canto.org/960497,https://xeno-canto.org/960497/download,
959123,Garrulus glandarius,Eurasian Jay,Francesco Sottile,Italy,2025-01-05,16:32,36,A,alarm call,field recording,no,"[""Fringilla coelebs"", ""Aegithalos caudatus""]",44100,https://xeno-canto.org/959123,https://xeno-canto.org/959123/download,
945806,Garrulus glandarius,Eurasian Jay,Francesco Sottile,Italy,2024-11-04,09:20,53,A,call,field recording,yes,"[""Fringilla coelebs"", ""Erithacus rubecula"", ""Pica pica"", ""Phylloscopus collybita""]",44100,https://xeno-canto.org/945806,https://xeno-canto.org/945806/download,
938020,Garrulus glandarius,Eurasian Jay,Francesco Sottile,Italy,2024-10-06,10:50,29,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/938020,https://xeno-canto.org/938020/download,
934870,Garrulus glandarius,Eurasian Jay,Johannes Dag Mayer,Germany,2024-01-14,08:39,12,A,"alarm call, call",field recording,no,[],48000,https://xeno-canto.org/934870,https://xeno-canto.org/934870/download,
931635,Garrulus glandarius,Eurasian Jay,Romuald Mikusek,Poland,2024-09-01,05:30,20,A,call,field recording,no,"[""Phylloscopus collybita""]",24000,https://xeno-canto.org/931635,https://xeno-canto.org/931635/download,
927421,Garrulus glandarius,Eurasian Jay,Ulf Elman,Sweden,2017-03-04,00:00,8,A,call,field recording,unknown,[],48000,https://xeno-canto.org/927421,https://xeno-canto.org/927421/download,
927404,Garrulus glandarius,Eurasian Jay,Ulf Elman,Sweden,2017-04-23,00:00,37,A,call,field recording,unknown,"[""Turdus philomelos"", ""Dendrocopos major""]",48000,https://xeno-canto.org/927404,https://xeno-canto.org/927404/download,
925285,Garrulus glandarius,Eurasian Jay,Lars Edenius,Sweden,2024-08-01,06:00,46,A,call,field recording,no,[],44100,https://xeno-canto.org/925285,https://xeno-canto.org/925285/download,
925198,Garrulus glandarius,Eurasian Jay,Jorge Leitão,Portugal,2024-08-04,11:35,32,A,call,field recording,yes,"[""Certhia brachydactyla""]",44100,https://xeno-canto.org/925198,https://xeno-canto.org/925198/download,
902468,Garrulus glandarius,Eurasian Jay,Jack Berteau,France,2024-03-18,12:00,39,A,call,field recording,yes,[],48000,https://xeno-canto.org/902468,https://xeno-canto.org/902468/download,
894405,Garrulus glandarius,Eurasian Jay,David Bissett,United Kingdom,2024-04-08,07:00,16,A,call,field recording,yes,"[""Troglodytes troglodytes""]",96000,https://xeno-canto.org/894405,https://xeno-canto.org/894405/download,
884360,Garrulus glandarius,Eurasian Jay,Thomas Bergman,Sweden,2024-03-24,09:51,47,A,"call, screech call",field recording,no,"[""Cyanistes caeruleus"", ""Fringilla coelebs"", ""Parus major"", ""Chloris chloris""]",48000,https://xeno-canto.org/884360,https://xeno-canto.org/884360/download,
871603,Garrulus glandarius,Eurasian Jay,Alain Malengreau,Belgium,2023-09-30,13:00,5,A,call,field recording,yes,[],48000,https://xeno-canto.org/871603,https://xeno-canto.org/871603/download,
858101,Garrulus glandarius,Eurasian Jay,Olivier SWIFT,France,2023-08-06,10:37,28,A,call,field recording,no,"[""Sitta europaea"", ""Erithacus rubecula""]",48000,https://xeno-canto.org/858101,https://xeno-canto.org/858101/download,
839042,Garrulus glandarius,Eurasian Jay,Martin Billard,France,2023-10-23,11:29,28,A,call,field recording,yes,[],44100,https://xeno-canto.org/839042,https://xeno-canto.org/839042/download,
839040,Garrulus glandarius,Eurasian Jay,Martin Billard,France,2023-10-23,11:23,11,A,"aberrant, call",field recording,yes,[],44100,https://xeno-canto.org/839040,https://xeno-canto.org/839040/download,
838272,Garrulus glandarius,Eurasian Jay,Lars Edenius,Sweden,2023-10-20,14:00,32,A,call,field recording,no,[],44100,https://xeno-canto.org/838272,https://xeno-canto.org/838272/download,
832749,Garrulus glandarius,Eurasian Jay,Lars Edenius,Sweden,2023-09-28,09:00,33,A,call,field recording,no,[],44100,https://xeno-canto.org/832749,https://xeno-canto.org/832749/download,
828279,Garrulus glandarius,Eurasian Jay,Lars Edenius,Sweden,2023-09-09,07:00,23,A,call,field recording,yes,[],48000,https://xeno-canto.org/828279,https://xeno-canto.org/828279/download,
819083,Garrulus glandarius,Eurasian Jay,Grzegorz Lorek,Poland,2022-04-23,11:10,9,A,"call, wing beats",field recording,yes,[],48000,https://xeno-canto.org/819083,https://xeno-canto.org/819083/download,
793232,Garrulus glandarius,Eurasian Jay,Dominique Guillerme,France,2023-04-04,08:30,23,A,"interaction calls, nuptial period",in the hand,yes,[],48000,https://xeno-canto.org/793232,https://xeno-canto.org/793232/download,
793229,Garrulus glandarius,Eurasian Jay,Dominique Guillerme,France,2023-04-04,08:30,15,A,"interaction calls, nuptial period",in the hand,yes,[],48000,https://xeno-canto.org/793229,https://xeno-canto.org/793229/download,
793228,Garrulus glandarius,Eurasian Jay,Dominique Guillerme,France,2023-04-04,08:30,30,A,"interaction calls, nuptial period",in the hand,yes,[],48000,https://xeno-canto.org/793228,https://xeno-canto.org/793228/download,
789418,Garrulus glandarius,Eurasian Jay,Lars Edenius,Sweden,2023-03-30,08:00,26,A,song,field recording,yes,[],48000,https://xeno-canto.org/789418,https://xeno-canto.org/789418/download,
787886,Garrulus glandarius,Eurasian Jay,Dominique Guillerme,France,2023-03-22,09:30,18,A,Different interaction calls,in the hand,yes,[],44100,https://xeno-canto.org/787886,https://xeno-canto.org/787886/download,
787883,Garrulus glandarius,Eurasian Jay,Dominique Guillerme,France,2023-03-22,09:30,14,A,Different interaction calls,in the hand,yes,[],44100,https://xeno-canto.org/787883,https://xeno-canto.org/787883/download,
783170,Garrulus glandarius,Eurasian Jay,Jorge Leitão,Netherlands,2023-02-07,11:50,2,A,call,field recording,yes,[],44100,https://xeno-canto.org/783170,https://xeno-canto.org/783170/download,
780341,Garrulus glandarius,Eurasian Jay,Lars Edenius,Sweden,2023-02-14,08:00,19,A,call,field recording,yes,[],48000,https://xeno-canto.org/780341,https://xeno-canto.org/780341/download,
763802,Garrulus glandarius,Eurasian Jay,Lars Edenius,Sweden,2022-11-17,12:30,31,A,call,field recording,no,[],44100,https://xeno-canto.org/763802,https://xeno-canto.org/763802/download,
758637,Garrulus glandarius,Eurasian Jay,Iga Linka,Poland,2022-10-30,09:00,2,A,call,field recording,yes,[],44100,https://xeno-canto.org/758637,https://xeno-canto.org/758637/download,
757342,Garrulus glandarius,Eurasian Jay,Nelson Conceição,Portugal,2022-09-08,19:28,40,A,call,field recording,no,[],48000,https://xeno-canto.org/757342,https://xeno-canto.org/757342/download,
742204,Garrulus glandarius,Eurasian Jay,Lars Edenius,Sweden,2022-08-10,07:00,22,A,"call, imitation, mimicry/imitation",field recording,yes,[],48000,https://xeno-canto.org/742204,https://xeno-canto.org/742204/download,
740561,Garrulus glandarius,Eurasian Jay,Nelson Conceição,Portugal,2022-07-14,07:33,21,A,call,field recording,yes,[],48000,https://xeno-canto.org/740561,https://xeno-canto.org/740561/download,
736351,Garrulus glandarius,Eurasian Jay,Lars Edenius,Sweden,2022-07-04,06:00,31,A,call,field recording,no,"[""Ficedula hypoleuca""]",44100,https://xeno-canto.org/736351,https://xeno-canto.org/736351/download,
