xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
971285,Garrulus glandarius,Eurasian Jay,Mark Plummer,United Kingdom,2024-01-29,14:32,5,A,call,field recording,no,"[""Parus major""]",48000,https://xeno-canto.org/971285,https://xeno-canto.org/971285/download,bird_data\raw\garrulus_glandarius\XC971285.mp3
972808,Garrulus glandarius,Eurasian Jay,Harry&#039;s Wildlife,United Kingdom,2025-02-11,13:30,43,B,"call, imitation, (mimicry of Eurasian Magpie calls)",field recording,yes,"[""Cyanistes caeruleus"", ""Corvus corone"", ""Erithacus rubecula"", ""Carduelis carduelis""]",48000,https://xeno-canto.org/972808,https://xeno-canto.org/972808/download,bird_data\raw\garrulus_glandarius\XC972808.mp3
985120,Garrulus glandarius,Eurasian Jay,David Darrell-Lambert,United Kingdom,2024-03-14,11:00,33,B,displaying,field recording,yes,[],48000,https://xeno-canto.org/985120,https://xeno-canto.org/985120/download,bird_data\raw\garrulus_glandarius\XC985120.mp3
894405,Garrulus glandarius,Eurasian Jay,David Bissett,United Kingdom,2024-04-08,07:00,16,A,call,field recording,yes,"[""Troglodytes troglodytes""]",96000,https://xeno-canto.org/894405,https://xeno-canto.org/894405/download,bird_data\raw\garrulus_glandarius\XC894405.mp3
722395,Garrulus glandarius,Eurasian Jay,Stuart Fisher,United Kingdom,2022-05-02,10:30,38,B,"alarm call, call",field recording,no,"[""Fringilla coelebs"", ""Troglodytes troglodytes"", ""Phasianus colchicus""]",48000,https://xeno-canto.org/722395,https://xeno-canto.org/722395/download,bird_data\raw\garrulus_glandarius\XC722395.mp3
911848,Garrulus glandarius,Eurasian Jay,Paul Driver,United Kingdom,2024-06-07,08:10,17,B,call,field recording,yes,[],48000,https://xeno-canto.org/911848,https://xeno-canto.org/911848/download,bird_data\raw\garrulus_glandarius\XC911848.mp3
921547,Garrulus glandarius,Eurasian Jay,Paul Driver,United Kingdom,2024-07-11,08:13,14,B,call,field recording,yes,[],44100,https://xeno-canto.org/921547,https://xeno-canto.org/921547/download,bird_data\raw\garrulus_glandarius\XC921547.mp3
144763,Garrulus glandarius,Eurasian Jay,Stein Ø. Nilsen,United Kingdom,2013-08-04,06:30,18,B,call,field recording,yes,[],48000,https://xeno-canto.org/144763,https://xeno-canto.org/144763/download,bird_data\raw\garrulus_glandarius\XC144763.mp3
683600,Garrulus glandarius,Eurasian Jay,Scott Wotherspoon,United Kingdom,2021-09-19,09:30,28,A,call,field recording,yes,[],44100,https://xeno-canto.org/683600,https://xeno-canto.org/683600/download,bird_data\raw\garrulus_glandarius\XC683600.mp3
1060013,Garrulus glandarius,Eurasian Jay,David Darrell-Lambert,United Kingdom,2025-10-15,08:00,7,B,call,field recording,yes,[],48000,https://xeno-canto.org/1060013,https://xeno-canto.org/1060013/download,bird_data\raw\garrulus_glandarius\XC1060013.mp3
1054630,Garrulus glandarius,Eurasian Jay,Andrew Harrop,United Kingdom,2025-11-08,09:00,10,B,"call, imitation",field recording,yes,[],44100,https://xeno-canto.org/1054630,https://xeno-canto.org/1054630/download,bird_data\raw\garrulus_glandarius\XC1054630.mp3
1067684,Garrulus glandarius,Eurasian Jay,Andrew McCafferty,United Kingdom,2025-12-24,11:29,20,B,call,field recording,yes,"[""Mareca penelope""]",44100,https://xeno-canto.org/1067684,https://xeno-canto.org/1067684/download,bird_data\raw\garrulus_glandarius\XC1067684.mp3
984779,Garrulus glandarius,Eurasian Jay,David Darrell-Lambert,United Kingdom,2024-01-29,11:30,27,B,call,field recording,yes,[],48000,https://xeno-canto.org/984779,https://xeno-canto.org/984779/download,bird_data\raw\garrulus_glandarius\XC984779.mp3
972492,Garrulus glandarius,Eurasian Jay,David Darrell-Lambert,United Kingdom,2025-02-09,11:30,17,B,call,field recording,yes,"[""Psittacula krameri""]",48000,https://xeno-canto.org/972492,https://xeno-canto.org/972492/download,bird_data\raw\garrulus_glandarius\XC972492.mp3
884981,Garrulus glandarius,Eurasian Jay,Paul Driver,United Kingdom,2024-03-21,10:43,55,B,call,field recording,yes,[],48000,https://xeno-canto.org/884981,https://xeno-canto.org/884981/download,bird_data\raw\garrulus_glandarius\XC884981.mp3
32380,Garrulus glandarius,Eurasian Jay,Stuart Fisher,United Kingdom,2009-04-10,09:00,9,A,call,field recording,unknown,"[""Troglodytes troglodytes""]",44100,https://xeno-canto.org/32380,https://xeno-canto.org/32380/download,bird_data\raw\garrulus_glandarius\XC32380.mp3
416906,Garrulus glandarius,Eurasian Jay,David Darrell-Lambert,United Kingdom,2018-05-05,08:30,29,B,display,field recording,yes,[],48000,https://xeno-canto.org/416906,https://xeno-canto.org/416906/download,bird_data\raw\garrulus_glandarius\XC416906.mp3
911847,Garrulus glandarius,Eurasian Jay,Paul Driver,United Kingdom,2024-06-07,08:18,7,B,call,field recording,yes,[],48000,https://xeno-canto.org/911847,https://xeno-canto.org/911847/download,bird_data\raw\garrulus_glandarius\XC911847.mp3
921530,Garrulus glandarius,Eurasian Jay,Paul Driver,United Kingdom,2024-07-09,08:15,14,B,call,field recording,yes,[],44100,https://xeno-canto.org/921530,https://xeno-canto.org/921530/download,bird_data\raw\garrulus_glandarius\XC921530.mp3
925285,Garrulus glandarius,Eurasian Jay,Lars Edenius,Sweden,2024-08-01,06:00,46,A,call,field recording,no,[],44100,https://xeno-canto.org/925285,https://xeno-canto.org/925285/download,bird_data\raw\garrulus_glandarius\XC925285.mp3
936858,Garrulus glandarius,Eurasian Jay,Paul Kelly,Ireland,2024-09-23,19:30,22,B,call,field recording,no,[],44100,https://xeno-canto.org/936858,https://xeno-canto.org/936858/download,bird_data\raw\garrulus_glandarius\XC936858.mp3
944242,Garrulus glandarius,Eurasian Jay,Arjun Dutta,United Kingdom,2024-10-28,07:30,31,B,call,field recording,no,[],44100,https://xeno-canto.org/944242,https://xeno-canto.org/944242/download,bird_data\raw\garrulus_glandarius\XC944242.mp3
950298,Garrulus glandarius,Eurasian Jay,Andrew Harrop,United Kingdom,2024-11-21,10:30,3,B,call,field recording,yes,[],44100,https://xeno-canto.org/950298,https://xeno-canto.org/950298/download,bird_data\raw\garrulus_glandarius\XC950298.mp3
1063204,Garrulus glandarius,Eurasian Jay,Jacobo Ramil Millarengo,Spain,2025-12-06,11:00,40,A,call,field recording,no,[],44100,https://xeno-canto.org/1063204,https://xeno-canto.org/1063204/download,bird_data\raw\garrulus_glandarius\XC1063204.mp3
984778,Garrulus glandarius,Eurasian Jay,David Darrell-Lambert,United Kingdom,2024-01-29,11:30,25,B,call,field recording,yes,[],48000,https://xeno-canto.org/984778,https://xeno-canto.org/984778/download,bird_data\raw\garrulus_glandarius\XC984778.mp3
706617,Garrulus glandarius,Eurasian Jay,Scott Wotherspoon,United Kingdom,2022-02-27,10:30,41,B,call,field recording,yes,"[""Regulus regulus"", ""Fringilla coelebs"", ""Pica pica""]",44100,https://xeno-canto.org/706617,https://xeno-canto.org/706617/download,bird_data\raw\garrulus_glandarius\XC706617.mp3
884979,Garrulus glandarius,Eurasian Jay,Paul Driver,United Kingdom,2024-03-21,09:16,8,B,call,field recording,yes,[],48000,https://xeno-canto.org/884979,https://xeno-canto.org/884979/download,bird_data\raw\garrulus_glandarius\XC884979.mp3
1015807,Garrulus glandarius,Eurasian Jay,Arjun Dutta,United Kingdom,2025-04-07,13:00,5,B,"aberrant, call, imitation",field recording,no,[],44100,https://xeno-canto.org/1015807,https://xeno-canto.org/1015807/download,bird_data\raw\garrulus_glandarius\XC1015807.mp3
655527,Garrulus glandarius,Eurasian Jay,Lars Edenius,Sweden,2021-05-28,06:00,24,A,call,field recording,no,"[""Anthus trivialis""]",44100,https://xeno-canto.org/655527,https://xeno-canto.org/655527/download,bird_data\raw\garrulus_glandarius\XC655527.mp3
822483,Garrulus glandarius,Eurasian Jay,James Lambert,United Kingdom,2023-06-28,07:50,15,B,begging call,field recording,yes,[],48000,https://xeno-canto.org/822483,https://xeno-canto.org/822483/download,bird_data\raw\garrulus_glandarius\XC822483.mp3
674509,Garrulus glandarius,Eurasian Jay,Peter Stronach,United Kingdom,2021-07-30,06:17,34,B,call,field recording,yes,"[""Regulus regulus"", ""Erithacus rubecula""]",44100,https://xeno-canto.org/674509,https://xeno-canto.org/674509/download,bird_data\raw\garrulus_glandarius\XC674509.mp3
925198,Garrulus glandarius,Eurasian Jay,Jorge Leitão,Portugal,2024-08-04,11:35,32,A,call,field recording,yes,"[""Certhia brachydactyla""]",44100,https://xeno-canto.org/925198,https://xeno-canto.org/925198/download,bird_data\raw\garrulus_glandarius\XC925198.mp3
602416,Garrulus glandarius,Eurasian Jay,Simon Elliott,United Kingdom,2016-09-18,08:30,8,B,"alarm call, mobbing",field recording,yes,"[""Accipiter nisus""]",48000,https://xeno-canto.org/602416,https://xeno-canto.org/602416/download,bird_data\raw\garrulus_glandarius\XC602416.mp3
758293,Garrulus glandarius,Eurasian Jay,Andrew Harrop,United Kingdom,2022-10-29,10:30,11,B,call,field recording,yes,[],44100,https://xeno-canto.org/758293,https://xeno-canto.org/758293/download,bird_data\raw\garrulus_glandarius\XC758293.mp3
946630,Garrulus glandarius,Eurasian Jay,Paul Kelly,Ireland,2024-11-06,12:30,33,B,call,field recording,yes,"[""Corvus frugilegus""]",44100,https://xeno-canto.org/946630,https://xeno-canto.org/946630/download,bird_data\raw\garrulus_glandarius\XC946630.mp3
41581,Garrulus glandarius,Eurasian Jay,Jarek Matusiak,Poland,2009-12-20,15:10,35,A,call,field recording,unknown,[],44100,https://xeno-canto.org/41581,https://xeno-canto.org/41581/download,bird_data\raw\garrulus_glandarius\XC41581.mp3
964115,Garrulus glandarius,Eurasian Jay,Shaun Micklewright,United Kingdom,2025-01-26,08:30,16,B,"alarm call, call",field recording,yes,[],44100,https://xeno-canto.org/964115,https://xeno-canto.org/964115/download,bird_data\raw\garrulus_glandarius\XC964115.mp3
783170,Garrulus glandarius,Eurasian Jay,Jorge Leitão,Netherlands,2023-02-07,11:50,2,A,call,field recording,yes,[],44100,https://xeno-canto.org/783170,https://xeno-canto.org/783170/download,bird_data\raw\garrulus_glandarius\XC783170.mp3
784090,Garrulus glandarius,Eurasian Jay,Irish Wildlife Sounds,Ireland,2023-03-03,12:52,21,B,"call, imitation",field recording,yes,"[""Periparus ater""]",48000,https://xeno-canto.org/784090,https://xeno-canto.org/784090/download,bird_data\raw\garrulus_glandarius\XC784090.mp3
987777,Garrulus glandarius,Eurasian Jay,David Darrell-Lambert,United Kingdom,2025-04-12,08:00,28,B,song,field recording,yes,"[""Troglodytes troglodytes""]",32000,https://xeno-canto.org/987777,https://xeno-canto.org/987777/download,bird_data\raw\garrulus_glandarius\XC987777.mp3
380240,Garrulus glandarius,Eurasian Jay,Timo Schnabel,France,2016-05-06,12:15,41,A,song,field recording,yes,"[""Turdus merula"", ""Erithacus rubecula""]",44100,https://xeno-canto.org/380240,https://xeno-canto.org/380240/download,bird_data\raw\garrulus_glandarius\XC380240.mp3
566728,Garrulus glandarius,Eurasian Jay,Mr Mark Shorten,Ireland,2020-06-09,09:00,8,B,"alarm call, call",field recording,yes,"[""Acanthis cabaret""]",48000,https://xeno-canto.org/566728,https://xeno-canto.org/566728/download,bird_data\raw\garrulus_glandarius\XC566728.mp3
662532,Garrulus glandarius,Eurasian Jay,Dan Lombard,United Kingdom,2021-07-10,12:00,8,B,uncertain,field recording,yes,[],44100,https://xeno-canto.org/662532,https://xeno-canto.org/662532/download,bird_data\raw\garrulus_glandarius\XC662532.mp3
858101,Garrulus glandarius,Eurasian Jay,Olivier SWIFT,France,2023-08-06,10:37,28,A,call,field recording,no,"[""Sitta europaea"", ""Erithacus rubecula""]",48000,https://xeno-canto.org/858101,https://xeno-canto.org/858101/download,bird_data\raw\garrulus_glandarius\XC858101.mp3
545215,Garrulus glandarius,Eurasian Jay,B Whyte,United Kingdom,2019-09-25,13:30,52,B,call,field recording,yes,[],44100,https://xeno-canto.org/545215,https://xeno-canto.org/545215/download,bird_data\raw\garrulus_glandarius\XC545215.mp3
753286,Garrulus glandarius,Eurasian Jay,Steve Chapman,United Kingdom,2022-10-01,09:30,10,B,call,field recording,no,"[""Pica pica""]",48000,https://xeno-canto.org/753286,https://xeno-canto.org/753286/download,bird_data\raw\garrulus_glandarius\XC753286.mp3
90118,Garrulus glandarius,Eurasian Jay,Tony Whitehead,United Kingdom,2011-11-12,3:00pm,8,B,call,field recording,unknown,[],44100,https://xeno-canto.org/90118,https://xeno-canto.org/90118/download,bird_data\raw\garrulus_glandarius\XC90118.mp3
41580,Garrulus glandarius,Eurasian Jay,Jarek Matusiak,Poland,2009-12-20,15:00,21,A,call,field recording,unknown,[],44100,https://xeno-canto.org/41580,https://xeno-canto.org/41580/download,bird_data\raw\garrulus_glandarius\XC41580.mp3
960497,Garrulus glandarius,Eurasian Jay,Henk Schreuders,Netherlands,2025-01-11,12:35,38,A,call,field recording,yes,"[""Sitta europaea"", ""Parus major""]",48000,https://xeno-canto.org/960497,https://xeno-canto.org/960497/download,bird_data\raw\garrulus_glandarius\XC960497.mp3
780341,Garrulus glandarius,Eurasian Jay,Lars Edenius,Sweden,2023-02-14,08:00,19,A,call,field recording,yes,[],48000,https://xeno-canto.org/780341,https://xeno-canto.org/780341/download,bird_data\raw\garrulus_glandarius\XC780341.mp3
712213,Garrulus glandarius,Eurasian Jay,Ian Roberts,United Kingdom,2022-03-29,09:00,17,B,call,field recording,yes,"[""Columba palumbus"", ""Erithacus rubecula""]",44100,https://xeno-canto.org/712213,https://xeno-canto.org/712213/download,bird_data\raw\garrulus_glandarius\XC712213.mp3
897750,Garrulus glandarius,Eurasian Jay,Paul Kelly,Ireland,2024-04-20,07:00,26,B,call,field recording,no,"[""Columba palumbus"", ""Parus major""]",44100,https://xeno-canto.org/897750,https://xeno-canto.org/897750/download,bird_data\raw\garrulus_glandarius\XC897750.mp3
318787,Garrulus glandarius,Eurasian Jay,Vincent van der Spek,Netherlands,2016-05-27,08:00,20,A,alarm call,field recording,yes,[],44100,https://xeno-canto.org/318787,https://xeno-canto.org/318787/download,bird_data\raw\garrulus_glandarius\XC318787.mp3
481583,Garrulus glandarius,Eurasian Jay,James Bradley,United Kingdom,2019-06-13,16:30,37,B,alarm call,field recording,yes,[],44100,https://xeno-canto.org/481583,https://xeno-canto.org/481583/download,bird_data\raw\garrulus_glandarius\XC481583.mp3
582347,Garrulus glandarius,Eurasian Jay,Oscar Campbell,United Kingdom,2020-07-16,08:30,4,B,call,field recording,no,[],44100,https://xeno-canto.org/582347,https://xeno-canto.org/582347/download,bird_data\raw\garrulus_glandarius\XC582347.mp3
742204,Garrulus glandarius,Eurasian Jay,Lars Edenius,Sweden,2022-08-10,07:00,22,A,"call, imitation, mimicry/imitation",field recording,yes,[],48000,https://xeno-canto.org/742204,https://xeno-canto.org/742204/download,bird_data\raw\garrulus_glandarius\XC742204.mp3
931635,Garrulus glandarius,Eurasian Jay,Romuald Mikusek,Poland,2024-09-01,05:30,20,A,call,field recording,no,"[""Phylloscopus collybita""]",24000,https://xeno-canto.org/931635,https://xeno-canto.org/931635/download,bird_data\raw\garrulus_glandarius\XC931635.mp3
1049184,Garrulus glandarius,Eurasian Jay,João Tomás,Spain,2025-10-13,10:47,57,A,"alarm call, call",field recording,no,"[""Fringilla coelebs"", ""Cyanopica cooki"", ""Lullula arborea"", ""Sturnus unicolor"", ""Carduelis carduelis""]",44100,https://xeno-canto.org/1049184,https://xeno-canto.org/1049184/download,bird_data\raw\garrulus_glandarius\XC1049184.mp3
945806,Garrulus glandarius,Eurasian Jay,Francesco Sottile,Italy,2024-11-04,09:20,53,A,call,field recording,yes,"[""Fringilla coelebs"", ""Erithacus rubecula"", ""Pica pica"", ""Phylloscopus collybita""]",44100,https://xeno-canto.org/945806,https://xeno-canto.org/945806/download,bird_data\raw\garrulus_glandarius\XC945806.mp3
1067261,Garrulus glandarius,Eurasian Jay,Laura Martin,France,2025-12-22,13:00,27,B,call,field recording,yes,[],44100,https://xeno-canto.org/1067261,https://xeno-canto.org/1067261/download,bird_data\raw\garrulus_glandarius\XC1067261.mp3
959123,Garrulus glandarius,Eurasian Jay,Francesco Sottile,Italy,2025-01-05,16:32,36,A,alarm call,field recording,no,"[""Fringilla coelebs"", ""Aegithalos caudatus""]",44100,https://xeno-canto.org/959123,https://xeno-canto.org/959123/download,bird_data\raw\garrulus_glandarius\XC959123.mp3
626795,Garrulus glandarius,Eurasian Jay,Lars Edenius,Sweden,2021-02-26,10:00,25,A,"call, flight call, imitation, mimicry/imitation",field recording,no,[],44100,https://xeno-canto.org/626795,https://xeno-canto.org/626795/download,bird_data\raw\garrulus_glandarius\XC626795.mp3
630381,Garrulus glandarius,Eurasian Jay,Scott Wotherspoon,United Kingdom,2021-03-20,09:00,15,B,"imitation, mimicry/imitation",field recording,yes,"[""Cyanistes caeruleus"", ""Regulus regulus""]",44100,https://xeno-canto.org/630381,https://xeno-canto.org/630381/download,bird_data\raw\garrulus_glandarius\XC630381.mp3
