xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1043387,Hirundo rustica,Barn Swallow,Beatrix Saadi-Varchmin,Germany,2024-04-28,09:35,22,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/1043387,https://xeno-canto.org/1043387/download,
1029121,Hirundo rustica,Barn Swallow,Romuald Mikusek,Poland,2025-08-14,20:30,9,A,"call, flight call",field recording,yes,[],48000,https://xeno-canto.org/1029121,https://xeno-canto.org/1029121/download,
1029079,Hirundo rustica,Barn Swallow,Romuald Mikusek,Poland,2025-08-14,20:00,36,A,call,field recording,yes,[],48000,https://xeno-canto.org/1029079,https://xeno-canto.org/1029079/download,
1020499,Hirundo rustica,Barn Swallow,Aku Kalliomäki,Finland,2025-07-25,19:30,28,A,song,field recording,yes,[],48000,https://xeno-canto.org/1020499,https://xeno-canto.org/1020499/download,
994579,Hirundo rustica,Barn Swallow,João Tomás,Spain,2025-05-04,12:30,40,A,"alarm call, flight call",field recording,yes,"[""Passer domesticus""]",44100,https://xeno-canto.org/994579,https://xeno-canto.org/994579/download,
994575,Hirundo rustica,Barn Swallow,João Tomás,Spain,2025-05-04,12:20,5,A,"alarm call, flight call",field recording,yes,[],44100,https://xeno-canto.org/994575,https://xeno-canto.org/994575/download,
988212,Hirundo rustica,Barn Swallow,Esperanza Poveda,Spain,2025-03-24,?,52,A,"call, flight call, song",in the hand,yes,[],44100,https://xeno-canto.org/988212,https://xeno-canto.org/988212/download,
934498,Hirundo rustica,Barn Swallow,Aku Kalliomäki,Finland,2024-09-17,18:30,34,A,"call, flight call",field recording,yes,[],96000,https://xeno-canto.org/934498,https://xeno-canto.org/934498/download,
926254,Hirundo rustica,Barn Swallow,Jarek Matusiak,Poland,2024-08-04,19:00,53,A,"begging call, call, flight call",field recording,yes,[],48000,https://xeno-canto.org/926254,https://xeno-canto.org/926254/download,
925670,Hirundo rustica,Barn Swallow,Ulf Elman,Sweden,2024-08-06,14:20,10,A,"alarm call, call",field recording,yes,[],48000,https://xeno-canto.org/925670,https://xeno-canto.org/925670/download,
922371,Hirundo rustica,Barn Swallow,Ed,Netherlands,2024-07-21,09:00,54,A,song,field recording,yes,[],48000,https://xeno-canto.org/922371,https://xeno-canto.org/922371/download,
922365,Hirundo rustica,Barn Swallow,Martin Billard,France,2024-07-21,08:08,9,A,"begging call, call, flight call",field recording,yes,[],44100,https://xeno-canto.org/922365,https://xeno-canto.org/922365/download,
922362,Hirundo rustica,Barn Swallow,Martin Billard,France,2024-07-21,06:54,21,A,"begging call, call, flight call",field recording,yes,[],44100,https://xeno-canto.org/922362,https://xeno-canto.org/922362/download,
922360,Hirundo rustica,Barn Swallow,Martin Billard,France,2024-07-21,06:44,44,A,"begging call, call, flight call",field recording,yes,[],44100,https://xeno-canto.org/922360,https://xeno-canto.org/922360/download,
922358,Hirundo rustica,Barn Swallow,Martin Billard,France,2024-07-21,06:25,32,A,"begging call, call, flight call",field recording,yes,[],44100,https://xeno-canto.org/922358,https://xeno-canto.org/922358/download,
919197,Hirundo rustica,Barn Swallow,Olivier SWIFT,France,2024-07-01,05:30,50,A,song,field recording,yes,"[""Emberiza cirlus"", ""Ardea cinerea"", ""Gallus gallus""]",48000,https://xeno-canto.org/919197,https://xeno-canto.org/919197/download,
907019,Hirundo rustica,Barn Swallow,SonoNatura,Spain,2024-05-27,20:00,13,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/907019,https://xeno-canto.org/907019/download,
