species_label,xc_id,sci_name,source_path,start_s,end_s,rms_db,rms_gate_thr_db,teacher_decision,teacher_top_sci,teacher_top_common,teacher_top_conf,teacher_max_conf,final_class,selected,selected_reason,clip_path,error
hirundo_rustica,978679,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC978679.mp3,1.0,4.0,-25.977402723794675,-25.977402723794675,species,Hirundo rustica,Barn Swallow,0.9249688386917114,0.9249688386917114,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/hirundo_rustica/XC978679__s1000__e4000.wav,
hirundo_rustica,704091,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC704091.mp3,4.0,7.0,-30.278359520088507,-40.0,species,Hirundo rustica,Barn Swallow,0.9759105443954468,0.9759105443954468,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/hirundo_rustica/XC704091__s4000__e7000.wav,
hirundo_rustica,704091,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC704091.mp3,7.0,10.0,-34.47138299597613,-40.0,drop,Thryophilus rufalbus,Rufous-and-white Wren,0.5319871306419373,0.5319871306419373,drop,0,,,
hirundo_rustica,988212,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC988212.mp3,22.0,25.0,-21.00748697557409,-24.75027726087072,species,Hirundo rustica,Barn Swallow,0.9940165281295776,0.9940165281295776,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/hirundo_rustica/XC988212__s22000__e25000.wav,
hirundo_rustica,988212,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC988212.mp3,25.0,28.0,-21.312515024678113,-24.75027726087072,species,Hirundo rustica,Barn Swallow,0.6898943781852722,0.6898943781852722,species,0,,,
hirundo_rustica,988212,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC988212.mp3,31.0,34.0,-15.819335560052597,-24.75027726087072,species,Hirundo rustica,Barn Swallow,0.9985418319702148,0.9985418319702148,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/hirundo_rustica/XC988212__s31000__e34000.wav,
hirundo_rustica,988212,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC988212.mp3,34.0,37.0,-16.374790987433,-24.75027726087072,species,Hirundo rustica,Barn Swallow,0.9974094033241272,0.9974094033241272,species,0,,,
hirundo_rustica,988212,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC988212.mp3,37.0,40.0,-23.87172671003168,-24.75027726087072,species,Hirundo rustica,Barn Swallow,0.99611496925354,0.99611496925354,species,0,,,
hirundo_rustica,988212,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC988212.mp3,40.0,43.0,-20.1500131091319,-24.75027726087072,species,Hirundo rustica,Barn Swallow,0.9973504543304443,0.9973504543304443,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/hirundo_rustica/XC988212__s40000__e43000.wav,
hirundo_rustica,1068220,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC1068220.mp3,1.0,4.0,-33.70282453803861,-39.562872066346564,species,Hirundo rustica,Barn Swallow,0.9778859615325928,0.9778859615325928,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/hirundo_rustica/XC1068220__s1000__e4000.wav,
hirundo_rustica,1068220,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC1068220.mp3,4.0,7.0,-39.238678804142985,-39.562872066346564,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/hirundo_rustica/XC1068220__s4000__e7000.wav,
hirundo_rustica,1068220,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC1068220.mp3,10.0,13.0,-35.65835437666009,-39.562872066346564,species,Hirundo rustica,Barn Swallow,0.9918495416641235,0.9918495416641235,species,0,,,
hirundo_rustica,1068220,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC1068220.mp3,13.0,16.0,-27.332100328220015,-39.562872066346564,species,Hirundo rustica,Barn Swallow,0.9864299297332764,0.9864299297332764,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/hirundo_rustica/XC1068220__s13000__e16000.wav,
hirundo_rustica,1068220,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC1068220.mp3,16.0,19.0,-35.82559208572473,-39.562872066346564,species,Hirundo rustica,Barn Swallow,0.9959129691123962,0.9959129691123962,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/hirundo_rustica/XC1068220__s16000__e19000.wav,
hirundo_rustica,649421,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC649421.mp3,4.0,7.0,-38.51133478830328,-40.0,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/hirundo_rustica/XC649421__s4000__e7000.wav,
hirundo_rustica,649421,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC649421.mp3,7.0,10.0,-35.58581785542905,-40.0,non_bird,,,0.0,0.0,non_bird,1,nonbird_lowconf,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/non_bird/hirundo_rustica/XC649421__s7000__e10000.wav,
hirundo_rustica,649421,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC649421.mp3,10.0,13.0,-33.991398577794925,-40.0,non_bird,,,0.0,0.0,non_bird,0,,,
hirundo_rustica,649421,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC649421.mp3,13.0,16.0,-38.366595009793144,-40.0,drop,Coturnicops noveboracensis,Yellow Rail,0.2588292956352234,0.2588292956352234,drop,0,,,
hirundo_rustica,649421,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC649421.mp3,16.0,19.0,-38.405321109437516,-40.0,drop,Limnornis curvirostris,Curve-billed Reedhaunter,0.10897606611251831,0.10897606611251831,drop,0,,,
hirundo_rustica,657553,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC657553.mp3,1.0,4.0,-28.546353070001317,-40.0,drop,Hirundo rustica,Barn Swallow,0.22797533869743347,0.22797533869743347,drop,0,,,
hirundo_rustica,657553,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC657553.mp3,4.0,7.0,-31.680236076029612,-40.0,drop,Quiscalus mexicanus,Great-tailed Grackle,0.4568840563297272,0.4568840563297272,drop,0,,,
hirundo_rustica,687539,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC687539.mp3,1.0,4.0,-28.19416005156508,-28.877704027975675,species,Hirundo rustica,Barn Swallow,0.9854523539543152,0.9854523539543152,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/hirundo_rustica/XC687539__s1000__e4000.wav,
hirundo_rustica,687539,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC687539.mp3,4.0,7.0,-28.68914159026422,-28.877704027975675,species,Hirundo rustica,Barn Swallow,0.994366466999054,0.994366466999054,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/hirundo_rustica/XC687539__s4000__e7000.wav,
hirundo_rustica,687539,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC687539.mp3,10.0,13.0,-28.526754049071744,-28.877704027975675,species,Hirundo rustica,Barn Swallow,0.9631583094596863,0.9631583094596863,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/hirundo_rustica/XC687539__s10000__e13000.wav,
hirundo_rustica,157316,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC157316.mp3,1.0,4.0,-39.56204072867217,-40.0,species,Hirundo rustica,Barn Swallow,0.9418975114822388,0.9418975114822388,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/hirundo_rustica/XC157316__s1000__e4000.wav,
hirundo_rustica,157316,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC157316.mp3,4.0,7.0,-35.36316317300271,-40.0,species,Hirundo rustica,Barn Swallow,0.990635097026825,0.990635097026825,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/hirundo_rustica/XC157316__s4000__e7000.wav,
hirundo_rustica,157316,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC157316.mp3,7.0,10.0,-31.30413333457429,-40.0,species,Hirundo rustica,Barn Swallow,0.9966264963150024,0.9966264963150024,species,0,,,
hirundo_rustica,157316,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC157316.mp3,13.0,16.0,-37.902754754727866,-40.0,species,Hirundo rustica,Barn Swallow,0.9846681952476501,0.9846681952476501,species,0,,,
hirundo_rustica,157316,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC157316.mp3,16.0,19.0,-34.06255445012945,-40.0,species,Hirundo rustica,Barn Swallow,0.832241952419281,0.832241952419281,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/hirundo_rustica/XC157316__s16000__e19000.wav,
hirundo_rustica,1067937,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC1067937.mp3,1.0,4.0,-44.77727619028342,-40.0,species,Hirundo rustica,Barn Swallow,0.6502915620803833,0.6502915620803833,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/hirundo_rustica/XC1067937__s1000__e4000.wav,
hirundo_rustica,1049616,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC1049616.mp3,,,,,,,,,,drop,0,,,no_windows
hirundo_rustica,36285,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC36285.mp3,1.0,4.0,-36.378887849322844,-36.378887849322844,species,Hirundo rustica,Barn Swallow,0.9925191402435303,0.9925191402435303,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/hirundo_rustica/XC36285__s1000__e4000.wav,
hirundo_rustica,973187,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC973187.mp3,4.0,7.0,-30.844646622451442,-31.743529217731673,drop,Acrocephalus schoenobaenus,Sedge Warbler,0.10290397703647614,0.10290397703647614,drop,0,,,
hirundo_rustica,704090,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC704090.mp3,4.0,7.0,-26.60071227361721,-28.82019893140307,species,Hirundo rustica,Barn Swallow,0.9986907839775085,0.9986907839775085,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/hirundo_rustica/XC704090__s4000__e7000.wav,
hirundo_rustica,704090,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC704090.mp3,7.0,10.0,-26.25574951599837,-28.82019893140307,species,Hirundo rustica,Barn Swallow,0.9937927722930908,0.9937927722930908,species,0,,,
hirundo_rustica,704090,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC704090.mp3,10.0,13.0,-28.585752972836744,-28.82019893140307,species,Hirundo rustica,Barn Swallow,0.9979413151741028,0.9979413151741028,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/hirundo_rustica/XC704090__s10000__e13000.wav,
hirundo_rustica,704090,Hirundo rustica,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/raw/hirundo_rustica/XC704090.mp3,16.0,19.0,-25.81377565410304,-28.82019893140307,species,Hirundo rustica,Barn Swallow,0.9993182420730591,0.9993182420730591,species,1,rand_species,/Users/justyna-przy/Projects/ISE/FYP/src/dataset/bird_data/clips/species/hirundo_rustica/XC704090__s16000__e19000.wav,
