xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
978679,Hirundo rustica,Barn Swallow,Nelson Conceição,Portugal,2025-01-28,11:18,4,B,song,field recording,yes,[],48000,https://xeno-canto.org/978679,https://xeno-canto.org/978679/download,
704091,Hirundo rustica,Barn Swallow,Carlos W.,Spain,2022-02-17,18:00,17,A,uncertain,field recording,yes,[],32000,https://xeno-canto.org/704091,https://xeno-canto.org/704091/download,
988212,Hirundo rustica,Barn Swallow,Esperanza Poveda,Spain,2025-03-24,?,52,A,"call, flight call, song",in the hand,yes,[],44100,https://xeno-canto.org/988212,https://xeno-canto.org/988212/download,
1068220,Hirundo rustica,Barn Swallow,David Darrell-Lambert,United Kingdom,2016-04-27,07:30,22,B,song,field recording,yes,[],48000,https://xeno-canto.org/1068220,https://xeno-canto.org/1068220/download,
649421,Hirundo rustica,Barn Swallow,Simon Elliott,United Kingdom,2021-05-18,04:30,31,A,call,field recording,yes,[],48000,https://xeno-canto.org/649421,https://xeno-canto.org/649421/download,
657553,Hirundo rustica,Barn Swallow,Simon Elliott,United Kingdom,2021-06-14,19:00,10,A,song,field recording,yes,[],48000,https://xeno-canto.org/657553,https://xeno-canto.org/657553/download,
687539,Hirundo rustica,Barn Swallow,Irish Wildlife Sounds,Ireland,2021-07-26,08:00,16,A,song,field recording,yes,[],44100,https://xeno-canto.org/687539,https://xeno-canto.org/687539/download,
157316,Hirundo rustica,Barn Swallow,david m,United Kingdom,2011-08-04,05:20,46,A,song,field recording,yes,[],48000,https://xeno-canto.org/157316,https://xeno-canto.org/157316/download,
1067937,Hirundo rustica,Barn Swallow,David Darrell-Lambert,United Kingdom,2024-09-07,12:30,6,B,alarm call,field recording,yes,[],44100,https://xeno-canto.org/1067937,https://xeno-canto.org/1067937/download,
1049616,Hirundo rustica,Barn Swallow,Romuald Mikusek,Poland,2025-10-07,06:30,2,B,flight call,field recording,no,[],24000,https://xeno-canto.org/1049616,https://xeno-canto.org/1049616/download,
36285,Hirundo rustica,Barn Swallow,Jordi Calvet,Spain,2009-11-13,09:21,6,B,flight call,field recording,unknown,[],44100,https://xeno-canto.org/36285,https://xeno-canto.org/36285/download,
973187,Hirundo rustica,Barn Swallow,Nelson Conceição,Portugal,2024-12-14,17:34,7,B,flight call,field recording,yes,[],48000,https://xeno-canto.org/973187,https://xeno-canto.org/973187/download,
704090,Hirundo rustica,Barn Swallow,Carlos W.,Spain,2022-02-17,18:00,20,A,song,field recording,yes,[],32000,https://xeno-canto.org/704090,https://xeno-canto.org/704090/download,
361817,Hirundo rustica,Barn Swallow,José Carlos Sires,Spain,2017-03-20,?,21,A,"call, flight call, song",field recording,yes,[],44100,https://xeno-canto.org/361817,https://xeno-canto.org/361817/download,
1068207,Hirundo rustica,Barn Swallow,David Darrell-Lambert,United Kingdom,2013-04-29,10:00,4,B,song,field recording,yes,[],48000,https://xeno-canto.org/1068207,https://xeno-canto.org/1068207/download,
649420,Hirundo rustica,Barn Swallow,Simon Elliott,United Kingdom,2021-05-18,04:40,19,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/649420,https://xeno-canto.org/649420/download,
