xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1063932,Motacilla alba,White Wagtail,João Tomás,Portugal,2025-12-11,7:50,8,A,"call, flight call",field recording,yes,"[""Fringilla coelebs"", ""Corvus corone"", ""Mareca strepera""]",44100,https://xeno-canto.org/1063932,https://xeno-canto.org/1063932/download,
1052680,Motacilla alba,White Wagtail,Christian Kerihuel,France,2025-11-05,11:30,15,A,flight call,field recording,no,[],32000,https://xeno-canto.org/1052680,https://xeno-canto.org/1052680/download,
953710,Motacilla alba,White Wagtail,João Tomás,Spain,2024-12-06,8:25,5,A,"call, flight call",field recording,no,[],44100,https://xeno-canto.org/953710,https://xeno-canto.org/953710/download,
941739,Motacilla alba,White Wagtail,Ulf Elman,Sweden,2017-05-05,00:00,4,A,call,field recording,unknown,[],48000,https://xeno-canto.org/941739,https://xeno-canto.org/941739/download,
941738,Motacilla alba,White Wagtail,Ulf Elman,Sweden,2017-05-05,00:00,33,A,call,field recording,unknown,[],48000,https://xeno-canto.org/941738,https://xeno-canto.org/941738/download,
925672,Motacilla alba,White Wagtail,Ulf Elman,Sweden,2024-08-06,14:32,17,A,call,field recording,yes,[],48000,https://xeno-canto.org/925672,https://xeno-canto.org/925672/download,
923532,Motacilla alba,White Wagtail,Lennart Jeppsson,Sweden,2024-05-11,21:00,42,A,call,field recording,yes,"[""Turdus merula"", ""Luscinia luscinia"", ""Hirundo rustica""]",48000,https://xeno-canto.org/923532,https://xeno-canto.org/923532/download,
813162,Motacilla alba,White Wagtail,Lars Edenius,Sweden,2023-06-28,05:00,33,A,call,field recording,no,[],44100,https://xeno-canto.org/813162,https://xeno-canto.org/813162/download,
808862,Motacilla alba,White Wagtail,Lars Edenius,Sweden,2023-06-14,07:30,25,A,call,field recording,yes,[],48000,https://xeno-canto.org/808862,https://xeno-canto.org/808862/download,
799205,Motacilla alba,White Wagtail,Francesco Sottile,Italy,2023-05-08,15:27,20,A,"call, song",field recording,yes,[],44100,https://xeno-canto.org/799205,https://xeno-canto.org/799205/download,
795253,Motacilla alba,White Wagtail,Lars Edenius,Sweden,2023-04-20,18:00,6,A,flight call,field recording,no,[],44100,https://xeno-canto.org/795253,https://xeno-canto.org/795253/download,
794697,Motacilla alba,White Wagtail,Lars Edenius,Sweden,2023-04-21,07:30,8,A,call,field recording,yes,[],48000,https://xeno-canto.org/794697,https://xeno-canto.org/794697/download,
758197,Motacilla alba,White Wagtail,W. Agster,Germany,2022-06-01,08:00,10,A,call,field recording,yes,[],48000,https://xeno-canto.org/758197,https://xeno-canto.org/758197/download,
688060,Motacilla alba,White Wagtail,Niels Van Doninck,Norway,2021-06-11,14:40,23,A,call,field recording,yes,"[""Tringa totanus"", ""Acrocephalus schoenobaenus"", ""Larus canus""]",48000,https://xeno-canto.org/688060,https://xeno-canto.org/688060/download,
671385,Motacilla alba,White Wagtail,Lars Edenius,Sweden,2021-08-31,06:30,9,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/671385,https://xeno-canto.org/671385/download,
671384,Motacilla alba,White Wagtail,Lars Edenius,Sweden,2021-08-31,06:30,8,A,flight call,field recording,yes,[],48000,https://xeno-canto.org/671384,https://xeno-canto.org/671384/download,
664681,Motacilla alba,White Wagtail,Leander Khil,Austria,2021-07-24,06:00,26,A,alarm call,field recording,yes,"[""Picus viridis""]",48000,https://xeno-canto.org/664681,https://xeno-canto.org/664681/download,
659807,Motacilla alba,White Wagtail,Micha Luhn,Germany,2021-06-27,12:45,54,A,song,field recording,yes,"[""Alauda arvensis"", ""Fringilla coelebs"", ""Sylvia atricapilla"", ""Dendrocopos major""]",48000,https://xeno-canto.org/659807,https://xeno-canto.org/659807/download,
657435,Motacilla alba,White Wagtail,Susanne Kuijpers,Netherlands,2021-06-18,08:44,19,A,song,field recording,yes,"[""Curruca communis""]",44100,https://xeno-canto.org/657435,https://xeno-canto.org/657435/download,
644775,Motacilla alba,White Wagtail,Thomas Bergman,Sweden,2021-05-02,06:04,33,A,call,field recording,yes,"[""Emberiza schoeniclus""]",48000,https://xeno-canto.org/644775,https://xeno-canto.org/644775/download,
632990,Motacilla alba,White Wagtail,Markus Jacobs,Germany,2021-03-28,11:20,17,A,call,field recording,yes,"[""Fringilla coelebs"", ""Sitta europaea""]",44100,https://xeno-canto.org/632990,https://xeno-canto.org/632990/download,
609238,Motacilla alba,White Wagtail,Jarek Matusiak,Poland,2020-05-02,06:00,55,A,"song, wings",field recording,unknown,[],32000,https://xeno-canto.org/609238,https://xeno-canto.org/609238/download,
606944,Motacilla alba,White Wagtail,Jarek Matusiak,Poland,2020-07-31,12:00,15,A,"begging call, call",field recording,unknown,[],44100,https://xeno-canto.org/606944,https://xeno-canto.org/606944/download,
606935,Motacilla alba,White Wagtail,Jarek Matusiak,Poland,2020-06-13,12:00,41,A,song,field recording,unknown,[],44100,https://xeno-canto.org/606935,https://xeno-canto.org/606935/download,
596086,Motacilla alba,White Wagtail,Simon Elliott,United Kingdom,2005-04-06,10:00,11,A,flight call,field recording,yes,"[""Haematopus ostralegus""]",44100,https://xeno-canto.org/596086,https://xeno-canto.org/596086/download,
596085,Motacilla alba,White Wagtail,Simon Elliott,United Kingdom,1993-03-27,07:00,14,A,call,field recording,yes,[],44100,https://xeno-canto.org/596085,https://xeno-canto.org/596085/download,
596083,Motacilla alba,White Wagtail,Simon Elliott,United Kingdom,2006-06-16,14:00,48,A,"begging call, hatchling or nestling",field recording,yes,[],48000,https://xeno-canto.org/596083,https://xeno-canto.org/596083/download,
561025,Motacilla alba,White Wagtail,Dick de Vos,Netherlands,2020-05-22,08:01,27,A,call,field recording,yes,[],44100,https://xeno-canto.org/561025,https://xeno-canto.org/561025/download,
554025,Motacilla alba,White Wagtail,Jarek Matusiak,Poland,2020-05-02,17:30,20,A,"call, flight call, wings",field recording,unknown,[],48000,https://xeno-canto.org/554025,https://xeno-canto.org/554025/download,
554020,Motacilla alba,White Wagtail,Jarek Matusiak,Poland,2020-05-02,18:30,12,A,"call, flight call, wings",field recording,unknown,[],48000,https://xeno-canto.org/554020,https://xeno-canto.org/554020/download,
554018,Motacilla alba,White Wagtail,Jarek Matusiak,Poland,2020-05-02,18:30,29,A,"call, flight call, wings",field recording,unknown,[],48000,https://xeno-canto.org/554018,https://xeno-canto.org/554018/download,
554016,Motacilla alba,White Wagtail,Jarek Matusiak,Poland,2020-05-02,17:30,17,A,"song, subsong",field recording,unknown,[],48000,https://xeno-canto.org/554016,https://xeno-canto.org/554016/download,
554015,Motacilla alba,White Wagtail,Jarek Matusiak,Poland,2020-05-02,17:30,54,A,call,field recording,unknown,[],48000,https://xeno-canto.org/554015,https://xeno-canto.org/554015/download,
495675,Motacilla alba,White Wagtail,Lars Edenius,Sweden,2019-09-03,07:00,26,A,call,field recording,yes,[],48000,https://xeno-canto.org/495675,https://xeno-canto.org/495675/download,
490335,Motacilla alba,White Wagtail,Andrew Harrop,United Kingdom,2019-08-03,10:30,13,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/490335,https://xeno-canto.org/490335/download,
465382,Motacilla alba,White Wagtail,Elias A. Ryberg,Norway,2019-04-06,16:20,48,A,song,field recording,yes,"[""Gavia arctica""]",48000,https://xeno-canto.org/465382,https://xeno-canto.org/465382/download,
388710,Motacilla alba,White Wagtail,Joost van Bruggen,Netherlands,2017-10-06,07:32,27,A,flight call,field recording,yes,[],44100,https://xeno-canto.org/388710,https://xeno-canto.org/388710/download,
383646,Motacilla alba,White Wagtail,Terje Kolaas,Norway,2017-05-04,08:00,31,A,song,field recording,yes,[],48000,https://xeno-canto.org/383646,https://xeno-canto.org/383646/download,
368553,Motacilla alba,White Wagtail,Stein Ø. Nilsen,Norway,2017-05-09,05:00,11,A,call,field recording,yes,"[""Larus canus""]",48000,https://xeno-canto.org/368553,https://xeno-canto.org/368553/download,
367245,Motacilla alba,White Wagtail,Elias A. Ryberg,Norway,2017-04-30,08:37,25,A,"call, flight call",field recording,yes,[],48000,https://xeno-canto.org/367245,https://xeno-canto.org/367245/download,
345893,Motacilla alba,White Wagtail,Tero Linjama,Finland,2008-04-23,07:00,14,A,song,field recording,yes,[],44100,https://xeno-canto.org/345893,https://xeno-canto.org/345893/download,
332116,Motacilla alba,White Wagtail,Timo Schnabel,France,2016-08-01,21:12,23,A,"call, contact call",field recording,yes,[],44100,https://xeno-canto.org/332116,https://xeno-canto.org/332116/download,
289135,Motacilla alba,White Wagtail,Mikael Litsgård,Sweden,2015-05-26,05:01,27,A,call,field recording,yes,[],44100,https://xeno-canto.org/289135,https://xeno-canto.org/289135/download,
281369,Motacilla alba,White Wagtail,Peter Boesman,Belgium,2007-09-23,08:45,10,A,flight call,field recording,unknown,[],44100,https://xeno-canto.org/281369,https://xeno-canto.org/281369/download,
281368,Motacilla alba,White Wagtail,Peter Boesman,Belgium,2007-05-13,09:35,25,A,call,field recording,unknown,[],44100,https://xeno-canto.org/281368,https://xeno-canto.org/281368/download,
281367,Motacilla alba,White Wagtail,Peter Boesman,Netherlands,2008-05-11,07:05,33,A,song,field recording,unknown,[],44100,https://xeno-canto.org/281367,https://xeno-canto.org/281367/download,
246014,Motacilla alba,White Wagtail,Jarek Matusiak,Poland,2015-05-21,16:00,18,A,call,field recording,yes,[],44100,https://xeno-canto.org/246014,https://xeno-canto.org/246014/download,
246013,Motacilla alba,White Wagtail,Jarek Matusiak,Poland,2015-05-21,16:00,42,A,song,field recording,yes,[],44100,https://xeno-canto.org/246013,https://xeno-canto.org/246013/download,
